Time,Open,High,Low,Close,Volume,Log_Return
2019-08-12,8992.5,8994.25,8990.25,8994.25,139.0,-0.010039217577279658
2019-08-13,9173.5,9175.75,9172.75,9173.25,200.0,0.019706155782589718
2019-08-14,8895.5,8899.25,8893.0,8893.75,335.0,-0.030942857197418405
2019-08-15,8937.75,8938.75,8935.25,8936.25,130.0,0.004767255242898116
2019-08-16,9027.75,9030.5,9025.75,9026.25,2957.0,0.010020960684329339
2019-08-18,9063.0,9064.25,9062.0,9063.0,165.0,0.004063192289390116
2019-08-19,9141.5,9142.5,9141.0,9142.0,128.0,0.008678988836908985
2019-08-20,9090.5,9090.5,9088.0,9089.25,130.0,-0.005786783374983173
2019-08-21,9189.25,9191.75,9189.25,9191.0,157.0,0.0111323478414036
2019-08-22,9133.75,9135.5,9133.25,9135.25,109.0,-0.006084187651733686
2019-08-23,8955.5,8960.75,8941.0,8941.5,7787.0,-0.021437196378284895
2019-08-25,8804.25,8816.0,8804.25,8812.25,406.0,-0.014560561404294958
2019-08-26,9004.25,9005.25,9002.75,9005.25,108.0,0.02166494165514088
2019-08-27,9002.5,9005.0,9002.25,9004.5,259.0,-8.328821892966687e-05
2019-08-28,9007.5,9008.75,9006.25,9007.0,43.0,0.0002776004237343699
2019-08-29,9121.5,9123.0,9121.5,9122.5,114.0,0.01274183652686034
2019-08-30,9095.25,9100.0,9089.25,9094.75,2950.0,-0.0030465653667377524
2019-09-01,9041.25,9044.75,9040.75,9043.75,128.0,-0.005623412564071728
2019-09-02,9057.25,9063.5,9056.75,9061.5,424.0,0.0019607578671116954
2019-09-03,9041.5,9043.75,9041.5,9042.75,217.0,-0.002071337581375232
2019-09-04,9141.0,9143.25,9140.75,9143.0,230.0,0.011025227498896228
2019-09-05,9278.75,9282.5,9278.75,9281.25,410.0,0.015007676820683713
2019-09-06,9279.25,9281.25,9275.25,9277.5,2565.0,-0.0004041220503570031
2019-09-08,9287.5,9288.0,9287.0,9287.5,30.0,0.0010772960912621699
2019-09-09,9259.0,9259.75,9258.5,9259.0,50.0,-0.0030733585779678663
2019-09-10,9227.25,9228.0,9225.0,9228.0,126.0,-0.0033537111544017506
2019-09-11,9307.5,9308.25,9307.0,9308.25,12.0,0.008658763384094215
2019-09-12,9346.75,9348.5,9346.75,9348.5,44.0,0.004314798927589791
2019-09-13,9323.5,9327.25,9321.25,9321.75,1373.0,-0.0028655233115983947
2019-09-15,9265.25,9266.0,9258.0,9258.5,297.0,-0.00680833081585952
2019-09-16,9286.75,9287.5,9280.25,9285.0,652.0,0.0028581463089345505
2019-09-17,9313.75,9315.0,9312.0,9313.0,126.0,0.0030110787348522905
2019-09-18,9317.0,9317.0,9315.75,9315.75,67.0,0.000295242570754084
2019-09-19,9324.0,9326.0,9324.0,9324.0,65.0,0.000885205063235972
2019-09-20,9291.5,9296.5,9291.0,9296.25,2992.0,-0.0029806281381379307
2019-09-22,9280.25,9286.75,9278.25,9282.5,510.0,-0.0014801859662743055
2019-09-23,9269.75,9270.75,9268.75,9269.5,235.0,-0.0014014663785886228
2019-09-24,9141.0,9141.25,9138.25,9138.25,115.0,-0.0142605396395723
2019-09-25,9215.5,9217.5,9215.25,9217.25,103.0,0.0086078273857364
2019-09-26,9187.0,9188.0,9186.0,9186.0,57.0,-0.0033961425330719663
2019-09-27,9137.75,9180.75,9137.5,9155.75,11759.0,-0.0032984886858375972
2019-09-29,9111.5,9111.5,9106.0,9108.75,285.0,-0.0051466072154102704
2019-09-30,9177.25,9178.5,9176.75,9177.75,112.0,0.007546586549395329
2019-10-01,9117.25,9118.0,9113.75,9114.0,255.0,-0.006970383710058314
2019-10-02,8952.75,8961.0,8952.5,8959.0,294.0,-0.017153079226250867
2019-10-03,9048.25,9049.5,9048.0,9048.25,62.0,0.0099127552322269
2019-10-04,9140.25,9143.5,9135.0,9135.25,2966.0,0.009569187876572016
2019-10-06,9130.25,9131.0,9129.25,9130.0,43.0,-0.0005748621173626844
2019-10-07,9142.0,9142.75,9140.25,9141.5,86.0,0.0012587911795449713
2019-10-08,9021.5,9022.0,9017.25,9018.0,113.0,-0.013601905787529844
2019-10-09,9000.5,9005.0,8994.0,8996.25,964.0,-0.0024147561590144306
2019-10-10,9180.25,9191.0,9176.25,9176.75,733.0,0.01986528760783912
2019-10-11,9281.75,9284.25,9278.75,9283.0,3264.0,0.011511658970078997
2019-10-13,9284.5,9286.25,9279.75,9281.25,400.0,-0.00018853441482313826
2019-10-14,9264.5,9265.75,9264.0,9265.0,116.0,-0.0017523762656495023
2019-10-15,9353.0,9353.75,9351.75,9353.0,306.0,0.009453287715091463
2019-10-16,9341.75,9341.75,9339.0,9340.5,325.0,-0.00133736345393487
2019-10-17,9347.75,9348.0,9345.75,9346.25,95.0,0.0006154093335091204
2019-10-18,9274.5,9278.25,9262.0,9264.5,8647.0,-0.008785301591656136
2019-10-20,9285.5,9287.25,9284.75,9286.25,79.0,0.0023449197435461144
2019-10-21,9343.0,9343.25,9342.25,9343.25,42.0,0.006119345969592516
2019-10-22,9252.75,9252.75,9249.75,9250.5,124.0,-0.009976553335951266
2019-10-23,9323.5,9325.75,9322.75,9324.75,141.0,0.00799455140149874
2019-10-24,9327.5,9328.25,9324.0,9324.75,208.0,0.0
2019-10-25,9436.0,9437.5,9428.5,9429.75,3676.0,0.011197429640244394
2019-10-27,9452.75,9453.0,9451.25,9451.75,189.0,0.002330324386914384
2019-10-28,9504.25,9504.5,9503.25,9503.75,67.0,0.0054865480143320156
2019-10-29,9458.75,9459.0,9455.75,9456.0,123.0,-0.00503699689676651
2019-10-30,9520.0,9520.5,9518.5,9519.5,138.0,0.006692865751851684
2019-10-31,9483.75,9486.0,9483.0,9484.25,100.0,-0.003709798374282869
2019-11-01,9538.75,9539.5,9536.5,9538.5,2036.0,0.005703712352122636
2019-11-04,9617.0,9618.0,9615.0,9615.75,331.0,0.008066138725348893
2019-11-05,9609.75,9610.25,9608.0,9608.25,122.0,-0.0007802746962681795
2019-11-06,9610.75,9612.25,9609.75,9610.75,414.0,0.0002601592189090951
2019-11-07,9631.25,9632.25,9628.75,9629.0,304.0,0.001897114616722817
2019-11-08,9630.5,9633.5,9628.25,9633.0,2429.0,0.000415325517339582
2019-11-11,9650.75,9651.75,9650.0,9651.5,186.0,0.0019186399103059415
2019-11-12,9667.75,9669.25,9667.0,9669.0,186.0,0.0018115478156186526
2019-11-13,9666.25,9668.75,9665.25,9668.0,206.0,-0.00010342866017509778
