S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,30,386.00,380.00,382.00,11757.00,4507549.00,376.00,6.00
2,Agricultural Development Bank Limited,54,607.00,596.00,605.00,12246.00,7361983.00,599.00,6.00
3,Alpine Development Bank Limited,7,539.00,525.00,530.00,649.00,346862.00,550.00,-20.00
4,Api Power Company Ltd.,78,654.00,640.00,643.00,4124.00,2654858.00,649.00,-6.00
5,Araniko Development Bank Limited,18,294.00,285.00,285.00,13611.00,3939182.00,285.00,0.00
6,Arun Valley Hydropower Development Co. Ltd.,37,310.00,306.00,309.00,15598.00,4807213.00,310.00,-1.00
7,Asian Life Insurance Co. Limited,33,1410.00,1399.00,1402.00,16903.00,23685215.00,1399.00,3.00
8,Bagmati Development Bank Ltd.,2,306.00,305.00,305.00,300.00,91600.00,311.00,-6.00
9,Barun Hydropower Co. Ltd.,14,410.00,400.00,401.00,510.00,205390.00,418.00,-17.00
10,Bhargav Bikash Bank Ltd.,6,345.00,341.00,341.00,1200.00,410400.00,341.00,0.00
11,Biratlaxmi Bikas Bank Limited,19,413.00,398.00,401.00,3263.00,1319375.00,393.00,8.00
12,Butwal Power Company Limited,16,615.00,603.00,612.00,6304.00,3864450.00,615.00,-3.00
13,Century Commercial Bank Ltd.,93,394.00,387.00,393.00,23441.00,9149830.00,390.00,3.00
14,Chhimek Laghubitta Bittiya Sanstha Limited,21,1896.00,1886.00,1890.00,2753.00,5204708.00,1890.00,0.00
15,Chilime Hydropower Company Limited,58,1330.00,1315.00,1325.00,11231.00,14849273.00,1323.00,2.00
16,Citizen Investment Trust,12,4450.00,4350.00,4400.00,8083.00,35318400.00,4420.00,-20.00
17,Citizens Bank International Limited,404,804.00,777.00,798.00,95303.00,75960841.00,775.00,23.00
18,Civil Laghubitta Bittiya Sanstha Ltd.,39,1222.00,1138.00,1222.00,1236.00,1451278.00,1161.00,61.00
19,Country Development Bank Ltd.,26,219.00,210.00,217.00,7655.00,1631525.00,215.00,2.00
20,Deprosc Laghubitta Bittiya Sanstha Limited,6,2720.00,2700.00,2703.00,485.00,1315500.00,2700.00,3.00
21,Deva Bikas Bank Limited,53,243.00,234.00,240.00,24637.00,5892785.00,236.00,4.00
22,Everest Bank Limited,124,3000.00,2900.00,2920.00,70164.00,204603985.00,2905.00,15.00
23,Everest Bank Limited Con. Pref.,7,1600.00,1540.00,1550.00,380.00,592350.00,1550.00,0.00
24,Everest Insurance Co. Ltd.,7,1265.00,1245.00,1260.00,990.00,1243640.00,1264.00,-4.00
25,Excel Development Bank Ltd.,9,594.00,590.00,594.00,2044.00,1211712.00,586.00,8.00
26,First Micro Finance Laghubitta Bittiya Sanstha Limited,15,1193.00,1150.00,1155.00,2847.00,3306984.00,1170.00,-15.00
27,Gandaki Bikas Bank Limited,20,405.00,397.00,405.00,4012.00,1610894.00,405.00,0.00
28,Gandaki Bikas BankLimited,8,370.00,355.00,355.00,4510.00,1626630.00,364.00,-9.00
29,Garima Bikas Bank Limited,15,360.00,351.00,356.00,3244.00,1148297.00,357.00,-1.00
30,Global IME Bank Limited,157,495.00,483.00,493.00,48548.00,23859489.00,492.00,1.00
31,Goodwill Finance Limited,4,244.00,244.00,244.00,887.00,216428.00,248.00,-4.00
32,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,16,895.00,884.00,885.00,3625.00,3228410.00,891.00,-6.00
33,Gurans Life Insurance Company Ltd.,18,694.00,673.00,687.00,5292.00,3627762.00,692.00,-5.00
34,Hama Merchant & Finance Ltd.,18,227.00,216.00,216.00,1700.00,371530.00,231.00,-15.00
35,Himalayan Bank Limited,47,1405.00,1380.00,1390.00,8239.00,11496249.00,1385.00,5.00
36,Himalayan General Insurance Co. Ltd,3,915.00,912.00,912.00,211.00,192565.00,930.00,-18.00
37,ICFC Finance Limited,8,280.00,272.00,280.00,2871.00,798303.00,275.00,5.00
38,Innovative Development Bank Ltd.,6,420.00,412.00,420.00,1200.00,502760.00,415.00,5.00
39,Janaki Finance Company Limited,4,332.00,324.00,324.00,840.00,276440.00,330.00,-6.00
40,Jebils Finance Ltd.,4,193.00,184.00,193.00,320.00,59870.00,187.00,6.00
41,Kabeli Bikas Bank Limited,3,612.00,600.00,612.00,161.00,97332.00,600.00,12.00
42,Kanchan Development Bank Limited,1,421.00,421.00,421.00,466.00,196186.00,420.00,1.00
43,Kankai Bikas Bank Ltd.,3,338.00,335.00,336.00,123.00,41494.00,338.00,-2.00
44,Kasthamandap Development Bank Limited,14,294.00,275.00,285.00,1817.00,515259.00,289.00,-4.00
45,Lalitpur Finance Ltd.,1,288.00,288.00,288.00,252.00,72576.00,293.00,-5.00
46,Laxmi Bank Limited,65,682.00,670.00,680.00,14455.00,9816906.00,670.00,10.00
47,Laxmi Laghubitta Bittiya Sanstha Ltd.,26,2514.00,2460.00,2502.00,771.00,1927461.00,2500.00,2.00
48,Laxmi Value Fund-1,2,10.90,10.90,10.90,6432.00,70108.80,10.95,-0.05
49,Lumbini Finance Ltd.,19,333.00,316.00,333.00,4770.00,1549784.00,315.00,18.00
50,Lumbini General Insurance Co. Ltd.,5,770.00,760.00,770.00,1518.00,1160570.00,775.00,-5.00
51,Mahakali Bikas Bank Limited,2,313.00,307.00,307.00,100.00,31000.00,319.00,-12.00
52,Mahalaxmi Bikas Bank Ltd.,53,222.00,215.00,218.00,22074.00,4816984.00,220.00,-2.00
53,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,41,1705.00,1519.00,1705.00,440.00,684650.00,1550.00,155.00
54,Manaslu Bikas Bank Ltd.,7,353.00,340.00,340.00,1451.00,504991.00,347.00,-7.00
55,Manjushree Finance Ltd.,7,246.00,234.00,240.00,1200.00,290800.00,230.00,10.00
