Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,21.0,140.0,125.0,140.0,1647.0,216171.0,128.0,12.0
2012-06-04,55.0,141.0,130.0,133.0,3705.0,505703.0,140.0,-7.0
2012-06-05,37.0,135.0,131.0,133.0,2968.0,396926.0,133.0,0.0
2012-06-06,21.0,131.0,125.0,126.0,1331.0,169046.0,133.0,-7.0
2012-06-07,30.0,134.0,122.0,131.0,2120.0,272620.0,126.0,5.0
2012-06-10,103.0,140.0,133.0,138.0,8139.0,1121181.0,131.0,7.0
2012-06-11,67.0,142.0,136.0,140.0,4583.0,639992.0,138.0,2.0
2012-06-12,36.0,142.0,139.0,140.0,4983.0,700086.0,140.0,0.0
2012-06-13,76.0,146.0,138.0,141.0,8518.0,1212358.0,140.0,1.0
2012-06-14,33.0,139.0,133.0,136.0,1912.0,261330.0,141.0,-5.0
2012-06-17,32.0,136.0,128.0,134.0,2426.0,319452.0,136.0,-2.0
2012-06-18,28.0,133.0,130.0,133.0,2589.0,339342.0,134.0,-1.0
2012-06-19,20.0,133.0,131.0,132.0,1549.0,205401.0,133.0,-1.0
2012-06-20,24.0,136.0,132.0,134.0,1361.0,181782.0,132.0,2.0
2012-06-21,18.0,137.0,135.0,136.0,1170.0,159205.0,134.0,2.0
2012-06-25,24.0,140.0,133.0,140.0,1760.0,240479.0,136.0,4.0
2012-06-26,35.0,138.0,134.0,136.0,2036.0,276849.0,140.0,-4.0
2012-06-27,28.0,140.0,132.0,140.0,2422.0,335010.0,136.0,4.0
2012-06-28,36.0,142.0,139.0,140.0,2876.0,405460.0,140.0,0.0
2012-07-01,45.0,142.0,140.0,142.0,3643.0,511666.0,140.0,2.0
2012-07-02,23.0,145.0,140.0,141.0,3256.0,461850.0,142.0,-1.0
2012-07-03,12.0,141.0,140.0,141.0,880.0,123560.0,141.0,0.0
2012-07-04,30.0,146.0,140.0,146.0,3868.0,552017.0,141.0,5.0
2012-07-05,29.0,145.0,142.0,145.0,3056.0,440599.0,146.0,-1.0
2012-07-08,33.0,148.0,143.0,144.0,2338.0,339189.0,145.0,-1.0
2012-07-09,29.0,150.0,144.0,148.0,3893.0,580402.0,144.0,4.0
2012-07-10,28.0,153.0,148.0,150.0,3747.0,562915.0,148.0,2.0
2012-07-11,45.0,152.0,148.0,152.0,3631.0,547862.0,150.0,2.0
2012-07-12,48.0,156.0,149.0,151.0,3977.0,603820.0,152.0,-1.0
2012-07-15,23.0,156.0,151.0,156.0,1722.0,264957.0,151.0,5.0
2012-07-16,113.0,162.0,150.0,162.0,12898.0,2056829.0,156.0,6.0
2012-07-17,98.0,175.0,161.0,171.0,12061.0,2022192.0,162.0,9.0
2012-07-18,91.0,186.0,170.0,186.0,8985.0,1579465.0,171.0,15.0
2012-07-19,161.0,198.0,176.0,198.0,21519.0,3981231.0,186.0,12.0
2012-07-22,149.0,200.0,187.0,192.0,19689.0,3862081.0,198.0,-6.0
2012-07-23,140.0,198.0,189.0,190.0,13375.0,2595472.0,192.0,-2.0
2012-07-24,100.0,190.0,181.0,190.0,7364.0,1373111.0,190.0,0.0
2012-07-25,107.0,187.0,181.0,184.0,10548.0,1941772.0,190.0,-6.0
2012-07-26,75.0,181.0,175.0,177.0,4910.0,865984.0,184.0,-7.0
2012-07-29,59.0,174.0,161.0,166.0,4932.0,816039.0,177.0,-11.0
2012-07-30,99.0,172.0,163.0,171.0,7450.0,1264553.0,166.0,5.0
2012-07-31,52.0,182.0,168.0,176.0,4757.0,830988.0,171.0,5.0
2012-08-01,81.0,182.0,174.0,180.0,6479.0,1164471.0,176.0,4.0
2012-08-05,51.0,184.0,178.0,181.0,4178.0,756789.0,180.0,1.0
2012-08-06,62.0,183.0,180.0,181.0,5741.0,1041584.0,181.0,0.0
2012-08-07,52.0,184.0,174.0,176.0,4255.0,766179.0,181.0,-5.0
2012-08-08,93.0,179.0,170.0,179.0,6744.0,1193276.0,176.0,3.0
2012-08-12,34.0,179.0,167.0,171.0,3111.0,526901.0,179.0,-8.0
2012-08-13,41.0,168.0,160.0,168.0,3464.0,565610.0,171.0,-3.0
2012-08-14,26.0,168.0,165.0,166.0,1990.0,331980.0,168.0,-2.0
2012-08-15,30.0,166.0,161.0,163.0,4533.0,745798.0,166.0,-3.0
2012-08-16,52.0,176.0,166.0,170.0,5649.0,963562.0,163.0,7.0
2012-08-19,42.0,175.0,170.0,173.0,5601.0,963445.0,170.0,3.0
2012-08-21,38.0,175.0,164.0,166.0,5218.0,872531.0,173.0,-7.0
2012-08-22,49.0,167.0,161.0,165.0,4219.0,694872.0,166.0,-1.0
2012-08-23,31.0,167.0,162.0,165.0,3162.0,518253.0,165.0,0.0
2012-08-26,74.0,174.0,165.0,173.0,10162.0,1747933.0,165.0,8.0
2012-08-27,51.0,177.0,174.0,175.0,3340.0,585390.0,173.0,2.0
2012-08-28,51.0,180.0,173.0,177.0,7405.0,1315960.0,175.0,2.0
2012-08-29,33.0,176.0,173.0,176.0,6758.0,1185158.0,177.0,-1.0
2012-08-30,32.0,173.0,170.0,171.0,1905.0,327625.0,176.0,-5.0
2012-09-02,52.0,172.0,170.0,171.0,2866.0,489510.0,171.0,0.0
2012-09-03,41.0,175.0,171.0,171.0,4178.0,719780.0,171.0,0.0
2012-09-04,50.0,170.0,168.0,170.0,5642.0,957458.0,171.0,-1.0
2012-09-05,26.0,172.0,170.0,170.0,2370.0,403420.0,170.0,0.0
2012-09-06,68.0,171.0,170.0,170.0,7102.0,1207410.0,170.0,0.0
2012-09-09,82.0,172.0,170.0,171.0,5013.0,856792.0,170.0,1.0
2012-09-10,44.0,172.0,166.0,172.0,5097.0,870547.0,171.0,1.0
2012-09-11,25.0,172.0,170.0,172.0,1662.0,284433.0,172.0,0.0
2012-09-12,33.0,172.0,171.0,171.0,3222.0,552452.0,172.0,-1.0
2012-09-13,22.0,173.0,171.0,173.0,2968.0,512518.0,171.0,2.0
2012-09-16,38.0,175.0,172.0,175.0,3274.0,568210.0,173.0,2.0
2012-09-17,36.0,177.0,173.0,177.0,3239.0,566717.0,175.0,2.0
2012-09-18,37.0,183.0,175.0,180.0,2338.0,418066.0,177.0,3.0
2012-09-19,46.0,182.0,177.0,182.0,10568.0,1907189.0,180.0,2.0
2012-09-20,65.0,181.0,179.0,180.0,8013.0,1444364.0,182.0,-2.0
2012-09-23,71.0,182.0,177.0,180.0,7991.0,1441392.0,180.0,0.0
2012-09-24,4.0,180.0,177.0,177.0,160.0,28680.0,180.0,-3.0
2012-09-25,55.0,176.0,172.0,175.0,4295.0,744936.0,177.0,-2.0
2012-09-26,27.0,177.0,172.0,177.0,6587.0,1160788.0,175.0,2.0
