Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-04-28,5.0,1060.0,1055.0,1055.0,125.0,132025.0,0.0,1055.0
2021-04-29,7.0,1060.0,1050.0,1055.0,635.0,670675.0,1055.0,0.0
2021-05-02,13.0,1065.0,1050.0,1055.0,505.0,531900.0,1055.0,0.0
2021-05-03,17.0,1060.0,1051.0,1055.0,1470.0,1553020.0,1055.0,0.0
2021-05-04,7.0,1060.0,1046.0,1050.0,375.0,395175.0,1055.0,-5.0
2021-05-05,6.0,1065.0,1052.0,1052.0,175.0,184900.0,1050.0,2.0
2021-05-06,7.0,1070.0,1050.0,1060.0,375.0,397125.0,1052.0,8.0
2021-05-09,6.0,1070.0,1054.0,1070.0,450.0,478850.0,1060.0,10.0
2021-05-10,3.0,1065.0,1060.0,1060.0,150.0,159500.0,1070.0,-10.0
2021-05-11,1.0,1060.0,1060.0,1060.0,25.0,26500.0,1060.0,0.0
2021-05-12,7.0,1070.0,1041.0,1070.0,175.0,185975.0,1060.0,10.0
2021-05-13,1.0,1075.0,1075.0,1075.0,50.0,53750.0,1070.0,5.0
2021-05-16,5.0,1075.0,1070.0,1075.0,150.0,160725.0,1075.0,0.0
2021-05-17,1.0,1060.0,1060.0,1060.0,40.0,42400.0,1075.0,-15.0
2021-05-18,2.0,1065.0,1060.0,1065.0,75.0,79625.0,1060.0,5.0
2021-05-19,8.0,1065.0,1045.0,1065.0,525.0,555900.0,1065.0,0.0
2021-05-20,1.0,1060.0,1060.0,1060.0,100.0,106000.0,1065.0,-5.0
2021-05-23,9.0,1069.0,1056.0,1056.0,600.0,638050.0,1060.0,-4.0
2021-05-24,7.0,1070.0,1060.0,1070.0,250.0,266675.0,1056.0,14.0
2021-05-25,8.0,1070.0,1065.0,1065.0,425.0,454500.0,1070.0,-5.0
2021-05-27,8.0,1085.0,1065.0,1070.0,410.0,441125.0,1065.0,5.0
2021-05-30,1.0,1070.0,1070.0,1070.0,150.0,160500.0,1070.0,0.0
2021-05-31,7.0,1070.0,1052.0,1065.0,245.0,261505.0,1070.0,-5.0
2021-06-01,8.0,1085.0,1070.0,1085.0,235.0,252800.0,1065.0,20.0
2021-06-02,2.0,1085.0,1070.0,1085.0,115.0,124775.0,1085.0,0.0
2021-06-06,1.0,1068.0,1068.0,1068.0,25.0,26700.0,1085.0,-17.0
2021-06-07,8.0,1080.0,1070.0,1075.0,290.0,310475.0,1068.0,7.0
2021-06-08,10.0,1085.0,1070.0,1080.0,525.0,566375.0,1075.0,5.0
2021-06-09,2.0,1080.0,1059.0,1080.0,50.0,53475.0,1080.0,0.0
2021-06-10,3.0,1070.0,1070.0,1070.0,75.0,80250.0,1080.0,-10.0
2021-06-13,12.0,1090.0,1061.0,1090.0,1325.0,1431050.0,1070.0,20.0
2021-06-14,9.0,1090.0,1090.0,1090.0,450.0,490500.0,1090.0,0.0
2021-06-15,7.0,1111.0,1089.0,1089.0,300.0,328550.0,1090.0,-1.0
2021-06-16,4.0,1100.0,1085.0,1085.0,125.0,136475.0,1089.0,-4.0
2021-06-17,7.0,1106.0,1080.0,1106.0,355.0,390050.0,1085.0,21.0
2021-06-20,9.0,1124.0,1085.0,1124.0,1265.0,1397500.0,1106.0,18.0
2021-06-21,3.0,1105.0,1105.0,1105.0,100.0,110500.0,1124.0,-19.0
2021-06-22,7.0,1110.0,1083.0,1105.0,260.0,283125.0,1105.0,0.0
2021-06-23,6.0,1104.0,1083.0,1104.0,425.0,464575.0,1105.0,-1.0
2021-06-27,3.0,1126.0,1100.0,1126.0,65.0,72265.0,1104.0,22.0
2021-06-29,1.0,1104.0,1104.0,1104.0,25.0,27600.0,1126.0,-22.0
2021-07-04,2.0,1100.0,1082.0,1100.0,50.0,54550.0,1104.0,-4.0
2021-07-07,1.0,1085.0,1085.0,1085.0,25.0,27125.0,1100.0,-15.0
2021-07-08,3.0,1085.0,1085.0,1085.0,60.0,65100.0,1085.0,0.0
2021-07-12,1.0,1085.0,1085.0,1085.0,25.0,27125.0,1085.0,0.0
2021-07-13,6.0,1150.0,1106.0,1150.0,485.0,545975.0,1085.0,65.0
2021-07-14,1.0,1127.0,1127.0,1127.0,10.0,11270.0,1150.0,-23.0
2021-07-15,2.0,1105.0,1083.0,1083.0,45.0,49175.0,1127.0,-44.0
2021-07-18,3.0,1080.0,1060.0,1060.0,315.0,334800.0,1083.0,-23.0
2021-07-19,4.0,1047.0,1041.0,1047.0,400.0,417900.0,1060.0,-13.0
2021-07-20,4.0,1050.0,1041.4,1050.0,200.0,209420.0,1047.0,3.0
2021-07-22,12.0,1050.0,1041.0,1041.0,1700.0,1775325.0,1050.0,-9.0
2021-07-25,5.0,1050.0,1045.0,1050.0,380.0,398380.0,1041.0,9.0
2021-07-26,8.0,1070.0,1050.0,1070.0,375.0,399000.0,1050.0,20.0
2021-07-28,6.0,1069.0,1060.0,1060.2,725.0,768605.0,1070.0,-9.8
2021-08-01,4.0,1058.0,1039.0,1058.0,225.0,234882.5,1060.2,-2.2
2021-08-02,1.0,1058.0,1058.0,1058.0,100.0,105800.0,1058.0,0.0
2021-08-03,1.0,1042.0,1042.0,1042.0,25.0,26050.0,1058.0,-16.0
2021-08-04,5.0,1052.0,1045.0,1052.0,150.0,156957.5,1042.0,10.0
2021-08-05,2.0,1053.1,1050.0,1053.1,150.0,157810.0,1052.0,1.1
2021-08-08,3.0,1054.0,1053.1,1053.1,225.0,237037.5,1053.1,0.0
2021-08-09,5.0,1071.0,1050.0,1052.1,250.0,265202.5,1053.1,-1.0
2021-08-10,9.0,1070.0,1050.0,1070.0,686.0,722153.1,1052.1,17.9
2021-08-12,4.0,1060.0,1060.0,1060.0,150.0,159000.0,1070.0,-10.0
2021-08-16,2.0,1065.0,1060.0,1065.0,75.0,79625.0,1060.0,5.0
2021-08-17,1.0,1046.0,1046.0,1046.0,50.0,52300.0,1065.0,-19.0
2021-08-18,7.0,1076.1,1055.0,1060.3,520.0,553577.0,1046.0,14.3
2021-08-19,4.0,1060.0,1055.0,1060.0,215.0,227135.0,1060.3,-0.3
2021-08-25,2.0,1055.0,1050.0,1050.0,2000.0,2105000.0,1060.0,-10.0
2021-08-26,5.0,1060.0,1050.0,1060.0,1350.0,1422600.0,1050.0,10.0
2021-08-29,4.0,1055.0,1035.0,1035.0,1100.0,1158500.0,1060.0,-25.0
2021-08-31,1.0,1040.2,1040.2,1040.2,80.0,83216.0,1035.0,5.2
2021-09-01,1.0,1042.0,1042.0,1042.0,100.0,104200.0,1040.2,1.8
2021-09-02,3.0,1049.1,1049.0,1049.0,420.0,440585.0,1042.0,7.0
