Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-08-02,47.0,320.0,291.0,320.0,460.0,142790.0,291.0,29.0
2020-08-03,53.0,352.0,326.0,352.0,530.0,185860.0,320.0,32.0
2020-08-05,105.0,387.0,359.0,387.0,1050.0,405650.0,352.0,35.0
2020-08-06,3053.0,425.0,394.0,425.0,47242.0,20077060.0,387.0,38.0
2020-08-09,12805.0,467.0,435.0,467.0,199382.0,92141116.0,425.0,42.0
2020-08-10,9001.0,513.0,490.0,513.0,105025.0,53039445.0,467.0,46.0
2020-08-11,6043.0,564.0,528.0,564.0,82667.0,45463058.0,513.0,51.0
2020-08-12,4531.0,580.0,540.0,543.0,59385.0,32756319.0,564.0,-21.0
2020-08-13,3652.0,543.0,503.0,517.0,78683.0,40828157.0,543.0,-26.0
2020-08-16,2440.0,509.0,480.0,492.0,61448.0,30335482.0,517.0,-25.0
2020-08-17,1355.0,493.0,475.0,492.0,24137.0,11756022.0,492.0,0.0
2020-08-18,1207.0,500.0,483.0,486.0,34107.0,16673580.0,492.0,-6.0
2020-08-19,787.0,510.0,477.0,479.0,17845.0,8576370.0,486.0,-7.0
2020-08-20,510.0,481.0,474.0,480.0,10821.0,5169714.0,479.0,1.0
2020-08-23,706.0,482.0,471.0,482.0,16824.0,8029014.0,480.0,2.0
2020-08-24,1289.0,504.0,482.0,503.0,40762.0,20278463.0,482.0,21.0
2020-08-25,1455.0,521.0,500.0,519.0,54317.0,27948082.0,503.0,16.0
2020-08-26,1381.0,532.0,513.0,525.0,47088.0,24811209.0,519.0,6.0
2020-08-27,1067.0,535.0,512.0,515.0,32244.0,16710005.0,525.0,-10.0
2020-08-30,714.0,515.0,506.0,513.0,17340.0,8842115.0,515.0,-2.0
2020-08-31,1453.0,535.0,513.0,528.0,69684.0,36671875.0,513.0,15.0
2020-09-02,1251.0,537.0,508.0,519.0,58298.0,30742207.0,528.0,-9.0
2020-09-03,1066.0,518.0,507.0,515.0,24019.0,12297908.0,519.0,-4.0
2020-09-06,1063.0,540.0,508.0,515.0,28580.0,14848145.0,515.0,0.0
2020-09-07,969.0,512.0,502.0,511.0,20247.0,10284250.0,515.0,-4.0
2020-09-08,819.0,530.0,500.0,512.0,15173.0,7714239.0,511.0,1.0
2020-09-09,710.0,518.0,505.0,517.0,19878.0,10205076.0,512.0,5.0
2020-09-10,706.0,540.0,516.0,525.0,23875.0,12531772.0,517.0,8.0
2020-09-13,1070.0,540.0,516.0,533.0,44569.0,23594787.0,525.0,8.0
2020-09-14,917.0,559.0,524.0,528.0,33659.0,17918056.0,533.0,-5.0
2020-09-15,749.0,528.0,520.0,523.0,16206.0,8474356.0,528.0,-5.0
2020-09-16,711.0,549.0,515.0,524.0,15416.0,8092878.0,523.0,1.0
2020-09-17,859.0,534.0,520.0,524.0,18783.0,9861115.0,524.0,0.0
2020-09-20,819.0,530.0,516.0,518.0,16959.0,8839484.0,524.0,-6.0
2020-09-21,1286.0,530.0,509.0,520.0,20615.0,10686325.0,518.0,2.0
2020-09-22,1095.0,520.0,513.0,514.0,25916.0,13400306.0,520.0,-6.0
2020-09-23,739.0,520.0,508.0,516.0,10739.0,5527558.0,514.0,2.0
2020-09-24,776.0,518.0,511.0,517.0,10790.0,5554140.0,516.0,1.0
2020-09-27,672.0,517.0,510.0,510.0,17625.0,9042955.0,517.0,-7.0
2020-09-28,629.0,514.0,508.0,511.0,10435.0,5321965.0,510.0,1.0
2020-09-29,585.0,513.0,507.0,509.0,9262.0,4714810.0,511.0,-2.0
2020-09-30,596.0,512.0,505.0,507.0,13257.0,6722770.0,509.0,-2.0
2020-10-01,789.0,522.0,502.0,518.0,19929.0,10265273.0,507.0,11.0
2020-10-04,920.0,532.0,517.0,520.0,26122.0,13674693.0,518.0,2.0
2020-10-05,658.0,521.0,515.0,518.0,18525.0,9567986.0,520.0,-2.0
2020-10-06,531.0,519.0,511.0,514.0,10665.0,5468065.0,518.0,-4.0
2020-10-07,519.0,518.0,511.0,515.0,15547.0,7973354.0,514.0,1.0
2020-10-08,629.0,520.0,513.0,513.0,11418.0,5880832.0,515.0,-2.0
2020-10-11,504.0,513.0,507.0,508.0,9868.0,5025415.0,513.0,-5.0
2020-10-12,496.0,511.0,503.0,506.0,9407.0,4773238.0,508.0,-2.0
2020-10-13,453.0,509.0,505.0,506.0,8654.0,4384889.0,506.0,0.0
2020-10-14,385.0,505.0,501.0,502.0,7213.0,3626665.0,506.0,-4.0
2020-10-15,360.0,510.0,500.0,503.0,8098.0,4087704.0,502.0,1.0
2020-10-18,339.0,509.0,500.0,501.0,5029.0,2525673.0,503.0,-2.0
2020-10-19,231.0,508.0,501.0,505.0,4965.0,2498945.0,501.0,4.0
2020-10-20,241.0,513.0,502.0,508.0,6590.0,3347560.0,505.0,3.0
2020-10-21,238.0,518.0,504.0,513.0,6324.0,3243257.0,508.0,5.0
2020-10-22,200.0,515.0,505.0,508.0,3850.0,1964050.0,513.0,-5.0
2020-10-28,362.0,516.0,507.0,514.0,14532.0,7445195.0,508.0,6.0
2020-10-29,416.0,516.0,509.0,510.0,9566.0,4886130.0,514.0,-4.0
2020-11-01,487.0,515.0,510.0,511.0,8815.0,4506065.0,510.0,1.0
2020-11-02,556.0,514.0,501.0,511.0,13304.0,6810130.0,511.0,0.0
2020-11-03,452.0,515.0,505.0,512.0,12989.0,6660511.0,511.0,1.0
2020-11-04,371.0,516.0,510.0,511.0,8030.0,4104616.0,512.0,-1.0
2020-11-05,452.0,513.0,507.0,508.0,10940.0,5565810.0,511.0,-3.0
2020-11-08,502.0,518.0,506.0,509.0,7860.0,4007990.0,508.0,1.0
2020-11-09,470.0,515.0,504.0,511.0,16007.0,8193222.0,509.0,2.0
2020-11-10,414.0,536.0,510.0,517.0,9831.0,5058510.0,511.0,6.0
2020-11-11,533.0,542.0,517.0,523.0,25958.0,13540792.0,517.0,6.0
2020-11-12,632.0,549.0,521.0,526.0,24637.0,12972593.0,523.0,3.0
2020-11-18,418.0,529.0,519.0,526.0,18169.0,9546292.0,526.0,0.0
2020-11-19,1153.0,574.0,527.0,563.0,75950.0,41735965.0,526.0,37.0
2020-11-22,1415.0,606.0,566.0,590.0,120790.0,70735559.0,563.0,27.0
2020-11-23,852.0,603.0,578.0,588.0,46009.0,27127054.0,590.0,-2.0
2020-11-24,1713.0,646.0,588.0,646.0,133491.0,82895632.0,588.0,58.0
