Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-08-26,3.0,273.0,263.0,273.0,30.0,8040.0,263.0,10.0
2019-08-27,7.0,300.0,278.0,300.0,70.0,20400.0,273.0,27.0
2019-08-28,2.0,312.0,306.0,312.0,20.0,6180.0,300.0,12.0
2019-08-29,1.0,318.0,318.0,318.0,10.0,3180.0,312.0,6.0
2019-09-01,2.0,330.0,324.0,330.0,20.0,6540.0,318.0,12.0
2019-09-02,2.0,342.0,336.0,342.0,20.0,6780.0,330.0,12.0
2019-09-03,6.0,368.0,348.0,368.0,140.0,49780.0,342.0,26.0
2019-09-05,6.0,404.0,375.0,404.0,60.0,23490.0,368.0,36.0
2019-09-08,37.0,444.0,412.0,444.0,460.0,203440.0,404.0,40.0
2019-09-09,1906.0,488.0,455.0,467.0,22021.0,10351198.0,444.0,23.0
2019-09-10,762.0,472.0,458.0,466.0,8765.0,4060301.0,467.0,-1.0
2019-09-11,240.0,475.0,451.0,452.0,3300.0,1503040.0,466.0,-14.0
2019-09-12,205.0,461.0,435.0,442.0,4610.0,2030950.0,452.0,-10.0
2019-09-15,167.0,437.0,419.0,419.0,2430.0,1028060.0,442.0,-23.0
2019-09-16,165.0,427.0,409.0,419.0,2020.0,835890.0,419.0,0.0
2019-09-17,123.0,435.0,411.0,427.0,2675.0,1130565.0,419.0,8.0
2019-09-18,78.0,442.0,423.0,430.0,1270.0,546330.0,427.0,3.0
2019-09-19,110.0,438.0,421.0,428.0,2192.0,933322.0,430.0,-2.0
2019-09-22,172.0,428.0,410.0,414.0,1730.0,720510.0,428.0,-14.0
2019-09-23,92.0,422.0,410.0,410.0,1080.0,446350.0,414.0,-4.0
2019-09-24,83.0,415.0,410.0,412.0,830.0,341940.0,410.0,2.0
2019-09-25,91.0,417.0,408.0,412.0,1150.0,474150.0,412.0,0.0
2019-09-26,94.0,414.0,407.0,407.0,1040.0,426090.0,412.0,-5.0
2019-09-29,48.0,414.0,401.0,408.0,490.0,200490.0,407.0,1.0
2019-09-30,24.0,425.0,401.0,411.0,570.0,234560.0,408.0,3.0
2019-10-01,26.0,423.0,409.0,415.0,490.0,204080.0,411.0,4.0
2019-10-02,18.0,416.0,409.0,413.0,190.0,78460.0,415.0,-2.0
2019-10-03,11.0,416.0,408.0,415.0,430.0,178090.0,413.0,2.0
2019-10-10,5.0,415.0,410.0,410.0,50.0,20570.0,415.0,-5.0
2019-10-14,42.0,410.0,405.0,407.0,420.0,171200.0,410.0,-3.0
2019-10-15,16.0,410.0,402.0,408.0,160.0,65220.0,407.0,1.0
2019-10-16,35.0,416.0,405.0,414.0,860.0,349750.0,408.0,6.0
2019-10-17,37.0,416.0,406.0,416.0,370.0,152740.0,414.0,2.0
2019-10-20,25.0,414.0,405.0,414.0,250.0,102590.0,416.0,-2.0
2019-10-21,36.0,419.0,408.0,415.0,440.0,181150.0,414.0,1.0
2019-10-22,36.0,412.0,408.0,408.0,440.0,179890.0,415.0,-7.0
2019-10-23,32.0,411.0,397.0,411.0,450.0,182260.0,408.0,3.0
2019-10-24,40.0,414.0,406.0,408.0,920.0,375085.0,411.0,-3.0
2019-10-31,29.0,413.0,405.0,407.0,350.0,142540.0,408.0,-1.0
2019-11-03,47.0,420.0,408.0,411.0,590.0,242130.0,407.0,4.0
2019-11-04,36.0,415.0,408.0,408.0,360.0,147140.0,411.0,-3.0
2019-11-05,50.0,419.0,407.0,419.0,558.0,229706.0,408.0,11.0
2019-11-06,71.0,418.0,407.0,418.0,2197.0,900509.0,419.0,-1.0
2019-11-07,27.0,418.0,406.0,418.0,310.0,127120.0,418.0,0.0
2019-11-10,107.0,413.0,403.0,413.0,2010.0,817052.0,418.0,-5.0
2019-11-11,54.0,438.0,407.0,433.0,1160.0,492280.0,413.0,20.0
2019-11-12,49.0,438.0,407.0,420.0,742.0,311580.0,433.0,-13.0
2019-11-13,97.0,450.0,418.0,444.0,3337.0,1472733.0,420.0,24.0
2019-11-14,74.0,445.0,436.0,440.0,1899.0,834724.0,444.0,-4.0
2019-11-17,54.0,448.0,424.0,432.0,910.0,394130.0,440.0,-8.0
2019-11-18,28.0,448.0,425.0,435.0,360.0,156480.0,432.0,3.0
2019-11-19,42.0,434.0,425.0,433.0,860.0,370000.0,435.0,-2.0
2019-11-20,48.0,439.0,431.0,435.0,890.0,385770.0,433.0,2.0
2019-11-21,75.0,430.0,422.0,429.0,1220.0,517480.0,435.0,-6.0
2019-11-24,48.0,429.0,421.0,425.0,930.0,393150.0,429.0,-4.0
2019-11-25,31.0,433.0,416.0,424.0,350.0,146860.0,425.0,-1.0
2019-11-26,59.0,432.0,418.0,432.0,642.0,271966.0,424.0,8.0
2019-11-27,34.0,430.0,423.0,430.0,360.0,153120.0,432.0,-2.0
2019-11-28,30.0,429.0,423.0,425.0,730.0,311450.0,430.0,-5.0
2019-12-01,44.0,430.0,421.0,430.0,660.0,281930.0,425.0,5.0
2019-12-02,39.0,434.0,425.0,431.0,1030.0,442230.0,430.0,1.0
2019-12-03,45.0,437.0,425.0,429.0,1140.0,492380.0,431.0,-2.0
