Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-12-20,75.0,138.0,86.0,102.0,1245.0,125345.0,88.0,14.0
2018-12-23,190.0,104.0,98.0,104.0,2920.0,295210.0,102.0,2.0
2018-12-24,142.0,106.0,100.0,102.0,2320.0,239350.0,104.0,-2.0
2018-12-25,35.0,102.0,98.0,101.0,590.0,58880.0,102.0,-1.0
2018-12-26,26.0,102.0,100.0,101.0,390.0,39490.0,101.0,0.0
2018-12-27,55.0,102.0,99.0,99.0,840.0,84240.0,101.0,-2.0
2018-12-30,28.0,100.0,98.0,99.0,420.0,41400.0,99.0,0.0
2018-12-31,70.0,100.0,98.0,98.0,1320.0,131000.0,99.0,-1.0
2019-01-01,69.0,98.0,96.0,97.0,1030.0,100150.0,98.0,-1.0
2019-01-02,38.0,97.0,95.0,96.0,570.0,54690.0,97.0,-1.0
2019-01-03,52.0,96.0,93.0,93.0,760.0,71540.0,96.0,-3.0
2019-01-06,150.0,95.0,92.0,95.0,2540.0,237220.0,93.0,2.0
2019-01-07,95.0,94.0,90.0,91.0,1770.0,161160.0,93.0,-2.0
2019-01-08,132.0,95.0,89.0,95.0,1560.0,142000.0,91.0,4.0
2019-01-09,80.0,95.0,92.0,94.0,1186.0,110724.0,95.0,-1.0
2019-01-10,88.0,95.0,92.0,94.0,1480.0,138550.0,94.0,0.0
2019-01-13,51.0,94.0,88.0,90.0,1170.0,107100.0,94.0,-4.0
2019-01-14,37.0,91.0,89.0,89.0,1280.0,115446.0,90.0,-1.0
2019-01-15,16.0,92.0,89.0,92.0,2000.0,181410.0,89.0,3.0
2019-01-16,32.0,92.0,90.0,91.0,470.0,42560.0,92.0,-1.0
2019-01-17,67.0,91.0,89.0,89.0,1120.0,100610.0,91.0,-2.0
2019-01-20,9.0,89.0,86.0,87.0,120.0,10470.0,89.0,-2.0
2019-01-21,106.0,87.0,79.0,81.0,1570.0,130240.0,87.0,-6.0
2019-01-22,69.0,82.0,79.0,80.0,1080.0,86530.0,81.0,-1.0
2019-01-23,33.0,86.0,80.0,86.0,620.0,51730.0,80.0,6.0
2019-01-24,59.0,86.0,83.0,86.0,911.0,76784.0,86.0,0.0
2019-01-27,79.0,88.0,84.0,86.0,1230.0,106280.0,86.0,0.0
2019-01-28,35.0,86.0,83.0,84.0,500.0,42300.0,86.0,-2.0
2019-01-29,52.0,85.0,82.0,84.0,999.0,82628.0,84.0,0.0
2019-01-30,60.0,86.0,83.0,84.0,1130.0,96130.0,84.0,0.0
2019-01-31,49.0,86.0,84.0,85.0,1080.0,91970.0,84.0,1.0
2019-02-03,53.0,85.0,83.0,85.0,779.0,65726.0,85.0,0.0
2019-02-04,29.0,85.0,78.0,81.0,610.0,49780.0,85.0,-4.0
2019-02-05,29.0,85.0,80.0,85.0,400.0,33200.0,81.0,4.0
2019-02-06,48.0,85.0,84.0,84.0,780.0,66140.0,85.0,-1.0
2019-02-07,65.0,85.0,81.0,83.0,1050.0,87650.0,84.0,-1.0
2019-02-10,67.0,85.0,81.0,82.0,990.0,82380.0,83.0,-1.0
2019-02-11,47.0,83.0,80.0,81.0,670.0,54760.0,82.0,-1.0
2019-02-12,38.0,84.0,81.0,84.0,510.0,41950.0,81.0,3.0
2019-02-13,42.0,84.0,80.0,82.0,770.0,62820.0,84.0,-2.0
2019-02-14,48.0,85.0,81.0,81.0,710.0,58180.0,82.0,-1.0
2019-02-17,46.0,83.0,79.0,82.0,660.0,53380.0,81.0,1.0
2019-02-18,40.0,83.0,81.0,81.0,535.0,43870.0,82.0,-1.0
2019-02-19,18.0,81.0,79.0,79.0,230.0,18270.0,81.0,-2.0
2019-02-20,37.0,80.0,78.0,79.0,590.0,46650.0,79.0,0.0
2019-02-21,115.0,81.0,78.0,78.0,1830.0,145830.0,79.0,-1.0
2019-02-24,88.0,79.0,77.0,77.0,1320.0,102550.0,78.0,-1.0
2019-02-25,21.0,82.0,75.0,82.0,310.0,23890.0,77.0,5.0
2019-02-26,42.0,85.0,81.0,82.0,625.0,51275.0,82.0,0.0
2019-02-27,48.0,85.0,81.0,85.0,2860.0,238690.0,82.0,3.0
2019-03-03,23.0,85.0,80.0,80.0,510.0,41880.0,85.0,-5.0
2019-03-05,15.0,81.0,78.0,80.0,230.0,18300.0,80.0,0.0
2019-03-06,14.0,81.0,80.0,80.0,200.0,16050.0,80.0,0.0
2019-03-07,23.0,82.0,77.0,80.0,340.0,27040.0,80.0,0.0
2019-03-10,15.0,81.0,78.0,81.0,730.0,57270.0,80.0,1.0
2019-03-11,24.0,82.0,79.0,81.0,320.0,25640.0,81.0,0.0
2019-03-12,37.0,82.0,79.0,80.0,550.0,44330.0,81.0,-1.0
2019-03-13,38.0,83.0,79.0,82.0,1105.0,90960.0,80.0,2.0
2019-03-14,29.0,86.0,82.0,85.0,820.0,68800.0,82.0,3.0
2019-03-17,24.0,89.0,84.0,84.0,1400.0,123060.0,85.0,-1.0
2019-03-18,26.0,83.0,81.0,83.0,390.0,32080.0,84.0,-1.0
2019-03-19,8.0,83.0,82.0,82.0,120.0,9860.0,83.0,-1.0
2019-03-21,18.0,83.0,81.0,82.0,270.0,21940.0,82.0,0.0
2019-03-24,53.0,82.0,79.0,79.0,880.0,70010.0,82.0,-3.0
2019-03-25,38.0,80.0,77.0,79.0,610.0,47920.0,79.0,0.0
2019-03-26,39.0,81.0,78.0,80.0,590.0,47080.0,79.0,1.0
2019-03-27,69.0,82.0,80.0,81.0,1820.0,147090.0,80.0,1.0
2019-03-28,86.0,82.0,79.0,81.0,1330.0,106540.0,81.0,0.0
2019-03-31,69.0,81.0,80.0,80.0,1080.0,86530.0,81.0,-1.0
2019-04-01,83.0,82.0,80.0,80.0,1390.0,111490.0,80.0,0.0
2019-04-02,58.0,81.0,79.0,81.0,1140.0,90890.0,80.0,1.0
2019-04-03,53.0,82.0,78.0,80.0,770.0,61930.0,81.0,-1.0
2019-04-04,41.0,82.0,79.0,79.0,800.0,64530.0,80.0,-1.0
2019-04-07,78.0,81.0,78.0,79.0,1130.0,88890.0,79.0,0.0
2019-04-08,68.0,80.0,77.0,78.0,3860.0,303210.0,79.0,-1.0
2019-04-09,68.0,85.0,77.0,81.0,2105.0,175825.0,78.0,3.0
2019-04-10,35.0,81.0,79.0,80.0,580.0,46560.0,81.0,-1.0
2019-04-11,61.0,81.0,78.0,79.0,960.0,75770.0,80.0,-1.0
2019-04-15,47.0,81.0,78.0,79.0,850.0,66880.0,79.0,0.0
2019-04-16,24.0,81.0,78.0,80.0,360.0,28710.0,79.0,1.0
2019-04-17,20.0,81.0,79.0,81.0,400.0,31960.0,80.0,1.0
2019-04-18,22.0,82.0,78.0,82.0,370.0,29520.0,81.0,1.0
2019-04-21,5.0,82.0,82.0,82.0,50.0,4100.0,82.0,0.0
2019-04-22,14.0,83.0,80.0,80.0,200.0,16330.0,82.0,-2.0
2019-04-23,41.0,80.0,78.0,80.0,710.0,56210.0,80.0,0.0
2019-04-24,45.0,80.0,78.0,78.0,700.0,54930.0,80.0,-2.0
2019-04-25,24.0,79.0,77.0,78.0,945.0,73495.0,78.0,0.0
2019-04-28,33.0,81.0,76.0,81.0,790.0,62170.0,78.0,3.0
2019-04-29,15.0,80.0,78.0,80.0,240.0,19010.0,81.0,-1.0
2019-04-30,18.0,82.0,78.0,80.0,290.0,23030.0,80.0,0.0
2019-05-02,25.0,82.0,78.0,81.0,370.0,29390.0,80.0,1.0
2019-05-05,21.0,80.0,78.0,78.0,341.0,26658.0,81.0,-3.0
2019-05-06,25.0,79.0,77.0,79.0,320.0,25010.0,78.0,1.0
2019-05-07,33.0,80.0,77.0,78.0,550.0,43150.0,79.0,-1.0
2019-05-08,25.0,80.0,77.0,77.0,1370.0,107610.0,78.0,-1.0
2019-05-09,15.0,79.0,76.0,79.0,281.0,21747.0,77.0,2.0
2019-05-12,22.0,80.0,78.0,78.0,1320.0,105150.0,79.0,-1.0
2019-05-13,24.0,78.0,77.0,77.0,460.0,35430.0,78.0,-1.0
2019-05-14,30.0,78.0,76.0,78.0,469.0,35993.0,77.0,1.0
2019-05-15,45.0,80.0,79.0,79.0,839.0,66630.0,78.0,1.0
2019-05-16,42.0,80.0,77.0,77.0,830.0,65190.0,79.0,-2.0
2019-05-19,38.0,78.0,75.0,75.0,1860.0,142170.0,77.0,-2.0
2019-05-20,58.0,76.0,74.0,75.0,1490.0,112590.0,75.0,0.0
2019-05-21,56.0,79.0,74.0,79.0,3660.0,280490.0,75.0,4.0
2019-05-22,73.0,86.0,78.0,82.0,2170.0,176620.0,79.0,3.0
