Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-03-11,2.0,306.0,300.0,306.0,20.0,6060.0,300.0,6.0
2019-03-12,1.0,321.0,306.0,321.0,10.0,3210.0,306.0,15.0
2019-03-13,3.0,349.0,321.0,349.0,30.0,10290.0,321.0,28.0
2019-03-14,1.0,366.0,366.0,366.0,10.0,3660.0,349.0,17.0
2019-03-17,5.0,402.0,384.0,402.0,50.0,19770.0,366.0,36.0
2019-03-18,1.0,422.0,422.0,422.0,10.0,4220.0,402.0,20.0
2019-03-19,4.0,464.0,443.0,464.0,40.0,18180.0,422.0,42.0
2019-03-21,50.0,510.0,487.0,510.0,500.0,254580.0,464.0,46.0
2019-03-24,2695.0,555.0,486.0,492.0,31231.0,15575910.0,510.0,-18.0
2019-03-25,968.0,496.0,484.0,490.0,10094.0,4951070.0,492.0,-2.0
2019-03-26,476.0,490.0,481.0,489.0,5200.0,2532055.0,490.0,-1.0
2019-03-27,320.0,494.0,480.0,489.0,5701.0,2753324.0,489.0,0.0
2019-03-28,363.0,498.0,481.0,485.0,3750.0,1818970.0,489.0,-4.0
2019-03-31,324.0,498.0,480.0,483.0,4030.0,1957030.0,485.0,-2.0
2019-04-01,337.0,484.0,476.0,479.0,3680.0,1766180.0,483.0,-4.0
2019-04-02,322.0,483.0,477.0,477.0,4050.0,1941180.0,479.0,-2.0
2019-04-03,277.0,481.0,473.0,480.0,3700.0,1768840.0,477.0,3.0
2019-04-04,169.0,480.0,474.0,477.0,1730.0,824910.0,480.0,-3.0
2019-04-07,191.0,473.0,463.0,466.0,3250.0,1523160.0,477.0,-11.0
2019-04-08,284.0,490.0,459.0,482.0,3120.0,1499460.0,466.0,16.0
2019-04-09,172.0,487.0,474.0,474.0,2260.0,1085010.0,482.0,-8.0
2019-04-10,174.0,477.0,465.0,468.0,2020.0,947460.0,474.0,-6.0
2019-04-11,191.0,473.0,459.0,471.0,2100.0,980490.0,468.0,3.0
2019-04-15,134.0,473.0,462.0,466.0,1710.0,799460.0,471.0,-5.0
2019-04-16,86.0,480.0,463.0,469.0,990.0,468310.0,466.0,3.0
2019-04-17,108.0,487.0,469.0,471.0,2230.0,1055330.0,469.0,2.0
2019-04-18,112.0,479.0,464.0,464.0,1670.0,784170.0,471.0,-7.0
2019-04-21,81.0,479.0,464.0,474.0,1430.0,673920.0,464.0,10.0
2019-04-22,47.0,475.0,465.0,470.0,1350.0,636820.0,474.0,-4.0
2019-04-23,68.0,466.0,457.0,466.0,2434.0,1131004.0,470.0,-4.0
2019-04-24,104.0,468.0,452.0,468.0,1655.0,762300.0,466.0,2.0
2019-04-25,103.0,474.0,462.0,462.0,1980.0,925400.0,468.0,-6.0
2019-04-28,194.0,500.0,460.0,485.0,5761.0,2723480.0,462.0,23.0
2019-04-29,102.0,488.0,467.0,472.0,3909.0,1871435.0,485.0,-13.0
2019-04-30,101.0,475.0,465.0,471.0,1290.0,605650.0,472.0,-1.0
2019-05-02,123.0,471.0,464.0,464.0,2100.0,979040.0,471.0,-7.0
2019-05-05,134.0,470.0,463.0,464.0,1960.0,913560.0,464.0,0.0
2019-05-06,69.0,465.0,460.0,465.0,1420.0,657050.0,464.0,1.0
2019-05-07,93.0,464.0,456.0,464.0,1710.0,788940.0,465.0,-1.0
2019-05-08,51.0,473.0,450.0,470.0,4104.0,1889806.0,464.0,6.0
2019-05-09,67.0,470.0,464.0,469.0,970.0,452750.0,470.0,-1.0
2019-05-12,36.0,467.0,456.0,465.0,370.0,171290.0,469.0,-4.0
2019-05-13,58.0,471.0,460.0,471.0,1050.0,491170.0,465.0,6.0
2019-05-14,47.0,475.0,459.0,466.0,670.0,312630.0,471.0,-5.0
