Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-04-05,2.0,250.0,246.0,250.0,20.0,4960.0,0.0,250.0
2018-04-08,2.0,260.0,255.0,260.0,20.0,5150.0,250.0,10.0
2018-04-09,2.0,270.0,265.0,270.0,20.0,5350.0,260.0,10.0
2018-04-10,2.0,280.0,275.0,280.0,20.0,5550.0,270.0,10.0
2018-04-11,2.0,290.0,285.0,290.0,20.0,5750.0,280.0,10.0
2018-04-12,2.0,300.0,295.0,300.0,20.0,5950.0,290.0,10.0
2018-04-16,1.0,315.0,315.0,315.0,10.0,3150.0,300.0,15.0
2018-04-19,1.0,321.0,321.0,321.0,10.0,3210.0,315.0,6.0
2018-04-26,2.0,333.0,327.0,333.0,20.0,6600.0,321.0,12.0
2018-05-02,1.0,339.0,339.0,339.0,10.0,3390.0,333.0,6.0
2018-05-09,3.0,345.0,345.0,345.0,20.0,6900.0,339.0,6.0
2018-05-14,2.0,0.0,0.0,0.0,10.0,3510.0,345.0,0.0
2018-05-16,1.0,362.0,362.0,362.0,10.0,3620.0,345.0,17.0
2018-05-20,1.0,369.0,369.0,369.0,10.0,3690.0,362.0,7.0
2018-05-22,1.0,376.0,376.0,376.0,10.0,3760.0,369.0,7.0
2018-06-11,4.0,0.0,0.0,0.0,20.0,7650.0,376.0,0.0
2018-06-12,1.0,0.0,0.0,0.0,612.0,856800.0,376.0,0.0
2018-06-17,1.0,383.0,383.0,383.0,10.0,3830.0,376.0,7.0
2018-06-19,4.0,0.0,0.0,0.0,20.0,7800.0,383.0,0.0
2018-06-21,2.0,410.0,402.0,410.0,20.0,8120.0,383.0,27.0
2018-06-24,2.0,438.0,430.0,438.0,20.0,8680.0,410.0,28.0
2018-06-26,1.0,459.0,459.0,459.0,10.0,4590.0,438.0,21.0
2018-07-01,3.0,486.0,468.0,486.0,30.0,14310.0,459.0,27.0
2018-07-04,1.0,495.0,495.0,495.0,10.0,4950.0,486.0,9.0
2018-07-08,4.0,544.0,519.0,544.0,40.0,21310.0,495.0,49.0
2018-07-12,1.0,571.0,571.0,571.0,10.0,5710.0,544.0,27.0
2018-07-15,1.0,582.0,582.0,582.0,10.0,5820.0,571.0,11.0
2018-07-17,1.0,593.0,593.0,593.0,10.0,5930.0,582.0,11.0
2018-07-26,2.0,622.0,622.0,622.0,20.0,12440.0,593.0,29.0
2018-08-02,1.0,634.0,634.0,634.0,10.0,6340.0,622.0,12.0
2018-08-05,1.0,646.0,646.0,646.0,10.0,6460.0,634.0,12.0
2018-08-06,1.0,658.0,658.0,658.0,10.0,6580.0,646.0,12.0
2018-08-07,2.0,684.0,671.0,684.0,20.0,13550.0,658.0,26.0
2018-08-08,1.0,697.0,697.0,697.0,10.0,6970.0,684.0,13.0
2018-08-09,2.0,724.0,710.0,724.0,20.0,14340.0,697.0,27.0
2018-08-12,2.0,752.0,738.0,752.0,20.0,14900.0,724.0,28.0
2018-08-13,3.0,820.0,789.0,820.0,30.0,24130.0,752.0,68.0
2018-08-14,53.0,902.0,836.0,902.0,660.0,593670.0,820.0,82.0
2018-08-15,838.0,930.0,821.0,883.0,9810.0,8644360.0,902.0,-19.0
2018-08-16,369.0,915.0,867.0,895.0,4960.0,4426870.0,883.0,12.0
2018-08-19,120.0,895.0,870.0,870.0,2293.0,2018565.0,895.0,-25.0
2018-08-20,146.0,864.0,841.0,841.0,2070.0,1752690.0,870.0,-29.0
2018-08-21,115.0,840.0,826.0,839.0,1160.0,963770.0,841.0,-2.0
2018-08-22,39.0,839.0,831.0,839.0,653.0,545408.0,839.0,0.0
2018-08-23,32.0,845.0,832.0,836.0,400.0,334960.0,839.0,-3.0
2018-08-26,28.0,840.0,826.0,836.0,280.0,233390.0,836.0,0.0
2018-08-28,66.0,837.0,815.0,817.0,1000.0,825760.0,836.0,-19.0
2018-08-29,40.0,820.0,810.0,820.0,400.0,326140.0,817.0,3.0
2018-08-30,42.0,861.0,806.0,861.0,700.0,576270.0,820.0,41.0
2018-09-02,42.0,855.0,839.0,840.0,1007.0,847160.0,861.0,-21.0
2018-09-03,55.0,865.0,840.0,850.0,2023.0,1728514.0,840.0,10.0
2018-09-04,55.0,866.0,835.0,835.0,1460.0,1250770.0,850.0,-15.0
2018-09-05,124.0,880.0,850.0,880.0,1577.0,1366790.0,835.0,45.0
2018-09-06,83.0,897.0,855.0,873.0,2610.0,2296765.0,880.0,-7.0
2018-09-09,82.0,904.0,860.0,891.0,1520.0,1358460.0,873.0,18.0
2018-09-10,186.0,963.0,885.0,963.0,5114.0,4703042.0,891.0,72.0
2018-09-11,99.0,1000.0,915.0,923.0,3351.0,3135357.0,963.0,-40.0
2018-09-12,63.0,948.0,912.0,922.0,1105.0,1027110.0,923.0,-1.0
2018-09-13,47.0,940.0,917.0,920.0,1820.0,1682000.0,922.0,-2.0
2018-09-16,28.0,930.0,919.0,924.0,1170.0,1080000.0,920.0,4.0
2018-09-17,51.0,935.0,910.0,910.0,1075.0,991070.0,924.0,-14.0
2018-09-18,30.0,930.0,911.0,911.0,810.0,742790.0,910.0,1.0
2018-09-20,36.0,930.0,905.0,905.0,730.0,663320.0,911.0,-6.0
2018-09-23,50.0,929.0,905.0,920.0,1115.0,1022040.0,905.0,15.0
2018-09-25,33.0,922.0,905.0,911.0,895.0,815135.0,920.0,-9.0
2018-09-26,37.0,915.0,901.0,915.0,560.0,507390.0,911.0,4.0
2018-09-27,26.0,915.0,899.0,906.0,340.0,308790.0,915.0,-9.0
2018-09-30,31.0,905.0,895.0,895.0,357.0,321152.0,906.0,-11.0
2018-10-01,27.0,905.0,881.0,886.0,560.0,497520.0,895.0,-9.0
2018-10-02,22.0,891.0,880.0,888.0,240.0,212700.0,886.0,2.0
2018-10-03,31.0,890.0,875.0,885.0,450.0,395740.0,888.0,-3.0
2018-10-04,29.0,889.0,866.0,867.0,380.0,332610.0,885.0,-18.0
2018-10-07,28.0,870.0,858.0,858.0,280.0,241070.0,867.0,-9.0
2018-10-08,20.0,870.0,850.0,870.0,290.0,250660.0,858.0,12.0
2018-10-09,38.0,869.0,856.0,861.0,420.0,362060.0,870.0,-9.0
2018-10-10,34.0,870.0,851.0,855.0,460.0,394590.0,861.0,-6.0
2018-10-11,25.0,870.0,845.0,870.0,258.0,220652.0,855.0,15.0
2018-10-14,41.0,915.0,882.0,891.0,1325.0,1196710.0,870.0,21.0
2018-10-15,62.0,919.0,883.0,890.0,1070.0,964260.0,891.0,-1.0
2018-10-21,9.0,884.0,875.0,880.0,90.0,79340.0,890.0,-10.0
2018-10-22,23.0,913.0,879.0,885.0,260.0,230740.0,880.0,5.0
2018-10-23,26.0,902.0,867.0,870.0,330.0,287690.0,885.0,-15.0
2018-10-24,17.0,880.0,862.0,880.0,260.0,225210.0,870.0,10.0
2018-10-25,30.0,887.0,858.0,860.0,1833.0,1582495.0,880.0,-20.0
2018-10-28,49.0,870.0,835.0,839.0,870.0,732600.0,860.0,-21.0
2018-10-29,17.0,840.0,830.0,840.0,170.0,142350.0,839.0,1.0
2018-10-30,38.0,855.0,824.0,840.0,497.0,416110.0,840.0,0.0
2018-10-31,24.0,855.0,820.0,854.0,375.0,314180.0,840.0,14.0
2018-11-01,60.0,877.0,840.0,877.0,1240.0,1053920.0,854.0,23.0
2018-11-04,63.0,900.0,860.0,900.0,1281.0,1135511.0,877.0,23.0
2018-11-05,36.0,905.0,880.0,905.0,650.0,582220.0,900.0,5.0
2018-11-06,5.0,900.0,890.0,890.0,50.0,44630.0,905.0,-15.0
2018-11-11,26.0,890.0,853.0,853.0,1115.0,979505.0,890.0,-37.0
2018-11-12,84.0,853.0,768.0,780.0,1200.0,939239.0,853.0,-73.0
2018-11-13,72.0,821.0,770.0,819.0,950.0,765300.0,780.0,39.0
2018-11-14,43.0,825.0,811.0,813.0,530.0,433320.0,819.0,-6.0
2018-11-15,17.0,829.0,806.0,816.0,420.0,345990.0,813.0,3.0
2018-11-18,32.0,830.0,783.0,786.0,510.0,416690.0,816.0,-30.0
2018-11-19,38.0,786.0,759.0,774.0,760.0,584590.0,786.0,-12.0
2018-11-20,14.0,785.0,760.0,760.0,290.0,221860.0,774.0,-14.0
2018-11-21,17.0,775.0,746.0,775.0,170.0,129870.0,760.0,15.0
2018-11-22,32.0,800.0,760.0,791.0,540.0,419800.0,775.0,16.0
2018-11-25,25.0,791.0,747.0,747.0,595.0,454050.0,791.0,-44.0
2018-11-26,31.0,750.0,738.0,740.0,2310.0,1712150.0,747.0,-7.0
2018-11-27,18.0,754.0,730.0,745.0,1030.0,770110.0,740.0,5.0
2018-11-28,28.0,745.0,731.0,733.0,540.0,397180.0,745.0,-12.0
2018-11-29,28.0,733.0,705.0,710.0,680.0,489720.0,733.0,-23.0
2018-12-02,12.0,724.0,657.0,657.0,190.0,130340.0,710.0,-53.0
2018-12-03,37.0,670.0,625.0,637.0,2703.0,1736829.0,657.0,-20.0
2018-12-04,30.0,637.0,608.0,608.0,1170.0,725400.0,637.0,-29.0
2018-12-05,33.0,608.0,590.0,601.0,610.0,365130.0,608.0,-7.0
2018-12-06,34.0,601.0,577.0,580.0,960.0,561760.0,601.0,-21.0
2018-12-09,5.0,580.0,571.0,580.0,763.0,442450.0,580.0,0.0
2018-12-10,20.0,602.0,580.0,590.0,1620.0,965860.0,580.0,10.0
2018-12-11,15.0,615.0,590.0,614.0,660.0,403820.0,590.0,24.0
2018-12-12,14.0,614.0,595.0,605.0,230.0,138690.0,614.0,-9.0
2018-12-13,6.0,622.0,593.0,622.0,673.0,411496.0,605.0,17.0
2018-12-16,42.0,684.0,622.0,684.0,1240.0,835830.0,622.0,62.0
2018-12-17,55.0,752.0,684.0,747.0,2090.0,1517070.0,684.0,63.0
2018-12-18,79.0,776.0,733.0,759.0,3310.0,2490154.0,747.0,12.0
2018-12-19,35.0,788.0,750.0,751.0,855.0,649190.0,759.0,-8.0
2018-12-20,19.0,781.0,750.0,752.0,385.0,291390.0,751.0,1.0
2018-12-23,31.0,780.0,752.0,755.0,1413.0,1085630.0,752.0,3.0
2018-12-24,32.0,760.0,740.0,740.0,1240.0,924355.0,755.0,-15.0
2018-12-25,25.0,740.0,721.0,740.0,713.0,523405.0,740.0,0.0
2018-12-26,19.0,748.0,726.0,748.0,270.0,199520.0,740.0,8.0
2018-12-27,27.0,765.0,731.0,731.0,1780.0,1331730.0,748.0,-17.0
2018-12-30,15.0,731.0,720.0,730.0,350.0,254880.0,731.0,-1.0
2018-12-31,10.0,734.0,715.0,720.0,200.0,144350.0,730.0,-10.0
2019-01-01,27.0,735.0,716.0,735.0,370.0,268660.0,720.0,15.0
2019-01-02,6.0,735.0,707.0,730.0,250.0,182050.0,735.0,-5.0
2019-01-03,21.0,730.0,693.0,720.0,1075.0,762040.0,730.0,-10.0
2019-01-06,18.0,720.0,690.0,700.0,370.0,257550.0,720.0,-20.0
2019-01-07,7.0,715.0,691.0,691.0,520.0,362220.0,700.0,-9.0
2019-01-08,54.0,760.0,691.0,760.0,1807.0,1338935.0,691.0,69.0
2019-01-09,34.0,790.0,755.0,760.0,1370.0,1046335.0,760.0,0.0
2019-01-10,17.0,775.0,746.0,773.0,280.0,212780.0,760.0,13.0
2019-01-13,5.0,773.0,730.0,730.0,50.0,36910.0,773.0,-43.0
2019-01-14,15.0,740.0,722.0,740.0,250.0,182360.0,730.0,10.0
2019-01-15,12.0,755.0,727.0,740.0,630.0,466110.0,740.0,0.0
2019-01-16,20.0,742.0,736.0,736.0,270.0,199690.0,740.0,-4.0
2019-01-17,13.0,736.0,723.0,725.0,330.0,239300.0,736.0,-11.0
2019-01-20,10.0,725.0,711.0,725.0,120.0,85680.0,725.0,0.0
2019-01-21,19.0,726.0,711.0,726.0,300.0,215320.0,725.0,1.0
2019-01-22,23.0,742.0,712.0,715.0,510.0,372100.0,726.0,-11.0
2019-01-23,22.0,726.0,707.0,712.0,715.0,514990.0,715.0,-3.0
2019-01-24,8.0,726.0,706.0,715.0,80.0,56960.0,712.0,3.0
2019-01-27,24.0,720.0,703.0,711.0,250.0,177940.0,715.0,-4.0
2019-01-28,26.0,742.0,711.0,739.0,330.0,239850.0,711.0,28.0
2019-01-29,27.0,740.0,725.0,728.0,440.0,321040.0,739.0,-11.0
2019-01-30,11.0,728.0,715.0,721.0,110.0,79280.0,728.0,-7.0
2019-01-31,29.0,751.0,709.0,751.0,720.0,528930.0,721.0,30.0
2019-02-03,13.0,751.0,725.0,728.0,400.0,294450.0,751.0,-23.0
2019-02-04,13.0,728.0,715.0,718.0,130.0,93270.0,728.0,-10.0
2019-02-05,16.0,720.0,710.0,720.0,170.0,121930.0,718.0,2.0
2019-02-06,19.0,737.0,720.0,723.0,690.0,504070.0,720.0,3.0
2019-02-07,17.0,723.0,709.0,710.0,210.0,149370.0,723.0,-13.0
2019-02-10,14.0,716.0,696.0,703.0,170.0,119880.0,710.0,-7.0
2019-02-11,10.0,710.0,691.0,710.0,100.0,70190.0,703.0,7.0
2019-02-12,13.0,724.0,703.0,710.0,130.0,92250.0,710.0,0.0
2019-02-13,21.0,710.0,696.0,700.0,855.0,602405.0,710.0,-10.0
2019-02-14,11.0,700.0,686.0,692.0,210.0,144690.0,700.0,-8.0
2019-02-17,13.0,700.0,682.0,695.0,130.0,89910.0,692.0,3.0
2019-02-18,13.0,695.0,683.0,692.0,130.0,89280.0,695.0,-3.0
2019-02-19,26.0,703.0,676.0,703.0,360.0,247930.0,692.0,11.0
2019-02-20,3.0,703.0,690.0,690.0,70.0,48330.0,703.0,-13.0
2019-02-21,20.0,693.0,678.0,693.0,200.0,137080.0,690.0,3.0
