Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-11-18,2.0,307.0,301.0,307.0,52.0,15808.0,0.0,307.0
2015-11-19,4.0,331.0,313.0,331.0,104.0,33488.0,307.0,24.0
2015-11-22,40.0,364.0,337.0,364.0,768.0,277628.0,331.0,33.0
2015-11-23,585.0,400.0,371.0,400.0,12360.0,4942162.0,364.0,36.0
2015-11-24,2146.0,437.0,415.0,430.0,46262.0,19670392.0,400.0,30.0
2015-11-25,1333.0,434.0,403.0,406.0,25625.0,10629219.0,430.0,-24.0
2015-11-26,779.0,400.0,390.0,395.0,14443.0,5695725.0,406.0,-11.0
2015-11-29,737.0,388.0,376.0,381.0,15706.0,5983040.0,395.0,-14.0
2015-11-30,407.0,397.0,380.0,384.0,9790.0,3776698.0,381.0,3.0
2015-12-01,534.0,400.0,381.0,400.0,11114.0,4362679.0,384.0,16.0
2015-12-02,497.0,405.0,390.0,398.0,11339.0,4506235.0,400.0,-2.0
2015-12-03,306.0,401.0,387.0,392.0,11281.0,4443848.0,398.0,-6.0
2015-12-06,724.0,401.0,388.0,398.0,14631.0,5814474.0,392.0,6.0
2015-12-07,770.0,408.0,395.0,397.0,16125.0,6439248.0,398.0,-1.0
2015-12-08,571.0,402.0,391.0,399.0,11962.0,4759243.0,397.0,2.0
2015-12-09,683.0,412.0,394.0,412.0,14731.0,5889411.0,399.0,13.0
2015-12-10,499.0,410.0,398.0,400.0,13958.0,5604320.0,412.0,-12.0
2015-12-13,1045.0,401.0,393.0,400.0,23721.0,9482444.0,400.0,0.0
2015-12-14,998.0,400.0,398.0,398.0,24112.0,9633905.0,400.0,-2.0
2015-12-15,420.0,400.0,390.0,391.0,8414.0,3318860.0,398.0,-7.0
2015-12-16,779.0,400.0,390.0,393.0,16529.0,6529767.0,391.0,2.0
2015-12-17,402.0,399.0,386.0,391.0,12164.0,4763233.0,393.0,-2.0
2015-12-20,370.0,395.0,382.0,389.0,7578.0,2933769.0,391.0,-2.0
2015-12-21,360.0,389.0,376.0,378.0,6813.0,2597003.0,389.0,-11.0
2015-12-22,301.0,380.0,364.0,370.0,7114.0,2649297.0,378.0,-8.0
2015-12-23,451.0,376.0,366.0,372.0,12488.0,4630233.0,370.0,2.0
2015-12-24,592.0,385.0,365.0,379.0,11983.0,4449080.0,372.0,7.0
2015-12-27,463.0,385.0,366.0,385.0,9016.0,3345931.0,379.0,6.0
2015-12-28,517.0,380.0,370.0,371.0,10572.0,3947314.0,385.0,-14.0
2015-12-29,655.0,381.0,368.0,372.0,13555.0,5029450.0,371.0,1.0
2015-12-31,565.0,381.0,368.0,370.0,11336.0,4216637.0,372.0,-2.0
2016-01-03,592.0,377.0,362.0,369.0,11849.0,4375998.0,370.0,-1.0
2016-01-04,449.0,373.0,358.0,368.0,9183.0,3351712.0,369.0,-1.0
2016-01-05,1082.0,375.0,350.0,375.0,27876.0,10117332.0,368.0,7.0
2016-01-06,1000.0,375.0,353.0,360.0,21477.0,7864631.0,375.0,-15.0
2016-01-07,827.0,377.0,356.0,368.0,16005.0,5872918.0,360.0,8.0
2016-01-10,1509.0,380.0,361.0,378.0,29492.0,10917607.0,368.0,10.0
2016-01-11,1370.0,383.0,370.0,376.0,30518.0,11377998.0,378.0,-2.0
2016-01-12,1644.0,400.0,370.0,400.0,35468.0,13408785.0,376.0,24.0
2016-01-13,1172.0,405.0,378.0,394.0,26417.0,10359766.0,400.0,-6.0
2016-01-14,1397.0,400.0,379.0,390.0,29503.0,11431453.0,394.0,-4.0
2016-01-24,16.0,429.0,397.0,429.0,3250.0,1390050.0,390.0,39.0
2016-01-25,30.0,471.0,437.0,454.0,4993.0,2312342.0,429.0,25.0
2016-01-26,18.0,455.0,446.0,448.0,3463.0,1561100.0,454.0,-6.0
2016-01-27,24.0,445.0,432.0,432.0,2889.0,1261906.0,448.0,-16.0
2016-01-28,14.0,445.0,430.0,430.0,4905.0,2142909.0,432.0,-2.0
