Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,2.0,134.0,132.0,132.0,1020.0,134680.0,136.0,-4.0
2012-06-14,2.0,130.0,130.0,130.0,50.0,6500.0,132.0,-2.0
2012-07-02,1.0,128.0,128.0,128.0,10.0,1280.0,130.0,-2.0
2012-07-03,4.0,126.0,123.0,123.0,82.0,10229.0,128.0,-5.0
2012-07-15,12.0,121.0,111.0,111.0,447.0,50585.0,123.0,-12.0
2012-07-16,18.0,109.0,101.0,102.0,1884.0,192154.0,111.0,-9.0
2012-07-17,22.0,107.0,103.0,107.0,2576.0,270442.0,102.0,5.0
2012-07-18,15.0,109.0,106.0,108.0,670.0,72030.0,107.0,1.0
2012-07-19,8.0,106.0,104.0,104.0,300.0,31340.0,108.0,-4.0
2012-07-22,13.0,110.0,106.0,109.0,2154.0,232132.0,104.0,5.0
2012-07-23,10.0,109.0,105.0,107.0,2282.0,243920.0,109.0,-2.0
