Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,2.0,88.0,87.0,88.0,40.0,3500.0,88.0,0.0
2012-06-05,5.0,88.0,88.0,88.0,190.0,16720.0,88.0,0.0
2012-06-06,33.0,96.0,87.0,96.0,1330.0,117440.0,88.0,8.0
2012-06-07,37.0,102.0,93.0,100.0,2130.0,200630.0,96.0,4.0
2013-11-26,1.0,102.0,102.0,102.0,30.0,3060.0,100.0,2.0
2013-12-03,13.0,108.0,102.0,107.0,420.0,44460.0,102.0,5.0
2013-12-04,9.0,117.0,109.0,117.0,1210.0,137690.0,107.0,10.0
2013-12-05,22.0,127.0,119.0,125.0,4090.0,508470.0,117.0,8.0
2013-12-08,64.0,132.0,127.0,128.0,5190.0,672630.0,125.0,3.0
2013-12-09,73.0,141.0,126.0,141.0,9520.0,1313720.0,128.0,13.0
2013-12-10,71.0,149.0,139.0,139.0,4360.0,625540.0,141.0,-2.0
2013-12-11,25.0,137.0,126.0,126.0,1470.0,187520.0,139.0,-13.0
2013-12-12,68.0,127.0,120.0,124.0,2830.0,348660.0,126.0,-2.0
2013-12-15,58.0,136.0,124.0,136.0,2710.0,347130.0,124.0,12.0
2013-12-16,12.0,148.0,138.0,148.0,420.0,59670.0,136.0,12.0
2013-12-18,26.0,150.0,148.0,150.0,2770.0,414080.0,148.0,2.0
2013-12-19,54.0,156.0,147.0,156.0,4280.0,647650.0,150.0,6.0
2013-12-22,22.0,153.0,148.0,148.0,1340.0,201920.0,156.0,-8.0
2013-12-23,19.0,146.0,140.0,140.0,850.0,122640.0,148.0,-8.0
2013-12-24,63.0,144.0,136.0,136.0,5030.0,707490.0,140.0,-4.0
2013-12-26,45.0,145.0,134.0,140.0,3810.0,534200.0,136.0,4.0
2013-12-29,136.0,144.0,134.0,137.0,9470.0,1327250.0,140.0,-3.0
2014-01-05,19.0,133.0,131.0,131.0,990.0,130910.0,137.0,-6.0
2014-01-12,3.0,129.0,129.0,129.0,240.0,30960.0,131.0,-2.0
2014-01-13,19.0,128.0,127.0,127.0,870.0,110960.0,129.0,-2.0
2014-01-14,8.0,125.0,123.0,123.0,430.0,53370.0,127.0,-4.0
2014-01-16,19.0,121.0,113.0,113.0,2610.0,301500.0,123.0,-10.0
2014-01-19,5.0,115.0,113.0,113.0,210.0,23770.0,113.0,0.0
2014-01-20,6.0,111.0,107.0,107.0,240.0,26520.0,113.0,-6.0
2014-01-21,41.0,112.0,105.0,110.0,1470.0,160930.0,107.0,3.0
2014-01-22,24.0,116.0,108.0,116.0,2410.0,271300.0,110.0,6.0
2014-01-23,55.0,120.0,112.0,119.0,4680.0,545240.0,116.0,3.0
2014-01-26,39.0,130.0,113.0,130.0,2800.0,348540.0,119.0,11.0
2014-01-27,26.0,142.0,128.0,140.0,3230.0,437400.0,130.0,10.0
2014-01-28,11.0,142.0,136.0,136.0,260.0,36160.0,140.0,-4.0
2014-01-29,15.0,134.0,128.0,128.0,620.0,81680.0,136.0,-8.0
2014-02-02,4.0,126.0,124.0,124.0,210.0,26220.0,128.0,-4.0
2014-02-03,21.0,122.0,118.0,118.0,3060.0,365920.0,124.0,-6.0
2014-02-04,19.0,118.0,114.0,117.0,1320.0,154020.0,118.0,-1.0
2014-02-05,62.0,121.0,112.0,120.0,2750.0,323420.0,117.0,3.0
2014-02-06,43.0,131.0,120.0,131.0,1100.0,135120.0,120.0,11.0
2014-02-09,40.0,132.0,123.0,123.0,1940.0,246960.0,131.0,-8.0
2014-02-10,37.0,128.0,125.0,127.0,1380.0,174160.0,123.0,4.0
2014-02-11,62.0,137.0,127.0,135.0,8460.0,1128310.0,127.0,8.0
2014-02-12,33.0,138.0,132.0,137.0,2340.0,316380.0,135.0,2.0
2014-02-13,14.0,135.0,131.0,131.0,1220.0,159980.0,137.0,-6.0
2014-02-16,28.0,135.0,133.0,135.0,1000.0,133560.0,131.0,4.0
2014-02-17,31.0,141.0,137.0,140.0,2060.0,286800.0,135.0,5.0
2014-02-18,19.0,148.0,139.0,146.0,1350.0,193840.0,140.0,6.0
2014-02-20,9.0,148.0,144.0,147.0,1430.0,210770.0,146.0,1.0
2014-02-23,26.0,151.0,147.0,149.0,3070.0,457820.0,147.0,2.0
2014-02-24,4.0,147.0,147.0,147.0,100.0,14700.0,149.0,-2.0
