Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-03-09,1.0,385.0,385.0,385.0,15130.0,5825050.0,0.0,385.0
2014-04-23,1.0,378.0,378.0,378.0,9385.0,3547530.0,385.0,-7.0
2014-04-27,5.0,371.0,350.0,350.0,178800.0,62580840.0,378.0,-28.0
2014-05-22,3.0,344.0,338.0,338.0,62508.0,21187704.0,350.0,-12.0
2014-05-27,2.0,332.0,326.0,326.0,51578.0,16917586.0,338.0,-12.0
2014-06-01,2.0,320.0,315.0,315.0,26577.0,8457715.0,326.0,-11.0
2014-06-02,1.0,310.0,310.0,310.0,20630.0,6395300.0,315.0,-5.0
2014-11-12,1.0,0.0,0.0,551.0,108312.0,59679912.0,310.0,0.0
2014-11-13,1.0,317.0,317.0,317.0,7221.0,2289057.0,551.0,-234.0
2015-01-06,1.0,323.0,323.0,323.0,27508.0,8885084.0,317.0,6.0
2015-01-22,1.0,323.0,323.0,323.0,25000.0,8075000.0,323.0,0.0
2015-01-25,1.0,329.0,329.0,329.0,11105.0,3653545.0,323.0,6.0
2015-03-04,3.0,347.0,335.0,347.0,15000.0,5111652.0,329.0,18.0
2015-03-09,4.0,374.0,353.0,374.0,23544.0,8441855.0,347.0,27.0
2015-03-10,4.0,402.0,381.0,402.0,400.0,156600.0,374.0,28.0
2015-03-11,4.0,434.0,410.0,434.0,400.0,168800.0,402.0,32.0
2015-03-12,2.0,450.0,442.0,450.0,200.0,89200.0,434.0,16.0
2015-03-16,4.0,486.0,459.0,486.0,400.0,189000.0,450.0,36.0
2015-03-17,4.0,524.0,495.0,524.0,400.0,203700.0,486.0,38.0
2015-03-18,5.0,561.0,534.0,561.0,75300.0,42238200.0,524.0,37.0
2015-03-19,2.0,570.0,561.0,570.0,22900.0,13026900.0,561.0,9.0
2015-07-08,1.0,490.0,490.0,490.0,18000.0,8820000.0,500.0,-10.0
2015-10-11,9.0,575.0,551.0,575.0,42805.0,23586275.0,575.0,0.0
2016-03-30,2.0,710.0,710.0,710.0,41096.0,29178160.0,710.0,0.0
2016-04-21,1.0,724.0,724.0,724.0,2108.0,1526192.0,710.0,14.0
2016-09-26,3.0,860.0,860.0,860.0,52125.0,44827500.0,860.0,0.0
2016-11-27,3.0,850.0,850.0,850.0,8836.0,7510600.0,860.0,-10.0
2017-01-24,1.0,833.0,833.0,833.0,28239.0,23523087.0,850.0,-17.0
2017-05-15,1.0,817.0,817.0,817.0,75000.0,61275000.0,833.0,-16.0
2017-06-01,2.0,801.0,800.0,800.0,77933.0,62364333.0,817.0,-17.0
2017-06-05,1.0,800.0,800.0,800.0,60000.0,48000000.0,800.0,0.0
2017-09-13,1.0,800.0,800.0,800.0,24000.0,19200000.0,800.0,0.0
2017-10-16,1.0,800.0,800.0,800.0,22268.0,17814400.0,800.0,0.0
2017-10-30,1.0,800.0,800.0,800.0,3855.0,3084000.0,800.0,0.0
2018-01-04,8.0,785.0,720.0,720.0,166017.0,122695795.0,800.0,-80.0
2018-01-09,2.0,720.0,719.0,720.0,14000.0,10079500.0,720.0,0.0
2018-01-21,2.0,706.0,700.0,700.0,13182.0,9246492.0,720.0,-20.0
2018-09-06,3.0,350.0,350.0,350.0,159297.0,55753950.0,350.0,0.0
2018-09-20,2.0,350.0,350.0,350.0,32760.0,11466000.0,350.0,0.0
2018-12-10,2.0,350.0,350.0,350.0,55673.0,19485550.0,350.0,0.0
2019-02-03,1.0,350.0,350.0,350.0,6751.0,2362850.0,350.0,0.0
2019-05-16,2.0,262.0,262.0,262.0,140800.0,36889600.0,262.0,0.0
2019-05-22,1.0,262.0,262.0,262.0,35138.0,9206156.0,262.0,0.0
2019-10-15,1.0,262.0,262.0,262.0,140800.0,36960000.0,262.0,0.0
2019-12-19,1.0,260.0,260.0,260.0,27500.0,7150000.0,262.0,-2.0
2020-01-16,1.0,260.0,260.0,260.0,37440.0,9734400.0,260.0,0.0
2020-02-05,2.0,260.0,260.0,260.0,50000.0,13000000.0,260.0,0.0
2020-06-29,1.0,260.0,260.0,260.0,25000.0,6500000.0,260.0,0.0
2020-08-31,2.0,391.0,391.0,391.0,150000.0,58650000.0,391.0,0.0
2020-09-06,1.0,391.0,391.0,391.0,55576.0,21730216.0,391.0,0.0
2020-10-11,1.0,384.0,384.0,384.0,16755.0,6433920.0,391.0,-7.0
2020-11-18,1.0,384.0,384.0,384.0,178410.0,19625100.0,384.0,0.0
2020-12-03,2.0,380.0,380.0,380.0,200000.0,76000000.0,384.0,-4.0
2020-12-28,1.0,380.0,380.0,380.0,5988.0,2275440.0,380.0,0.0
2021-01-18,1.0,380.0,380.0,380.0,2285.0,868300.0,380.0,0.0
2021-07-27,3.0,697.0,697.0,697.0,216000.0,139182660.0,697.0,0.0
2021-07-28,1.0,697.0,697.0,697.0,50000.0,34850000.0,697.0,0.0
2021-09-14,2.0,683.1,670.0,670.0,20000.0,13401310.0,697.0,-27.0
2021-09-20,1.0,657.0,657.0,657.0,10000.0,6570000.0,670.0,-13.0
2021-11-30,1.0,679.0,679.0,679.0,3648.0,2476992.0,679.0,0.0
2022-01-19,2.0,679.0,679.0,679.0,140800.0,70537984.0,679.0,0.0
2022-07-03,1.0,317.0,317.0,317.0,94095.0,29828115.0,317.0,0.0
