Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-05-02,12.0,80.0,74.0,74.0,582.0,43830.0,81.0,-7.0
2013-05-06,1.0,73.0,73.0,73.0,140.0,10220.0,74.0,-1.0
2013-05-07,26.0,72.0,66.0,66.0,10472.0,701179.0,73.0,-7.0
2013-05-08,42.0,68.0,65.0,66.0,4104.0,272293.0,66.0,0.0
2013-05-09,23.0,65.0,63.0,65.0,1775.0,114294.0,66.0,-1.0
2013-05-12,9.0,64.0,63.0,63.0,852.0,53868.0,65.0,-2.0
2013-05-13,12.0,65.0,63.0,64.0,516.0,33166.0,63.0,1.0
2013-05-14,22.0,69.0,64.0,68.0,1391.0,91994.0,64.0,4.0
2013-05-15,11.0,70.0,67.0,68.0,504.0,34436.0,68.0,0.0
2013-05-16,9.0,69.0,68.0,69.0,506.0,34664.0,68.0,1.0
2013-05-19,19.0,73.0,70.0,73.0,2492.0,180155.0,69.0,4.0
2013-05-20,20.0,74.0,71.0,74.0,1295.0,93751.0,73.0,1.0
2013-05-21,17.0,73.0,69.0,70.0,1204.0,84198.0,74.0,-4.0
2013-05-22,27.0,76.0,70.0,76.0,3275.0,230914.0,70.0,6.0
2013-05-23,28.0,77.0,74.0,74.0,1689.0,126576.0,76.0,-2.0
2013-05-26,10.0,74.0,72.0,73.0,960.0,70007.0,74.0,-1.0
2013-05-27,35.0,80.0,72.0,80.0,2343.0,177053.0,73.0,7.0
2013-05-28,13.0,81.0,78.0,80.0,1042.0,83434.0,80.0,0.0
2013-05-30,12.0,80.0,78.0,79.0,1995.0,158290.0,80.0,-1.0
2013-06-02,7.0,78.0,74.0,75.0,185.0,13961.0,79.0,-4.0
2013-06-03,14.0,77.0,74.0,77.0,462.0,35052.0,75.0,2.0
2013-06-04,6.0,76.0,75.0,75.0,1721.0,129086.0,77.0,-2.0
2013-06-05,16.0,78.0,75.0,78.0,910.0,69968.0,75.0,3.0
2013-06-06,26.0,84.0,79.0,83.0,8366.0,666646.0,78.0,5.0
2013-06-09,19.0,83.0,80.0,80.0,2348.0,192305.0,83.0,-3.0
2013-06-10,9.0,79.0,77.0,78.0,357.0,28113.0,80.0,-2.0
2013-06-11,11.0,81.0,79.0,81.0,1341.0,107586.0,78.0,3.0
2013-06-12,26.0,81.0,78.0,80.0,481.0,38300.0,81.0,-1.0
2013-06-13,13.0,80.0,80.0,80.0,263.0,21040.0,80.0,0.0
2013-06-17,5.0,79.0,77.0,77.0,88.0,6866.0,80.0,-3.0
2013-06-18,14.0,78.0,76.0,76.0,1342.0,102834.0,77.0,-1.0
2013-06-19,6.0,77.0,76.0,77.0,319.0,24379.0,76.0,1.0
2013-06-20,13.0,76.0,72.0,72.0,3754.0,274878.0,77.0,-5.0
2013-06-23,19.0,73.0,71.0,73.0,6550.0,473255.0,72.0,1.0
2013-06-24,13.0,73.0,71.0,72.0,3107.0,223214.0,73.0,-1.0
2013-06-25,13.0,73.0,71.0,72.0,908.0,65445.0,72.0,0.0
2013-06-26,11.0,74.0,73.0,73.0,783.0,57385.0,72.0,1.0
2013-06-27,14.0,75.0,73.0,75.0,543.0,40138.0,73.0,2.0
2013-06-30,23.0,75.0,73.0,75.0,912.0,67943.0,75.0,0.0
2013-07-01,14.0,78.0,76.0,77.0,2122.0,163110.0,75.0,2.0
2013-07-02,12.0,79.0,77.0,77.0,1155.0,91054.0,77.0,0.0
2013-07-03,7.0,78.0,76.0,76.0,631.0,48596.0,77.0,-1.0
2013-07-04,8.0,77.0,76.0,77.0,1945.0,149380.0,76.0,1.0
2013-07-07,5.0,79.0,78.0,78.0,289.0,22647.0,77.0,1.0
2013-07-08,10.0,79.0,78.0,78.0,714.0,55970.0,78.0,0.0
2013-07-09,12.0,85.0,79.0,85.0,1431.0,120665.0,78.0,7.0
2013-07-10,19.0,90.0,84.0,90.0,1593.0,141585.0,85.0,5.0
2013-07-11,16.0,92.0,90.0,90.0,1445.0,131275.0,90.0,0.0
2013-07-14,3.0,89.0,88.0,88.0,79.0,7020.0,90.0,-2.0
2013-07-15,7.0,88.0,87.0,88.0,805.0,70210.0,88.0,0.0
2013-07-16,16.0,87.0,82.0,82.0,1681.0,140326.0,88.0,-6.0
2013-07-17,7.0,85.0,83.0,85.0,1069.0,90366.0,82.0,3.0
2013-07-18,16.0,87.0,85.0,87.0,1386.0,119689.0,85.0,2.0
2013-07-21,1.0,88.0,88.0,88.0,100.0,8800.0,87.0,1.0
2013-07-22,3.0,87.0,86.0,86.0,136.0,11740.0,88.0,-2.0
2013-07-23,6.0,87.0,84.0,87.0,748.0,63395.0,86.0,1.0
2013-07-24,2.0,86.0,86.0,86.0,46.0,3956.0,87.0,-1.0
2013-07-25,10.0,88.0,85.0,87.0,2721.0,234953.0,86.0,1.0
2013-07-28,12.0,87.0,85.0,85.0,878.0,75312.0,87.0,-2.0
2013-07-29,2.0,84.0,84.0,84.0,132.0,11088.0,85.0,-1.0
2013-07-30,23.0,83.0,81.0,83.0,961.0,78840.0,84.0,-1.0
2013-07-31,7.0,83.0,81.0,82.0,128.0,10500.0,83.0,-1.0
2013-08-01,4.0,81.0,79.0,79.0,300.0,24070.0,82.0,-3.0
2013-08-04,11.0,79.0,77.0,78.0,741.0,57493.0,79.0,-1.0
2013-08-05,17.0,83.0,78.0,83.0,1913.0,152333.0,78.0,5.0
2013-08-06,5.0,82.0,80.0,80.0,273.0,22131.0,83.0,-3.0
2013-08-07,14.0,82.0,80.0,81.0,624.0,50466.0,80.0,1.0
2013-08-08,29.0,88.0,80.0,86.0,4098.0,343551.0,81.0,5.0
2013-08-11,26.0,91.0,87.0,90.0,5556.0,498451.0,86.0,4.0
2013-08-12,24.0,92.0,90.0,92.0,4757.0,432268.0,90.0,2.0
2013-08-13,10.0,92.0,90.0,91.0,1546.0,139950.0,92.0,-1.0
2013-08-14,16.0,92.0,89.0,91.0,1756.0,157633.0,91.0,0.0
2013-08-15,25.0,92.0,89.0,89.0,2546.0,229657.0,91.0,-2.0
2013-08-18,16.0,93.0,90.0,92.0,2342.0,214825.0,89.0,3.0
2013-08-19,24.0,101.0,92.0,100.0,3401.0,333392.0,92.0,8.0
2013-08-20,11.0,102.0,98.0,98.0,2209.0,220060.0,100.0,-2.0
2013-08-25,1.0,98.0,98.0,98.0,35.0,3430.0,98.0,0.0
2013-08-26,3.0,98.0,97.0,98.0,100.0,9780.0,98.0,0.0
2013-09-03,12.0,97.0,97.0,97.0,139.0,13483.0,98.0,-1.0
2013-09-08,3.0,96.0,95.0,95.0,184.0,17653.0,97.0,-2.0
2013-09-10,2.0,94.0,93.0,93.0,22.0,2057.0,95.0,-2.0
2013-09-11,11.0,92.0,84.0,84.0,441.0,38599.0,93.0,-9.0
2013-09-12,16.0,83.0,76.0,79.0,851.0,66117.0,84.0,-5.0
2013-09-15,15.0,81.0,78.0,78.0,1683.0,134166.0,79.0,-1.0
2013-09-16,2.0,77.0,77.0,77.0,32.0,2464.0,78.0,-1.0
2013-09-17,16.0,77.0,75.0,77.0,4630.0,352822.0,77.0,0.0
2013-09-19,18.0,82.0,77.0,82.0,2930.0,234225.0,77.0,5.0
2013-09-22,23.0,81.0,78.0,79.0,2151.0,170151.0,82.0,-3.0
2013-09-23,6.0,80.0,77.0,77.0,276.0,21764.0,79.0,-2.0
2013-09-24,5.0,78.0,77.0,77.0,55.0,4257.0,77.0,0.0
2013-09-25,27.0,78.0,76.0,78.0,691.0,53271.0,77.0,1.0
2013-09-26,8.0,78.0,77.0,77.0,414.0,31911.0,78.0,-1.0
2013-09-29,31.0,79.0,76.0,78.0,990.0,76837.0,77.0,1.0
2013-09-30,11.0,77.0,76.0,77.0,835.0,64240.0,78.0,-1.0
2013-10-01,10.0,78.0,76.0,78.0,110.0,8437.0,77.0,1.0
2013-10-02,9.0,80.0,77.0,79.0,8849.0,689896.0,78.0,1.0
2013-10-03,10.0,86.0,80.0,86.0,712.0,60639.0,79.0,7.0
2013-10-06,43.0,94.0,87.0,94.0,5816.0,536267.0,86.0,8.0
2013-10-07,6.0,93.0,91.0,91.0,365.0,33562.0,94.0,-3.0
