Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-09-06,2.0,430.0,426.0,430.0,36.0,15376.0,418.0,12.0
2012-09-12,3.0,430.0,422.0,430.0,548.0,235408.0,430.0,0.0
2017-07-31,2.0,430.0,430.0,430.0,60.0,25800.0,430.0,0.0
2017-08-02,8.0,422.0,422.0,422.0,22746.0,1990680.0,430.0,-8.0
2017-08-03,20.0,414.0,380.0,380.0,1250.0,486860.0,422.0,-42.0
2017-08-06,5.0,373.0,345.0,345.0,445.0,160665.0,380.0,-35.0
2017-08-07,2.0,339.0,339.0,339.0,150.0,50850.0,345.0,-6.0
2017-08-09,16.0,339.0,309.0,309.0,2080.0,671160.0,339.0,-30.0
2017-08-10,2.0,190.0,190.0,190.0,120.0,22800.0,193.0,-3.0
2017-08-13,1.0,189.0,189.0,189.0,50.0,9450.0,190.0,-1.0
2017-08-20,3.0,186.0,183.0,183.0,18101.0,3366186.0,189.0,-6.0
2017-08-24,9.0,180.0,165.0,165.0,30940.0,5424410.0,183.0,-18.0
2017-08-27,16.0,162.0,149.0,149.0,1900.0,284850.0,165.0,-16.0
2017-08-28,22.0,147.0,135.0,135.0,6614.0,893790.0,149.0,-14.0
2017-08-30,36.0,134.0,122.0,134.0,17372.0,2166954.0,135.0,-1.0
2017-08-31,5.0,140.0,136.0,140.0,4940.0,672140.0,134.0,6.0
2017-09-04,3.0,140.0,138.0,140.0,500.0,69800.0,140.0,0.0
2017-09-06,8.0,142.0,136.0,138.0,1660.0,229240.0,140.0,-2.0
2017-09-07,6.0,140.0,136.0,136.0,3320.0,461720.0,138.0,-2.0
2017-09-10,16.0,134.0,123.0,125.0,2960.0,369100.0,136.0,-11.0
2017-09-11,4.0,123.0,119.0,119.0,166.0,19854.0,125.0,-6.0
2017-09-12,2.0,117.0,115.0,115.0,40.0,4660.0,119.0,-4.0
2017-09-13,10.0,118.0,110.0,118.0,5350.0,611910.0,115.0,3.0
2017-09-14,7.0,126.0,120.0,123.0,1000.0,123100.0,118.0,5.0
2017-09-17,2.0,126.0,124.0,126.0,146.0,18304.0,123.0,3.0
2017-09-18,7.0,132.0,128.0,130.0,2160.0,280800.0,126.0,4.0
2017-09-20,3.0,134.0,132.0,134.0,154.0,20348.0,130.0,4.0
2017-09-24,10.0,137.0,132.0,137.0,1890.0,253080.0,134.0,3.0
2017-09-25,3.0,136.0,135.0,135.0,950.0,128290.0,137.0,-2.0
2017-09-26,5.0,138.0,135.0,138.0,670.0,92050.0,135.0,3.0
2017-10-03,1.0,138.0,138.0,138.0,50.0,6900.0,138.0,0.0
2017-10-04,3.0,136.0,134.0,134.0,1150.0,155600.0,138.0,-4.0
2017-10-08,5.0,133.0,131.0,133.0,780.0,103310.0,134.0,-1.0
2017-10-09,5.0,131.0,127.0,127.0,810.0,104790.0,133.0,-6.0
2017-10-11,19.0,127.0,120.0,122.0,6000.0,738800.0,127.0,-5.0
2017-10-12,9.0,127.0,123.0,127.0,1728.0,213470.0,122.0,5.0
2017-10-15,18.0,139.0,129.0,139.0,2700.0,372240.0,127.0,12.0
2017-10-16,12.0,152.0,141.0,152.0,5075.0,766200.0,139.0,13.0
2017-10-17,35.0,167.0,155.0,167.0,5990.0,998170.0,152.0,15.0
2017-10-18,29.0,170.0,151.0,152.0,4140.0,652990.0,167.0,-15.0
2017-10-23,3.0,149.0,147.0,149.0,1025.0,152705.0,152.0,-3.0
2017-10-24,7.0,151.0,148.0,148.0,1476.0,220765.0,149.0,-1.0
2017-10-25,10.0,149.0,145.0,145.0,1610.0,236060.0,148.0,-3.0
2017-10-29,9.0,143.0,139.0,139.0,1780.0,249420.0,145.0,-6.0
2017-10-30,6.0,139.0,135.0,139.0,1670.0,228090.0,139.0,0.0
2017-10-31,2.0,141.0,141.0,141.0,31150.0,4392150.0,139.0,2.0
2017-11-01,5.0,139.0,137.0,137.0,510.0,70010.0,141.0,-4.0
2017-11-05,5.0,135.0,131.0,131.0,530.0,69970.0,137.0,-6.0
2017-11-06,2.0,131.0,130.0,130.0,200.0,26100.0,131.0,-1.0
2017-11-07,2.0,132.0,130.0,132.0,200.0,26200.0,130.0,2.0
2017-11-08,3.0,131.0,128.0,128.0,210.0,27380.0,132.0,-4.0
2017-11-12,4.0,136.0,130.0,136.0,350.0,46600.0,128.0,8.0
2017-11-13,4.0,138.0,136.0,136.0,800.0,109200.0,136.0,0.0
2017-11-15,8.0,138.0,136.0,136.0,1900.0,261400.0,136.0,0.0
2017-11-19,2.0,136.0,135.0,135.0,700.0,95000.0,136.0,-1.0
2017-11-20,3.0,133.0,131.0,131.0,300.0,39500.0,135.0,-4.0
2017-11-21,6.0,135.0,132.0,133.0,1601.0,211978.0,131.0,2.0
2017-11-22,3.0,133.0,131.0,133.0,650.0,85350.0,133.0,0.0
2017-11-23,6.0,134.0,131.0,132.0,31816.0,4230556.0,133.0,-1.0
2017-11-27,8.0,134.0,130.0,132.0,1345.0,175536.0,132.0,0.0
2017-11-28,9.0,134.0,130.0,134.0,15741.0,2047242.0,132.0,2.0
2017-11-29,2.0,136.0,134.0,136.0,240.0,32240.0,134.0,2.0
2017-11-30,2.0,138.0,136.0,136.0,170.0,23320.0,136.0,0.0
2017-12-04,3.0,134.0,132.0,134.0,400.0,53400.0,136.0,-2.0
2017-12-05,1.0,133.0,133.0,133.0,100.0,13300.0,134.0,-1.0
2017-12-06,1.0,135.0,135.0,135.0,50.0,6750.0,133.0,2.0
2017-12-10,2.0,135.0,133.0,133.0,750.0,99950.0,135.0,-2.0
2017-12-13,5.0,133.0,131.0,132.0,16550.0,2184600.0,133.0,-1.0
2017-12-14,8.0,139.0,134.0,139.0,2546.0,344874.0,132.0,7.0
2017-12-17,3.0,140.0,139.0,140.0,500.0,69700.0,139.0,1.0
2017-12-18,4.0,144.0,142.0,142.0,900.0,128900.0,140.0,2.0
2017-12-21,3.0,142.0,138.0,138.0,196.0,27540.0,142.0,-4.0
2017-12-24,3.0,138.0,134.0,134.0,16310.0,2249560.0,138.0,-4.0
2017-12-26,7.0,132.0,130.0,130.0,1555.0,202230.0,134.0,-4.0
2017-12-31,1.0,128.0,128.0,128.0,50.0,6400.0,130.0,-2.0
2018-01-02,1.0,128.0,128.0,128.0,100.0,12800.0,128.0,0.0
2018-01-03,2.0,127.0,126.0,127.0,550.0,69800.0,128.0,-1.0
2018-01-04,3.0,131.0,129.0,131.0,680.0,87940.0,127.0,4.0
2018-01-07,2.0,133.0,131.0,131.0,160.0,21160.0,131.0,0.0
2018-01-09,4.0,139.0,133.0,139.0,50.0,6830.0,131.0,8.0
2018-01-22,4.0,137.0,133.0,133.0,895.0,121155.0,139.0,-6.0
2018-01-23,9.0,131.0,129.0,129.0,1033.0,133452.0,133.0,-4.0
2018-01-24,5.0,127.0,125.0,127.0,480.0,60160.0,129.0,-2.0
2018-01-25,4.0,129.0,127.0,129.0,600.0,76940.0,127.0,2.0
2018-01-28,5.0,129.0,127.0,129.0,416.0,53644.0,129.0,0.0
