Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-01-18,8.0,261.7,246.7,261.7,61.0,15351.9,0.0,15.0
2022-01-19,6.0,287.8,261.7,287.8,51.0,14141.9,261.7,26.1
2022-01-20,7.0,316.5,293.5,316.5,70.0,21588.0,287.8,28.7
2022-01-23,13.0,348.1,322.0,348.1,130.0,44597.0,316.5,31.6
2022-01-24,14.0,382.9,355.0,382.9,140.0,52920.0,348.1,34.8
2022-01-25,39.0,421.1,390.5,421.1,5584.0,2350671.4,382.9,38.2
2022-01-26,82.0,463.2,425.0,463.2,820.0,378778.0,421.1,42.1
2022-01-27,281.0,509.5,472.4,509.5,2810.0,1430783.0,463.2,46.3
2022-01-30,1751.0,560.4,509.0,560.4,33715.0,18377718.2,509.5,50.9
2022-01-31,1732.0,616.4,560.0,616.4,29721.0,17985381.8,560.4,56.0
2022-02-01,642.0,678.0,620.0,678.0,8999.0,6033149.5,616.4,61.6
2022-02-03,2898.0,744.0,640.0,744.0,46157.0,30917649.2,678.0,66.0
2022-02-06,1245.0,744.0,673.0,700.0,24660.0,17055065.6,744.0,-48.0
2022-02-07,1048.0,724.2,652.8,668.0,29925.0,20223874.4,700.0,-32.0
2022-02-08,571.0,734.8,665.0,734.8,17120.0,11667494.9,668.0,66.8
2022-02-09,351.0,734.0,675.3,686.0,14439.0,9876242.0,734.8,-48.8
2022-02-10,362.0,690.0,650.0,665.0,13244.0,8845661.7,686.0,-21.0
2022-02-13,313.0,651.7,615.0,615.0,12863.0,8139649.5,665.0,-50.0
2022-02-14,245.0,665.0,600.0,665.0,7814.0,4859195.5,615.0,50.0
2022-02-15,272.0,685.0,631.0,685.0,9550.0,6225941.0,665.0,20.0
2022-02-16,258.0,692.5,646.0,646.0,11600.0,7605937.0,685.0,-39.0
2022-02-17,278.0,646.0,619.0,620.0,13685.0,8594270.6,646.0,-26.0
2022-02-20,246.0,640.0,590.0,625.0,8903.0,5543418.0,620.0,5.0
2022-02-21,451.0,675.0,620.0,667.0,20037.0,13230859.5,625.0,42.0
2022-02-22,575.0,708.9,665.0,693.0,24504.0,17064612.3,667.0,26.0
2022-02-23,749.0,736.0,680.1,733.0,36539.0,26192572.9,693.0,40.0
