Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,4.0,524.0,514.0,524.0,1120.0,586780.0,504.0,20.0
2012-06-04,9.0,514.0,485.0,493.0,530.0,265250.0,524.0,-31.0
2012-06-05,4.0,493.0,475.0,475.0,110.0,52790.0,493.0,-18.0
2012-06-06,4.0,475.0,461.0,461.0,460.0,216560.0,475.0,-14.0
2012-06-07,13.0,480.0,453.0,475.0,1540.0,726260.0,461.0,14.0
2012-06-10,2.0,466.0,460.0,460.0,40.0,18520.0,475.0,-15.0
2012-06-11,4.0,469.0,451.0,462.0,170.0,77490.0,460.0,2.0
2012-06-14,7.0,473.0,455.0,473.0,3400.0,1550400.0,462.0,11.0
2012-06-20,3.0,491.0,482.0,490.0,210.0,102920.0,473.0,17.0
2012-06-21,2.0,481.0,472.0,472.0,10280.0,4898060.0,490.0,-18.0
2012-06-25,2.0,481.0,475.0,481.0,275.0,131225.0,472.0,9.0
2012-06-26,7.0,489.0,480.0,480.0,1929.0,928781.0,481.0,-1.0
2012-06-27,1.0,488.0,488.0,488.0,100.0,48800.0,480.0,8.0
2012-06-28,4.0,506.0,496.0,496.0,531.0,266475.0,488.0,8.0
2012-07-02,8.0,487.0,471.0,471.0,2140.0,1024880.0,496.0,-25.0
2012-07-03,5.0,480.0,470.0,479.0,1100.0,520900.0,471.0,8.0
2012-07-04,2.0,497.0,488.0,497.0,99.0,48753.0,479.0,18.0
2012-07-05,14.0,519.0,490.0,517.0,1357.0,678369.0,497.0,20.0
2012-07-08,9.0,537.0,527.0,537.0,524.0,277968.0,517.0,20.0
2012-07-09,6.0,547.0,527.0,547.0,321.0,171467.0,537.0,10.0
2012-07-10,12.0,568.0,536.0,556.0,806.0,440476.0,547.0,9.0
2012-07-11,5.0,555.0,535.0,555.0,220.0,119400.0,556.0,-1.0
2012-07-12,5.0,577.0,566.0,577.0,160.0,91260.0,555.0,22.0
2012-07-23,10.0,566.0,540.0,541.0,1702.0,931414.0,577.0,-36.0
2012-07-24,3.0,540.0,531.0,540.0,1400.0,747900.0,541.0,-1.0
2012-07-25,4.0,535.0,528.0,528.0,1049.0,555942.0,540.0,-12.0
2012-07-26,1.0,518.0,518.0,518.0,500.0,259000.0,528.0,-10.0
2012-07-30,5.0,518.0,508.0,515.0,1724.0,883460.0,518.0,-3.0
2012-07-31,2.0,513.0,512.0,512.0,600.0,307500.0,515.0,-3.0
2012-08-01,3.0,542.0,522.0,542.0,42.0,22424.0,512.0,30.0
2012-08-05,5.0,532.0,522.0,531.0,1986.0,1051280.0,542.0,-11.0
2012-08-06,2.0,522.0,515.0,515.0,650.0,336150.0,531.0,-16.0
2012-08-07,3.0,527.0,515.0,527.0,1336.0,698864.0,515.0,12.0
2012-08-08,21.0,571.0,537.0,571.0,5352.0,2958528.0,527.0,44.0
2012-08-12,31.0,616.0,569.0,578.0,6235.0,3626560.0,571.0,7.0
2012-08-13,8.0,581.0,565.0,570.0,2310.0,1316410.0,578.0,-8.0
2012-08-14,33.0,615.0,581.0,604.0,6499.0,3907086.0,570.0,34.0
2012-08-15,10.0,599.0,585.0,589.0,3916.0,2315314.0,604.0,-15.0
2012-08-16,18.0,597.0,580.0,589.0,5166.0,3022262.0,589.0,0.0
2012-08-19,13.0,602.0,580.0,599.0,9742.0,5688533.0,589.0,10.0
2012-08-21,22.0,620.0,600.0,616.0,3167.0,1936985.0,599.0,17.0
2012-08-22,12.0,640.0,621.0,640.0,1007.0,635264.0,616.0,24.0
2012-08-23,29.0,668.0,640.0,652.0,6120.0,3968225.0,640.0,12.0
2012-08-26,12.0,665.0,639.0,651.0,2770.0,1782850.0,652.0,-1.0
2012-08-27,27.0,658.0,650.0,658.0,5881.0,3853095.0,651.0,7.0
2012-08-28,18.0,675.0,657.0,661.0,2979.0,1979962.0,658.0,3.0
2012-08-29,8.0,674.0,661.0,662.0,1520.0,1006770.0,661.0,1.0
2012-08-30,12.0,670.0,662.0,665.0,3250.0,2161414.0,662.0,3.0
2012-09-02,16.0,689.0,670.0,682.0,4120.0,2818552.0,665.0,17.0
2012-09-03,8.0,691.0,675.0,685.0,539.0,370133.0,682.0,3.0
2012-09-04,10.0,696.0,683.0,685.0,2300.0,1574590.0,685.0,0.0
2012-09-05,7.0,680.0,670.0,670.0,1630.0,1097400.0,685.0,-15.0
2012-09-06,5.0,692.0,673.0,690.0,710.0,485800.0,670.0,20.0
2012-09-09,10.0,697.0,681.0,695.0,1148.0,791664.0,690.0,5.0
2012-09-10,5.0,691.0,682.0,689.0,1200.0,824030.0,695.0,-6.0
2012-09-11,5.0,690.0,677.0,689.0,462.0,314380.0,689.0,0.0
2012-09-12,9.0,690.0,682.0,690.0,1300.0,894000.0,689.0,1.0
2012-09-13,3.0,685.0,680.0,685.0,900.0,615000.0,690.0,-5.0
2012-09-16,5.0,696.0,686.0,689.0,750.0,516460.0,685.0,4.0
2012-09-17,10.0,705.0,689.0,705.0,722.0,503106.0,689.0,16.0
2012-09-18,13.0,745.0,707.0,745.0,1016.0,739969.0,705.0,40.0
2012-09-19,4.0,735.0,710.0,710.0,500.0,361000.0,745.0,-35.0
2012-09-20,1.0,706.0,706.0,706.0,100.0,70600.0,710.0,-4.0
2012-09-23,14.0,710.0,696.0,697.0,4920.0,3473940.0,706.0,-9.0
2012-09-24,8.0,695.0,690.0,695.0,2649.0,1829810.0,697.0,-2.0
2012-09-25,18.0,703.0,690.0,703.0,7711.0,5365508.0,695.0,8.0
2012-09-26,22.0,714.0,700.0,714.0,4262.0,3002319.0,703.0,11.0
2012-09-27,1.0,714.0,714.0,714.0,500.0,357000.0,714.0,0.0
2012-09-30,17.0,723.0,705.0,723.0,5331.0,3799443.0,714.0,9.0
2012-10-01,4.0,725.0,717.0,725.0,924.0,664658.0,723.0,2.0
2012-10-02,10.0,735.0,728.0,733.0,2797.0,2045847.0,725.0,8.0
2012-10-03,7.0,738.0,730.0,733.0,1761.0,1290218.0,733.0,0.0
2012-10-04,17.0,750.0,734.0,748.0,2414.0,1788125.0,733.0,15.0
2012-10-07,13.0,792.0,762.0,790.0,2179.0,1707367.0,748.0,42.0
2012-10-08,13.0,795.0,770.0,770.0,5090.0,3989890.0,790.0,-20.0
2012-10-09,9.0,769.0,750.0,750.0,3411.0,2566759.0,770.0,-20.0
2012-10-10,2.0,755.0,754.0,754.0,400.0,301900.0,750.0,4.0
2012-10-11,7.0,750.0,741.0,750.0,1717.0,1275608.0,754.0,-4.0
2012-10-14,3.0,755.0,750.0,752.0,450.0,338350.0,750.0,2.0
2012-10-15,2.0,755.0,755.0,755.0,879.0,663645.0,752.0,3.0
2012-10-17,3.0,779.0,770.0,779.0,170.0,131350.0,755.0,24.0
2012-10-18,1.0,770.0,770.0,770.0,300.0,231000.0,779.0,-9.0
2012-10-30,2.0,780.0,770.0,780.0,510.0,397700.0,770.0,10.0
2012-10-31,19.0,800.0,780.0,794.0,4950.0,3915386.0,780.0,14.0
2012-11-01,12.0,795.0,789.0,795.0,1460.0,1157480.0,794.0,1.0
2012-11-04,13.0,792.0,786.0,788.0,3200.0,2521520.0,795.0,-7.0
2012-11-05,12.0,793.0,777.0,790.0,3757.0,2954768.0,788.0,2.0
2012-11-06,8.0,800.0,785.0,788.0,2325.0,1835347.0,790.0,-2.0
2012-11-07,12.0,810.0,790.0,799.0,5812.0,4615807.0,788.0,11.0
2012-11-08,16.0,816.0,795.0,800.0,3628.0,2901696.0,799.0,1.0
2012-11-11,11.0,808.0,791.0,795.0,1887.0,1500098.0,800.0,-5.0
2012-11-12,16.0,800.0,789.0,796.0,2528.0,2003473.0,795.0,1.0
2012-11-18,16.0,805.0,785.0,805.0,5288.0,4222127.0,796.0,9.0
2012-11-20,36.0,835.0,800.0,835.0,11011.0,8911385.0,805.0,30.0
2012-11-21,27.0,832.0,805.0,820.0,8884.0,7245733.0,835.0,-15.0
2012-11-22,25.0,825.0,813.0,819.0,6384.0,5210938.0,820.0,-1.0
2012-11-25,19.0,846.0,819.0,819.0,5231.0,4316556.0,819.0,0.0
2012-11-26,1.0,807.0,807.0,807.0,186.0,150102.0,819.0,-12.0
2012-11-27,17.0,815.0,790.0,790.0,3893.0,3129030.0,807.0,-17.0
2012-11-28,13.0,791.0,781.0,787.0,2892.0,2273399.0,790.0,-3.0
2012-11-29,4.0,781.0,780.0,781.0,1235.0,963535.0,787.0,-6.0
2012-12-02,9.0,777.0,733.0,733.0,1149.0,884538.0,781.0,-48.0
2012-12-03,8.0,719.0,692.0,700.0,1167.0,815554.0,733.0,-33.0
2012-12-04,10.0,742.0,714.0,728.0,1633.0,1187201.0,700.0,28.0
2012-12-05,8.0,750.0,740.0,740.0,2413.0,1802920.0,728.0,12.0
2012-12-09,2.0,735.0,730.0,735.0,213.0,155990.0,740.0,-5.0
2012-12-11,3.0,725.0,721.0,725.0,730.0,527490.0,735.0,-10.0
2012-12-13,8.0,785.0,739.0,785.0,1570.0,1211890.0,725.0,60.0
2012-12-16,13.0,814.0,794.0,800.0,4069.0,3260302.0,785.0,15.0
2012-12-17,9.0,820.0,794.0,794.0,2165.0,1749650.0,800.0,-6.0
2012-12-18,4.0,806.0,800.0,800.0,342.0,274950.0,794.0,6.0
2012-12-19,3.0,802.0,787.0,787.0,1261.0,995902.0,800.0,-13.0
2012-12-20,19.0,802.0,783.0,800.0,5471.0,4335822.0,787.0,13.0
2012-12-26,14.0,812.0,800.0,800.0,4087.0,3282497.0,800.0,0.0
2012-12-27,1.0,805.0,805.0,805.0,100.0,80500.0,800.0,5.0
2012-12-31,3.0,805.0,800.0,805.0,700.0,560900.0,805.0,0.0
2013-01-01,1.0,805.0,805.0,805.0,100.0,80500.0,805.0,0.0
2013-01-07,3.0,805.0,805.0,805.0,347.0,279335.0,805.0,0.0
2013-01-09,1.0,810.0,810.0,810.0,100.0,81000.0,805.0,5.0
2013-01-10,3.0,810.0,800.0,805.0,778.0,624215.0,810.0,-5.0
2013-01-13,3.0,808.0,804.0,805.0,872.0,702168.0,805.0,0.0
2013-01-15,1.0,800.0,800.0,800.0,100.0,80000.0,805.0,-5.0
2013-01-17,4.0,800.0,800.0,800.0,806.0,644800.0,800.0,0.0
2013-01-20,1.0,784.0,784.0,784.0,536.0,420224.0,800.0,-16.0
2013-01-23,1.0,790.0,790.0,790.0,55.0,43450.0,784.0,6.0
2013-01-24,2.0,785.0,780.0,780.0,400.0,313500.0,790.0,-10.0
2013-02-05,1.0,770.0,770.0,770.0,121.0,93170.0,780.0,-10.0
2013-02-07,3.0,763.0,750.0,763.0,12150.0,9118150.0,770.0,-7.0
2013-02-10,1.0,750.0,750.0,750.0,200.0,150000.0,763.0,-13.0
2013-02-12,2.0,765.0,760.0,760.0,142.0,108130.0,750.0,10.0
2013-02-13,2.0,770.0,765.0,770.0,400.0,306500.0,760.0,10.0
2013-02-17,2.0,790.0,785.0,790.0,210.0,165400.0,770.0,20.0
2013-02-19,6.0,807.0,805.0,805.0,760.0,612368.0,790.0,15.0
2013-02-20,1.0,803.0,803.0,803.0,400.0,321200.0,805.0,-2.0
2013-02-21,2.0,799.0,798.0,798.0,700.0,559100.0,803.0,-5.0
2013-02-24,2.0,783.0,780.0,780.0,300.0,234300.0,798.0,-18.0
2013-02-25,1.0,775.0,775.0,775.0,54.0,41850.0,780.0,-5.0
2013-02-26,5.0,805.0,790.0,805.0,537.0,427365.0,775.0,30.0
2013-03-03,3.0,821.0,803.0,803.0,223.0,180885.0,805.0,-2.0
2013-03-05,2.0,790.0,790.0,790.0,220.0,173800.0,803.0,-13.0
2013-03-06,1.0,789.0,789.0,789.0,180.0,142020.0,790.0,-1.0
2013-03-07,1.0,775.0,775.0,775.0,105.0,81375.0,789.0,-14.0
2013-03-11,4.0,775.0,760.0,760.0,3451.0,2629660.0,775.0,-15.0
2013-03-14,4.0,775.0,760.0,775.0,754.0,575590.0,760.0,15.0
2013-03-17,14.0,772.0,760.0,765.0,5968.0,4538780.0,775.0,-10.0
2013-03-18,3.0,755.0,745.0,755.0,310.0,233950.0,765.0,-10.0
2013-03-19,6.0,760.0,735.0,760.0,9566.0,7058620.0,755.0,5.0
2013-03-21,2.0,770.0,762.0,762.0,543.0,414198.0,760.0,2.0
2013-03-24,1.0,755.0,755.0,755.0,74.0,55870.0,762.0,-7.0
2013-03-25,3.0,775.0,760.0,775.0,335.0,256100.0,755.0,20.0
2013-03-27,2.0,765.0,760.0,765.0,150.0,114250.0,775.0,-10.0
2013-03-28,1.0,760.0,760.0,760.0,500.0,380000.0,765.0,-5.0
2013-04-01,1.0,760.0,760.0,760.0,40.0,30400.0,760.0,0.0
2013-04-02,3.0,772.0,755.0,755.0,250.0,189460.0,760.0,-5.0
2013-04-03,3.0,755.0,740.0,755.0,818.0,612872.0,755.0,0.0
2013-04-04,5.0,760.0,740.0,740.0,11097.0,8226950.0,755.0,-15.0
2013-04-07,4.0,750.0,750.0,750.0,2657.0,1992750.0,740.0,10.0
2013-04-08,5.0,764.0,750.0,760.0,564.0,423856.0,750.0,10.0
2013-04-09,6.0,770.0,750.0,770.0,955.0,726700.0,760.0,10.0
2013-04-11,1.0,775.0,775.0,775.0,50.0,38750.0,770.0,5.0
2013-04-15,1.0,769.0,769.0,769.0,200.0,153800.0,775.0,-6.0
2013-04-16,5.0,773.0,757.0,757.0,1355.0,1032705.0,769.0,-12.0
2013-04-17,2.0,770.0,770.0,770.0,50.0,38500.0,757.0,13.0
2013-04-22,1.0,755.0,755.0,755.0,10.0,7550.0,770.0,-15.0
2013-04-23,1.0,750.0,750.0,750.0,224.0,168000.0,755.0,-5.0
2013-04-25,9.0,750.0,749.0,750.0,2156.0,1616700.0,750.0,0.0
2013-04-28,4.0,750.0,750.0,750.0,2786.0,2089500.0,750.0,0.0
2013-04-29,2.0,765.0,758.0,765.0,210.0,159250.0,750.0,15.0
2013-04-30,6.0,765.0,750.0,754.0,2099.0,1577000.0,765.0,-11.0
2013-05-02,5.0,750.0,739.0,750.0,1897.0,1421146.0,754.0,-4.0
2013-05-07,3.0,745.0,740.0,740.0,500.0,371500.0,750.0,-10.0
2013-05-08,1.0,740.0,740.0,740.0,100.0,74000.0,740.0,0.0
2013-05-12,2.0,740.0,740.0,740.0,1080.0,799200.0,740.0,0.0
2013-05-13,4.0,750.0,745.0,750.0,3536.0,2641000.0,740.0,10.0
2013-05-14,3.0,765.0,751.0,751.0,1342.0,1011420.0,750.0,1.0
2013-05-15,2.0,760.0,751.0,760.0,1630.0,1224400.0,751.0,9.0
2013-05-16,3.0,760.0,758.0,758.0,900.0,682800.0,760.0,-2.0
2013-05-19,1.0,765.0,765.0,765.0,100.0,76500.0,758.0,7.0
2013-05-20,4.0,765.0,760.0,765.0,1250.0,951250.0,765.0,0.0
2013-05-21,1.0,770.0,770.0,770.0,100.0,77000.0,765.0,5.0
2013-05-22,4.0,760.0,760.0,760.0,632.0,480320.0,770.0,-10.0
2013-05-23,3.0,763.0,760.0,763.0,226.0,171968.0,760.0,3.0
2013-05-26,2.0,760.0,760.0,760.0,7600.0,5776000.0,763.0,-3.0
2013-05-27,7.0,764.0,760.0,760.0,1402.0,1066287.0,760.0,0.0
2013-05-28,2.0,765.0,761.0,761.0,800.0,610000.0,760.0,1.0
2013-05-30,6.0,776.0,770.0,770.0,970.0,748070.0,761.0,9.0
2013-06-02,1.0,765.0,765.0,765.0,76.0,58140.0,770.0,-5.0
2013-06-04,1.0,770.0,770.0,770.0,83.0,63910.0,765.0,5.0
2013-06-05,6.0,800.0,775.0,800.0,1800.0,1409000.0,770.0,30.0
2013-06-06,4.0,795.0,785.0,785.0,1177.0,934805.0,800.0,-15.0
2013-06-10,10.0,795.0,775.0,795.0,3467.0,2735677.0,785.0,10.0
2013-06-12,2.0,795.0,780.0,795.0,250.0,195750.0,795.0,0.0
2013-06-13,1.0,780.0,780.0,780.0,100.0,78000.0,795.0,-15.0
2013-06-16,2.0,765.0,765.0,765.0,14106.0,10791090.0,780.0,-15.0
2013-06-17,1.0,778.0,778.0,778.0,12.0,9336.0,765.0,13.0
2013-06-18,1.0,789.0,789.0,789.0,100.0,78900.0,778.0,11.0
2013-06-19,4.0,776.0,775.0,775.0,406.0,314846.0,789.0,-14.0
2013-06-20,2.0,788.0,780.0,788.0,176.0,138080.0,775.0,13.0
2013-06-25,5.0,790.0,780.0,790.0,399.0,313310.0,788.0,2.0
2013-06-26,12.0,775.0,760.0,760.0,12100.0,9197500.0,790.0,-30.0
2013-06-27,2.0,790.0,775.0,790.0,1010.0,782900.0,760.0,30.0
2013-06-30,1.0,775.0,775.0,775.0,100.0,77500.0,790.0,-15.0
2013-07-01,1.0,789.0,789.0,789.0,26.0,20514.0,775.0,14.0
2013-07-02,1.0,786.0,786.0,786.0,116.0,91176.0,789.0,-3.0
2013-07-03,2.0,799.0,790.0,790.0,336.0,265764.0,786.0,4.0
2013-07-04,2.0,786.0,785.0,785.0,204.0,160244.0,790.0,-5.0
2013-07-07,1.0,795.0,795.0,795.0,5000.0,3975000.0,785.0,10.0
2013-07-08,4.0,795.0,780.0,785.0,840.0,656500.0,795.0,-10.0
2013-07-10,4.0,775.0,770.0,775.0,704.0,543580.0,785.0,-10.0
2013-07-11,4.0,780.0,760.0,780.0,3591.0,2782640.0,775.0,5.0
2013-07-14,2.0,785.0,770.0,785.0,500.0,386500.0,780.0,5.0
2013-07-15,9.0,830.0,775.0,830.0,1106.0,869461.0,785.0,45.0
2013-07-16,10.0,846.0,784.0,785.0,3307.0,2631603.0,830.0,-45.0
2013-07-17,2.0,799.0,792.0,792.0,40.0,31820.0,785.0,7.0
2013-07-18,8.0,810.0,797.0,797.0,693.0,553350.0,792.0,5.0
2013-07-21,7.0,812.0,797.0,798.0,2590.0,2067190.0,797.0,1.0
2013-07-22,2.0,800.0,799.0,799.0,120.0,95900.0,798.0,1.0
2013-07-23,2.0,800.0,798.0,798.0,1624.0,1297200.0,799.0,-1.0
2013-07-24,23.0,831.0,798.0,820.0,8296.0,6710454.0,798.0,22.0
2013-07-25,15.0,852.0,820.0,840.0,5588.0,4622660.0,820.0,20.0
2013-07-28,14.0,884.0,840.0,877.0,6670.0,5806670.0,840.0,37.0
2013-07-29,31.0,894.0,880.0,880.0,7290.0,6441240.0,877.0,3.0
2013-07-30,16.0,915.0,850.0,900.0,7035.0,6228595.0,880.0,20.0
