Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,285.0,285.0,285.0,20.0,5700.0,290.0,-5.0
2012-06-04,2.0,280.0,275.0,275.0,1491.0,412980.0,285.0,-10.0
2012-06-05,8.0,270.0,248.0,248.0,965.0,242702.0,275.0,-27.0
2012-06-06,4.0,244.0,232.0,232.0,3039.0,726328.0,248.0,-16.0
2012-09-02,6.0,136.0,130.0,132.0,477.0,63166.0,232.0,-100.0
2012-09-03,3.0,132.0,128.0,128.0,378.0,48798.0,132.0,-4.0
2012-09-23,1.0,130.0,130.0,130.0,535.0,69550.0,128.0,2.0
2012-09-24,2.0,134.0,132.0,134.0,1089.0,144856.0,130.0,4.0
2012-09-25,4.0,142.0,136.0,142.0,229.0,31842.0,134.0,8.0
2012-09-26,8.0,142.0,140.0,142.0,480.0,67680.0,142.0,0.0
2012-09-27,12.0,150.0,144.0,150.0,3623.0,522676.0,142.0,8.0
2012-09-30,1.0,147.0,147.0,147.0,20.0,2940.0,150.0,-3.0
2012-10-08,3.0,147.0,145.0,147.0,139.0,20275.0,147.0,0.0
2012-11-28,1.0,147.0,147.0,147.0,20.0,2940.0,147.0,0.0
2013-02-25,2.0,149.0,147.0,147.0,94.0,13910.0,147.0,0.0
