Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,1.0,112.0,112.0,112.0,20.0,2240.0,0.0,112.0
2012-06-12,1.0,114.0,114.0,114.0,50.0,5700.0,112.0,2.0
2012-08-16,6.0,112.0,106.0,106.0,130.0,14140.0,114.0,-8.0
2013-08-12,2.0,104.0,104.0,104.0,20.0,2080.0,106.0,-2.0
2013-09-01,2.0,103.0,103.0,103.0,120.0,12360.0,104.0,-1.0
2013-09-09,3.0,109.0,105.0,109.0,2500.0,266500.0,103.0,6.0
2013-09-10,1.0,107.0,107.0,107.0,10.0,1070.0,109.0,-2.0
2013-09-11,3.0,105.0,102.0,102.0,1050.0,108170.0,107.0,-5.0
2013-09-12,4.0,108.0,104.0,108.0,2450.0,260700.0,102.0,6.0
2013-09-15,2.0,106.0,105.0,105.0,5500.0,578000.0,108.0,-3.0
2013-09-16,3.0,104.0,102.0,102.0,7500.0,766000.0,105.0,-3.0
2013-09-17,2.0,106.0,104.0,106.0,5500.0,582000.0,102.0,4.0
2013-09-19,2.0,107.0,107.0,107.0,2000.0,214000.0,106.0,1.0
2013-12-22,1.0,105.0,105.0,105.0,1010.0,106050.0,107.0,-2.0
2014-01-26,3.0,104.0,104.0,104.0,170.0,17680.0,105.0,-1.0
2014-02-04,4.0,108.0,106.0,108.0,310.0,33460.0,104.0,4.0
2014-02-11,1.0,110.0,110.0,110.0,50.0,5500.0,108.0,2.0
2014-04-02,1.0,112.0,112.0,112.0,70.0,7840.0,110.0,2.0
2014-04-22,2.0,110.0,110.0,110.0,340.0,37400.0,112.0,-2.0
2014-05-07,2.0,112.0,112.0,112.0,550.0,61600.0,110.0,2.0
2014-05-08,4.0,116.0,114.0,116.0,530.0,60760.0,112.0,4.0
2014-05-12,1.0,118.0,118.0,118.0,50.0,5900.0,116.0,2.0
2014-05-13,5.0,120.0,120.0,120.0,210.0,25200.0,118.0,2.0
2014-05-19,1.0,122.0,122.0,122.0,10.0,1220.0,120.0,2.0
2014-05-22,1.0,124.0,124.0,124.0,110.0,13640.0,122.0,2.0
2014-06-03,1.0,126.0,126.0,126.0,40.0,5040.0,124.0,2.0
2014-06-19,1.0,121.0,121.0,121.0,500.0,60500.0,126.0,-5.0
2014-08-07,2.0,121.0,121.0,121.0,200.0,24200.0,121.0,0.0
2014-09-01,2.0,123.0,123.0,123.0,340.0,41820.0,121.0,2.0
2014-09-07,1.0,127.0,127.0,127.0,500.0,63500.0,123.0,4.0
2014-09-18,1.0,129.0,129.0,129.0,50.0,6450.0,127.0,2.0
2014-09-21,1.0,131.0,131.0,131.0,500.0,65500.0,129.0,2.0
2014-09-22,1.0,133.0,133.0,133.0,10.0,1330.0,131.0,2.0
2014-09-28,7.0,143.0,135.0,143.0,730.0,104110.0,133.0,10.0
2014-10-13,7.0,157.0,145.0,157.0,280.0,43040.0,143.0,14.0
2014-10-14,1.0,160.0,160.0,160.0,10.0,1600.0,157.0,3.0
2014-10-16,1.0,163.0,163.0,163.0,100.0,16300.0,160.0,3.0
2014-10-20,2.0,169.0,166.0,169.0,420.0,70230.0,163.0,6.0
2014-10-21,1.0,172.0,172.0,172.0,10.0,1720.0,169.0,3.0
2014-11-13,6.0,169.0,157.0,157.0,74630.0,12093380.0,172.0,-15.0
2014-11-16,7.0,160.0,148.0,148.0,1430.0,219680.0,157.0,-9.0
2014-11-17,1.0,150.0,150.0,150.0,120.0,18000.0,148.0,2.0
2014-11-18,1.0,147.0,147.0,147.0,500.0,73500.0,150.0,-3.0
2014-11-20,1.0,148.0,148.0,148.0,100.0,14800.0,147.0,1.0
2014-11-23,1.0,150.0,150.0,150.0,120.0,18000.0,148.0,2.0
2014-11-25,4.0,159.0,150.0,159.0,1150.0,173400.0,150.0,9.0
2014-12-02,1.0,162.0,162.0,162.0,20.0,3240.0,159.0,3.0
2014-12-03,3.0,159.0,156.0,156.0,260.0,40890.0,162.0,-6.0
2014-12-07,1.0,159.0,159.0,159.0,10.0,1590.0,156.0,3.0
