Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,58.0,251.0,233.0,251.0,9094.0,2277580.0,229.0,22.0
2012-06-04,61.0,256.0,235.0,242.0,5634.0,1353163.0,251.0,-9.0
2012-06-05,48.0,239.0,226.0,231.0,4997.0,1156569.0,242.0,-11.0
2012-06-06,38.0,230.0,224.0,225.0,3260.0,738690.0,231.0,-6.0
2012-06-07,94.0,245.0,221.0,237.0,19324.0,4601156.0,225.0,12.0
2012-06-10,27.0,241.0,221.0,221.0,3146.0,734906.0,237.0,-16.0
2012-06-11,51.0,232.0,221.0,226.0,7410.0,1667795.0,221.0,5.0
2012-06-12,29.0,233.0,225.0,230.0,3170.0,728360.0,226.0,4.0
2012-06-13,31.0,231.0,223.0,227.0,2610.0,593240.0,230.0,-3.0
2012-06-14,15.0,229.0,223.0,229.0,1790.0,406965.0,227.0,2.0
2012-06-17,20.0,227.0,220.0,220.0,2469.0,549225.0,229.0,-9.0
2012-06-18,51.0,226.0,216.0,220.0,8245.0,1806495.0,220.0,0.0
2012-06-19,9.0,222.0,218.0,220.0,632.0,138949.0,220.0,0.0
2012-06-20,10.0,232.0,222.0,224.0,685.0,156070.0,220.0,4.0
2012-06-21,10.0,228.0,224.0,224.0,1734.0,391085.0,224.0,0.0
2012-06-25,24.0,240.0,225.0,240.0,3320.0,770430.0,224.0,16.0
2012-06-26,27.0,236.0,226.0,226.0,2477.0,564337.0,240.0,-14.0
2012-06-27,13.0,235.0,225.0,235.0,1620.0,373960.0,226.0,9.0
2012-06-28,109.0,247.0,227.0,228.0,25342.0,5934091.0,235.0,-7.0
