Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-04-18,7.0,75.0,75.0,75.0,113048.0,8478600.0,75.0,0.0
2016-04-19,7.0,75.0,75.0,75.0,82163.0,6162225.0,75.0,0.0
2016-05-10,1.0,0.0,0.0,0.0,78007.0,5850525.0,75.0,0.0
2016-06-06,11.0,75.0,75.0,75.0,51748.0,3881100.0,75.0,0.0
2017-08-30,1.0,101.0,101.0,101.0,54111.0,5465211.0,103.0,-2.0
2017-09-20,4.0,101.0,101.0,101.0,33316.0,3364916.0,101.0,0.0
2017-11-23,1.0,102.0,102.0,102.0,11952.0,1219104.0,103.0,-1.0
2018-06-12,4.0,103.0,103.0,103.0,150631.0,15514993.0,105.0,-2.0
2019-11-11,2.0,100.0,100.0,100.0,7329.0,732900.0,100.0,0.0
2019-12-16,1.0,100.0,100.0,100.0,136048.0,13604800.0,100.0,0.0
2020-07-19,7.0,100.0,100.0,100.0,36896.0,3689600.0,100.0,0.0
2020-07-20,4.0,100.0,100.0,100.0,16875.0,1687500.0,100.0,0.0
2020-10-21,2.0,100.0,100.0,100.0,200.0,20000.0,100.0,0.0
2021-01-20,1.0,100.0,100.0,100.0,10802.0,1080200.0,100.0,0.0
2021-01-26,5.0,101.0,101.0,101.0,500.0,50500.0,100.0,1.0
2021-02-25,4.0,101.0,100.0,100.0,35079.0,3513525.0,101.0,-1.0
2021-08-03,4.0,269.0,269.0,269.0,4100.0,1102900.0,269.0,0.0
2021-08-04,2.0,264.0,264.0,264.0,150000.0,39600000.0,269.0,-5.0
2021-08-05,3.0,259.0,259.0,259.0,132301.0,34265959.0,264.0,-5.0
2021-08-19,10.0,254.0,254.0,254.0,25000.0,6350000.0,259.0,-5.0
2021-10-28,1.0,267.0,267.0,267.0,7500.0,2002500.0,267.0,0.0
2022-02-13,1.0,275.0,275.0,275.0,25000.0,6875000.0,275.0,0.0
2022-04-19,1.0,270.0,270.0,270.0,14709.0,3971430.0,275.0,-5.0
2022-06-01,1.0,270.0,270.0,270.0,33954.0,9167580.0,270.0,0.0
