Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-11,3.0,151.0,148.0,148.0,176.0,26276.0,154.0,-6.0
2012-06-12,2.0,146.0,144.0,144.0,65.0,9420.0,148.0,-4.0
2012-06-14,1.0,142.0,142.0,142.0,160.0,22720.0,144.0,-2.0
2012-06-27,6.0,140.0,135.0,137.0,487.0,66449.0,142.0,-5.0
2012-06-28,3.0,137.0,135.0,136.0,469.0,64038.0,137.0,-1.0
2012-07-01,12.0,138.0,134.0,134.0,2175.0,296642.0,136.0,-2.0
2012-07-02,2.0,134.0,133.0,134.0,175.0,23319.0,134.0,0.0
2012-07-04,1.0,134.0,134.0,134.0,14.0,1876.0,134.0,0.0
2012-07-11,2.0,134.0,132.0,134.0,352.0,46972.0,134.0,0.0
2012-07-12,2.0,138.0,136.0,138.0,40.0,5500.0,134.0,4.0
2012-07-15,3.0,142.0,140.0,142.0,109.0,15454.0,138.0,4.0
2012-07-19,5.0,146.0,142.0,144.0,656.0,94174.0,142.0,2.0
2012-07-22,7.0,145.0,142.0,145.0,347.0,50068.0,144.0,1.0
2012-07-24,2.0,147.0,145.0,147.0,54.0,7870.0,145.0,2.0
2012-07-25,1.0,149.0,149.0,149.0,10.0,1490.0,147.0,2.0
2012-07-31,3.0,147.0,145.0,147.0,1424.0,207156.0,149.0,-2.0
2012-08-01,1.0,145.0,145.0,145.0,273.0,39585.0,147.0,-2.0
2012-08-05,6.0,144.0,141.0,144.0,782.0,111126.0,145.0,-1.0
2012-08-06,1.0,146.0,146.0,146.0,10.0,1460.0,144.0,2.0
2012-08-07,1.0,146.0,146.0,146.0,20.0,2920.0,146.0,0.0
2012-08-08,2.0,148.0,148.0,148.0,20.0,2960.0,146.0,2.0
2012-08-12,6.0,150.0,146.0,150.0,1024.0,152283.0,148.0,2.0
2012-08-13,1.0,150.0,150.0,150.0,20.0,3000.0,150.0,0.0
2012-08-21,2.0,150.0,149.0,150.0,210.0,31320.0,150.0,0.0
2012-08-22,1.0,151.0,151.0,151.0,14.0,2114.0,150.0,1.0
2012-09-02,2.0,148.0,146.0,146.0,94.0,13772.0,151.0,-5.0
2012-09-13,3.0,144.0,142.0,142.0,1013.0,144022.0,146.0,-4.0
2012-09-16,4.0,142.0,140.0,142.0,363.0,51120.0,142.0,0.0
2012-09-17,3.0,143.0,140.0,143.0,1798.0,255739.0,142.0,1.0
2012-09-18,3.0,147.0,145.0,147.0,237.0,34635.0,143.0,4.0
2012-09-19,7.0,147.0,142.0,142.0,2694.0,391180.0,147.0,-5.0
2012-09-20,5.0,144.0,140.0,142.0,1252.0,176580.0,142.0,0.0
2012-09-23,2.0,140.0,140.0,140.0,753.0,105420.0,142.0,-2.0
2012-09-24,8.0,140.0,136.0,137.0,1700.0,232700.0,140.0,-3.0
2012-09-25,2.0,136.0,135.0,135.0,209.0,28304.0,137.0,-2.0
2012-09-26,4.0,136.0,134.0,136.0,801.0,107574.0,135.0,1.0
2012-10-07,4.0,140.0,136.0,140.0,641.0,88016.0,136.0,4.0
2012-10-08,4.0,140.0,138.0,138.0,433.0,60416.0,140.0,-2.0
2012-10-10,2.0,140.0,138.0,138.0,330.0,45600.0,138.0,0.0
2012-10-11,2.0,136.0,134.0,134.0,659.0,89386.0,138.0,-4.0
2012-10-15,3.0,132.0,128.0,128.0,82.0,10562.0,134.0,-6.0
2012-10-18,1.0,130.0,130.0,130.0,26.0,3380.0,128.0,2.0
2012-11-06,13.0,143.0,132.0,143.0,1221.0,171445.0,130.0,13.0
2012-11-07,3.0,149.0,145.0,149.0,50.0,7390.0,143.0,6.0
2012-11-08,1.0,150.0,150.0,150.0,71.0,10650.0,149.0,1.0
2012-11-20,1.0,150.0,150.0,150.0,100.0,15000.0,150.0,0.0
2012-11-21,1.0,152.0,152.0,152.0,204.0,31008.0,150.0,2.0
2012-11-25,2.0,149.0,149.0,149.0,495.0,73755.0,152.0,-3.0
2012-11-27,3.0,147.0,145.0,145.0,179.0,26011.0,149.0,-4.0
2012-12-05,1.0,143.0,143.0,143.0,100.0,14300.0,145.0,-2.0
2012-12-09,1.0,141.0,141.0,141.0,200.0,28200.0,143.0,-2.0
2012-12-10,4.0,140.0,139.0,140.0,146.0,20366.0,141.0,-1.0
2012-12-11,1.0,142.0,142.0,142.0,30.0,4260.0,140.0,2.0
2013-02-13,1.0,140.0,140.0,140.0,10.0,1400.0,142.0,-2.0
2013-02-17,1.0,138.0,138.0,138.0,100.0,13800.0,140.0,-2.0
2013-02-19,1.0,136.0,136.0,136.0,183.0,24888.0,138.0,-2.0
2013-03-04,7.0,127.0,120.0,120.0,979.0,120591.0,136.0,-16.0
2013-03-05,3.0,120.0,120.0,120.0,394.0,47280.0,120.0,0.0
2013-03-06,6.0,130.0,122.0,130.0,752.0,94990.0,120.0,10.0
2013-03-07,9.0,132.0,124.0,124.0,436.0,56112.0,130.0,-6.0
2013-03-11,24.0,124.0,117.0,122.0,771.0,92926.0,124.0,-2.0
2013-03-13,2.0,122.0,122.0,122.0,501.0,61122.0,122.0,0.0
2013-03-14,1.0,122.0,122.0,122.0,252.0,30744.0,122.0,0.0
2013-03-17,4.0,122.0,120.0,122.0,235.0,28320.0,122.0,0.0
2013-03-18,2.0,121.0,120.0,121.0,128.0,15388.0,122.0,-1.0
2013-03-19,4.0,121.0,120.0,121.0,1535.0,185655.0,121.0,0.0
2013-03-25,4.0,122.0,118.0,118.0,98.0,11684.0,124.0,-6.0
2013-03-27,4.0,119.0,117.0,118.0,407.0,48254.0,118.0,0.0
2013-03-28,1.0,120.0,120.0,120.0,200.0,24000.0,118.0,2.0
2013-03-31,2.0,120.0,120.0,120.0,300.0,36000.0,120.0,0.0
2013-04-01,1.0,122.0,122.0,122.0,200.0,24400.0,120.0,2.0
2013-04-02,1.0,122.0,122.0,122.0,28.0,3416.0,122.0,0.0
2013-04-03,2.0,120.0,120.0,120.0,40.0,4800.0,122.0,-2.0
2013-04-04,2.0,120.0,120.0,120.0,174.0,20880.0,120.0,0.0
2013-04-07,1.0,120.0,120.0,120.0,200.0,24000.0,120.0,0.0
2013-04-09,4.0,119.0,117.0,119.0,794.0,94172.0,120.0,-1.0
2013-04-11,3.0,121.0,121.0,121.0,800.0,96800.0,119.0,2.0
2013-04-15,1.0,120.0,120.0,120.0,500.0,60000.0,121.0,-1.0
2013-04-17,11.0,128.0,122.0,126.0,802.0,100236.0,120.0,6.0
2013-04-18,7.0,125.0,123.0,124.0,1288.0,159562.0,126.0,-2.0
2013-04-21,5.0,123.0,120.0,122.0,2497.0,303194.0,124.0,-2.0
2013-04-22,4.0,124.0,122.0,124.0,447.0,54694.0,122.0,2.0
2013-04-28,11.0,132.0,125.0,125.0,1124.0,143698.0,124.0,1.0
2014-07-01,6.0,137.0,127.0,137.0,60.0,7920.0,125.0,12.0
2014-07-14,2.0,141.0,139.0,141.0,316.0,44536.0,137.0,4.0
2014-07-15,2.0,145.0,143.0,145.0,74.0,10710.0,141.0,4.0
2014-08-04,1.0,152.0,152.0,152.0,30.0,4560.0,145.0,7.0
2014-08-07,1.0,159.0,159.0,159.0,70.0,11130.0,152.0,7.0
2014-08-13,1.0,162.0,162.0,162.0,38.0,6156.0,159.0,3.0
2014-08-18,3.0,171.0,165.0,171.0,413.0,69786.0,162.0,9.0
2014-08-20,5.0,186.0,174.0,186.0,50.0,9000.0,171.0,15.0
2014-08-21,6.0,204.0,189.0,204.0,1219.0,230841.0,186.0,18.0
2014-08-24,5.0,224.0,208.0,224.0,50.0,10800.0,204.0,20.0
2014-08-25,5.0,244.0,228.0,244.0,306.0,72216.0,224.0,20.0
2014-08-26,5.0,267.0,248.0,267.0,54.0,13908.0,244.0,23.0
2014-08-27,6.0,293.0,272.0,293.0,380.0,107950.0,267.0,26.0
2014-08-28,5.0,321.0,298.0,321.0,76.0,23338.0,293.0,28.0
2014-08-31,10.0,353.0,327.0,353.0,1161.0,402387.0,321.0,32.0
2014-09-01,22.0,388.0,360.0,388.0,2481.0,961592.0,353.0,35.0
2014-09-03,87.0,426.0,353.0,394.0,29922.0,11331229.0,388.0,6.0
2014-09-04,61.0,401.0,368.0,397.0,18726.0,7288084.0,394.0,3.0
2014-09-07,31.0,400.0,380.0,386.0,4493.0,1737222.0,397.0,-11.0
2014-09-09,28.0,410.0,386.0,410.0,5347.0,2136339.0,386.0,24.0
2014-09-10,21.0,410.0,396.0,404.0,2601.0,1052024.0,410.0,-6.0
2014-09-11,14.0,405.0,398.0,400.0,3024.0,1209786.0,404.0,-4.0
2014-09-14,14.0,412.0,400.0,410.0,2111.0,856276.0,400.0,10.0
2014-09-15,14.0,435.0,415.0,435.0,2275.0,966133.0,410.0,25.0
2014-09-16,33.0,470.0,435.0,470.0,5803.0,2639744.0,435.0,35.0
2014-09-17,24.0,506.0,461.0,461.0,3795.0,1851870.0,470.0,-9.0
2014-09-18,13.0,461.0,430.0,430.0,1952.0,870195.0,461.0,-31.0
2014-09-21,14.0,423.0,399.0,408.0,6913.0,2873823.0,430.0,-22.0
2014-09-22,20.0,415.0,397.0,415.0,3258.0,1314594.0,408.0,7.0
2014-09-23,6.0,420.0,417.0,420.0,956.0,400320.0,415.0,5.0
2014-09-24,4.0,433.0,420.0,433.0,1222.0,523420.0,420.0,13.0
2014-09-28,9.0,450.0,434.0,449.0,2809.0,1250308.0,433.0,16.0
2014-09-29,5.0,466.0,445.0,465.0,1378.0,634081.0,449.0,16.0
2014-09-30,4.0,460.0,458.0,460.0,1232.0,566650.0,465.0,-5.0
2014-10-08,6.0,454.0,451.0,454.0,1489.0,674920.0,460.0,-6.0
2014-10-09,2.0,460.0,451.0,460.0,520.0,239020.0,454.0,6.0
2014-10-12,7.0,469.0,451.0,466.0,1799.0,819099.0,460.0,6.0
2014-10-13,2.0,469.0,466.0,469.0,205.0,96091.0,466.0,3.0
2014-10-14,4.0,475.0,459.0,459.0,1085.0,506200.0,469.0,-10.0
2014-10-15,3.0,459.0,455.0,455.0,1254.0,571586.0,459.0,-4.0
2014-10-16,6.0,461.0,454.0,454.0,965.0,439450.0,455.0,-1.0
2014-10-19,7.0,460.0,454.0,460.0,616.0,281954.0,454.0,6.0
2014-10-20,7.0,463.0,458.0,460.0,1205.0,554630.0,460.0,0.0
2014-10-21,7.0,470.0,455.0,455.0,1173.0,537912.0,460.0,-5.0
2014-10-22,14.0,465.0,454.0,465.0,1596.0,729425.0,455.0,10.0
2014-10-26,3.0,460.0,460.0,460.0,558.0,256680.0,465.0,-5.0
2014-10-28,9.0,460.0,451.0,451.0,2425.0,1096231.0,460.0,-9.0
2014-10-30,2.0,460.0,460.0,460.0,109.0,50140.0,451.0,9.0
2014-11-02,3.0,460.0,460.0,460.0,51.0,23460.0,460.0,0.0
2014-11-03,2.0,451.0,442.0,442.0,604.0,271504.0,460.0,-18.0
2014-11-05,13.0,434.0,410.0,410.0,2458.0,1035826.0,442.0,-32.0
2014-11-06,6.0,421.0,410.0,421.0,454.0,188568.0,410.0,11.0
2014-11-09,2.0,420.0,413.0,413.0,2345.0,981834.0,421.0,-8.0
2014-11-10,9.0,411.0,400.0,410.0,1523.0,620957.0,413.0,-3.0
2014-11-11,6.0,418.0,402.0,418.0,1894.0,779689.0,410.0,8.0
2014-11-12,6.0,418.0,402.0,402.0,1345.0,557354.0,418.0,-16.0
2014-11-13,5.0,400.0,394.0,400.0,2011.0,799856.0,402.0,-2.0
2014-11-16,17.0,408.0,400.0,405.0,2288.0,922658.0,400.0,5.0
2014-11-17,64.0,445.0,413.0,420.0,13207.0,5705396.0,405.0,15.0
2014-11-18,42.0,444.0,415.0,422.0,11469.0,4852257.0,420.0,2.0
2014-11-19,30.0,428.0,418.0,425.0,3650.0,1549891.0,422.0,3.0
2014-11-20,29.0,433.0,423.0,430.0,6325.0,2714000.0,425.0,5.0
2014-11-23,30.0,438.0,425.0,426.0,4447.0,1911724.0,430.0,-4.0
2014-11-24,21.0,432.0,422.0,422.0,5693.0,2422684.0,426.0,-4.0
