Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-13,1.0,122.0,122.0,122.0,100.0,12200.0,0.0,122.0
2013-03-19,3.0,120.0,116.0,116.0,200.0,23500.0,122.0,-6.0
2013-03-21,6.0,114.0,114.0,114.0,3000.0,342000.0,116.0,-2.0
2013-08-12,1.0,112.0,112.0,112.0,210.0,23520.0,114.0,-2.0
2013-08-13,1.0,110.0,110.0,110.0,110.0,12100.0,112.0,-2.0
2013-12-18,1.0,112.0,112.0,112.0,350.0,39200.0,110.0,2.0
2013-12-22,1.0,114.0,114.0,114.0,200.0,22800.0,112.0,2.0
2013-12-26,1.0,114.0,114.0,114.0,100.0,11400.0,114.0,0.0
2014-01-14,2.0,112.0,110.0,110.0,300.0,33400.0,114.0,-4.0
2014-01-19,1.0,112.0,112.0,112.0,500.0,56000.0,110.0,2.0
2014-01-21,4.0,116.0,113.0,113.0,1460.0,166400.0,112.0,1.0
2014-01-22,6.0,114.0,111.0,114.0,3000.0,338000.0,113.0,1.0
2014-01-23,1.0,112.0,112.0,112.0,100.0,11200.0,114.0,-2.0
2014-01-26,1.0,114.0,114.0,114.0,400.0,45600.0,112.0,2.0
2014-01-27,3.0,114.0,112.0,114.0,2280.0,255620.0,114.0,0.0
2014-01-28,2.0,116.0,116.0,116.0,250.0,29000.0,114.0,2.0
2014-02-05,1.0,118.0,118.0,118.0,200.0,23600.0,116.0,2.0
2014-02-17,1.0,120.0,120.0,120.0,350.0,42000.0,118.0,2.0
2014-02-18,1.0,122.0,122.0,122.0,110.0,13420.0,120.0,2.0
2014-02-23,1.0,124.0,124.0,124.0,1020.0,126480.0,122.0,2.0
2014-02-24,1.0,126.0,126.0,126.0,230.0,28980.0,124.0,2.0
2014-03-04,3.0,128.0,128.0,128.0,960.0,122880.0,126.0,2.0
2014-03-06,1.0,130.0,130.0,130.0,50.0,6500.0,128.0,2.0
2014-03-11,1.0,132.0,132.0,132.0,100.0,13200.0,130.0,2.0
2014-03-13,1.0,134.0,134.0,134.0,50.0,6700.0,132.0,2.0
2014-03-17,1.0,136.0,136.0,136.0,160.0,21760.0,134.0,2.0
2014-03-19,3.0,141.0,138.0,141.0,1450.0,203800.0,136.0,5.0
2014-03-27,1.0,140.0,140.0,140.0,40.0,5600.0,141.0,-1.0
2014-04-10,1.0,138.0,138.0,138.0,60.0,8280.0,140.0,-2.0
2014-06-03,4.0,136.0,130.0,130.0,200.0,26600.0,138.0,-8.0
2014-06-10,3.0,128.0,125.0,125.0,210.0,26690.0,130.0,-5.0
2014-06-16,1.0,127.0,127.0,127.0,1000.0,127000.0,125.0,2.0
2014-06-23,2.0,125.0,123.0,123.0,960.0,119000.0,127.0,-4.0
2014-06-24,3.0,126.0,124.0,124.0,2900.0,362500.0,123.0,1.0
2014-06-25,7.0,127.0,123.0,126.0,4410.0,549630.0,124.0,2.0
2014-06-26,1.0,128.0,128.0,128.0,100.0,12800.0,126.0,2.0
2014-07-01,5.0,138.0,130.0,138.0,4040.0,545200.0,128.0,10.0
