Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-07,3.0,293.0,293.0,293.0,472.0,138296.0,288.0,5.0
2012-06-12,2.0,288.0,283.0,283.0,658.0,188714.0,293.0,-10.0
2012-06-17,1.0,288.0,288.0,288.0,420.0,120960.0,283.0,5.0
2012-07-01,1.0,286.0,286.0,286.0,157.0,44902.0,288.0,-2.0
2012-07-11,10.0,314.0,291.0,314.0,1141.0,348574.0,286.0,28.0
2012-07-17,7.0,345.0,320.0,345.0,160.0,54500.0,314.0,31.0
2012-07-18,6.0,379.0,351.0,379.0,443.0,163515.0,345.0,34.0
2012-07-19,11.0,400.0,379.0,379.0,906.0,349567.0,379.0,0.0
2012-07-23,2.0,375.0,374.0,374.0,58.0,21734.0,379.0,-5.0
2012-07-24,4.0,395.0,381.0,395.0,644.0,249172.0,374.0,21.0
2012-07-26,1.0,388.0,388.0,388.0,16.0,6208.0,395.0,-7.0
2012-07-31,5.0,388.0,381.0,388.0,1437.0,551859.0,388.0,0.0
2012-08-01,3.0,402.0,395.0,396.0,64.0,25394.0,388.0,8.0
2012-08-06,1.0,389.0,389.0,389.0,100.0,38900.0,396.0,-7.0
2012-08-13,1.0,390.0,390.0,390.0,525.0,204750.0,389.0,1.0
2012-08-16,3.0,396.0,385.0,385.0,210.0,81758.0,390.0,-5.0
2012-08-19,3.0,378.0,371.0,371.0,380.0,142450.0,385.0,-14.0
2012-08-28,1.0,364.0,364.0,364.0,10.0,3640.0,371.0,-7.0
2012-08-29,9.0,373.0,340.0,373.0,435.0,150770.0,364.0,9.0
2012-08-30,7.0,376.0,369.0,375.0,1755.0,654645.0,373.0,2.0
2012-09-02,1.0,382.0,382.0,382.0,21.0,8022.0,375.0,7.0
2012-09-03,2.0,376.0,376.0,376.0,796.0,299296.0,382.0,-6.0
2012-09-04,6.0,384.0,377.0,377.0,344.0,131500.0,376.0,1.0
2012-09-05,1.0,384.0,384.0,384.0,42.0,16128.0,377.0,7.0
2012-09-06,3.0,384.0,377.0,377.0,880.0,331830.0,384.0,-7.0
2012-09-09,2.0,375.0,375.0,375.0,420.0,157500.0,377.0,-2.0
2012-09-10,2.0,373.0,368.0,373.0,2000.0,741000.0,375.0,-2.0
2012-09-11,1.0,372.0,372.0,372.0,1000.0,372000.0,373.0,-1.0
2012-09-12,2.0,380.0,374.0,380.0,230.0,87220.0,372.0,8.0
2012-09-16,14.0,418.0,380.0,418.0,2184.0,857209.0,380.0,38.0
2012-09-17,16.0,450.0,426.0,440.0,891.0,390147.0,418.0,22.0
2012-09-18,11.0,433.0,415.0,422.0,1457.0,612409.0,440.0,-18.0
2012-09-19,2.0,430.0,422.0,422.0,50.0,21180.0,422.0,0.0
2012-09-20,3.0,430.0,422.0,424.0,563.0,238744.0,422.0,2.0
2012-09-23,1.0,416.0,416.0,416.0,261.0,108576.0,424.0,-8.0
2012-09-24,3.0,408.0,402.0,402.0,618.0,251886.0,416.0,-14.0
2012-09-25,1.0,405.0,405.0,405.0,50.0,20250.0,402.0,3.0
2012-09-26,3.0,413.0,412.0,413.0,370.0,152710.0,405.0,8.0
2012-09-27,2.0,416.0,411.0,416.0,107.0,44262.0,413.0,3.0
2012-09-30,1.0,420.0,420.0,420.0,100.0,42000.0,416.0,4.0
2012-10-03,1.0,428.0,428.0,428.0,26.0,11128.0,420.0,8.0
2012-10-08,3.0,425.0,417.0,417.0,377.0,159330.0,428.0,-11.0
2012-10-09,1.0,425.0,425.0,425.0,21.0,8925.0,417.0,8.0
2012-10-10,4.0,441.0,432.0,441.0,304.0,131708.0,425.0,16.0
2012-10-30,5.0,474.0,449.0,474.0,69.0,31923.0,441.0,33.0
2012-11-01,8.0,471.0,452.0,452.0,1494.0,696238.0,474.0,-22.0
2012-11-04,5.0,456.0,451.0,456.0,1002.0,455320.0,452.0,4.0
2012-11-05,7.0,465.0,460.0,460.0,730.0,336073.0,456.0,4.0
2012-11-06,5.0,487.0,469.0,478.0,288.0,137925.0,460.0,18.0
2012-11-07,2.0,472.0,471.0,472.0,155.0,73110.0,478.0,-6.0
2012-11-08,10.0,479.0,470.0,475.0,1779.0,842129.0,472.0,3.0
2012-11-11,5.0,474.0,470.0,474.0,494.0,233356.0,475.0,-1.0
2012-11-12,3.0,475.0,470.0,470.0,184.0,86980.0,474.0,-4.0
2012-11-20,4.0,478.0,475.0,476.0,780.0,371114.0,470.0,6.0
2012-11-21,2.0,485.0,484.0,485.0,140.0,67800.0,476.0,9.0
2012-11-22,10.0,499.0,476.0,497.0,1027.0,505881.0,485.0,12.0
2012-11-25,2.0,493.0,493.0,493.0,20.0,9860.0,497.0,-4.0
2012-12-11,1.0,391.0,391.0,391.0,100.0,39100.0,493.0,-102.0
2012-12-13,2.0,405.0,398.0,405.0,100.0,40150.0,391.0,14.0
2012-12-16,3.0,421.0,405.0,421.0,255.0,103755.0,405.0,16.0
2012-12-17,1.0,421.0,421.0,421.0,53.0,22313.0,421.0,0.0
2012-12-20,2.0,437.0,429.0,437.0,40.0,17320.0,421.0,16.0
2012-12-24,1.0,430.0,430.0,430.0,48.0,20640.0,437.0,-7.0
2013-01-13,11.0,443.0,425.0,425.0,4934.0,2146370.0,430.0,-5.0
2013-01-17,3.0,417.0,401.0,401.0,30.0,12270.0,425.0,-24.0
2013-01-21,2.0,400.0,393.0,400.0,77.0,30611.0,401.0,-1.0
2013-01-22,1.0,400.0,400.0,400.0,10.0,4000.0,400.0,0.0
2013-01-23,1.0,407.0,407.0,407.0,12.0,4884.0,400.0,7.0
2013-01-24,4.0,400.0,393.0,393.0,760.0,303930.0,407.0,-14.0
2013-01-27,4.0,391.0,383.0,383.0,112.0,43652.0,393.0,-10.0
2013-01-28,3.0,396.0,389.0,390.0,158.0,61776.0,383.0,7.0
2013-01-30,3.0,383.0,376.0,383.0,41.0,15633.0,390.0,-7.0
2013-01-31,3.0,380.0,375.0,375.0,133.0,50295.0,383.0,-8.0
2013-02-03,3.0,387.0,380.0,387.0,531.0,202760.0,375.0,12.0
2013-02-05,2.0,388.0,381.0,388.0,265.0,102400.0,387.0,1.0
2013-02-07,1.0,390.0,390.0,390.0,150.0,58500.0,388.0,2.0
2013-02-13,2.0,397.0,396.0,397.0,136.0,53898.0,390.0,7.0
2013-02-14,2.0,400.0,395.0,400.0,84.0,33390.0,397.0,3.0
2013-02-17,2.0,408.0,408.0,408.0,52.0,21216.0,400.0,8.0
2013-02-21,4.0,423.0,407.0,407.0,94.0,39266.0,408.0,-1.0
2013-02-24,3.0,399.0,390.0,390.0,41.0,16100.0,407.0,-17.0
2013-02-25,2.0,383.0,380.0,380.0,110.0,41830.0,390.0,-10.0
2013-02-26,2.0,387.0,387.0,387.0,273.0,105651.0,380.0,7.0
2013-02-27,1.0,394.0,394.0,394.0,42.0,16548.0,387.0,7.0
2013-03-05,1.0,390.0,390.0,390.0,95.0,37050.0,394.0,-4.0
2013-03-07,3.0,400.0,393.0,400.0,186.0,73874.0,390.0,10.0
2013-03-11,1.0,400.0,400.0,400.0,392.0,156800.0,400.0,0.0
2013-03-13,1.0,392.0,392.0,392.0,10.0,3920.0,400.0,-8.0
2013-03-18,1.0,399.0,399.0,399.0,94.0,37506.0,392.0,7.0
2013-03-19,3.0,392.0,378.0,378.0,30.0,11550.0,399.0,-21.0
2013-03-21,1.0,365.0,365.0,365.0,10.0,3650.0,371.0,-6.0
2013-03-24,1.0,358.0,358.0,358.0,10.0,3580.0,365.0,-7.0
2013-03-27,10.0,367.0,345.0,367.0,4799.0,1691182.0,358.0,9.0
2013-03-31,1.0,360.0,360.0,360.0,1850.0,666000.0,367.0,-7.0
2013-04-01,1.0,353.0,353.0,353.0,2504.0,883912.0,360.0,-7.0
2013-04-02,2.0,346.0,345.0,345.0,3301.0,1141516.0,353.0,-8.0
2013-04-03,1.0,351.0,351.0,351.0,2029.0,712179.0,345.0,6.0
2013-04-04,1.0,358.0,358.0,358.0,2000.0,716000.0,351.0,7.0
2013-04-07,1.0,360.0,360.0,360.0,2000.0,720000.0,358.0,2.0
2013-04-08,5.0,375.0,355.0,375.0,2168.0,784931.0,360.0,15.0
2013-04-09,1.0,382.0,382.0,382.0,2000.0,764000.0,375.0,7.0
2013-04-11,5.0,387.0,380.0,387.0,1615.0,616458.0,382.0,5.0
2013-04-15,5.0,401.0,380.0,401.0,614.0,239316.0,387.0,14.0
2013-04-16,2.0,393.0,386.0,386.0,20.0,7790.0,401.0,-15.0
2013-04-18,1.0,380.0,380.0,380.0,119.0,45220.0,386.0,-6.0
2013-04-21,1.0,387.0,387.0,387.0,94.0,36378.0,380.0,7.0
2013-04-22,2.0,400.0,394.0,400.0,195.0,77430.0,387.0,13.0
2013-04-23,5.0,408.0,395.0,395.0,514.0,206398.0,400.0,-5.0
2013-04-25,11.0,402.0,401.0,402.0,3099.0,1245402.0,395.0,7.0
2013-04-28,9.0,402.0,398.0,402.0,4008.0,1603330.0,402.0,0.0
2013-04-29,10.0,403.0,395.0,400.0,5803.0,2295367.0,402.0,-2.0
2013-04-30,4.0,401.0,400.0,400.0,1004.0,402061.0,400.0,0.0
2013-05-06,1.0,407.0,407.0,407.0,200.0,81400.0,400.0,7.0
2013-05-07,7.0,431.0,415.0,431.0,1210.0,513264.0,407.0,24.0
2013-05-08,2.0,428.0,426.0,426.0,200.0,85400.0,431.0,-5.0
2013-05-09,2.0,432.0,424.0,432.0,160.0,68000.0,426.0,6.0
2013-05-12,3.0,424.0,420.0,420.0,147.0,62036.0,432.0,-12.0
2013-05-13,2.0,412.0,412.0,412.0,556.0,229072.0,420.0,-8.0
2013-05-19,1.0,420.0,420.0,420.0,200.0,84000.0,412.0,8.0
2013-05-20,1.0,428.0,428.0,428.0,10.0,4280.0,420.0,8.0
2013-05-21,1.0,428.0,428.0,428.0,158.0,67624.0,428.0,0.0
2013-05-22,1.0,433.0,433.0,433.0,20.0,8660.0,428.0,5.0
2013-05-23,14.0,476.0,435.0,476.0,447.0,201589.0,433.0,43.0
2013-05-27,2.0,494.0,485.0,494.0,22.0,10778.0,476.0,18.0
2013-05-30,1.0,503.0,503.0,503.0,12.0,6036.0,494.0,9.0
2013-06-03,5.0,493.0,457.0,457.0,298.0,142279.0,503.0,-46.0
2013-06-04,9.0,455.0,444.0,444.0,1169.0,524335.0,457.0,-13.0
2013-06-05,6.0,455.0,450.0,455.0,2657.0,1205465.0,444.0,11.0
2013-06-09,2.0,450.0,447.0,447.0,653.0,293466.0,455.0,-8.0
2013-06-12,2.0,445.0,445.0,445.0,195.0,86775.0,447.0,-2.0
2013-06-17,2.0,440.0,437.0,437.0,317.0,139354.0,445.0,-8.0
2013-06-19,1.0,437.0,437.0,437.0,53.0,23161.0,437.0,0.0
2013-06-26,1.0,435.0,435.0,435.0,42.0,18270.0,437.0,-2.0
2013-06-27,5.0,430.0,430.0,430.0,525.0,225750.0,435.0,-5.0
2013-06-30,3.0,434.0,430.0,430.0,699.0,300698.0,430.0,0.0
2013-07-03,4.0,446.0,430.0,446.0,589.0,253870.0,430.0,16.0
2013-07-04,2.0,461.0,452.0,461.0,22.0,10043.0,446.0,15.0
2013-07-07,5.0,498.0,470.0,498.0,2017.0,959243.0,461.0,37.0
2013-07-08,2.0,498.0,489.0,498.0,51.0,25038.0,498.0,0.0
2013-07-09,3.0,527.0,507.0,527.0,32.0,16534.0,498.0,29.0
2013-07-10,3.0,536.0,526.0,536.0,61.0,32296.0,527.0,9.0
2013-07-11,1.0,546.0,546.0,546.0,11.0,6006.0,536.0,10.0
2013-07-14,1.0,556.0,556.0,556.0,10.0,5560.0,546.0,10.0
2013-07-15,18.0,554.0,501.0,511.0,1549.0,799563.0,556.0,-45.0
2013-07-16,10.0,501.0,501.0,501.0,220.0,110220.0,511.0,-10.0
