Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-03,558.0,174.0,150.0,171.0,223490.0,37612290.0,0.0,171.0
2013-03-04,470.0,174.0,166.0,168.0,130359.0,22072090.0,171.0,-3.0
2013-03-05,186.0,170.0,162.0,167.0,43648.0,7182993.0,168.0,-1.0
2013-03-06,161.0,171.0,164.0,170.0,34344.0,5749546.0,167.0,3.0
2013-03-07,166.0,169.0,166.0,168.0,30932.0,5196527.0,170.0,-2.0
2013-03-11,229.0,173.0,166.0,170.0,37709.0,6394639.0,168.0,2.0
2013-03-13,213.0,173.0,169.0,170.0,54094.0,9211111.0,170.0,0.0
2013-03-14,216.0,179.0,170.0,170.0,52081.0,8954910.0,170.0,0.0
2013-03-17,150.0,171.0,164.0,170.0,30551.0,5108359.0,170.0,0.0
2013-03-18,122.0,169.0,163.0,166.0,40598.0,6683611.0,170.0,-4.0
2013-03-19,136.0,167.0,163.0,164.0,35073.0,5794325.0,166.0,-2.0
2013-03-21,62.0,165.0,160.0,162.0,20623.0,3347061.0,162.0,0.0
2013-03-24,144.0,162.0,158.0,158.0,29316.0,4661660.0,162.0,-4.0
2013-03-25,190.0,164.0,156.0,160.0,36554.0,5801962.0,158.0,2.0
2013-03-27,59.0,161.0,157.0,160.0,17897.0,2826690.0,160.0,0.0
2013-03-28,58.0,160.0,156.0,159.0,26692.0,4208203.0,160.0,-1.0
2013-03-31,176.0,158.0,154.0,156.0,43059.0,6694879.0,159.0,-3.0
2013-04-01,122.0,158.0,151.0,158.0,25894.0,4016497.0,156.0,2.0
2013-04-02,133.0,160.0,152.0,158.0,26882.0,4202183.0,158.0,0.0
2013-04-03,107.0,160.0,155.0,157.0,36884.0,5798232.0,158.0,-1.0
2013-04-04,116.0,160.0,156.0,158.0,16222.0,2556088.0,157.0,1.0
2013-04-07,161.0,159.0,156.0,159.0,39573.0,6215901.0,158.0,1.0
2013-04-08,130.0,160.0,158.0,159.0,20470.0,3247306.0,159.0,0.0
2013-04-09,207.0,161.0,158.0,160.0,57708.0,9149963.0,159.0,1.0
2013-04-11,201.0,164.0,159.0,161.0,39806.0,6402410.0,160.0,1.0
2013-04-15,151.0,164.0,161.0,164.0,27472.0,4450179.0,161.0,3.0
2013-04-16,131.0,163.0,159.0,161.0,31011.0,4972875.0,164.0,-3.0
2013-04-17,148.0,160.0,158.0,160.0,22719.0,3628596.0,161.0,-1.0
2013-04-18,113.0,161.0,157.0,157.0,37775.0,5984461.0,160.0,-3.0
2013-04-21,111.0,158.0,154.0,155.0,22749.0,3539113.0,157.0,-2.0
2013-04-22,92.0,157.0,152.0,157.0,18922.0,2889171.0,155.0,2.0
2013-04-23,54.0,159.0,155.0,156.0,12834.0,2015793.0,157.0,-1.0
2013-04-25,52.0,157.0,155.0,156.0,9675.0,1506925.0,156.0,0.0
2013-04-28,106.0,156.0,153.0,154.0,14562.0,2247419.0,156.0,-2.0
2013-04-29,75.0,156.0,151.0,155.0,12805.0,1963285.0,154.0,1.0
2013-04-30,63.0,154.0,151.0,153.0,13591.0,2074667.0,155.0,-2.0
2013-05-02,46.0,153.0,149.0,151.0,11957.0,1801043.0,153.0,-2.0
2013-05-05,60.0,155.0,148.0,151.0,15382.0,2305779.0,151.0,0.0
2013-05-06,78.0,151.0,147.0,148.0,16674.0,2469273.0,151.0,-3.0
2013-05-07,55.0,154.0,148.0,152.0,13748.0,2086678.0,148.0,4.0
2013-05-08,104.0,154.0,150.0,152.0,19052.0,2892532.0,152.0,0.0
2013-05-09,55.0,154.0,151.0,151.0,7733.0,1173676.0,152.0,-1.0
2013-05-12,62.0,154.0,149.0,149.0,8393.0,1257801.0,151.0,-2.0
2013-05-13,61.0,153.0,148.0,152.0,10293.0,1550537.0,149.0,3.0
2013-05-14,49.0,153.0,150.0,153.0,5946.0,905946.0,152.0,1.0
2013-05-15,34.0,155.0,150.0,153.0,10634.0,1628681.0,153.0,0.0
2013-05-16,29.0,153.0,150.0,153.0,3589.0,546312.0,153.0,0.0
2013-05-19,75.0,154.0,150.0,150.0,16083.0,2429913.0,153.0,-3.0
2013-05-20,43.0,152.0,151.0,152.0,6540.0,988112.0,150.0,2.0
2013-05-21,93.0,152.0,150.0,152.0,19123.0,2890121.0,152.0,0.0
2013-05-22,56.0,152.0,150.0,151.0,5816.0,878216.0,152.0,-1.0
2013-05-23,39.0,150.0,149.0,150.0,3517.0,524616.0,151.0,-1.0
2013-05-26,110.0,152.0,150.0,151.0,17544.0,2632836.0,150.0,1.0
2013-05-27,98.0,153.0,150.0,153.0,13694.0,2066909.0,151.0,2.0
2013-05-28,46.0,153.0,150.0,150.0,10156.0,1538339.0,153.0,-3.0
2013-05-30,40.0,151.0,150.0,150.0,14056.0,2111471.0,150.0,0.0
2013-06-02,28.0,152.0,148.0,149.0,8389.0,1249773.0,150.0,-1.0
2013-06-03,43.0,150.0,148.0,149.0,21090.0,3143645.0,149.0,0.0
2013-06-04,34.0,150.0,148.0,149.0,3457.0,515199.0,149.0,0.0
2013-06-05,60.0,150.0,147.0,150.0,67545.0,9974253.0,149.0,1.0
2013-06-06,30.0,155.0,150.0,155.0,6722.0,1015396.0,150.0,5.0
2013-06-09,36.0,153.0,150.0,150.0,10202.0,1536374.0,155.0,-5.0
2013-06-10,60.0,151.0,149.0,151.0,5359.0,803180.0,150.0,1.0
2013-06-11,58.0,153.0,149.0,149.0,5966.0,894740.0,151.0,-2.0
2013-06-12,43.0,150.0,148.0,149.0,5222.0,777201.0,149.0,0.0
2013-06-13,49.0,149.0,148.0,149.0,17988.0,2678883.0,149.0,0.0
2013-06-16,18.0,150.0,149.0,149.0,1853.0,276707.0,149.0,0.0
2013-06-17,39.0,149.0,145.0,148.0,11738.0,1735333.0,149.0,-1.0
2013-06-18,58.0,150.0,147.0,147.0,10374.0,1531919.0,148.0,-1.0
2013-06-19,78.0,149.0,145.0,145.0,11256.0,1648142.0,147.0,-2.0
2013-06-20,28.0,148.0,145.0,147.0,5263.0,769363.0,145.0,2.0
2013-06-23,47.0,147.0,143.0,145.0,10805.0,1562968.0,147.0,-2.0
2013-06-24,29.0,146.0,142.0,145.0,8305.0,1192712.0,145.0,0.0
2013-06-25,49.0,149.0,145.0,148.0,7523.0,1105972.0,145.0,3.0
2013-06-26,32.0,151.0,147.0,149.0,3406.0,507780.0,148.0,1.0
2013-06-27,14.0,149.0,146.0,147.0,2875.0,422918.0,149.0,-2.0
2013-06-30,23.0,147.0,145.0,146.0,8262.0,1203593.0,147.0,-1.0
2013-07-01,32.0,146.0,144.0,144.0,6760.0,977894.0,146.0,-2.0
2013-07-02,61.0,144.0,143.0,143.0,14191.0,2029821.0,144.0,-1.0
2013-07-03,55.0,144.0,141.0,144.0,60310.0,8532682.0,143.0,1.0
2013-07-04,10.0,146.0,142.0,144.0,3009.0,429829.0,144.0,0.0
2013-07-07,18.0,148.0,143.0,148.0,5469.0,793101.0,144.0,4.0
2013-07-08,28.0,150.0,147.0,149.0,16983.0,2516109.0,148.0,1.0
2013-07-09,47.0,151.0,147.0,149.0,12422.0,1851063.0,149.0,0.0
2013-07-10,19.0,152.0,148.0,151.0,4115.0,618792.0,149.0,2.0
2013-07-11,6.0,151.0,149.0,149.0,482.0,72044.0,151.0,-2.0
