Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-05-28,9.0,0.0,0.0,0.0,204840.0,11266200.0,97.0,0.0
2017-06-25,2.0,98.0,98.0,98.0,800.0,78400.0,97.0,1.0
2017-07-04,1.0,99.0,99.0,99.0,5160.0,510840.0,98.0,1.0
2017-07-10,3.0,104.0,100.0,104.0,30.0,3060.0,99.0,5.0
2017-07-11,8.0,114.0,106.0,114.0,330.0,37000.0,104.0,10.0
2017-07-12,6.0,125.0,116.0,125.0,60.0,7250.0,114.0,11.0
2017-07-13,6.0,137.0,127.0,137.0,60.0,7920.0,125.0,12.0
2017-07-16,16.0,150.0,139.0,150.0,2340.0,350640.0,137.0,13.0
2017-07-17,22.0,159.0,139.0,141.0,1940.0,280820.0,150.0,-9.0
2017-07-18,13.0,155.0,143.0,155.0,1760.0,267260.0,141.0,14.0
2017-07-19,14.0,163.0,157.0,160.0,950.0,151260.0,155.0,5.0
2017-07-20,12.0,165.0,157.0,165.0,4580.0,738650.0,160.0,5.0
2017-07-23,21.0,181.0,168.0,181.0,5260.0,947200.0,165.0,16.0
2017-07-24,8.0,190.0,184.0,184.0,520.0,97060.0,181.0,3.0
2017-07-25,4.0,181.0,178.0,178.0,260.0,46940.0,184.0,-6.0
2017-07-26,12.0,190.0,175.0,187.0,4170.0,745710.0,178.0,9.0
2017-07-27,7.0,185.0,178.0,178.0,2250.0,406500.0,187.0,-9.0
2017-07-30,13.0,195.0,181.0,195.0,1710.0,328110.0,178.0,17.0
2017-07-31,18.0,214.0,198.0,211.0,3770.0,782740.0,195.0,16.0
2017-08-01,22.0,232.0,215.0,232.0,7030.0,1601390.0,211.0,21.0
2017-08-02,12.0,255.0,236.0,255.0,3010.0,753910.0,232.0,23.0
2017-08-03,16.0,280.0,260.0,280.0,2390.0,668700.0,255.0,25.0
2017-08-06,4.0,290.0,280.0,280.0,1250.0,356500.0,280.0,0.0
2017-08-07,8.0,275.0,252.0,252.0,1070.0,287210.0,280.0,-28.0
2017-08-09,6.0,247.0,235.0,235.0,270.0,63690.0,252.0,-17.0
2017-08-10,30.0,231.0,212.0,212.0,5230.0,1139700.0,235.0,-23.0
2017-08-13,13.0,232.0,216.0,217.0,2290.0,513560.0,212.0,5.0
2017-08-15,17.0,230.0,213.0,230.0,5890.0,1287600.0,217.0,13.0
2017-08-16,19.0,229.0,218.0,218.0,4750.0,1054510.0,230.0,-12.0
2017-08-17,25.0,230.0,206.0,226.0,8200.0,1761800.0,218.0,8.0
2017-08-20,17.0,246.0,226.0,234.0,5200.0,1214480.0,226.0,8.0
2017-08-21,3.0,233.0,230.0,233.0,30.0,6960.0,234.0,-1.0
2017-08-22,7.0,240.0,226.0,226.0,940.0,219780.0,233.0,-7.0
2017-08-23,2.0,225.0,222.0,225.0,240.0,53700.0,226.0,-1.0
2017-08-24,6.0,221.0,213.0,213.0,400.0,86360.0,225.0,-12.0
2017-08-27,6.0,227.0,213.0,227.0,330.0,72010.0,213.0,14.0
2017-09-20,7.0,227.0,207.0,207.0,1110.0,233180.0,227.0,-20.0
2017-09-24,10.0,203.0,193.0,193.0,620.0,121140.0,207.0,-14.0
2017-09-25,2.0,193.0,190.0,193.0,120.0,23070.0,193.0,0.0
2017-10-03,2.0,190.0,190.0,190.0,220.0,41800.0,193.0,-3.0
2017-10-04,10.0,187.0,181.0,181.0,2210.0,407790.0,190.0,-9.0
2017-10-10,2.0,182.0,180.0,182.0,60.0,10820.0,181.0,1.0
2017-10-11,2.0,179.0,176.0,176.0,280.0,49880.0,182.0,-6.0
2017-10-12,7.0,176.0,171.0,171.0,620.0,107420.0,176.0,-5.0
2017-10-15,2.0,170.0,170.0,170.0,400.0,68000.0,171.0,-1.0
2017-10-16,6.0,179.0,173.0,179.0,2410.0,421160.0,170.0,9.0
2017-11-01,8.0,189.0,180.0,186.0,990.0,184770.0,179.0,7.0
2017-11-02,23.0,189.0,187.0,187.0,96970.0,11574700.0,186.0,1.0
2017-11-05,3.0,189.0,186.0,186.0,190.0,35370.0,187.0,-1.0
2017-11-14,1.0,189.0,189.0,189.0,120.0,22680.0,186.0,3.0
2017-11-16,1.0,192.0,192.0,192.0,20.0,3840.0,189.0,3.0
2017-11-19,8.0,195.0,188.0,188.0,270.0,51790.0,192.0,-4.0
2017-11-20,3.0,191.0,191.0,191.0,350.0,66850.0,188.0,3.0
2017-11-21,4.0,194.0,191.0,191.0,460.0,88500.0,191.0,0.0
2017-11-22,6.0,191.0,188.0,188.0,740.0,139570.0,191.0,-3.0
2017-11-23,1.0,188.0,188.0,188.0,300.0,56400.0,188.0,0.0
2017-11-26,3.0,191.0,190.0,191.0,610.0,116010.0,188.0,3.0
2017-11-27,3.0,189.0,186.0,186.0,300.0,56430.0,191.0,-5.0
2017-11-28,5.0,183.0,180.0,180.0,3700.0,671400.0,186.0,-6.0
2017-11-29,4.0,183.0,177.0,183.0,1180.0,210540.0,180.0,3.0
2017-12-04,1.0,180.0,180.0,180.0,200.0,36000.0,183.0,-3.0
2017-12-05,9.0,180.0,177.0,179.0,3970.0,711108.0,180.0,-1.0
2017-12-06,10.0,186.0,177.0,184.0,3240.0,592410.0,179.0,5.0
2017-12-10,2.0,184.0,184.0,184.0,1050.0,193200.0,184.0,0.0
2017-12-11,1.0,187.0,187.0,187.0,500.0,93500.0,184.0,3.0
2017-12-13,12.0,205.0,185.0,205.0,2990.0,574190.0,187.0,18.0
2017-12-14,15.0,225.0,209.0,225.0,1162.0,260374.0,205.0,20.0
2017-12-17,9.0,221.0,210.0,210.0,1240.0,266760.0,225.0,-15.0
2017-12-18,3.0,206.0,199.0,199.0,260.0,52570.0,210.0,-11.0
2017-12-19,11.0,205.0,197.0,205.0,7220.0,1443460.0,199.0,6.0
2017-12-20,1.0,209.0,209.0,209.0,22.0,4598.0,205.0,4.0
2017-12-21,4.0,205.0,201.0,201.0,600.0,122800.0,209.0,-8.0
2017-12-24,1.0,205.0,205.0,205.0,100.0,20500.0,201.0,4.0
2017-12-27,3.0,205.0,201.0,201.0,80.0,16280.0,205.0,-4.0
2018-01-02,2.0,198.0,195.0,195.0,20.0,3930.0,201.0,-6.0
2018-01-03,3.0,193.0,190.0,190.0,510.0,98400.0,195.0,-5.0
2018-01-04,3.0,193.0,192.0,193.0,190.0,36610.0,190.0,3.0
2018-01-09,1.0,196.0,196.0,196.0,10.0,1960.0,193.0,3.0
2018-01-10,4.0,202.0,198.0,202.0,1020.0,202510.0,196.0,6.0
2018-01-14,1.0,206.0,206.0,206.0,500.0,103000.0,202.0,4.0
2018-01-16,7.0,206.0,200.0,200.0,1930.0,391780.0,206.0,-6.0
2018-01-17,2.0,200.0,200.0,200.0,100.0,20000.0,200.0,0.0
2018-01-21,4.0,204.0,200.0,204.0,660.0,134400.0,200.0,4.0
2018-01-22,2.0,200.0,196.0,196.0,232.0,46272.0,204.0,-8.0
2018-01-25,5.0,195.0,191.0,195.0,2030.0,395060.0,196.0,-1.0
2018-01-28,3.0,198.0,198.0,198.0,390.0,77220.0,195.0,3.0
2018-01-29,2.0,198.0,195.0,195.0,1030.0,200940.0,198.0,-3.0
2018-02-04,10.0,192.0,186.0,189.0,1020.0,193590.0,195.0,-6.0
2018-02-06,1.0,187.0,187.0,187.0,100.0,18700.0,189.0,-2.0
2018-02-07,1.0,190.0,190.0,190.0,10.0,1900.0,187.0,3.0
2018-02-11,1.0,187.0,187.0,187.0,100.0,18700.0,190.0,-3.0
2018-02-18,1.0,188.0,188.0,188.0,100.0,18800.0,187.0,1.0
2018-02-20,1.0,186.0,186.0,186.0,10.0,1860.0,188.0,-2.0
2018-04-19,3.0,189.0,187.0,187.0,210.0,39390.0,186.0,1.0
2018-04-22,4.0,190.0,187.0,187.0,832.0,155740.0,187.0,0.0
2018-04-23,2.0,190.0,189.0,190.0,780.0,147520.0,187.0,3.0
2018-04-24,3.0,196.0,193.0,193.0,30.0,5820.0,190.0,3.0
2018-04-25,3.0,196.0,195.0,195.0,120.0,23410.0,193.0,2.0
2018-04-26,7.0,206.0,198.0,198.0,230.0,45900.0,195.0,3.0
2018-04-29,2.0,198.0,195.0,195.0,570.0,112260.0,198.0,-3.0
2018-05-06,1.0,192.0,192.0,192.0,20.0,3840.0,195.0,-3.0
2018-05-07,1.0,189.0,189.0,189.0,50.0,9450.0,192.0,-3.0
2018-05-17,2.0,189.0,186.0,189.0,60.0,11190.0,189.0,0.0
2018-05-28,4.0,192.0,186.0,192.0,550.0,102510.0,189.0,3.0
2018-05-30,7.0,201.0,193.0,193.0,140.0,27500.0,192.0,1.0
2018-05-31,3.0,196.0,190.0,190.0,31.0,5980.0,193.0,-3.0
2018-06-21,1.0,193.0,193.0,193.0,90.0,17370.0,190.0,3.0
2018-06-27,1.0,190.0,190.0,190.0,100.0,19000.0,193.0,-3.0
2018-07-04,1.0,189.0,189.0,189.0,150.0,28350.0,190.0,-1.0
2018-07-15,1.0,186.0,186.0,186.0,30.0,5580.0,189.0,-3.0
2018-07-17,1.0,183.0,183.0,183.0,100.0,18300.0,186.0,-3.0
2018-07-25,1.0,186.0,186.0,186.0,10.0,1860.0,183.0,3.0
2018-07-29,7.0,183.0,168.0,168.0,420.0,72900.0,186.0,-18.0
2018-07-30,14.0,165.0,152.0,152.0,1470.0,228990.0,168.0,-16.0
2018-07-31,15.0,151.0,137.0,137.0,990.0,139330.0,152.0,-15.0
2018-08-01,9.0,135.0,124.0,124.0,400.0,50500.0,137.0,-13.0
2018-08-02,18.0,122.0,112.0,112.0,1520.0,173910.0,124.0,-12.0
2018-08-05,55.0,123.0,101.0,123.0,13227.0,1456047.0,112.0,11.0
2018-08-06,7.0,108.0,105.0,105.0,470.0,50110.0,109.0,-4.0
2018-08-08,1.0,103.0,103.0,103.0,100.0,10300.0,105.0,-2.0
2018-08-09,3.0,103.0,101.0,103.0,400.0,40600.0,103.0,0.0
2018-08-12,1.0,102.0,102.0,102.0,120.0,12240.0,103.0,-1.0
2018-08-14,5.0,108.0,102.0,108.0,960.0,99540.0,102.0,6.0
2018-08-15,3.0,114.0,110.0,114.0,241.0,27166.0,108.0,6.0
2018-08-16,1.0,112.0,112.0,112.0,200.0,22400.0,114.0,-2.0
2018-08-21,1.0,110.0,110.0,110.0,70.0,7700.0,112.0,-2.0
