Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-02-07,3.0,164.0,161.0,164.0,30.0,4860.0,161.0,3.0
2021-02-08,6.0,173.0,159.0,173.0,50.0,8294.0,164.0,9.0
2021-02-09,4.0,176.0,168.0,176.0,30.0,5189.0,173.0,3.0
2021-02-10,4.0,179.0,176.0,179.0,20.0,3552.0,176.0,3.0
2021-02-11,3.0,188.0,182.0,188.0,30.0,5550.0,179.0,9.0
2021-02-14,2.0,194.0,191.0,194.0,20.0,3850.0,188.0,6.0
2021-02-15,2.0,200.0,197.0,200.0,20.0,3970.0,194.0,6.0
2021-02-16,10.0,220.0,204.0,220.0,100.0,21600.0,200.0,20.0
2021-02-17,8.0,225.0,217.0,225.0,65.0,14285.0,220.0,5.0
2021-02-18,5.0,245.0,229.0,245.0,50.0,11850.0,225.0,20.0
2021-02-21,12.0,269.0,249.0,269.0,120.0,31740.0,245.0,24.0
2021-02-22,5.0,295.0,280.0,295.0,50.0,14450.0,269.0,26.0
2021-02-23,5.0,312.0,300.0,312.0,50.0,15420.0,295.0,17.0
2021-02-24,20.0,343.0,295.0,343.0,190.0,62000.0,312.0,31.0
2021-02-25,19.0,377.0,337.0,377.0,185.0,68265.0,343.0,34.0
2021-02-28,15.0,414.0,395.0,414.0,150.0,61750.0,377.0,37.0
2021-03-01,20.0,455.0,422.0,455.0,161.0,71894.0,414.0,41.0
2021-03-02,21.0,500.0,459.0,500.0,205.0,100940.0,455.0,45.0
2021-03-03,55.0,550.0,525.0,550.0,531.0,291063.0,500.0,50.0
2021-03-04,73.0,605.0,577.0,605.0,716.0,432098.0,550.0,55.0
2021-03-07,94.0,665.0,635.0,665.0,910.0,603035.0,605.0,60.0
2021-03-09,164.0,731.0,698.0,731.0,1629.0,1188559.0,665.0,66.0
2021-03-10,214.0,804.0,767.0,804.0,2130.0,1711100.0,731.0,73.0
2021-03-14,386.0,884.0,844.0,884.0,3840.0,3385050.0,804.0,80.0
2021-03-15,446.0,972.0,928.0,972.0,4377.0,4249434.0,884.0,88.0
2021-03-16,716.0,1069.0,1020.0,1069.0,7206.0,7696464.0,972.0,97.0
2021-03-17,510.0,1175.0,1122.0,1175.0,5090.0,5967520.0,1069.0,106.0
2021-03-18,731.0,1292.0,1233.0,1292.0,7276.0,9390112.0,1175.0,117.0
2021-03-21,886.0,1421.0,1356.0,1421.0,10784.0,15299144.0,1292.0,129.0
2021-03-22,1134.0,1563.0,1492.0,1563.0,17549.0,27418297.0,1421.0,142.0
2021-03-23,1535.0,1719.0,1641.0,1719.0,19797.0,34010403.0,1563.0,156.0
2021-03-24,1108.0,1890.0,1804.0,1890.0,17362.0,32799280.0,1719.0,171.0
2021-03-25,2624.0,2079.0,1984.0,2079.0,30820.0,64053230.0,1890.0,189.0
2021-03-29,13334.0,2286.0,1872.0,1930.0,183623.0,370776490.0,2079.0,-149.0
2021-03-30,8168.0,2079.0,1850.0,2050.0,84925.0,162313755.0,1930.0,120.0
2021-03-31,2144.0,2170.0,2050.0,2120.0,31955.0,67379324.0,2050.0,70.0
2021-04-01,1826.0,2120.0,2037.0,2050.0,34884.0,72097828.0,2120.0,-70.0
2021-04-04,1913.0,2100.0,1980.0,2009.0,45782.0,91733123.0,2050.0,-41.0
2021-04-05,3006.0,2185.0,1980.0,2131.0,72510.0,151892196.0,2009.0,122.0
2021-04-06,2398.0,2344.0,2108.0,2344.0,56311.0,129057098.0,2131.0,213.0
2021-04-07,2086.0,2578.0,2355.0,2578.0,58262.0,148528528.0,2344.0,234.0
2021-04-08,2674.0,2800.0,2500.0,2625.0,84315.0,224411844.0,2578.0,47.0
2021-04-12,1965.0,2660.0,2532.0,2552.0,55263.0,142746491.0,2625.0,-73.0
2021-04-13,1611.0,2560.0,2485.0,2485.0,43878.0,110236690.0,2552.0,-67.0
2021-04-15,1348.0,2550.0,2405.0,2490.0,33584.0,83617354.0,2485.0,5.0
2021-04-18,1532.0,2520.0,2409.0,2409.0,38573.0,93992451.0,2490.0,-81.0
2021-04-19,3730.0,2329.0,2169.0,2180.0,98372.0,218512957.0,2409.0,-229.0
2021-04-20,2025.0,2240.0,2071.0,2197.0,34463.0,74570201.0,2180.0,17.0
2021-04-21,812.0,2280.0,2160.0,2185.0,16027.0,35429755.0,2197.0,-12.0
2021-04-22,865.0,2228.0,2122.0,2135.0,17055.0,36732068.0,2185.0,-50.0
2021-04-25,1896.0,2093.0,1941.0,1955.0,54284.0,108769698.0,2135.0,-180.0
2021-04-26,1159.0,2019.0,1890.0,1924.0,32988.0,64244741.0,1955.0,-31.0
2021-04-27,577.0,1969.0,1896.0,1950.0,16883.0,32852867.0,1924.0,26.0
2021-04-28,408.0,1990.0,1911.0,1927.0,13540.0,26294805.0,1950.0,-23.0
2021-04-29,641.0,1943.0,1894.0,1902.0,19104.0,36494862.0,1927.0,-25.0
2021-05-02,1573.0,2066.0,1824.0,1986.0,48659.0,91898411.0,1902.0,84.0
2021-05-03,686.0,2050.0,1900.0,1969.0,19189.0,38394541.0,1986.0,-17.0
2021-05-04,491.0,2000.0,1920.0,1930.0,17048.0,33193996.0,1969.0,-39.0
2021-05-05,529.0,1949.0,1898.0,1898.0,17812.0,34111276.0,1930.0,-32.0
2021-05-06,664.0,1930.0,1804.0,1871.0,17620.0,33171635.0,1898.0,-27.0
2021-05-09,730.0,1869.0,1825.0,1830.0,19029.0,34985561.0,1871.0,-41.0
2021-05-10,548.0,1872.0,1800.0,1845.0,14311.0,26341501.0,1830.0,15.0
2021-05-11,331.0,1879.0,1832.0,1859.0,9113.0,16894734.0,1845.0,14.0
2021-05-12,289.0,1860.0,1840.0,1850.0,6492.0,11987007.0,1859.0,-9.0
