Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-08-03,33.0,323.0,294.0,323.0,775.0,244637.0,0.0,323.0
2017-08-06,519.0,355.0,300.0,316.0,10396.0,3333783.0,323.0,-7.0
2017-08-07,277.0,312.0,285.0,285.0,4374.0,1288178.0,316.0,-31.0
2017-08-09,117.0,280.0,257.0,260.0,5869.0,1515113.0,285.0,-25.0
2017-08-10,55.0,260.0,238.0,260.0,2022.0,506640.0,260.0,0.0
2017-08-13,24.0,257.0,239.0,243.0,379.0,92619.0,260.0,-17.0
2017-08-15,34.0,240.0,220.0,221.0,608.0,136848.0,243.0,-22.0
2017-08-16,28.0,227.0,217.0,217.0,528.0,117122.0,221.0,-4.0
2017-08-17,30.0,214.0,209.0,211.0,628.0,132194.0,217.0,-6.0
2017-08-20,41.0,215.0,207.0,210.0,700.0,146070.0,211.0,-1.0
2017-08-21,64.0,218.0,197.0,201.0,1788.0,372928.0,210.0,-9.0
2017-08-22,87.0,207.0,198.0,200.0,6521.0,1327556.0,201.0,-1.0
2017-08-23,64.0,199.0,187.0,187.0,3955.0,757350.0,200.0,-13.0
2017-08-24,41.0,195.0,181.0,195.0,4342.0,834660.0,187.0,8.0
2017-08-27,72.0,200.0,193.0,200.0,2006.0,391950.0,195.0,5.0
2017-08-28,25.0,201.0,195.0,201.0,280.0,55418.0,200.0,1.0
2017-08-30,20.0,202.0,197.0,197.0,1851.0,370363.0,201.0,-4.0
2017-08-31,31.0,196.0,188.0,195.0,487.0,94427.0,197.0,-2.0
2017-09-04,27.0,192.0,186.0,186.0,1582.0,299059.0,195.0,-9.0
2017-09-06,24.0,190.0,186.0,190.0,370.0,69632.0,186.0,4.0
2017-09-07,33.0,190.0,183.0,183.0,1146.0,211837.0,190.0,-7.0
2017-09-10,50.0,183.0,174.0,177.0,968.0,172121.0,183.0,-6.0
2017-09-11,15.0,175.0,166.0,166.0,179.0,30998.0,177.0,-11.0
2017-09-12,5.0,165.0,164.0,164.0,98.0,16116.0,166.0,-2.0
2017-09-13,11.0,163.0,156.0,163.0,184.0,29485.0,164.0,-1.0
2017-09-14,11.0,163.0,160.0,163.0,407.0,65918.0,163.0,0.0
2017-09-17,15.0,165.0,158.0,159.0,248.0,39778.0,163.0,-4.0
