Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-11-26,1.0,318.0,318.0,318.0,10.0,3180.0,0.0,318.0
2015-12-07,10.0,349.0,324.0,349.0,100.0,34250.0,318.0,31.0
2015-12-08,14.0,383.0,366.0,383.0,140.0,53320.0,349.0,34.0
2015-12-09,9.0,421.0,390.0,421.0,90.0,37070.0,383.0,38.0
2015-12-10,52.0,463.0,429.0,463.0,525.0,242185.0,421.0,42.0
2015-12-13,5.0,508.0,472.0,508.0,50.0,24500.0,463.0,45.0
2015-12-14,7.0,558.0,518.0,558.0,85.0,46280.0,508.0,50.0
2015-12-15,4.0,602.0,569.0,602.0,40.0,23420.0,558.0,44.0
2015-12-16,20.0,662.0,614.0,662.0,235.0,154370.0,602.0,60.0
2015-12-17,54.0,728.0,675.0,728.0,785.0,569485.0,662.0,66.0
2015-12-20,492.0,800.0,742.0,800.0,6487.0,5185755.0,728.0,72.0
2015-12-21,1192.0,816.0,720.0,770.0,14075.0,10679313.0,800.0,-30.0
2015-12-22,639.0,831.0,751.0,815.0,7071.0,5559570.0,770.0,45.0
2015-12-23,773.0,869.0,799.0,867.0,10381.0,8661907.0,815.0,52.0
2015-12-24,729.0,953.0,851.0,953.0,12521.0,11611687.0,867.0,86.0
2015-12-27,629.0,1000.0,940.0,1000.0,9368.0,9080286.0,953.0,47.0
2015-12-28,622.0,1000.0,952.0,1000.0,8182.0,7986926.0,1000.0,0.0
2015-12-29,654.0,1014.0,970.0,1000.0,9367.0,9262423.0,1000.0,0.0
2015-12-31,515.0,1080.0,996.0,1040.0,8498.0,8617383.0,1000.0,40.0
2016-01-03,305.0,1050.0,1000.0,1030.0,4637.0,4742675.0,1040.0,-10.0
2016-01-04,200.0,1035.0,980.0,1000.0,3140.0,3169471.0,1030.0,-30.0
2016-01-05,239.0,994.0,962.0,962.0,4895.0,4779025.0,1000.0,-38.0
2016-01-06,237.0,965.0,920.0,927.0,4499.0,4199115.0,962.0,-35.0
2016-01-07,194.0,940.0,910.0,932.0,3829.0,3544777.0,927.0,5.0
2016-01-10,330.0,932.0,890.0,895.0,4093.0,3698063.0,932.0,-37.0
2016-01-11,423.0,900.0,870.0,900.0,6454.0,5728482.0,895.0,5.0
2016-01-12,473.0,933.0,870.0,933.0,7173.0,6352750.0,900.0,33.0
2016-01-13,343.0,933.0,906.0,917.0,5757.0,5298145.0,933.0,-16.0
2016-01-14,487.0,976.0,911.0,950.0,9629.0,9103348.0,917.0,33.0
2016-01-21,5.0,1045.0,969.0,1045.0,50.0,50360.0,950.0,95.0
2016-01-24,5.0,1149.0,1065.0,1149.0,50.0,55360.0,1045.0,104.0
2016-01-25,10.0,1263.0,1171.0,1263.0,795.0,996545.0,1149.0,114.0
2016-01-26,15.0,1365.0,1263.0,1310.0,1326.0,1724538.0,1263.0,47.0
2016-01-27,17.0,1284.0,1200.0,1200.0,2165.0,2627240.0,1310.0,-110.0
2016-01-28,24.0,1225.0,1080.0,1100.0,2015.0,2251240.0,1200.0,-100.0
2016-01-31,26.0,1210.0,1122.0,1190.0,2725.0,3234500.0,1100.0,90.0
2016-02-01,27.0,1260.0,1190.0,1224.0,3505.0,4245965.0,1190.0,34.0
2016-02-02,17.0,1248.0,1186.0,1186.0,2207.0,2700745.0,1224.0,-38.0
2016-02-03,40.0,1244.0,1177.0,1200.0,4417.0,5296841.0,1186.0,14.0
2016-02-04,37.0,1224.0,1165.0,1165.0,6433.0,7723640.0,1200.0,-35.0
2016-02-07,10.0,1164.0,1142.0,1153.0,1133.0,1305482.0,1165.0,-12.0
2016-02-08,17.0,1130.0,1080.0,1100.0,1510.0,1653810.0,1153.0,-53.0
2016-02-11,7.0,1078.0,1060.0,1065.0,225.0,240775.0,1100.0,-35.0
2016-02-14,3.0,1086.0,1050.0,1050.0,315.0,333840.0,1065.0,-15.0
2016-02-15,11.0,1030.0,1005.0,1009.0,1860.0,1884410.0,1050.0,-41.0
2016-02-16,21.0,1050.0,1020.0,1050.0,3265.0,3374915.0,1009.0,41.0
2016-02-17,8.0,1071.0,1050.0,1050.0,445.0,470365.0,1050.0,0.0
2016-02-18,16.0,1069.0,1015.0,1035.0,1895.0,1961460.0,1050.0,-15.0
2016-02-22,7.0,1035.0,1025.0,1035.0,525.0,543075.0,1035.0,0.0
2016-02-23,8.0,1025.0,1005.0,1015.0,165.0,167075.0,1035.0,-20.0
2016-02-24,5.0,1001.0,995.0,999.0,372.0,371660.0,1015.0,-16.0
2016-02-25,7.0,1038.0,999.0,1038.0,165.0,167235.0,999.0,39.0
2016-02-28,3.0,1020.0,1001.0,1001.0,75.0,76200.0,1038.0,-37.0
2016-02-29,46.0,1101.0,1021.0,1101.0,2561.0,2774221.0,1001.0,100.0
2016-03-01,21.0,1142.0,1100.0,1130.0,875.0,977120.0,1101.0,29.0
2016-03-02,33.0,1175.0,1126.0,1160.0,3048.0,3478522.0,1130.0,30.0
2016-03-03,42.0,1206.0,1150.0,1165.0,3528.0,4184288.0,1160.0,5.0
2016-03-06,39.0,1225.0,1150.0,1225.0,2590.0,3118870.0,1165.0,60.0
2016-03-10,69.0,1347.0,1240.0,1347.0,4977.0,6405932.0,1225.0,122.0
2016-03-13,7.0,1373.0,1299.0,1299.0,980.0,1312680.0,1347.0,-48.0
2016-03-14,25.0,1274.0,1201.0,1273.0,2640.0,3227780.0,1299.0,-26.0
2016-03-15,28.0,1248.0,1205.0,1229.0,1533.0,1887250.0,1273.0,-44.0
2016-03-16,19.0,1255.0,1206.0,1255.0,538.0,663562.0,1229.0,26.0
2016-03-17,14.0,1255.0,1225.0,1225.0,706.0,880375.0,1255.0,-30.0
2016-03-20,14.0,1235.0,1212.0,1220.0,920.0,1127745.0,1225.0,-5.0
