Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-04-24,1.0,10.0,10.0,10.0,1000.0,10000.0,0.0,10.0
2018-04-29,3.0,9.8,9.8,9.8,1000.0,9800.0,10.0,-0.2
2018-05-02,3.0,9.79,9.6,9.79,700.0,6777.0,9.8,-0.01
2018-05-03,1.0,9.85,9.85,9.85,1000.0,9850.0,9.79,0.06
2018-05-06,3.0,9.65,9.51,9.51,7900.0,75255.0,9.85,-0.34
2018-05-08,3.0,9.51,9.32,9.51,1100.0,10276.0,9.51,0.0
2018-05-09,2.0,9.33,9.3,9.3,1000.0,9315.0,9.51,-0.21
2018-05-10,2.0,9.32,9.31,9.32,1000.0,9315.0,9.3,0.02
2018-05-16,1.0,9.35,9.35,9.35,500.0,4675.0,9.32,0.03
2018-05-22,1.0,9.35,9.35,9.35,200.0,1870.0,9.35,0.0
2018-05-29,4.0,9.6,9.4,9.6,1400.0,13397.0,9.35,0.25
2018-05-31,1.0,9.6,9.6,9.6,4500.0,43200.0,9.6,0.0
2018-06-04,4.0,9.48,9.41,9.48,3100.0,29381.0,9.6,-0.12
2018-06-10,2.0,9.32,9.32,9.32,600.0,5592.0,9.48,-0.16
2018-06-11,5.0,9.5,9.4,9.5,7100.0,67350.0,9.32,0.18
2018-06-12,2.0,9.6,9.5,9.6,10000.0,95500.0,9.5,0.1
2018-06-17,4.0,9.43,9.42,9.42,7000.0,65970.0,9.6,-0.18
2018-06-18,1.0,9.42,9.42,9.42,500.0,4710.0,9.42,0.0
2018-06-19,1.0,9.36,9.36,9.36,100.0,936.0,9.42,-0.06
2018-06-21,1.0,9.36,9.36,9.36,500.0,4680.0,9.36,0.0
2018-06-27,1.0,9.36,9.36,9.36,1000.0,9360.0,9.36,0.0
2018-07-01,5.0,9.17,9.0,9.17,2200.0,20140.0,9.36,-0.19
2018-07-02,2.0,9.17,9.17,9.17,2000.0,18340.0,9.17,0.0
2018-07-04,3.0,9.17,9.07,9.07,1500.0,13705.0,9.17,-0.1
2018-07-08,1.0,9.07,9.07,9.07,300.0,2721.0,9.07,0.0
2018-07-10,1.0,9.07,9.07,9.07,1625.0,14738.75,9.07,0.0
2018-07-11,1.0,9.07,9.07,9.07,1000.0,9070.0,9.07,0.0
