Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-07-09,3.0,209.0,209.0,209.0,60000.0,12540000.0,205.0,4.0
2017-07-23,2.0,209.0,209.0,209.0,26976.0,5637984.0,209.0,0.0
2017-07-26,3.0,209.0,209.0,209.0,100519.0,21008471.0,209.0,0.0
2017-09-07,1.0,209.0,209.0,209.0,6000.0,1254000.0,209.0,0.0
2017-09-20,1.0,209.0,209.0,209.0,9520.0,1989680.0,209.0,0.0
2017-10-25,1.0,209.0,209.0,209.0,22750.0,4754750.0,209.0,0.0
2017-10-29,1.0,209.0,209.0,209.0,22000.0,4598000.0,209.0,0.0
2017-11-30,1.0,209.0,209.0,209.0,64817.0,13546753.0,209.0,0.0
2017-12-06,1.0,205.0,205.0,205.0,11352.0,2327160.0,209.0,-4.0
2018-01-14,1.0,205.0,205.0,205.0,11000.0,2255000.0,205.0,0.0
2018-02-15,1.0,205.0,205.0,205.0,16202.0,3321410.0,205.0,0.0
2018-02-22,5.0,205.0,201.0,201.0,27339.0,5541299.0,205.0,-4.0
2018-02-28,1.0,197.0,197.0,197.0,12693.0,2500521.0,201.0,-4.0
2018-03-11,1.0,194.0,194.0,194.0,19847.0,3850318.0,197.0,-3.0
2018-03-13,1.0,191.0,191.0,191.0,1683.0,321453.0,194.0,-3.0
2018-03-27,1.0,191.0,191.0,191.0,5000.0,955000.0,191.0,0.0
2018-03-28,1.0,188.0,188.0,188.0,3005.0,564940.0,191.0,-3.0
2018-03-29,1.0,185.0,185.0,185.0,40908.0,7567980.0,188.0,-3.0
2018-04-16,9.0,182.0,182.0,182.0,17500.0,3185000.0,185.0,-3.0
2018-04-29,1.0,182.0,182.0,182.0,14625.0,2661750.0,182.0,0.0
2018-05-03,1.0,182.0,182.0,182.0,12500.0,2275000.0,182.0,0.0
2018-05-21,2.0,182.0,182.0,182.0,78210.0,14234220.0,182.0,0.0
2018-05-27,2.0,0.0,0.0,0.0,34200.0,3420000.0,182.0,0.0
2018-05-31,9.0,179.0,179.0,179.0,25962.0,4647198.0,182.0,-3.0
2018-06-14,1.0,176.0,176.0,176.0,20000.0,3520000.0,179.0,-3.0
2018-06-19,1.0,173.0,173.0,173.0,19906.0,3443738.0,176.0,-3.0
2018-06-21,1.0,173.0,173.0,173.0,15624.0,2702952.0,173.0,0.0
2018-07-15,4.0,173.0,173.0,173.0,74710.0,12924830.0,173.0,0.0
2018-07-16,1.0,170.0,170.0,170.0,25925.0,4407250.0,173.0,-3.0
2018-07-25,2.0,170.0,170.0,170.0,21000.0,3570000.0,170.0,0.0
2018-07-31,1.0,170.0,170.0,170.0,5000.0,850000.0,170.0,0.0
2018-08-20,2.0,167.0,167.0,167.0,33311.0,5562937.0,170.0,-3.0
2018-08-23,1.0,167.0,167.0,167.0,20000.0,3340000.0,167.0,0.0
2018-08-28,1.0,167.0,167.0,167.0,25000.0,4175000.0,167.0,0.0
2018-08-30,1.0,164.0,164.0,164.0,9275.0,1521100.0,167.0,-3.0
2018-09-09,1.0,161.0,161.0,161.0,69393.0,11172273.0,164.0,-3.0
2018-09-27,7.0,161.0,161.0,161.0,12600.0,2028600.0,161.0,0.0
2018-10-02,1.0,161.0,161.0,161.0,10000.0,1610000.0,161.0,0.0
2018-10-09,2.0,158.0,158.0,158.0,16047.0,2535426.0,161.0,-3.0
2018-10-24,9.0,155.0,150.0,150.0,12600.0,1891617.0,158.0,-8.0
2018-11-05,2.0,150.0,150.0,150.0,10000.0,1500000.0,150.0,0.0
2018-11-13,1.0,150.0,147.0,147.0,8971.0,1318737.0,150.0,-3.0
2018-11-27,1.0,147.0,145.0,145.0,15024.0,2178480.0,147.0,-2.0
2018-12-04,1.0,145.0,145.0,145.0,21024.0,3048480.0,145.0,0.0
2018-12-06,1.0,145.0,145.0,145.0,23625.0,3425625.0,145.0,0.0
2018-12-25,2.0,145.0,145.0,145.0,19948.0,2892460.0,145.0,0.0
2019-01-21,1.0,145.0,143.0,143.0,40000.0,5720000.0,145.0,-2.0
2019-01-27,1.0,143.0,143.0,143.0,781.0,111683.0,143.0,0.0
2019-02-25,3.0,143.0,140.0,140.0,20726.0,2919741.0,143.0,-3.0
2019-02-26,1.0,140.0,140.0,140.0,210.0,29400.0,140.0,0.0
2019-02-27,1.0,140.0,140.0,140.0,24941.0,3491740.0,140.0,0.0
2019-03-07,2.0,140.0,140.0,140.0,20995.0,2939300.0,140.0,0.0
2019-03-12,2.0,140.0,140.0,140.0,14929.0,2090060.0,140.0,0.0
2019-03-28,1.0,140.0,140.0,140.0,3150.0,441000.0,140.0,0.0
2019-04-04,1.0,140.0,140.0,140.0,9500.0,1330000.0,140.0,0.0
2019-04-11,1.0,140.0,140.0,140.0,3150.0,441000.0,140.0,0.0
2019-04-29,1.0,140.0,140.0,140.0,2151.0,301140.0,140.0,0.0
2019-05-19,1.0,140.0,140.0,140.0,7000.0,980000.0,140.0,0.0
2019-06-03,1.0,140.0,140.0,140.0,9450.0,1323000.0,140.0,0.0
2019-06-26,2.0,140.0,138.0,138.0,47423.0,6586374.0,140.0,-2.0
2019-06-27,1.0,138.0,138.0,138.0,21327.0,2943126.0,138.0,0.0
2019-07-21,2.0,136.0,136.0,136.0,17753.0,2414408.0,138.0,-2.0
2019-08-18,1.0,134.0,134.0,134.0,1000.0,134000.0,136.0,-2.0
2019-09-02,2.0,132.0,132.0,132.0,36182.0,4776024.0,134.0,-2.0
2019-09-09,2.0,132.0,130.0,130.0,65220.0,8487600.0,132.0,-2.0
2019-09-11,1.0,130.0,130.0,130.0,38068.0,4948840.0,130.0,0.0
2019-09-19,2.0,128.0,126.0,126.0,28580.0,3629660.0,130.0,-4.0
2019-09-22,1.0,124.0,124.0,124.0,18808.0,2332192.0,126.0,-2.0
2019-09-24,1.0,124.0,124.0,124.0,13721.0,1701404.0,124.0,0.0
2019-09-25,1.0,122.0,122.0,122.0,37322.0,4553284.0,124.0,-2.0
2019-09-29,1.0,122.0,122.0,122.0,13000.0,1586000.0,122.0,0.0
2019-11-04,1.0,120.0,120.0,120.0,376.0,45120.0,122.0,-2.0
2019-11-13,1.0,120.0,120.0,120.0,2.0,240.0,120.0,0.0
