Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-08-04,2.0,1100.0,1100.0,1100.0,17629.0,19391900.0,1110.0,-10.0
2018-03-11,1.0,500.0,500.0,500.0,2297.0,1148500.0,500.0,0.0
2018-09-04,3.0,490.0,490.0,490.0,8000.0,3920000.0,490.0,0.0
2019-01-09,16.0,490.0,490.0,490.0,523066.0,58603781.0,490.0,0.0
2019-04-23,3.0,564.0,564.0,564.0,45000.0,25380000.0,564.0,0.0
2019-05-19,1.0,564.0,564.0,564.0,11800.0,6655200.0,564.0,0.0
2019-06-23,3.0,510.0,510.0,510.0,31172.0,15897720.0,510.0,0.0
2019-06-24,3.0,500.0,500.0,500.0,2560.0,1280000.0,510.0,-10.0
2019-07-18,9.0,490.0,490.0,490.0,105650.0,51768500.0,500.0,-10.0
2019-07-21,2.0,490.0,490.0,490.0,12400.0,6076000.0,490.0,0.0
2019-08-07,1.0,481.0,481.0,481.0,10000.0,4810000.0,490.0,-9.0
2019-08-08,1.0,481.0,481.0,481.0,10000.0,4810000.0,481.0,0.0
2019-08-25,5.0,481.0,481.0,481.0,66800.0,32130800.0,481.0,0.0
2019-08-28,1.0,472.0,472.0,472.0,10000.0,4720000.0,481.0,-9.0
2019-08-29,5.0,470.0,461.0,470.0,22056.0,10186320.0,472.0,-2.0
2019-09-01,1.0,470.0,470.0,470.0,10900.0,5123000.0,470.0,0.0
2019-09-03,1.0,470.0,470.0,470.0,8435.0,3964450.0,470.0,0.0
2019-09-12,2.0,470.0,470.0,470.0,31800.0,14946000.0,470.0,0.0
2019-11-12,1.0,470.0,470.0,470.0,20000.0,9400000.0,470.0,0.0
2020-01-07,1.0,470.0,470.0,470.0,50.0,23500.0,470.0,0.0
2020-07-08,8.0,470.0,470.0,470.0,14500.0,6815000.0,470.0,0.0
2020-07-15,1.0,470.0,470.0,470.0,2970.0,1395900.0,470.0,0.0
2020-09-10,1.0,470.0,470.0,470.0,100.0,47000.0,470.0,0.0
2020-10-11,2.0,613.0,613.0,613.0,4495.0,2755435.0,613.0,0.0
2020-11-02,6.0,601.0,570.0,570.0,50000.0,28624000.0,613.0,-43.0
2020-11-03,3.0,570.0,570.0,570.0,30000.0,17100000.0,570.0,0.0
2020-11-10,1.0,570.0,570.0,570.0,10000.0,5700000.0,570.0,0.0
2020-11-12,1.0,570.0,570.0,570.0,10000.0,5700000.0,570.0,0.0
2020-12-28,6.0,570.0,570.0,570.0,1500.0,855000.0,570.0,0.0
2020-12-29,5.0,570.0,570.0,570.0,120050.0,68428500.0,570.0,0.0
2021-03-29,3.0,918.0,918.0,918.0,9900.0,9088200.0,918.0,0.0
2021-03-30,1.0,918.0,918.0,918.0,100.0,91800.0,918.0,0.0
2021-06-06,8.0,918.0,918.0,651.0,40610.0,24741072.0,918.0,0.0
2021-06-08,2.0,651.0,651.0,601.75,50000.0,30075000.0,651.0,0.0
2021-06-24,5.0,949.0,949.0,949.0,2440.0,2315560.0,2440.0,-1491.0
2021-07-08,2.0,949.0,949.0,949.0,12500.0,11862500.0,949.0,0.0
2021-07-11,1.0,949.0,949.0,949.0,500.0,474500.0,949.0,0.0
2021-11-22,1.0,949.0,949.0,949.0,3250.0,1995500.0,949.0,0.0
2022-03-24,3.0,696.0,696.0,696.0,83000.0,57768000.0,696.0,0.0
