Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,1.0,129.0,129.0,129.0,35.0,4515.0,131.0,-2.0
2012-06-07,2.0,127.0,127.0,127.0,2987.0,379349.0,129.0,-2.0
2012-06-28,1.0,125.0,125.0,125.0,89.0,11125.0,127.0,-2.0
2013-04-25,1.0,123.0,123.0,123.0,30.0,3690.0,125.0,-2.0
2013-04-30,1.0,121.0,121.0,121.0,100.0,12100.0,123.0,-2.0
2013-05-12,1.0,119.0,119.0,119.0,90.0,10710.0,121.0,-2.0
2013-05-15,2.0,117.0,115.0,115.0,20.0,2320.0,119.0,-4.0
2013-05-28,10.0,113.0,104.0,104.0,1535.0,161874.0,115.0,-11.0
2013-05-30,1.0,102.0,102.0,102.0,100.0,10200.0,104.0,-2.0
2013-06-02,4.0,101.0,98.0,98.0,1135.0,113090.0,102.0,-4.0
2013-06-03,4.0,97.0,94.0,94.0,391.0,37354.0,98.0,-4.0
2013-06-04,3.0,93.0,91.0,91.0,194.0,17848.0,94.0,-3.0
2013-06-05,2.0,91.0,90.0,91.0,172.0,15600.0,91.0,0.0
2013-06-06,5.0,91.0,88.0,88.0,676.0,60510.0,91.0,-3.0
2013-06-09,7.0,87.0,85.0,85.0,3620.0,310920.0,88.0,-3.0
2013-06-10,1.0,84.0,84.0,84.0,89.0,7476.0,85.0,-1.0
2013-06-11,1.0,85.0,85.0,85.0,1701.0,144585.0,84.0,1.0
2013-06-12,3.0,85.0,84.0,85.0,267.0,22606.0,85.0,0.0
2013-06-16,1.0,86.0,86.0,86.0,89.0,7654.0,85.0,1.0
2013-06-18,5.0,88.0,87.0,87.0,445.0,38982.0,86.0,1.0
2013-06-25,2.0,86.0,85.0,85.0,97.0,8270.0,87.0,-2.0
2013-06-30,2.0,86.0,86.0,86.0,130.0,11180.0,85.0,1.0
2013-07-02,2.0,85.0,84.0,84.0,2515.0,212065.0,86.0,-2.0
2013-07-07,1.0,83.0,83.0,83.0,352.0,29216.0,84.0,-1.0
2013-07-08,1.0,84.0,84.0,84.0,31.0,2604.0,83.0,1.0
2013-07-10,9.0,92.0,85.0,91.0,105.0,9355.0,84.0,7.0
2013-07-11,1.0,90.0,90.0,90.0,100.0,9000.0,91.0,-1.0
2013-07-15,2.0,91.0,90.0,90.0,266.0,24012.0,90.0,0.0
2013-07-16,3.0,92.0,90.0,92.0,212.0,19284.0,90.0,2.0
2013-07-22,2.0,88.0,87.0,87.0,670.0,58300.0,92.0,-5.0
2013-07-23,1.0,88.0,88.0,88.0,239.0,21032.0,87.0,1.0
2013-07-24,1.0,87.0,87.0,87.0,34.0,2958.0,88.0,-1.0
2013-07-25,1.0,88.0,88.0,88.0,133.0,11704.0,87.0,1.0
2013-07-29,2.0,89.0,89.0,89.0,1788.0,159132.0,88.0,1.0
2013-08-06,2.0,90.0,89.0,89.0,233.0,20937.0,89.0,0.0
2013-08-07,1.0,89.0,89.0,89.0,300.0,26700.0,89.0,0.0
2013-08-08,3.0,92.0,90.0,92.0,1020.0,91830.0,89.0,3.0
2013-08-14,6.0,95.0,92.0,95.0,399.0,37428.0,92.0,3.0
2013-08-18,2.0,97.0,96.0,97.0,176.0,16984.0,95.0,2.0
2013-08-19,3.0,100.0,98.0,100.0,30.0,2970.0,97.0,3.0
2013-08-20,18.0,110.0,100.0,106.0,3150.0,333372.0,100.0,6.0
2013-08-25,11.0,110.0,108.0,108.0,3472.0,377673.0,106.0,2.0
2013-08-26,1.0,108.0,108.0,108.0,10.0,1080.0,108.0,0.0
2013-08-29,16.0,106.0,99.0,99.0,1004.0,103163.0,108.0,-9.0
2013-09-01,3.0,100.0,98.0,100.0,95.0,9409.0,99.0,1.0
2013-09-02,5.0,100.0,98.0,100.0,253.0,24951.0,100.0,0.0
2013-09-03,3.0,98.0,96.0,96.0,610.0,58870.0,100.0,-4.0
2013-09-05,2.0,97.0,97.0,97.0,46.0,4462.0,96.0,1.0
2013-09-23,3.0,98.0,96.0,98.0,907.0,87287.0,97.0,1.0
2013-09-25,3.0,97.0,96.0,96.0,174.0,16865.0,98.0,-2.0
2013-09-26,1.0,95.0,95.0,95.0,100.0,9500.0,96.0,-1.0
