Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,3.0,155.0,152.0,152.0,1670.0,254350.0,158.0,-6.0
2012-06-04,23.0,155.0,150.0,153.0,8314.0,1257304.0,152.0,1.0
2012-06-05,13.0,158.0,151.0,151.0,1836.0,280636.0,153.0,-2.0
2012-06-06,9.0,150.0,144.0,147.0,2362.0,343114.0,151.0,-4.0
2012-06-07,6.0,147.0,145.0,145.0,1192.0,173884.0,147.0,-2.0
2012-06-10,7.0,145.0,140.0,145.0,524.0,74858.0,145.0,0.0
2012-06-11,1.0,147.0,147.0,147.0,20.0,2940.0,145.0,2.0
2012-06-12,4.0,147.0,145.0,145.0,214.0,31168.0,147.0,-2.0
2012-06-13,3.0,144.0,143.0,143.0,514.0,73702.0,145.0,-2.0
2012-06-14,9.0,145.0,143.0,143.0,724.0,104128.0,143.0,0.0
2012-06-17,13.0,145.0,141.0,141.0,1006.0,142818.0,143.0,-2.0
2012-06-18,5.0,143.0,142.0,142.0,754.0,107422.0,141.0,1.0
2012-06-19,12.0,142.0,137.0,137.0,1366.0,191602.0,142.0,-5.0
2012-06-20,2.0,138.0,137.0,138.0,420.0,57710.0,137.0,1.0
2012-06-21,6.0,140.0,136.0,140.0,2048.0,282576.0,138.0,2.0
2012-06-25,1.0,139.0,139.0,139.0,70.0,9730.0,140.0,-1.0
2012-06-26,6.0,141.0,138.0,138.0,348.0,48468.0,139.0,-1.0
2012-06-27,7.0,146.0,138.0,146.0,998.0,140416.0,138.0,8.0
2012-06-28,3.0,150.0,146.0,150.0,306.0,45604.0,146.0,4.0
2012-07-01,3.0,150.0,148.0,149.0,150.0,22364.0,150.0,-1.0
2012-07-02,12.0,149.0,146.0,147.0,1196.0,176388.0,149.0,-2.0
2012-07-03,10.0,148.0,146.0,147.0,2196.0,322152.0,147.0,0.0
2012-07-04,3.0,149.0,147.0,149.0,428.0,62956.0,147.0,2.0
2012-07-05,6.0,151.0,146.0,146.0,878.0,128544.0,149.0,-3.0
2012-07-08,5.0,146.0,143.0,143.0,522.0,75542.0,146.0,-3.0
2012-07-09,1.0,145.0,145.0,145.0,252.0,36540.0,143.0,2.0
2012-07-10,3.0,148.0,146.0,148.0,1040.0,153278.0,145.0,3.0
2012-07-11,8.0,146.0,135.0,135.0,2012.0,273252.0,148.0,-13.0
2012-07-12,5.0,145.0,140.0,145.0,796.0,113496.0,135.0,10.0
2012-07-16,4.0,144.0,143.0,144.0,278.0,39822.0,145.0,-1.0
2012-07-17,9.0,148.0,144.0,146.0,2070.0,304212.0,144.0,2.0
2012-07-18,3.0,147.0,145.0,147.0,608.0,88296.0,146.0,1.0
2012-07-19,7.0,153.0,148.0,153.0,1570.0,234666.0,147.0,6.0
2012-07-22,3.0,154.0,152.0,152.0,430.0,65860.0,153.0,-1.0
2012-07-23,11.0,158.0,153.0,157.0,2662.0,415898.0,152.0,5.0
2012-07-24,6.0,158.0,151.0,154.0,1656.0,258314.0,157.0,-3.0
2012-07-25,15.0,160.0,153.0,160.0,1558.0,243048.0,154.0,6.0
2012-07-26,9.0,160.0,154.0,154.0,1672.0,261556.0,160.0,-6.0
2012-07-29,24.0,157.0,147.0,149.0,1644.0,253032.0,154.0,-5.0
2012-07-30,5.0,151.0,148.0,151.0,608.0,90626.0,149.0,2.0
2012-07-31,5.0,154.0,152.0,152.0,396.0,60572.0,151.0,1.0
2012-08-01,2.0,155.0,154.0,154.0,300.0,46300.0,152.0,2.0
2012-08-05,6.0,155.0,152.0,154.0,976.0,149996.0,154.0,0.0
