Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-05-16,271.0,162.0,132.0,149.0,52684.0,7789868.0,0.0,149.0
2013-05-19,283.0,149.0,144.0,145.0,54254.0,7899772.0,149.0,-4.0
2013-05-20,357.0,147.0,142.0,143.0,31288.0,4504829.0,145.0,-2.0
2013-05-21,236.0,149.0,142.0,144.0,35474.0,5084143.0,143.0,1.0
2013-05-22,286.0,144.0,141.0,143.0,41493.0,5914350.0,144.0,-1.0
2013-05-23,200.0,143.0,141.0,143.0,28769.0,4083138.0,143.0,0.0
2013-05-26,234.0,145.0,141.0,143.0,17586.0,2510863.0,143.0,0.0
2013-05-27,318.0,147.0,143.0,146.0,28893.0,4169922.0,143.0,3.0
2013-05-28,374.0,146.0,145.0,145.0,27641.0,4021437.0,146.0,-1.0
2013-05-30,160.0,146.0,144.0,145.0,39233.0,5677742.0,145.0,0.0
2013-06-02,79.0,146.0,142.0,144.0,6291.0,902028.0,145.0,-1.0
2013-06-03,169.0,144.0,143.0,143.0,10149.0,1453623.0,144.0,-1.0
2013-06-04,113.0,144.0,143.0,144.0,10712.0,1534709.0,143.0,1.0
2013-06-05,139.0,145.0,143.0,145.0,35411.0,5101841.0,144.0,1.0
2013-06-06,183.0,146.0,142.0,144.0,38109.0,5482934.0,145.0,-1.0
2013-06-09,198.0,145.0,141.0,144.0,24765.0,3565984.0,144.0,0.0
2013-06-10,240.0,144.0,142.0,143.0,31748.0,4527848.0,144.0,-1.0
2013-06-11,172.0,145.0,142.0,143.0,21433.0,3056239.0,143.0,0.0
2013-06-12,149.0,145.0,143.0,144.0,14555.0,2091157.0,143.0,1.0
2013-06-13,104.0,145.0,143.0,144.0,6765.0,973626.0,144.0,0.0
2013-06-16,121.0,145.0,144.0,144.0,8972.0,1297918.0,144.0,0.0
2013-06-17,120.0,144.0,142.0,144.0,8097.0,1159485.0,144.0,0.0
2013-06-18,122.0,144.0,142.0,143.0,12301.0,1756391.0,144.0,-1.0
2013-06-19,161.0,143.0,142.0,142.0,15145.0,2151919.0,143.0,-1.0
2013-06-20,114.0,144.0,140.0,143.0,12890.0,1839923.0,142.0,1.0
2013-06-23,104.0,143.0,141.0,141.0,18194.0,2580721.0,143.0,-2.0
2013-06-24,162.0,143.0,139.0,143.0,25267.0,3546390.0,141.0,2.0
2013-06-25,198.0,147.0,140.0,144.0,16894.0,2415536.0,143.0,1.0
2013-06-26,172.0,146.0,143.0,144.0,14820.0,2146389.0,144.0,0.0
2013-06-27,173.0,146.0,143.0,143.0,13371.0,1916603.0,144.0,-1.0
2013-06-30,106.0,145.0,140.0,143.0,14279.0,2019019.0,143.0,0.0
2013-07-01,164.0,144.0,140.0,141.0,43299.0,6100617.0,143.0,-2.0
2013-07-02,210.0,142.0,139.0,140.0,21917.0,3070889.0,141.0,-1.0
2013-07-03,116.0,140.0,139.0,140.0,40049.0,5604603.0,140.0,0.0
2013-07-04,194.0,141.0,139.0,140.0,11418.0,1594593.0,140.0,0.0
2013-07-07,186.0,141.0,140.0,140.0,9767.0,1369755.0,140.0,0.0
2013-07-08,129.0,143.0,140.0,143.0,10489.0,1482363.0,140.0,3.0
2013-07-09,91.0,145.0,141.0,145.0,8405.0,1204526.0,143.0,2.0
2013-07-10,98.0,146.0,143.0,145.0,11421.0,1649670.0,145.0,0.0
2013-07-11,27.0,145.0,142.0,142.0,3170.0,454425.0,145.0,-3.0
2013-07-14,52.0,144.0,141.0,143.0,3663.0,524230.0,142.0,1.0
2013-07-15,42.0,149.0,140.0,140.0,9750.0,1383583.0,143.0,-3.0
2013-07-16,69.0,145.0,142.0,143.0,4034.0,577613.0,140.0,3.0
2013-07-17,69.0,143.0,141.0,142.0,7223.0,1028495.0,143.0,-1.0
2013-07-18,86.0,147.0,142.0,145.0,9984.0,1439035.0,142.0,3.0
2013-07-21,98.0,150.0,145.0,147.0,17305.0,2573564.0,145.0,2.0
2013-07-22,61.0,147.0,145.0,146.0,4575.0,667917.0,147.0,-1.0
2013-07-23,43.0,146.0,143.0,145.0,6836.0,983317.0,146.0,-1.0
2013-07-24,43.0,145.0,143.0,144.0,6373.0,915269.0,145.0,-1.0
