Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-03-18,1.0,200.0,200.0,200.0,100.0,20000.0,0.0,200.0
2014-04-13,1.0,196.0,196.0,196.0,73.0,14308.0,200.0,-4.0
2014-04-16,3.0,193.0,187.0,187.0,42.0,7980.0,196.0,-9.0
2014-04-22,9.0,184.0,169.0,169.0,98.0,17189.0,187.0,-18.0
2014-04-23,23.0,166.0,160.0,160.0,230.0,37280.0,169.0,-9.0
2014-05-13,1.0,157.0,157.0,157.0,10.0,1570.0,160.0,-3.0
2014-05-18,1.0,154.0,154.0,154.0,10.0,1540.0,157.0,-3.0
2014-05-19,3.0,156.0,153.0,153.0,30.0,4650.0,154.0,-1.0
2014-05-20,10.0,150.0,141.0,141.0,286.0,42372.0,153.0,-12.0
2014-05-21,13.0,139.0,127.0,127.0,402.0,52481.0,141.0,-14.0
2014-05-22,3.0,129.0,128.0,129.0,160.0,20565.0,127.0,2.0
2014-05-25,7.0,127.0,125.0,126.0,358.0,45244.0,129.0,-3.0
2014-05-26,5.0,132.0,128.0,130.0,129.0,16658.0,126.0,4.0
2014-05-28,6.0,129.0,128.0,129.0,461.0,59018.0,130.0,-1.0
2014-06-01,3.0,127.0,127.0,127.0,148.0,18796.0,129.0,-2.0
2014-06-04,1.0,125.0,125.0,125.0,10.0,1250.0,127.0,-2.0
2014-06-05,3.0,125.0,125.0,125.0,30.0,3750.0,125.0,0.0
2014-06-08,3.0,129.0,127.0,129.0,159.0,20339.0,125.0,4.0
2014-06-09,1.0,131.0,131.0,131.0,73.0,9563.0,129.0,2.0
2014-06-10,1.0,129.0,129.0,129.0,73.0,9417.0,131.0,-2.0
2014-06-11,1.0,131.0,131.0,131.0,147.0,19257.0,129.0,2.0
2014-06-12,2.0,133.0,133.0,133.0,72.0,9576.0,131.0,2.0
2014-06-17,1.0,135.0,135.0,0.0,73.0,9855.0,133.0,2.0
2014-06-18,5.0,135.0,133.0,135.0,263.0,35271.0,135.0,-2.0
2014-06-25,3.0,131.0,130.0,130.0,48.0,6264.0,133.0,-3.0
2014-06-26,15.0,128.0,120.0,123.0,855.0,105393.0,130.0,-7.0
2014-06-30,3.0,122.0,122.0,122.0,438.0,53436.0,123.0,-1.0
2014-07-06,1.0,124.0,124.0,124.0,59.0,7316.0,122.0,2.0
2014-07-07,6.0,135.0,126.0,135.0,269.0,36065.0,124.0,11.0
2014-07-08,8.0,147.0,137.0,147.0,701.0,99889.0,135.0,12.0
2014-07-09,1.0,149.0,149.0,149.0,80.0,11920.0,147.0,2.0
2014-07-13,5.0,154.0,151.0,154.0,186.0,28524.0,149.0,5.0
2014-07-14,1.0,157.0,157.0,157.0,10.0,1570.0,154.0,3.0
2014-07-15,17.0,169.0,157.0,169.0,872.0,143042.0,157.0,12.0
2014-07-16,6.0,172.0,167.0,167.0,621.0,105661.0,169.0,-2.0
2014-07-17,12.0,178.0,169.0,178.0,526.0,90584.0,167.0,11.0
2014-07-20,1.0,175.0,175.0,175.0,30.0,5250.0,178.0,-3.0
2014-07-21,3.0,175.0,172.0,175.0,93.0,16215.0,175.0,0.0
2014-07-22,3.0,178.0,178.0,178.0,431.0,76718.0,175.0,3.0
2014-07-24,6.0,195.0,181.0,195.0,229.0,43623.0,178.0,17.0
2014-07-27,5.0,201.0,192.0,201.0,215.0,42450.0,195.0,6.0
2014-07-30,10.0,210.0,205.0,210.0,718.0,149072.0,201.0,9.0
2014-07-31,17.0,219.0,210.0,219.0,1939.0,413081.0,210.0,9.0
2014-08-03,2.0,220.0,219.0,219.0,330.0,72454.0,219.0,0.0
2014-08-04,5.0,224.0,223.0,224.0,50.0,11190.0,219.0,5.0
2014-08-05,6.0,232.0,228.0,232.0,485.0,111880.0,224.0,8.0
2014-08-06,3.0,236.0,232.0,236.0,521.0,121204.0,232.0,4.0
2014-08-07,2.0,233.0,233.0,233.0,190.0,44270.0,236.0,-3.0
2014-08-12,1.0,230.0,230.0,230.0,73.0,16790.0,233.0,-3.0
2014-08-13,2.0,226.0,222.0,222.0,83.0,18466.0,230.0,-8.0
2014-09-10,1.0,218.0,218.0,218.0,16.0,3488.0,222.0,-4.0
2014-09-15,2.0,214.0,214.0,214.0,24.0,5136.0,218.0,-4.0
2014-10-12,5.0,218.0,206.0,206.0,147.0,31078.0,214.0,-8.0
2014-10-15,1.0,203.0,203.0,203.0,43.0,8729.0,206.0,-3.0
2014-10-28,2.0,199.0,196.0,196.0,20.0,3950.0,203.0,-7.0
2014-10-30,8.0,193.0,177.0,177.0,602.0,109913.0,196.0,-19.0
2014-11-02,14.0,179.0,173.0,176.0,472.0,82931.0,177.0,-1.0
2014-11-03,34.0,176.0,164.0,165.0,646.0,109968.0,176.0,-11.0
2014-11-04,4.0,162.0,157.0,159.0,564.0,88890.0,165.0,-6.0
2014-11-05,32.0,166.0,160.0,166.0,540.0,87921.0,159.0,7.0
2014-11-06,16.0,168.0,163.0,167.0,554.0,91697.0,166.0,1.0
2014-11-09,28.0,165.0,160.0,161.0,300.0,48650.0,167.0,-6.0
2014-11-10,2.0,158.0,156.0,156.0,106.0,16682.0,161.0,-5.0
2014-11-11,1.0,159.0,159.0,159.0,71.0,11289.0,156.0,3.0
2014-11-12,6.0,163.0,160.0,163.0,136.0,21967.0,159.0,4.0
2014-11-13,18.0,163.0,158.0,158.0,4630.0,747918.0,163.0,-5.0
2014-11-16,2.0,164.0,161.0,164.0,219.0,35697.0,158.0,6.0
2014-11-19,7.0,162.0,161.0,161.0,70.0,11320.0,164.0,-3.0
2014-11-20,28.0,166.0,160.0,163.0,1256.0,206727.0,161.0,2.0
2014-11-25,5.0,174.0,165.0,174.0,280.0,48000.0,163.0,11.0
2014-11-30,15.0,171.0,162.0,171.0,215.0,36005.0,174.0,-3.0
2014-12-01,19.0,179.0,170.0,179.0,592.0,102716.0,171.0,8.0
2014-12-02,1.0,176.0,176.0,176.0,21.0,3696.0,179.0,-3.0
2014-12-03,2.0,179.0,178.0,179.0,60.0,10710.0,176.0,3.0
2014-12-08,1.0,180.0,180.0,180.0,14.0,2520.0,179.0,1.0
2014-12-11,3.0,180.0,180.0,180.0,30.0,5400.0,180.0,0.0
2014-12-14,1.0,183.0,183.0,183.0,44.0,8052.0,180.0,3.0
2014-12-23,23.0,180.0,165.0,165.0,368.0,63072.0,183.0,-18.0
2014-12-28,1.0,162.0,162.0,162.0,39.0,6318.0,165.0,-3.0
2014-12-29,4.0,166.0,165.0,166.0,120.0,19860.0,162.0,4.0
2014-12-31,3.0,166.0,166.0,166.0,30.0,4980.0,166.0,0.0
2015-01-01,1.0,169.0,169.0,169.0,39.0,6591.0,166.0,3.0
2015-01-05,1.0,172.0,172.0,172.0,10.0,1720.0,169.0,3.0
2015-01-06,11.0,181.0,175.0,181.0,262.0,46294.0,172.0,9.0
2015-01-07,1.0,178.0,178.0,178.0,73.0,12994.0,181.0,-3.0
2015-01-08,10.0,193.0,181.0,193.0,608.0,114029.0,178.0,15.0
2015-01-11,21.0,193.0,190.0,190.0,1393.0,268321.0,193.0,-3.0
2015-01-12,5.0,193.0,190.0,190.0,269.0,51368.0,190.0,0.0
2015-01-13,8.0,193.0,190.0,193.0,141.0,27003.0,190.0,3.0
2015-01-14,7.0,196.0,190.0,195.0,264.0,51040.0,193.0,2.0
2015-01-18,14.0,200.0,193.0,200.0,313.0,61451.0,195.0,5.0
2015-01-19,15.0,206.0,200.0,206.0,629.0,128030.0,200.0,6.0
2015-01-20,8.0,202.0,200.0,200.0,287.0,57546.0,206.0,-6.0
2015-01-22,10.0,204.0,201.0,201.0,622.0,126641.0,200.0,1.0
2015-01-25,11.0,210.0,201.0,210.0,258.0,53391.0,201.0,9.0
2015-01-27,30.0,223.0,214.0,223.0,428.0,93770.0,210.0,13.0
2015-01-28,6.0,235.0,227.0,235.0,866.0,199955.0,223.0,12.0
2015-01-29,5.0,242.0,234.0,234.0,647.0,154191.0,235.0,-1.0
2015-02-01,25.0,240.0,232.0,240.0,2260.0,531076.0,234.0,6.0
2015-02-02,2.0,240.0,238.0,240.0,202.0,48368.0,240.0,0.0
2015-02-03,3.0,236.0,235.0,235.0,58.0,13644.0,240.0,-5.0
2015-02-08,2.0,236.0,236.0,236.0,191.0,45076.0,235.0,1.0
2015-02-11,6.0,259.0,240.0,259.0,302.0,75148.0,236.0,23.0
2015-02-12,6.0,284.0,264.0,284.0,1151.0,320764.0,259.0,25.0
2015-02-15,17.0,299.0,288.0,293.0,3139.0,915321.0,284.0,9.0
2015-02-16,12.0,300.0,293.0,300.0,1139.0,337146.0,293.0,7.0
2015-02-18,1.0,300.0,300.0,300.0,100.0,30000.0,300.0,0.0
2015-02-22,2.0,294.0,290.0,290.0,78.0,22676.0,300.0,-10.0
2015-02-23,27.0,285.0,275.0,285.0,2343.0,662420.0,290.0,-5.0
2015-02-24,5.0,280.0,277.0,277.0,793.0,220231.0,285.0,-8.0
2015-02-25,12.0,304.0,282.0,304.0,1297.0,381160.0,277.0,27.0
2015-02-26,5.0,316.0,310.0,316.0,247.0,77578.0,304.0,12.0
2015-03-01,4.0,310.0,300.0,306.0,649.0,196510.0,316.0,-10.0
2015-03-02,5.0,302.0,292.0,292.0,584.0,172499.0,306.0,-14.0
2015-03-03,1.0,291.0,291.0,291.0,61.0,17751.0,292.0,-1.0
2015-03-04,14.0,320.0,296.0,320.0,1301.0,415332.0,291.0,29.0
2015-03-09,11.0,331.0,318.0,330.0,4223.0,1391490.0,320.0,10.0
2015-03-10,21.0,363.0,330.0,356.0,2257.0,786114.0,330.0,26.0
2015-03-11,6.0,363.0,359.0,360.0,380.0,136910.0,356.0,4.0
2015-03-12,31.0,396.0,360.0,396.0,4587.0,1761953.0,360.0,36.0
2015-03-15,15.0,435.0,403.0,423.0,897.0,380245.0,396.0,27.0
2015-03-16,1.0,430.0,430.0,430.0,10.0,4300.0,423.0,7.0
2015-03-17,2.0,438.0,430.0,430.0,32.0,13872.0,430.0,0.0
2015-03-23,5.0,422.0,398.0,398.0,83.0,34282.0,430.0,-32.0
2015-03-24,1.0,391.0,391.0,391.0,73.0,28543.0,398.0,-7.0
2015-03-25,1.0,384.0,384.0,384.0,71.0,27264.0,391.0,-7.0
2015-03-26,9.0,377.0,346.0,346.0,439.0,153983.0,384.0,-38.0
2015-03-29,6.0,348.0,334.0,348.0,736.0,251542.0,346.0,2.0
2015-03-30,8.0,345.0,339.0,340.0,1344.0,457181.0,348.0,-8.0
2015-03-31,12.0,350.0,334.0,343.0,634.0,216374.0,340.0,3.0
2015-04-01,6.0,340.0,337.0,337.0,286.0,97180.0,343.0,-6.0
2015-04-02,2.0,334.0,333.0,334.0,251.0,83674.0,337.0,-3.0
2015-04-05,3.0,336.0,332.0,336.0,299.0,99852.0,334.0,2.0
2015-04-06,4.0,340.0,334.0,340.0,416.0,139740.0,336.0,4.0
2015-04-07,2.0,340.0,334.0,340.0,520.0,176680.0,340.0,0.0
2015-04-08,5.0,358.0,346.0,358.0,1194.0,419106.0,340.0,18.0
2015-04-09,10.0,393.0,365.0,393.0,768.0,294843.0,358.0,35.0
2015-04-12,4.0,400.0,391.0,391.0,151.0,59445.0,393.0,-2.0
2015-04-19,9.0,384.0,370.0,370.0,1072.0,402603.0,391.0,-21.0
2015-04-20,1.0,363.0,363.0,363.0,29.0,10527.0,370.0,-7.0
2015-04-21,1.0,364.0,364.0,364.0,18.0,6552.0,363.0,1.0
2015-04-22,6.0,360.0,352.0,360.0,264.0,94359.0,364.0,-4.0
2015-04-23,2.0,357.0,353.0,357.0,87.0,30995.0,360.0,-3.0
2015-06-03,2.0,357.0,350.0,357.0,26.0,9170.0,357.0,0.0
2015-06-07,14.0,350.0,325.0,340.0,1331.0,451515.0,357.0,-17.0
2015-06-08,13.0,374.0,346.0,372.0,1360.0,490964.0,340.0,32.0
2015-06-09,1.0,375.0,375.0,375.0,284.0,106500.0,372.0,3.0
2015-06-16,1.0,368.0,368.0,368.0,44.0,16192.0,375.0,-7.0
2015-06-17,18.0,361.0,332.0,350.0,1832.0,625573.0,368.0,-18.0
2015-06-18,1.0,344.0,344.0,344.0,213.0,73272.0,350.0,-6.0
2015-06-21,1.0,339.0,339.0,339.0,67.0,22713.0,344.0,-5.0
2015-06-22,10.0,345.0,333.0,345.0,933.0,317457.0,339.0,6.0
2015-06-23,2.0,358.0,351.0,358.0,24.0,8522.0,345.0,13.0
2015-06-25,3.0,365.0,355.0,355.0,45.0,16178.0,358.0,-3.0
2015-06-28,4.0,357.0,355.0,357.0,670.0,238898.0,355.0,2.0
2015-06-29,9.0,360.0,350.0,360.0,418.0,150030.0,357.0,3.0
2015-06-30,4.0,367.0,360.0,360.0,625.0,226194.0,360.0,0.0
2015-07-01,1.0,367.0,367.0,367.0,29.0,10643.0,360.0,7.0
2015-07-05,4.0,370.0,370.0,370.0,172.0,63640.0,367.0,3.0
2015-07-06,1.0,363.0,363.0,363.0,17.0,6171.0,370.0,-7.0
2015-07-07,2.0,356.0,349.0,349.0,114.0,40486.0,363.0,-14.0
2015-07-08,6.0,362.0,352.0,352.0,320.0,113825.0,349.0,3.0
2015-07-13,1.0,345.0,345.0,345.0,73.0,25185.0,352.0,-7.0
2015-07-14,3.0,351.0,340.0,351.0,378.0,129686.0,345.0,6.0
2015-07-15,3.0,368.0,355.0,368.0,107.0,38354.0,351.0,17.0
2015-07-16,3.0,388.0,375.0,388.0,44.0,16752.0,368.0,20.0
2015-07-22,4.0,395.0,383.0,385.0,285.0,110753.0,388.0,-3.0
2015-07-23,4.0,380.0,371.0,371.0,519.0,195470.0,385.0,-14.0
2015-07-27,7.0,394.0,378.0,378.0,1510.0,571882.0,371.0,7.0
2015-07-28,3.0,371.0,371.0,371.0,182.0,67522.0,378.0,-7.0
2015-07-29,2.0,375.0,370.0,375.0,49.0,18295.0,371.0,4.0
2015-07-30,2.0,382.0,380.0,382.0,113.0,43080.0,375.0,7.0
2015-08-05,2.0,375.0,368.0,368.0,89.0,33249.0,382.0,-14.0
2015-08-06,7.0,361.0,347.0,347.0,140.0,49868.0,368.0,-21.0
2015-08-10,3.0,341.0,329.0,329.0,31.0,10385.0,347.0,-18.0
2015-08-12,1.0,323.0,323.0,323.0,14.0,4522.0,329.0,-6.0
2015-08-13,4.0,317.0,311.0,311.0,105.0,32739.0,323.0,-12.0
2015-08-26,3.0,323.0,317.0,323.0,93.0,29541.0,311.0,12.0
2015-09-03,1.0,317.0,317.0,317.0,73.0,23141.0,323.0,-6.0
2015-09-15,1.0,323.0,323.0,323.0,10.0,3230.0,317.0,6.0
2015-09-17,2.0,335.0,329.0,335.0,313.0,104795.0,323.0,12.0
2015-09-22,3.0,341.0,341.0,341.0,354.0,120714.0,335.0,6.0
2015-11-10,1.0,347.0,347.0,347.0,11.0,3817.0,341.0,6.0
2015-11-15,11.0,356.0,343.0,343.0,900.0,314980.0,347.0,-4.0
2015-11-16,3.0,337.0,335.0,335.0,690.0,231230.0,343.0,-8.0
2015-12-07,4.0,295.0,289.0,295.0,880.0,255060.0,291.0,4.0
2015-12-08,8.0,318.0,300.0,315.0,4000.0,1244500.0,295.0,20.0
2015-12-09,4.0,339.0,321.0,339.0,1191.0,393111.0,315.0,24.0
2015-12-10,2.0,345.0,345.0,345.0,933.0,321885.0,339.0,6.0
2015-12-13,1.0,351.0,351.0,351.0,300.0,105300.0,345.0,6.0
2015-12-14,1.0,345.0,345.0,345.0,200.0,69000.0,351.0,-6.0
2015-12-16,1.0,339.0,339.0,339.0,100.0,33900.0,345.0,-6.0
2015-12-17,4.0,345.0,340.0,345.0,353.0,121385.0,339.0,6.0
2016-01-05,1.0,351.0,351.0,351.0,50.0,17550.0,345.0,6.0
2016-01-07,1.0,350.0,350.0,350.0,500.0,175000.0,351.0,-1.0
2016-01-10,6.0,343.0,329.0,329.0,2340.0,795860.0,350.0,-21.0
2016-01-11,1.0,335.0,335.0,335.0,300.0,100500.0,329.0,6.0
2016-01-14,3.0,341.0,335.0,335.0,400.0,134300.0,335.0,0.0
2016-01-18,1.0,335.0,335.0,335.0,73.0,24455.0,335.0,0.0
2016-01-20,1.0,330.0,330.0,330.0,14.0,4620.0,335.0,-5.0
2016-01-21,3.0,324.0,321.0,321.0,254.0,82194.0,330.0,-9.0
2016-01-24,5.0,336.0,316.0,336.0,1043.0,342748.0,321.0,15.0
2016-01-25,3.0,342.0,340.0,340.0,284.0,96628.0,336.0,4.0
2016-01-26,3.0,352.0,346.0,352.0,216.0,75746.0,340.0,12.0
2016-01-27,1.0,345.0,345.0,345.0,200.0,69000.0,352.0,-7.0
2016-01-31,6.0,372.0,351.0,372.0,791.0,287141.0,345.0,27.0
2016-02-01,5.0,393.0,379.0,380.0,1495.0,572060.0,372.0,8.0
2016-02-02,3.0,385.0,375.0,375.0,918.0,351870.0,380.0,-5.0
2016-02-03,4.0,390.0,377.0,390.0,618.0,236990.0,375.0,15.0
2016-02-04,2.0,395.0,390.0,395.0,229.0,90310.0,390.0,5.0
2016-02-07,9.0,414.0,400.0,414.0,1408.0,575912.0,395.0,19.0
2016-02-08,2.0,412.0,410.0,410.0,150.0,61600.0,414.0,-4.0
2016-02-14,3.0,418.0,415.0,418.0,245.0,102035.0,410.0,8.0
2016-02-15,5.0,410.0,394.0,401.0,1090.0,446070.0,418.0,-17.0
2016-02-16,4.0,410.0,400.0,400.0,286.0,115712.0,401.0,-1.0
