Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,36.0,69.0,65.0,69.0,1630.0,110750.0,66.0,3.0
2012-06-04,41.0,68.0,66.0,68.0,1190.0,80170.0,69.0,-1.0
2012-06-05,91.0,70.0,66.0,68.0,2290.0,156020.0,68.0,0.0
2012-06-06,147.0,70.0,65.0,70.0,3600.0,245620.0,68.0,2.0
2012-06-07,60.0,72.0,70.0,72.0,1860.0,132670.0,70.0,2.0
2012-06-10,31.0,76.0,69.0,75.0,1160.0,85510.0,72.0,3.0
2012-06-11,38.0,78.0,73.0,75.0,1700.0,129890.0,75.0,0.0
2012-06-12,69.0,77.0,73.0,75.0,2470.0,185060.0,75.0,0.0
2012-06-13,27.0,75.0,74.0,75.0,870.0,65210.0,75.0,0.0
2012-06-14,123.0,76.0,72.0,72.0,3050.0,222700.0,75.0,-3.0
2012-06-17,42.0,72.0,72.0,72.0,860.0,61920.0,72.0,0.0
2012-06-18,88.0,74.0,71.0,72.0,1950.0,141080.0,72.0,0.0
2012-06-19,37.0,74.0,71.0,74.0,780.0,56570.0,72.0,2.0
2012-06-20,61.0,74.0,72.0,73.0,1630.0,118680.0,74.0,-1.0
2012-06-21,21.0,74.0,71.0,73.0,730.0,53220.0,73.0,0.0
2012-06-25,28.0,73.0,71.0,73.0,700.0,50230.0,73.0,0.0
2012-06-26,72.0,72.0,71.0,72.0,2640.0,189880.0,73.0,-1.0
2012-06-27,16.0,72.0,72.0,72.0,400.0,28800.0,72.0,0.0
2012-06-28,12.0,72.0,72.0,72.0,350.0,25200.0,72.0,0.0
2012-07-01,10.0,72.0,72.0,72.0,310.0,22320.0,72.0,0.0
2012-07-02,9.0,71.0,70.0,70.0,190.0,13400.0,72.0,-2.0
2012-07-03,29.0,73.0,70.0,72.0,1450.0,104980.0,70.0,2.0
2012-07-04,20.0,73.0,71.0,71.0,410.0,29660.0,72.0,-1.0
2012-07-05,20.0,73.0,70.0,70.0,460.0,32650.0,71.0,-1.0
2012-07-08,13.0,71.0,70.0,71.0,410.0,29010.0,70.0,1.0
2012-07-09,9.0,72.0,71.0,72.0,210.0,14970.0,71.0,1.0
2012-07-10,132.0,71.0,70.0,71.0,2710.0,189910.0,72.0,-1.0
2012-07-11,4.0,70.0,70.0,70.0,80.0,5600.0,71.0,-1.0
2012-07-15,5.0,73.0,71.0,73.0,100.0,7220.0,70.0,3.0
2012-07-16,80.0,76.0,73.0,76.0,1770.0,130980.0,73.0,3.0
2012-07-17,42.0,77.0,76.0,77.0,1790.0,136600.0,76.0,1.0
2012-07-18,6.0,77.0,76.0,77.0,120.0,9220.0,77.0,0.0
2012-07-19,8.0,78.0,78.0,78.0,160.0,12480.0,77.0,1.0
2012-07-22,6.0,79.0,77.0,78.0,340.0,26440.0,78.0,0.0
2012-07-23,3.0,77.0,77.0,77.0,120.0,9240.0,78.0,-1.0
2012-07-24,28.0,76.0,75.0,76.0,1250.0,94730.0,77.0,-1.0
2012-07-25,6.0,75.0,73.0,73.0,220.0,16300.0,76.0,-3.0
2012-07-26,5.0,74.0,74.0,74.0,140.0,10360.0,73.0,1.0
2012-07-29,74.0,76.0,71.0,71.0,1630.0,119370.0,74.0,-3.0
