Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,3.0,270.0,260.0,270.0,408.0,109860.0,255.0,15.0
2012-06-13,1.0,275.0,275.0,275.0,167.0,45925.0,270.0,5.0
2012-06-17,1.0,270.0,270.0,270.0,366.0,98820.0,275.0,-5.0
2012-06-18,2.0,270.0,265.0,270.0,234.0,62510.0,270.0,0.0
2012-06-20,2.0,273.0,272.0,273.0,650.0,177300.0,270.0,3.0
2012-06-21,1.0,275.0,275.0,275.0,500.0,137500.0,273.0,2.0
2012-06-28,1.0,270.0,270.0,270.0,257.0,69390.0,275.0,-5.0
2012-07-04,2.0,280.0,275.0,280.0,34.0,9470.0,270.0,10.0
2012-07-05,2.0,290.0,285.0,290.0,60.0,17350.0,280.0,10.0
2012-07-09,1.0,295.0,295.0,295.0,30.0,8850.0,290.0,5.0
2012-07-12,2.0,290.0,289.0,289.0,300.0,86800.0,295.0,-6.0
2012-07-15,2.0,284.0,280.0,280.0,1420.0,398000.0,289.0,-9.0
2012-07-16,1.0,280.0,280.0,280.0,110.0,30800.0,280.0,0.0
2012-07-18,1.0,285.0,285.0,285.0,110.0,31350.0,280.0,5.0
2012-07-19,1.0,290.0,290.0,290.0,37.0,10730.0,285.0,5.0
2012-07-22,3.0,306.0,295.0,306.0,97.0,28913.0,290.0,16.0
2012-07-24,2.0,300.0,294.0,294.0,170.0,50340.0,306.0,-12.0
2012-07-26,1.0,299.0,299.0,299.0,30.0,8970.0,294.0,5.0
2012-07-30,7.0,306.0,294.0,306.0,487.0,145380.0,299.0,7.0
2012-08-06,5.0,312.0,300.0,306.0,337.0,103156.0,306.0,0.0
2012-08-12,2.0,301.0,300.0,301.0,220.0,66053.0,306.0,-5.0
2012-08-13,1.0,301.0,301.0,301.0,100.0,30100.0,301.0,0.0
2012-08-14,1.0,301.0,301.0,301.0,500.0,150500.0,301.0,0.0
2012-08-15,1.0,295.0,295.0,295.0,100.0,29500.0,301.0,-6.0
2012-08-19,1.0,295.0,295.0,295.0,500.0,147500.0,295.0,0.0
2012-08-22,3.0,294.0,285.0,285.0,1330.0,385320.0,295.0,-10.0
2012-08-23,3.0,280.0,275.0,275.0,1110.0,305300.0,285.0,-10.0
2012-08-28,3.0,270.0,260.0,260.0,209.0,54935.0,275.0,-15.0
2012-09-04,1.0,265.0,265.0,265.0,100.0,26500.0,260.0,5.0
2012-09-09,1.0,270.0,270.0,270.0,10.0,2700.0,265.0,5.0
2012-09-10,1.0,270.0,270.0,270.0,100.0,27000.0,270.0,0.0
2012-09-13,2.0,270.0,265.0,270.0,110.0,29650.0,270.0,0.0
2012-09-16,1.0,270.0,270.0,270.0,163.0,44010.0,270.0,0.0
2012-09-17,7.0,297.0,275.0,297.0,741.0,206475.0,270.0,27.0
2012-09-18,10.0,326.0,302.0,326.0,631.0,204996.0,297.0,29.0
