Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,34.0,1008.0,917.0,1000.0,3440.0,3434903.0,917.0,83.0
2012-06-04,48.0,1020.0,971.0,991.0,5836.0,5779285.0,1000.0,-9.0
2012-06-05,58.0,972.0,938.0,958.0,5137.0,4848064.0,991.0,-33.0
2012-06-06,14.0,953.0,911.0,953.0,1197.0,1104405.0,958.0,-5.0
2012-06-07,41.0,974.0,935.0,957.0,4577.0,4343439.0,953.0,4.0
2012-06-10,73.0,938.0,900.0,908.0,5342.0,4854043.0,957.0,-49.0
2012-06-11,18.0,955.0,922.0,929.0,1468.0,1386671.0,908.0,21.0
2012-06-12,9.0,955.0,912.0,955.0,267.0,248521.0,929.0,26.0
2012-06-13,10.0,952.0,930.0,948.0,410.0,382843.0,955.0,-7.0
2012-06-14,4.0,948.0,930.0,947.0,257.0,239360.0,948.0,-1.0
2012-06-17,36.0,929.0,910.0,927.0,3064.0,2794011.0,947.0,-20.0
2012-06-18,21.0,927.0,910.0,922.0,1954.0,1781012.0,927.0,-5.0
2012-06-19,111.0,915.0,900.0,905.0,9924.0,8952929.0,922.0,-17.0
2012-06-20,204.0,923.0,900.0,916.0,18507.0,16662641.0,905.0,11.0
2012-06-21,1556.0,918.0,900.0,918.0,96949.0,87255200.0,916.0,2.0
2012-06-25,24.0,941.0,911.0,939.0,1492.0,1390656.0,918.0,21.0
2012-06-26,20.0,935.0,900.0,926.0,4204.0,3840141.0,939.0,-13.0
2012-06-27,28.0,949.0,915.0,940.0,3790.0,3514970.0,926.0,14.0
2012-06-28,23.0,955.0,936.0,946.0,3200.0,3025865.0,940.0,6.0
2012-07-01,83.0,950.0,930.0,938.0,16001.0,14920586.0,946.0,-8.0
2012-07-02,124.0,949.0,930.0,944.0,15297.0,14287788.0,938.0,6.0
2012-07-03,30.0,944.0,939.0,940.0,4512.0,4241595.0,944.0,-4.0
2012-07-04,105.0,963.0,933.0,954.0,10200.0,9645212.0,940.0,14.0
2012-07-05,60.0,953.0,940.0,952.0,6107.0,5756233.0,954.0,-2.0
2012-07-08,21.0,952.0,941.0,950.0,2373.0,2244246.0,952.0,-2.0
2012-07-09,34.0,965.0,950.0,965.0,2901.0,2774547.0,950.0,15.0
2012-07-10,66.0,985.0,965.0,985.0,7467.0,7308787.0,965.0,20.0
2012-07-11,55.0,990.0,974.0,980.0,5222.0,5114972.0,985.0,-5.0
2012-07-12,49.0,994.0,975.0,981.0,59280.0,57939514.0,980.0,1.0
2012-07-15,186.0,1039.0,980.0,1033.0,18211.0,18253866.0,981.0,52.0
2012-07-16,34.0,1013.0,970.0,995.0,24941.0,24827829.0,1033.0,-38.0
2012-07-17,18.0,997.0,978.0,990.0,2281.0,2255257.0,995.0,-5.0
