Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-11,1.0,926.0,926.0,926.0,60.0,55560.0,882.0,44.0
2012-07-12,25.0,908.0,838.0,864.0,33588.0,29671788.0,926.0,-62.0
2012-07-15,2.0,847.0,831.0,831.0,40.0,33560.0,864.0,-33.0
2012-07-25,12.0,815.0,754.0,779.0,2524.0,1966980.0,831.0,-52.0
2012-07-26,4.0,765.0,750.0,750.0,76.0,57720.0,779.0,-29.0
2012-07-30,1.0,765.0,765.0,765.0,52.0,39780.0,750.0,15.0
2012-07-31,12.0,750.0,694.0,719.0,1148.0,813192.0,765.0,-46.0
2012-08-01,15.0,765.0,694.0,765.0,3600.0,2735500.0,719.0,46.0
2012-09-04,6.0,780.0,750.0,780.0,112.0,84720.0,765.0,15.0
2012-09-05,3.0,765.0,765.0,765.0,192.0,146880.0,780.0,-15.0
2012-09-11,1.0,750.0,750.0,750.0,10.0,7500.0,765.0,-15.0
2012-09-12,8.0,735.0,729.0,729.0,128.0,93504.0,750.0,-21.0
2012-09-17,1.0,725.0,725.0,725.0,88.0,63800.0,729.0,-4.0
2012-10-01,1.0,711.0,711.0,711.0,20.0,14220.0,725.0,-14.0
2012-10-08,2.0,697.0,684.0,684.0,36.0,24884.0,711.0,-27.0
2012-10-09,4.0,674.0,674.0,674.0,64.0,43136.0,684.0,-10.0
2012-11-07,5.0,674.0,650.0,663.0,190.0,125822.0,674.0,-11.0
2012-11-08,4.0,678.0,665.0,665.0,52.0,34800.0,663.0,2.0
2012-11-11,3.0,704.0,678.0,704.0,64.0,44224.0,665.0,39.0
2012-11-12,3.0,745.0,717.0,745.0,60.0,43860.0,704.0,41.0
2012-11-29,1.0,731.0,731.0,731.0,16.0,11696.0,745.0,-14.0
2012-12-12,3.0,728.0,700.0,700.0,248.0,178976.0,731.0,-31.0
2012-12-13,8.0,734.0,673.0,734.0,272.0,187920.0,700.0,34.0
2012-12-16,3.0,769.0,740.0,769.0,84.0,62904.0,734.0,35.0
2012-12-17,1.0,784.0,784.0,784.0,20.0,15680.0,769.0,15.0
2012-12-18,4.0,771.0,770.0,771.0,188.0,144852.0,784.0,-13.0
2012-12-19,2.0,786.0,771.0,786.0,370.0,286020.0,771.0,15.0
2012-12-20,2.0,785.0,771.0,785.0,44.0,34204.0,786.0,-1.0
2012-12-24,6.0,785.0,770.0,784.0,698.0,539946.0,785.0,-1.0
2012-12-26,1.0,799.0,799.0,799.0,20.0,15980.0,784.0,15.0
2012-12-31,1.0,810.0,810.0,810.0,24.0,19440.0,799.0,11.0
2013-01-01,5.0,794.0,764.0,764.0,456.0,352344.0,810.0,-46.0
2013-01-02,2.0,750.0,749.0,750.0,260.0,194900.0,764.0,-14.0
2013-01-03,4.0,780.0,765.0,780.0,232.0,179040.0,750.0,30.0
2013-01-07,4.0,777.0,765.0,775.0,724.0,555708.0,785.0,-10.0
2013-01-09,1.0,770.0,770.0,770.0,56.0,43120.0,775.0,-5.0
2013-01-10,8.0,790.0,775.0,775.0,320.0,249468.0,770.0,5.0
2013-01-15,7.0,776.0,760.0,770.0,552.0,425328.0,775.0,-5.0
2013-01-16,2.0,776.0,775.0,776.0,40.0,31020.0,770.0,6.0
2013-01-17,1.0,775.0,775.0,775.0,24.0,18600.0,776.0,-1.0
2013-01-21,2.0,775.0,760.0,775.0,152.0,115880.0,775.0,0.0
2013-01-22,2.0,775.0,775.0,775.0,160.0,124000.0,775.0,0.0
2013-01-23,4.0,780.0,775.0,775.0,672.0,521280.0,775.0,0.0
2013-01-24,2.0,780.0,765.0,780.0,108.0,82920.0,775.0,5.0
2013-01-27,1.0,766.0,766.0,766.0,80.0,61280.0,780.0,-14.0
2013-01-28,3.0,781.0,775.0,781.0,100.0,77812.0,766.0,15.0
2013-01-30,2.0,780.0,780.0,780.0,176.0,137280.0,781.0,-1.0
2013-02-03,3.0,788.0,780.0,780.0,624.0,487104.0,780.0,0.0
2013-02-04,1.0,780.0,780.0,780.0,16.0,12480.0,780.0,0.0
2013-02-05,2.0,790.0,789.0,789.0,120.0,94700.0,780.0,9.0
2013-02-12,3.0,815.0,803.0,815.0,148.0,119220.0,789.0,26.0
2013-02-13,3.0,800.0,799.0,800.0,100.0,79980.0,815.0,-15.0
2013-02-14,2.0,810.0,800.0,810.0,64.0,51600.0,800.0,10.0
2013-02-19,1.0,826.0,826.0,826.0,20.0,16520.0,810.0,16.0
2013-02-20,3.0,839.0,823.0,823.0,56.0,46408.0,826.0,-3.0
2013-02-21,2.0,807.0,801.0,801.0,104.0,83832.0,823.0,-22.0
2013-02-24,1.0,786.0,786.0,786.0,40.0,31440.0,801.0,-15.0
2013-02-28,2.0,801.0,800.0,801.0,48.0,38424.0,786.0,15.0
2013-03-03,4.0,833.0,817.0,817.0,76.0,62348.0,801.0,16.0
2013-03-04,4.0,817.0,805.0,810.0,320.0,259144.0,817.0,-7.0
2013-03-05,3.0,827.0,810.0,827.0,168.0,137800.0,810.0,17.0
2013-03-13,1.0,835.0,835.0,835.0,20.0,16700.0,827.0,8.0
2013-03-14,1.0,835.0,835.0,835.0,12.0,10020.0,835.0,0.0
2013-03-17,1.0,835.0,835.0,835.0,40.0,33400.0,835.0,0.0
2013-03-21,2.0,819.0,803.0,803.0,100.0,81068.0,835.0,-32.0
2013-03-25,1.0,790.0,790.0,790.0,80.0,63200.0,803.0,-13.0
2013-03-28,1.0,804.0,804.0,804.0,88.0,70752.0,790.0,14.0
2013-04-01,2.0,804.0,788.0,788.0,36.0,28560.0,804.0,-16.0
2013-04-02,1.0,790.0,790.0,790.0,68.0,53720.0,788.0,2.0
2013-04-09,1.0,775.0,775.0,775.0,16.0,12400.0,790.0,-15.0
2013-04-11,1.0,769.0,769.0,769.0,32.0,24608.0,775.0,-6.0
2013-04-18,3.0,814.0,784.0,814.0,268.0,211912.0,769.0,45.0
2013-04-21,1.0,798.0,798.0,798.0,16.0,12768.0,814.0,-16.0
2013-04-23,1.0,800.0,800.0,800.0,16.0,12800.0,798.0,2.0
2013-04-25,1.0,816.0,816.0,816.0,16.0,13056.0,800.0,16.0
2013-04-30,2.0,800.0,785.0,785.0,440.0,345640.0,816.0,-31.0
2013-05-07,1.0,785.0,785.0,785.0,32.0,25120.0,785.0,0.0
2013-05-09,7.0,800.0,765.0,800.0,152.0,118660.0,785.0,15.0
2013-05-14,4.0,831.0,815.0,830.0,152.0,125720.0,800.0,30.0
2013-05-15,7.0,814.0,800.0,800.0,184.0,148388.0,830.0,-30.0
2013-05-16,5.0,816.0,805.0,805.0,124.0,100748.0,800.0,5.0
2013-05-19,5.0,827.0,796.0,811.0,104.0,84356.0,805.0,6.0
2013-05-20,1.0,815.0,815.0,815.0,48.0,39120.0,811.0,4.0
2013-05-21,9.0,830.0,814.0,814.0,248.0,202368.0,815.0,-1.0
2013-05-22,18.0,818.0,790.0,793.0,1676.0,1331444.0,814.0,-21.0
2013-05-23,1.0,808.0,808.0,808.0,16.0,12928.0,793.0,15.0
2013-05-26,2.0,808.0,800.0,800.0,208.0,166528.0,808.0,-8.0
2013-05-27,3.0,818.0,805.0,818.0,148.0,120520.0,800.0,18.0
2013-05-28,2.0,834.0,826.0,826.0,96.0,79424.0,818.0,8.0
2013-06-02,16.0,826.0,786.0,801.0,782.0,622440.0,826.0,-25.0
2013-06-03,1.0,817.0,817.0,817.0,16.0,13072.0,801.0,16.0
2013-06-04,1.0,833.0,833.0,833.0,16.0,13328.0,817.0,16.0
2013-06-05,4.0,818.0,801.0,818.0,116.0,93600.0,833.0,-15.0
2013-06-06,4.0,820.0,802.0,820.0,308.0,247728.0,818.0,2.0
2013-06-09,2.0,804.0,792.0,792.0,396.0,314832.0,820.0,-28.0
2013-06-10,4.0,819.0,803.0,819.0,144.0,116192.0,792.0,27.0
2013-06-11,3.0,826.0,804.0,804.0,48.0,38928.0,819.0,-15.0
2013-06-13,3.0,808.0,808.0,808.0,72.0,58176.0,804.0,4.0
2013-06-16,6.0,792.0,762.0,788.0,144.0,112272.0,808.0,-20.0
2013-06-17,1.0,803.0,803.0,803.0,12.0,9636.0,788.0,15.0
2013-06-18,1.0,803.0,803.0,803.0,16.0,12848.0,803.0,0.0
2013-06-20,2.0,802.0,787.0,802.0,140.0,110360.0,803.0,-1.0
2013-06-24,2.0,802.0,802.0,802.0,32.0,25664.0,802.0,0.0
2013-06-25,2.0,818.0,802.0,802.0,100.0,80392.0,802.0,0.0
2013-06-30,3.0,850.0,818.0,850.0,68.0,56648.0,802.0,48.0
2013-07-01,2.0,884.0,867.0,884.0,28.0,24480.0,850.0,34.0
2013-07-04,14.0,901.0,805.0,815.0,5616.0,4710968.0,884.0,-69.0
2013-07-07,3.0,810.0,799.0,810.0,352.0,284704.0,815.0,-5.0
2013-07-08,2.0,826.0,825.0,825.0,11500.0,9497500.0,810.0,15.0
2013-07-09,10.0,841.0,822.0,839.0,1076.0,891696.0,825.0,14.0
2013-07-10,9.0,886.0,847.0,869.0,260.0,225716.0,839.0,30.0
2013-07-11,1.0,853.0,853.0,853.0,120.0,102360.0,869.0,-16.0
2013-07-14,4.0,885.0,870.0,874.0,18048.0,15815760.0,853.0,21.0
2013-07-15,3.0,875.0,870.0,870.0,308.0,268400.0,874.0,-4.0
2013-07-16,1.0,853.0,853.0,853.0,100.0,85300.0,870.0,-17.0
2013-07-17,13.0,868.0,830.0,830.0,12200.0,10288384.0,853.0,-23.0
2013-07-18,3.0,861.0,845.0,861.0,844.0,714704.0,830.0,31.0
2013-07-21,2.0,878.0,870.0,870.0,76.0,66280.0,861.0,9.0
2013-07-22,1.0,887.0,887.0,887.0,20.0,17740.0,870.0,17.0
2013-07-29,2.0,904.0,890.0,890.0,120.0,107080.0,887.0,3.0
2013-07-30,2.0,900.0,900.0,900.0,128.0,115200.0,890.0,10.0
2013-07-31,4.0,902.0,885.0,902.0,232.0,206480.0,900.0,2.0
