Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-28,1.0,333.0,333.0,333.0,153.0,50949.0,339.0,-6.0
2012-07-08,4.0,327.0,309.0,309.0,41.0,13029.0,333.0,-24.0
2012-07-18,1.0,303.0,303.0,303.0,100.0,30300.0,309.0,-6.0
2012-07-25,12.0,303.0,282.0,303.0,7903.0,2369881.0,303.0,0.0
2012-07-26,2.0,297.0,297.0,297.0,40.0,11880.0,303.0,-6.0
2012-08-06,7.0,292.0,277.0,277.0,307.0,86004.0,297.0,-20.0
2012-08-07,2.0,272.0,271.0,271.0,230.0,62360.0,277.0,-6.0
2012-08-08,12.0,274.0,250.0,266.0,3630.0,939682.0,271.0,-5.0
2012-08-12,1.0,262.0,262.0,262.0,41.0,10742.0,266.0,-4.0
2012-08-13,4.0,262.0,255.0,255.0,2268.0,589682.0,262.0,-7.0
2012-08-14,4.0,264.0,259.0,259.0,4038.0,1045962.0,255.0,4.0
2012-08-15,8.0,267.0,262.0,267.0,1110.0,293762.0,259.0,8.0
2012-08-21,1.0,272.0,272.0,272.0,31.0,8432.0,267.0,5.0
2012-08-22,5.0,280.0,275.0,275.0,494.0,136623.0,272.0,3.0
2012-08-23,2.0,275.0,270.0,275.0,110.0,30200.0,275.0,0.0
2012-08-26,1.0,280.0,280.0,280.0,20.0,5600.0,275.0,5.0
2012-08-27,1.0,275.0,275.0,275.0,10.0,2750.0,280.0,-5.0
2012-08-28,1.0,270.0,270.0,270.0,300.0,81000.0,275.0,-5.0
2012-08-29,1.0,270.0,270.0,270.0,82.0,22140.0,270.0,0.0
2012-08-30,1.0,270.0,270.0,270.0,50.0,13500.0,270.0,0.0
2012-09-02,8.0,280.0,271.0,280.0,662.0,180160.0,270.0,10.0
2012-09-03,2.0,277.0,276.0,277.0,123.0,33989.0,280.0,-3.0
2012-09-04,1.0,277.0,277.0,277.0,349.0,96673.0,277.0,0.0
2012-09-05,2.0,280.0,275.0,280.0,550.0,151500.0,277.0,3.0
2012-09-06,2.0,282.0,280.0,282.0,562.0,158360.0,280.0,2.0
2012-09-09,1.0,285.0,285.0,285.0,113.0,32205.0,282.0,3.0
2012-09-12,4.0,285.0,285.0,285.0,160.0,45600.0,285.0,0.0
2012-09-13,10.0,291.0,286.0,291.0,714.0,204946.0,285.0,6.0
2012-09-25,6.0,320.0,296.0,320.0,60.0,18560.0,291.0,29.0
2012-09-26,18.0,338.0,314.0,316.0,1119.0,356814.0,320.0,-4.0
2012-09-27,3.0,314.0,311.0,311.0,205.0,64178.0,316.0,-5.0
2012-10-04,7.0,305.0,300.0,300.0,778.0,233870.0,311.0,-11.0
2012-10-07,12.0,300.0,289.0,290.0,3148.0,918827.0,300.0,-10.0
2012-10-08,9.0,294.0,285.0,290.0,3485.0,998269.0,290.0,0.0
2012-10-09,9.0,302.0,292.0,302.0,1141.0,336723.0,290.0,12.0
2012-10-10,4.0,308.0,296.0,296.0,93.0,27960.0,302.0,-6.0
2012-10-11,1.0,301.0,301.0,301.0,10.0,3010.0,296.0,5.0
2012-10-30,1.0,295.0,295.0,295.0,500.0,147500.0,301.0,-6.0
2012-11-01,4.0,300.0,295.0,298.0,1194.0,353087.0,295.0,3.0
2012-11-04,1.0,302.0,302.0,302.0,141.0,42582.0,298.0,4.0
2012-11-05,4.0,312.0,307.0,312.0,702.0,216721.0,302.0,10.0
2012-11-06,9.0,320.0,317.0,317.0,1102.0,350724.0,312.0,5.0
2012-11-07,2.0,320.0,320.0,320.0,403.0,128960.0,317.0,3.0
2012-11-08,1.0,314.0,314.0,314.0,605.0,189970.0,320.0,-6.0
2012-11-11,2.0,315.0,314.0,314.0,182.0,57248.0,314.0,0.0
2012-11-12,4.0,320.0,314.0,314.0,300.0,94920.0,314.0,0.0
2012-11-18,8.0,326.0,308.0,326.0,1233.0,390210.0,314.0,12.0
2012-11-20,5.0,331.0,319.0,319.0,254.0,81326.0,326.0,-7.0
2012-11-21,4.0,318.0,314.0,314.0,464.0,146508.0,319.0,-5.0
2012-11-22,2.0,314.0,313.0,314.0,92.0,28857.0,314.0,0.0
2012-11-26,1.0,314.0,314.0,314.0,41.0,12874.0,314.0,0.0
2012-11-27,4.0,320.0,315.0,315.0,557.0,177330.0,314.0,1.0
2012-11-28,35.0,346.0,317.0,340.0,5426.0,1788888.0,315.0,25.0
2012-11-29,14.0,350.0,340.0,340.0,2530.0,870805.0,340.0,0.0
2012-12-02,4.0,336.0,334.0,334.0,260.0,87120.0,340.0,-6.0
2012-12-04,1.0,328.0,328.0,328.0,600.0,196800.0,334.0,-6.0
2012-12-05,5.0,340.0,334.0,335.0,600.0,201200.0,328.0,7.0
2012-12-06,3.0,341.0,335.0,335.0,142.0,47930.0,335.0,0.0
2012-12-09,4.0,335.0,330.0,330.0,1000.0,332500.0,335.0,-5.0
2012-12-10,3.0,324.0,321.0,321.0,462.0,148488.0,330.0,-9.0
2012-12-11,4.0,335.0,327.0,335.0,523.0,174983.0,321.0,14.0
2012-12-12,4.0,340.0,335.0,340.0,718.0,241250.0,335.0,5.0
2012-12-13,2.0,342.0,336.0,342.0,133.0,45240.0,340.0,2.0
2012-12-16,1.0,348.0,348.0,348.0,80.0,27840.0,342.0,6.0
2012-12-17,7.0,350.0,342.0,342.0,765.0,265770.0,348.0,-6.0
2012-12-18,1.0,337.0,337.0,337.0,500.0,168500.0,342.0,-5.0
2012-12-19,2.0,343.0,337.0,343.0,211.0,71167.0,337.0,6.0
2012-12-23,4.0,337.0,330.0,335.0,2575.0,861250.0,343.0,-8.0
2012-12-24,6.0,353.0,341.0,350.0,1386.0,486728.0,335.0,15.0
2012-12-26,5.0,362.0,354.0,354.0,1167.0,414283.0,350.0,4.0
2012-12-27,12.0,367.0,350.0,355.0,1679.0,598846.0,354.0,1.0
2013-01-30,1.0,273.0,273.0,273.0,185.0,50505.0,355.0,-82.0
2013-02-05,2.0,269.0,175.0,269.0,60.0,13320.0,273.0,-4.0
2013-02-07,1.0,264.0,264.0,264.0,10.0,2640.0,269.0,-5.0
2013-02-10,2.0,260.0,255.0,255.0,67.0,17170.0,264.0,-9.0
2013-02-13,3.0,250.0,250.0,250.0,262.0,65500.0,255.0,-5.0
2013-02-27,1.0,245.0,245.0,245.0,41.0,10045.0,250.0,-5.0
2013-03-05,1.0,241.0,241.0,241.0,31.0,7471.0,245.0,-4.0
2013-03-25,1.0,240.0,240.0,240.0,153.0,36720.0,241.0,-1.0
2013-04-11,1.0,244.0,244.0,244.0,50.0,12200.0,240.0,4.0
2013-04-21,2.0,240.0,240.0,240.0,82.0,19680.0,244.0,-4.0
2013-04-25,2.0,236.0,236.0,236.0,155.0,36580.0,240.0,-4.0
2013-04-28,1.0,240.0,240.0,240.0,124.0,29760.0,236.0,4.0
2013-04-29,2.0,236.0,232.0,232.0,223.0,52064.0,240.0,-8.0
2013-07-14,4.0,228.0,224.0,226.0,625.0,141036.0,232.0,-6.0
2013-07-16,2.0,228.0,225.0,228.0,144.0,32709.0,226.0,2.0
2013-07-22,1.0,232.0,232.0,232.0,80.0,18560.0,228.0,4.0
2013-07-23,2.0,236.0,232.0,236.0,205.0,47972.0,232.0,4.0
2013-07-24,1.0,232.0,232.0,232.0,46.0,10672.0,236.0,-4.0
2013-07-25,1.0,230.0,230.0,230.0,361.0,83030.0,232.0,-2.0
2013-07-29,3.0,238.0,234.0,238.0,605.0,141978.0,230.0,8.0
2013-07-30,5.0,246.0,234.0,246.0,538.0,128948.0,238.0,8.0
2013-07-31,1.0,250.0,250.0,250.0,112.0,28000.0,246.0,4.0
2013-08-01,4.0,250.0,249.0,250.0,552.0,137800.0,250.0,0.0
2013-08-04,4.0,260.0,255.0,260.0,467.0,120683.0,250.0,10.0
