Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-03,1.0,267.0,267.0,267.0,30.0,8010.0,262.0,5.0
2012-07-11,2.0,272.0,268.0,268.0,66.0,17820.0,267.0,1.0
2012-07-30,1.0,273.0,273.0,273.0,33.0,9009.0,268.0,5.0
2012-08-01,1.0,274.0,274.0,274.0,16.0,4384.0,273.0,1.0
2012-08-07,2.0,274.0,273.0,274.0,100.0,27333.0,274.0,0.0
2012-08-26,3.0,289.0,279.0,289.0,133.0,37772.0,274.0,15.0
2012-08-27,3.0,299.0,294.0,299.0,99.0,29436.0,289.0,10.0
2012-09-02,5.0,322.0,304.0,322.0,165.0,51942.0,299.0,23.0
2012-09-06,1.0,316.0,316.0,316.0,33.0,10428.0,322.0,-6.0
2012-09-09,2.0,328.0,322.0,328.0,100.0,32398.0,316.0,12.0
2012-09-10,2.0,334.0,334.0,334.0,60.0,20040.0,328.0,6.0
2012-09-11,6.0,328.0,325.0,325.0,10000.0,3251500.0,334.0,-9.0
2012-10-03,6.0,357.0,331.0,357.0,229.0,79231.0,325.0,32.0
2012-10-04,1.0,364.0,364.0,364.0,30.0,10920.0,357.0,7.0
2012-10-07,3.0,385.0,371.0,385.0,99.0,37422.0,364.0,21.0
2012-10-08,7.0,422.0,392.0,406.0,217.0,88141.0,385.0,21.0
2012-10-09,5.0,405.0,398.0,405.0,159.0,64325.0,406.0,-1.0
2013-02-13,1.0,383.0,383.0,383.0,16.0,6128.0,390.0,-7.0
2013-03-11,4.0,376.0,355.0,355.0,186.0,67794.0,383.0,-28.0
2013-03-13,1.0,348.0,348.0,348.0,30.0,10440.0,355.0,-7.0
2013-06-10,2.0,342.0,336.0,336.0,26.0,8832.0,348.0,-12.0
2013-06-11,3.0,330.0,318.0,318.0,43.0,13872.0,336.0,-18.0
2013-06-13,5.0,312.0,289.0,289.0,122.0,36255.0,318.0,-29.0
2013-06-16,2.0,284.0,279.0,279.0,40.0,11260.0,289.0,-10.0
2013-06-17,1.0,274.0,274.0,274.0,20.0,5480.0,279.0,-5.0
2013-06-18,2.0,269.0,264.0,264.0,33.0,8777.0,274.0,-10.0
2013-06-20,4.0,259.0,245.0,245.0,116.0,28914.0,264.0,-19.0
2013-06-26,2.0,241.0,237.0,237.0,33.0,7901.0,245.0,-8.0
2013-07-15,10.0,258.0,233.0,258.0,182.0,43754.0,237.0,21.0
2013-07-16,2.0,253.0,248.0,248.0,66.0,16533.0,258.0,-10.0
2013-08-04,7.0,244.0,224.0,224.0,236.0,54928.0,248.0,-24.0
2013-08-05,3.0,220.0,212.0,212.0,159.0,34316.0,224.0,-12.0
2013-08-06,9.0,208.0,199.0,200.0,127357.0,25344778.0,212.0,-12.0
2013-08-07,6.0,220.0,204.0,220.0,300.0,63470.0,200.0,20.0
2013-08-08,1.0,220.0,220.0,220.0,101.0,22220.0,220.0,0.0
2013-08-11,1.0,224.0,224.0,224.0,135.0,30240.0,220.0,4.0
2013-08-12,4.0,230.0,228.0,230.0,200.0,45666.0,224.0,6.0
2013-08-13,1.0,230.0,230.0,230.0,33.0,7590.0,230.0,0.0
2013-08-15,1.0,230.0,230.0,230.0,30.0,6900.0,230.0,0.0
2013-08-18,2.0,231.0,231.0,231.0,120.0,27720.0,230.0,1.0
2013-08-20,1.0,235.0,235.0,235.0,33.0,7755.0,231.0,4.0
2013-08-25,1.0,231.0,231.0,231.0,57.0,13167.0,235.0,-4.0
2013-09-01,2.0,235.0,235.0,235.0,201.0,47235.0,231.0,4.0
2013-09-11,1.0,231.0,231.0,231.0,33.0,7623.0,235.0,-4.0
2013-10-08,2.0,227.0,223.0,223.0,66.0,14850.0,231.0,-8.0
2013-10-09,3.0,219.0,215.0,215.0,82.0,17795.0,223.0,-8.0
2013-10-10,1.0,211.0,211.0,211.0,67.0,14137.0,215.0,-4.0
2014-05-05,1.0,215.0,215.0,215.0,1000.0,215000.0,211.0,4.0
2014-05-26,2.0,229.0,225.0,229.0,20.0,4540.0,215.0,14.0
2014-05-27,3.0,241.0,233.0,241.0,30.0,7110.0,229.0,12.0
2014-05-28,4.0,258.0,245.0,258.0,65.0,16425.0,241.0,17.0
2014-06-01,1.0,263.0,263.0,263.0,20.0,5260.0,258.0,5.0
2014-06-02,4.0,283.0,268.0,283.0,131.0,36673.0,263.0,20.0
2014-06-03,2.0,293.0,288.0,293.0,196.0,56498.0,283.0,10.0
2014-06-04,2.0,303.0,298.0,303.0,20.0,6010.0,293.0,10.0
2014-06-05,2.0,315.0,309.0,315.0,43.0,13347.0,303.0,12.0
2014-06-08,3.0,333.0,321.0,333.0,78.0,25458.0,315.0,18.0
2014-06-09,2.0,345.0,339.0,345.0,67.0,23055.0,333.0,12.0
2014-06-10,4.0,372.0,351.0,372.0,530.0,186450.0,345.0,27.0
2014-06-12,6.0,409.0,379.0,409.0,515.0,201163.0,372.0,37.0
2014-06-15,1.0,417.0,417.0,417.0,10.0,4170.0,409.0,8.0
2014-06-17,7.0,458.0,425.0,0.0,254.0,112584.0,417.0,41.0
2014-06-18,5.0,503.0,467.0,458.0,98.0,47647.0,458.0,45.0
2014-06-19,3.0,533.0,513.0,533.0,87.0,46071.0,503.0,30.0
2014-06-25,6.0,586.0,543.0,586.0,610.0,350430.0,533.0,53.0
2014-06-26,9.0,644.0,597.0,644.0,3727.0,2385768.0,586.0,58.0
2014-06-29,8.0,708.0,656.0,708.0,2435.0,1717506.0,644.0,64.0
2014-06-30,12.0,778.0,722.0,778.0,2087.0,1622296.0,708.0,70.0
2014-07-01,19.0,855.0,793.0,855.0,4607.0,3925545.0,778.0,77.0
2014-07-02,19.0,940.0,872.0,940.0,5251.0,4932220.0,855.0,85.0
2014-07-03,44.0,1034.0,958.0,1034.0,9180.0,9460328.0,940.0,94.0
2014-07-06,22.0,1034.0,971.0,1020.0,2198.0,2204174.0,1034.0,-14.0
