Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-03-06,3.0,287.1,287.1,287.1,20.0,5779.0,0.0,0.0
2022-03-07,6.0,298.6,287.1,298.6,34.0,9967.9,287.1,11.5
2022-03-09,8.0,310.5,298.6,310.5,27.0,8227.5,298.6,11.9
2022-03-10,8.0,341.5,316.7,341.5,70.0,23080.0,310.5,31.0
2022-03-13,6.0,375.6,348.3,375.6,51.0,18478.5,341.5,34.1
2022-03-14,2.0,390.7,383.1,390.7,20.0,7738.0,375.6,15.1
2022-03-15,23.0,429.7,398.5,429.7,230.0,98064.0,390.7,39.0
2022-03-16,27.0,472.6,438.2,472.6,270.0,126756.0,429.7,42.9
2022-03-20,95.0,519.8,482.0,519.8,950.0,492882.0,472.6,47.2
2022-03-21,111.0,571.7,530.1,571.7,1089.0,621461.3,519.8,51.9
2022-03-22,130.0,628.8,583.1,628.8,1300.0,815860.0,571.7,57.1
2022-03-23,147.0,691.6,641.3,691.6,1470.0,1015417.0,628.8,62.8
2022-03-24,403.0,760.7,705.4,760.7,4370.0,3322902.0,691.6,69.1
2022-03-27,427.0,836.7,775.9,836.7,8392.0,7018585.4,760.7,76.0
2022-03-28,385.0,920.3,853.4,920.3,8072.0,7425682.6,836.7,83.6
2022-03-29,392.0,1012.3,938.7,1012.3,3922.0,3966329.1,920.3,92.0
2022-03-30,717.0,1113.5,1032.5,1113.5,12986.0,14453010.8,1012.3,101.2
2022-03-31,5360.0,1224.8,1056.5,1224.8,79378.0,92384248.0,1113.5,111.3
2022-04-03,682.0,1347.2,1224.8,1347.2,7631.0,9978648.7,1224.8,122.4
2022-04-04,2615.0,1481.9,1220.0,1470.0,47292.0,63915583.6,1347.2,122.8
2022-04-05,51.0,1440.6,1323.0,1323.0,2885.0,3823442.0,1470.0,-147.0
2022-04-06,55.0,1296.6,1190.7,1190.7,3980.0,4741953.0,1323.0,-132.3
2022-04-07,2921.0,1166.9,1071.7,0.0,41032.0,45902793.6,1190.7,-78.7
2022-04-11,1135.0,1150.0,1001.0,1001.0,30266.0,31384946.0,1112.0,-111.0
2022-04-12,602.0,1060.8,926.0,935.0,19079.0,18247383.3,1001.0,-66.0
2022-04-13,338.0,1006.0,902.0,976.0,15093.0,14147697.0,935.0,41.0
2022-04-17,251.0,990.0,902.0,902.0,9317.0,8694962.0,976.0,-74.0
2022-04-18,322.0,901.0,832.0,838.0,14645.0,12579257.8,902.0,-64.0
2022-04-19,186.0,914.0,823.0,860.0,5294.0,4596702.2,838.0,22.0
2022-04-20,96.0,877.0,836.0,840.0,3114.0,2646555.0,860.0,-20.0
2022-04-21,145.0,866.8,810.0,841.0,7026.0,5854658.0,840.0,1.0
2022-04-24,168.0,886.0,840.7,885.0,7160.0,6208188.0,841.0,44.0
2022-04-25,160.0,885.0,830.0,854.0,6708.0,5691080.0,885.0,-31.0
2022-04-26,149.0,850.0,810.1,826.9,3979.0,3273164.5,854.0,-27.1
2022-04-27,128.0,842.5,801.5,838.0,4639.0,3767197.5,826.9,11.1
2022-04-28,85.0,835.0,807.0,830.0,3905.0,3180848.0,838.0,-8.0
2022-05-02,113.0,820.0,783.0,798.0,4744.0,3799964.1,830.0,-32.0
2022-05-04,60.0,790.0,766.6,775.0,2154.0,1660380.8,798.0,-23.0
2022-05-05,105.0,760.0,712.0,729.0,3435.0,2535536.0,775.0,-46.0
2022-05-08,82.0,737.0,684.1,730.0,3595.0,2540487.5,729.0,1.0
2022-05-09,47.0,749.0,716.0,742.0,2610.0,1921985.0,730.0,12.0
2022-05-10,53.0,756.0,721.0,750.0,3655.0,2695205.5,742.0,8.0
2022-05-11,107.0,822.0,734.0,818.0,6472.0,4948337.3,750.0,68.0
2022-05-12,88.0,824.0,786.0,815.9,4857.0,3892434.0,818.0,-2.1
2022-05-17,54.0,800.0,737.9,737.9,2326.0,1788423.0,815.9,-78.0
2022-05-18,63.0,790.0,710.0,779.0,2135.0,1608512.9,737.9,41.1
2022-05-19,71.0,789.0,742.0,762.0,2195.0,1659145.5,779.0,-17.0
2022-05-20,45.0,777.2,744.0,759.0,1911.0,1431600.4,762.0,-3.0
2022-05-23,59.0,772.9,729.2,739.1,1497.0,1111193.0,759.0,-19.9
2022-05-24,68.0,784.1,727.1,755.0,1800.0,1363668.5,739.1,15.9
2022-05-25,68.0,770.1,740.2,750.0,6730.0,5068877.0,755.0,-5.0
2022-05-26,57.0,765.0,737.8,749.9,1970.0,1466330.0,750.0,-0.1
2022-05-27,63.0,762.0,723.4,738.0,2400.0,1771320.8,749.9,-11.9
2022-05-30,68.0,730.0,707.6,707.6,1552.0,1115276.0,738.0,-30.4
2022-05-31,70.0,725.0,694.1,715.0,1522.0,1084612.0,707.6,7.4
2022-06-01,63.0,740.0,700.0,715.0,1360.0,963741.0,715.0,0.0
2022-06-02,41.0,743.0,701.4,724.0,1650.0,1197304.7,715.0,9.0
2022-06-03,46.0,735.0,706.0,723.0,1545.0,1114179.5,724.0,-1.0
2022-06-06,78.0,751.0,711.0,729.0,3787.0,2745018.0,723.0,6.0
2022-06-07,49.0,734.0,715.1,734.0,1421.0,1024034.0,729.0,5.0
2022-06-08,56.0,760.0,721.0,760.0,1699.0,1264182.2,734.0,26.0
2022-06-09,64.0,759.5,727.0,727.0,1701.0,1260550.8,760.0,-33.0
2022-06-10,47.0,729.0,701.0,719.0,1405.0,995191.0,727.0,-8.0
2022-06-13,43.0,724.2,704.0,712.9,895.0,634055.1,719.0,-6.1
2022-06-14,57.0,710.0,683.0,683.0,4700.0,3256150.0,712.9,-29.9
2022-06-15,98.0,687.3,638.4,654.0,3013.0,1977390.9,683.0,-29.0
2022-06-16,19.0,680.0,641.1,655.0,600.0,394755.9,654.0,1.0
2022-06-17,10.0,659.9,641.9,641.9,125.0,81143.0,655.0,-13.1
2022-06-19,51.0,654.8,619.0,654.8,1370.0,857997.8,641.9,12.9
2022-06-20,52.0,641.8,599.8,623.0,1245.0,768270.7,654.8,-31.8
2022-06-21,42.0,646.6,599.0,623.4,1060.0,663593.0,623.0,0.4
2022-06-22,28.0,620.0,605.0,612.0,1104.0,671501.0,623.4,-11.4
2022-06-23,47.0,599.8,567.6,568.0,2440.0,1412976.0,612.0,-44.0
2022-06-24,27.0,590.0,538.0,578.2,2110.0,1164667.0,568.0,10.2
2022-06-26,39.0,615.0,589.7,600.0,1885.0,1131559.1,578.2,21.8
2022-06-27,68.0,618.0,578.0,600.0,4222.0,2535355.4,600.0,0.0
2022-06-28,30.0,600.0,581.0,581.0,490.0,289251.0,600.0,-19.0
2022-06-30,59.0,650.6,603.0,630.0,3317.0,2068817.7,602.0,28.0
2022-07-01,43.0,665.9,629.2,642.9,1820.0,1162442.0,630.0,12.9
2022-07-03,52.0,673.2,618.0,669.0,2927.0,1893534.9,642.9,26.1
2022-07-04,133.0,708.9,646.8,672.0,9634.0,6484746.4,669.0,3.0
2022-07-05,90.0,672.0,641.0,649.0,4228.0,2754717.0,672.0,-23.0
2022-07-06,68.0,702.7,626.1,689.0,3505.0,2295880.0,649.0,40.0
2022-07-07,66.0,715.0,656.1,693.0,3777.0,2525303.2,689.0,4.0
2022-07-08,23.0,706.8,655.0,687.9,940.0,627712.0,693.0,-5.1
