Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,119.0,119.0,119.0,110.0,13090.0,117.0,2.0
2012-06-04,1.0,115.0,115.0,115.0,5000.0,575000.0,119.0,-4.0
2012-06-14,2.0,113.0,111.0,111.0,134.0,14982.0,115.0,-4.0
2012-06-17,5.0,109.0,103.0,103.0,326.0,34606.0,111.0,-8.0
2012-06-19,4.0,102.0,102.0,102.0,192.0,19584.0,103.0,-1.0
2012-06-20,1.0,104.0,104.0,104.0,54.0,5616.0,102.0,2.0
2012-06-21,4.0,106.0,104.0,104.0,304.0,31724.0,104.0,0.0
2012-07-05,5.0,103.0,102.0,103.0,144.0,14736.0,104.0,-1.0
2012-07-08,1.0,103.0,103.0,103.0,160.0,16480.0,103.0,0.0
2012-07-09,1.0,103.0,103.0,103.0,24.0,2472.0,103.0,0.0
2012-07-10,3.0,102.0,101.0,102.0,256.0,25992.0,103.0,-1.0
2012-07-11,1.0,101.0,101.0,101.0,100.0,10100.0,102.0,-1.0
2012-07-15,1.0,101.0,101.0,101.0,100.0,10100.0,101.0,0.0
2012-07-16,2.0,102.0,102.0,102.0,200.0,20400.0,101.0,1.0
2012-07-31,1.0,100.0,100.0,100.0,24.0,2400.0,102.0,-2.0
2012-08-06,1.0,102.0,102.0,102.0,150.0,15300.0,100.0,2.0
2012-08-12,1.0,102.0,102.0,102.0,48.0,4896.0,102.0,0.0
2012-08-23,2.0,100.0,98.0,98.0,991.0,98830.0,102.0,-4.0
2012-08-28,1.0,97.0,97.0,97.0,90.0,8730.0,98.0,-1.0
2012-09-05,1.0,96.0,96.0,96.0,48.0,4608.0,97.0,-1.0
2012-10-08,2.0,95.0,94.0,94.0,360.0,34190.0,96.0,-2.0
2012-10-30,1.0,93.0,93.0,93.0,200.0,18600.0,94.0,-1.0
2012-11-04,1.0,92.0,92.0,92.0,200.0,18400.0,93.0,-1.0
2012-11-18,1.0,91.0,91.0,91.0,80.0,7280.0,92.0,-1.0
2013-01-09,1.0,90.0,90.0,90.0,54.0,4860.0,91.0,-1.0
2013-02-13,1.0,89.0,89.0,89.0,24.0,2136.0,90.0,-1.0
2013-07-23,2.0,88.0,88.0,88.0,330.0,29040.0,89.0,-1.0
2013-09-02,9.0,94.0,89.0,93.0,1514.0,140392.0,88.0,5.0
2013-09-03,8.0,102.0,94.0,102.0,754.0,71760.0,93.0,9.0
2013-09-04,8.0,100.0,96.0,96.0,1271.0,123078.0,102.0,-6.0
2013-09-05,3.0,97.0,96.0,96.0,580.0,55960.0,96.0,0.0
2013-09-08,2.0,96.0,95.0,95.0,470.0,45070.0,96.0,-1.0
2013-09-09,5.0,97.0,95.0,97.0,2018.0,193728.0,95.0,2.0
2013-09-10,3.0,100.0,98.0,100.0,570.0,56290.0,97.0,3.0
2013-09-11,1.0,98.0,98.0,98.0,384.0,37632.0,100.0,-2.0
2013-09-15,5.0,100.0,99.0,99.0,250.0,24950.0,98.0,1.0
2013-09-16,2.0,99.0,98.0,98.0,366.0,35904.0,99.0,-1.0
2013-09-17,1.0,99.0,99.0,99.0,240.0,23760.0,98.0,1.0
2013-09-19,2.0,100.0,99.0,99.0,130.0,12900.0,99.0,0.0
2013-09-22,5.0,101.0,100.0,101.0,372.0,37300.0,99.0,2.0
2013-12-01,1.0,89.0,89.0,89.0,48.0,4272.0,101.0,-12.0
2013-12-09,2.0,91.0,90.0,91.0,20.0,1810.0,89.0,2.0
2013-12-10,4.0,95.0,92.0,95.0,40.0,3740.0,91.0,4.0
2013-12-11,8.0,104.0,96.0,104.0,130.0,13020.0,95.0,9.0
2013-12-12,2.0,108.0,106.0,108.0,20.0,2140.0,104.0,4.0
2013-12-15,2.0,112.0,110.0,112.0,20.0,2220.0,108.0,4.0
2013-12-16,1.0,110.0,110.0,110.0,500.0,55000.0,112.0,-2.0
2013-12-18,1.0,112.0,112.0,112.0,195.0,21840.0,110.0,2.0
2013-12-19,2.0,114.0,112.0,114.0,236.0,26744.0,112.0,2.0
2013-12-26,1.0,116.0,116.0,116.0,20.0,2320.0,114.0,2.0
2014-01-05,2.0,118.0,116.0,118.0,70.0,8220.0,116.0,2.0
2014-01-27,1.0,118.0,118.0,118.0,10.0,1180.0,118.0,0.0
2014-01-29,6.0,129.0,120.0,129.0,74.0,9296.0,118.0,11.0
2014-02-05,1.0,128.0,128.0,128.0,68.0,8704.0,129.0,-1.0
2014-02-20,1.0,130.0,130.0,130.0,68.0,8840.0,128.0,2.0
2014-02-25,7.0,138.0,132.0,136.0,408.0,55228.0,130.0,6.0
2014-02-26,1.0,138.0,138.0,138.0,40.0,5520.0,136.0,2.0
2014-05-15,7.0,151.0,140.0,151.0,468.0,68532.0,138.0,13.0
2014-05-18,7.0,166.0,154.0,166.0,560.0,92660.0,151.0,15.0
2014-05-19,11.0,181.0,169.0,169.0,2950.0,520900.0,166.0,3.0
2014-05-20,1.0,170.0,170.0,170.0,148.0,25160.0,169.0,1.0
2014-05-26,2.0,173.0,173.0,16.28,4030.0,67175.6,170.0,3.0
2014-05-28,10.0,170.0,156.0,156.0,1243.0,201207.0,173.0,-17.0
2014-06-01,1.0,153.0,153.0,153.0,100.0,15300.0,156.0,-3.0
2014-06-09,3.0,150.0,147.0,147.0,416.0,62310.0,153.0,-6.0
2014-06-10,4.0,145.0,141.0,141.0,435.0,62595.0,147.0,-6.0
2014-06-11,5.0,143.0,139.0,143.0,576.0,80963.0,141.0,2.0
2014-06-12,1.0,141.0,141.0,141.0,55.0,7755.0,143.0,-2.0
2014-06-15,2.0,145.0,143.0,145.0,65.0,9315.0,141.0,4.0
2014-06-16,5.0,157.0,147.0,157.0,50.0,7580.0,145.0,12.0
2014-06-17,3.0,166.0,160.0,0.0,30.0,4890.0,157.0,9.0
2014-06-19,1.0,169.0,169.0,169.0,10.0,1690.0,166.0,3.0
2014-07-01,1.0,172.0,172.0,172.0,10.0,1720.0,169.0,3.0
2014-07-07,3.0,169.0,166.0,169.0,648.0,108012.0,172.0,-3.0
2014-07-08,1.0,166.0,166.0,166.0,62.0,10292.0,169.0,-3.0
2014-07-09,5.0,163.0,160.0,160.0,272.0,44006.0,166.0,-6.0
2014-07-10,5.0,160.0,157.0,157.0,297.0,46963.0,160.0,-3.0
2014-07-13,1.0,154.0,154.0,154.0,27.0,4158.0,157.0,-3.0
