Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-10,11.0,141.0,136.0,141.0,950.0,131604.0,0.0,141.0
2012-06-11,21.0,155.0,143.0,147.0,2898.0,437702.0,141.0,6.0
2012-06-12,32.0,147.0,138.0,138.0,12254.0,1778789.0,147.0,-9.0
2012-06-13,35.0,144.0,136.0,140.0,10961.0,1531733.0,138.0,2.0
2012-06-14,22.0,141.0,137.0,140.0,3464.0,483681.0,140.0,0.0
2012-06-17,8.0,138.0,136.0,136.0,1720.0,234741.0,140.0,-4.0
2012-06-18,3.0,138.0,136.0,138.0,208.0,28407.0,136.0,2.0
2012-06-19,2.0,140.0,140.0,140.0,98.0,13720.0,138.0,2.0
2012-06-20,2.0,142.0,140.0,140.0,724.0,101598.0,140.0,0.0
2012-06-21,5.0,138.0,136.0,136.0,2405.0,329590.0,140.0,-4.0
2012-06-25,11.0,137.0,135.0,135.0,3945.0,534220.0,136.0,-1.0
2012-06-26,10.0,138.0,134.0,138.0,3293.0,443311.0,135.0,3.0
2012-06-27,1.0,136.0,136.0,136.0,475.0,64600.0,138.0,-2.0
2012-06-28,6.0,141.0,138.0,141.0,2074.0,287169.0,136.0,5.0
2012-07-01,5.0,140.0,137.0,137.0,4050.0,556875.0,141.0,-4.0
2012-07-02,3.0,139.0,137.0,137.0,825.0,113865.0,137.0,0.0
2012-07-03,1.0,137.0,137.0,137.0,810.0,110970.0,137.0,0.0
2012-07-04,1.0,139.0,139.0,139.0,49.0,6811.0,137.0,2.0
2012-07-05,2.0,141.0,141.0,141.0,148.0,20868.0,139.0,2.0
2012-07-08,10.0,140.0,139.0,140.0,619.0,86237.0,141.0,-1.0
2012-07-09,1.0,140.0,140.0,140.0,49.0,6860.0,140.0,0.0
2012-07-10,1.0,138.0,138.0,138.0,198.0,27324.0,140.0,-2.0
2012-07-12,1.0,138.0,138.0,138.0,1655.0,228390.0,138.0,0.0
2012-07-16,2.0,138.0,138.0,138.0,98.0,13524.0,138.0,0.0
2012-07-17,14.0,150.0,140.0,145.0,1226.0,177872.0,138.0,7.0
2012-07-18,9.0,153.0,147.0,153.0,1639.0,246286.0,145.0,8.0
2012-07-19,2.0,159.0,156.0,159.0,98.0,15435.0,153.0,6.0
2012-07-22,3.0,160.0,159.0,159.0,246.0,39261.0,159.0,0.0
2012-07-24,5.0,157.0,150.0,150.0,295.0,45677.0,159.0,-9.0
2012-07-26,1.0,148.0,148.0,148.0,49.0,7252.0,150.0,-2.0
2012-07-29,1.0,146.0,146.0,146.0,49.0,7154.0,148.0,-2.0
2012-08-01,4.0,146.0,145.0,146.0,827.0,120524.0,146.0,0.0
2012-08-05,2.0,146.0,144.0,146.0,249.0,36256.0,146.0,0.0
2012-08-06,3.0,148.0,146.0,148.0,1786.0,260854.0,146.0,2.0
2012-08-07,5.0,152.0,147.0,152.0,1972.0,294105.0,148.0,4.0
2012-08-08,2.0,158.0,155.0,158.0,40.0,6260.0,152.0,6.0
2012-08-12,1.0,155.0,155.0,155.0,247.0,38285.0,158.0,-3.0
2012-08-13,2.0,153.0,150.0,150.0,198.0,29967.0,155.0,-5.0
2012-08-14,3.0,147.0,147.0,147.0,795.0,116865.0,150.0,-3.0
2012-08-15,1.0,147.0,147.0,147.0,109.0,16023.0,147.0,0.0
2012-08-19,10.0,147.0,143.0,147.0,851.0,123219.0,147.0,0.0
2012-08-21,2.0,147.0,147.0,147.0,98.0,14406.0,147.0,0.0
2012-08-22,1.0,149.0,149.0,149.0,109.0,16241.0,147.0,2.0
2012-08-28,7.0,150.0,146.0,146.0,532.0,78500.0,149.0,-3.0
2012-08-29,9.0,148.0,147.0,148.0,751.0,110930.0,146.0,2.0
2012-08-30,9.0,150.0,147.0,148.0,587.0,86819.0,148.0,0.0
2012-09-02,2.0,150.0,149.0,150.0,128.0,19151.0,148.0,2.0
2012-09-03,15.0,165.0,150.0,165.0,1538.0,245225.0,150.0,15.0
2012-09-04,8.0,180.0,168.0,180.0,473.0,82713.0,165.0,15.0
2012-09-10,18.0,177.0,162.0,162.0,2891.0,470412.0,180.0,-18.0
2012-09-11,47.0,160.0,150.0,159.0,17222.0,2639765.0,162.0,-3.0
2012-09-12,26.0,171.0,158.0,170.0,21357.0,3615965.0,159.0,11.0
2012-09-13,7.0,167.0,162.0,165.0,10038.0,1646301.0,170.0,-5.0
2012-09-16,8.0,171.0,168.0,171.0,14390.0,2447159.0,165.0,6.0
2012-09-17,4.0,179.0,174.0,179.0,4226.0,742368.0,171.0,8.0
2012-09-18,7.0,181.0,180.0,181.0,5895.0,1066125.0,179.0,2.0
2012-09-19,15.0,180.0,179.0,180.0,8811.0,1585871.0,181.0,-1.0
2012-09-20,5.0,180.0,177.0,180.0,534.0,95744.0,180.0,0.0
2012-09-23,6.0,179.0,174.0,178.0,3242.0,574238.0,180.0,-2.0
2012-09-24,7.0,187.0,177.0,187.0,1868.0,332042.0,178.0,9.0
