Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-05-21,1.0,1051.0,1051.0,1051.0,100.0,105100.0,0.0,1051.0
2017-06-05,5.0,1103.0,1103.0,1103.0,30.0,33530.0,1051.0,52.0
2017-06-06,1.0,0.0,0.0,0.0,9.0,10125.0,1103.0,0.0
2017-06-07,3.0,1169.0,1125.0,1169.0,30.0,34410.0,1103.0,66.0
2017-06-11,3.0,1215.0,1192.0,1215.0,26.0,31504.0,1169.0,46.0
2017-06-14,4.0,1288.0,1239.0,1288.0,530.0,681900.0,1215.0,73.0
2017-06-15,3.0,1365.0,1313.0,1365.0,52.0,69368.0,1288.0,77.0
2017-06-18,2.0,1419.0,1392.0,1419.0,20.0,28110.0,1365.0,54.0
2017-06-19,1.0,1447.0,1447.0,1447.0,10.0,14470.0,1419.0,28.0
2017-06-21,3.0,1534.0,1475.0,1534.0,30.0,45130.0,1447.0,87.0
2017-06-25,3.0,1626.0,1564.0,1626.0,30.0,47850.0,1534.0,92.0
2017-06-27,3.0,1724.0,1658.0,1724.0,30.0,50730.0,1626.0,98.0
2017-06-28,6.0,1864.0,1758.0,1864.0,46.0,83725.0,1724.0,140.0
2017-07-02,1.0,1901.0,1901.0,1901.0,26.0,49426.0,1864.0,37.0
2017-07-03,7.0,2091.0,1939.0,2091.0,66.0,134246.0,1901.0,190.0
2017-07-04,5.0,2261.0,2132.0,2261.0,56.0,124016.0,2091.0,170.0
2017-07-05,1.0,2306.0,2306.0,2306.0,10.0,23060.0,2261.0,45.0
2017-07-09,8.0,2536.0,2352.0,2536.0,102.0,253320.0,2306.0,230.0
2017-07-10,5.0,2586.0,2586.0,2586.0,40.0,103950.0,2536.0,50.0
2017-07-11,19.0,2844.0,2637.0,2844.0,212.0,596258.0,2586.0,258.0
2017-07-12,211.0,3128.0,2900.0,3128.0,3230.0,10098549.0,2844.0,284.0
2017-07-13,2343.0,3384.0,3190.0,3221.0,39591.0,128823199.0,3128.0,93.0
2017-07-16,923.0,3305.0,3150.0,3298.0,16692.0,53557215.0,3221.0,77.0
2017-07-17,684.0,3570.0,3260.0,3542.0,14227.0,48903466.0,3298.0,244.0
2017-07-18,693.0,3795.0,3523.0,3795.0,16051.0,59137425.0,3542.0,253.0
2017-07-19,770.0,3870.0,3701.0,3710.0,15286.0,57160234.0,3795.0,-85.0
2017-07-20,631.0,3780.0,3650.0,3760.0,11248.0,42140665.0,3710.0,50.0
2017-07-23,420.0,3835.0,3740.0,3819.0,9171.0,34748634.0,3760.0,59.0
2017-07-24,326.0,3870.0,3785.0,3822.0,6313.0,24167783.0,3819.0,3.0
2017-07-25,275.0,3901.0,3781.0,3836.0,5324.0,20416770.0,3822.0,14.0
2017-07-26,271.0,3841.0,3780.0,3810.0,4911.0,18786562.0,3836.0,-26.0
2017-07-27,217.0,3900.0,3756.0,3800.0,4396.0,16729890.0,3810.0,-10.0
2017-07-30,187.0,3820.0,3770.0,3820.0,3113.0,11843902.0,3800.0,20.0
2017-07-31,254.0,3825.0,3800.0,3804.0,6159.0,23451285.0,3820.0,-16.0
2017-08-01,278.0,3854.0,3800.0,3844.0,4826.0,18478881.0,3804.0,40.0
2017-08-02,286.0,4000.0,3835.0,3980.0,7876.0,30642422.0,3844.0,136.0
2017-08-03,426.0,4140.0,3912.0,4021.0,10587.0,42844727.0,3980.0,41.0
2017-08-06,231.0,4020.0,3951.0,3970.0,5505.0,21932344.0,4021.0,-51.0
2017-08-07,151.0,3970.0,3911.0,3940.0,3357.0,13216882.0,3970.0,-30.0
2017-08-09,176.0,3940.0,3850.0,3895.0,5300.0,20573987.0,3940.0,-45.0
2017-08-10,189.0,3875.0,3742.0,3850.0,5334.0,20403618.0,3895.0,-45.0
2017-08-13,129.0,3850.0,3760.0,3780.0,5257.0,19891148.0,3850.0,-70.0
2017-08-15,158.0,3790.0,3680.0,3790.0,4078.0,15230036.0,3780.0,10.0
2017-08-16,160.0,3859.0,3721.0,3859.0,4456.0,17057174.0,3790.0,69.0
2017-08-17,182.0,3936.0,3800.0,3840.0,5340.0,20603338.0,3859.0,-19.0
2017-08-20,124.0,3830.0,3795.0,3800.0,3205.0,12232307.0,3840.0,-40.0
2017-08-21,53.0,3797.0,3740.0,3775.0,1242.0,4682321.0,3800.0,-25.0
2017-08-22,98.0,3780.0,3749.0,3775.0,2957.0,11141801.0,3775.0,0.0
2017-08-23,63.0,3770.0,3740.0,3740.0,1656.0,6221507.0,3775.0,-35.0
2017-08-24,59.0,3760.0,3710.0,3750.0,2746.0,10297834.0,3740.0,10.0
2017-08-27,85.0,3769.0,3711.0,3769.0,3776.0,14123850.0,3750.0,19.0
2017-08-28,87.0,3780.0,3720.0,3766.0,2614.0,9863256.0,3769.0,-3.0
2017-08-30,98.0,3840.0,3750.0,3810.0,3090.0,11749399.0,3766.0,44.0
2017-08-31,116.0,3800.0,3768.0,3775.0,1944.0,7365676.0,3810.0,-35.0
2017-09-04,58.0,3770.0,3705.0,3731.0,1129.0,4222481.0,3775.0,-44.0
2017-09-06,85.0,3820.0,3735.0,3759.0,2478.0,9344568.0,3731.0,28.0
2017-09-07,108.0,3800.0,3751.0,3760.0,1670.0,6294674.0,3759.0,1.0
2017-09-10,74.0,3770.0,3735.0,3735.0,1857.0,6957635.0,3760.0,-25.0
2017-09-11,99.0,3760.0,3710.0,3745.0,3272.0,12201178.0,3735.0,10.0
2017-09-12,83.0,3745.0,3710.0,3713.0,2612.0,9709972.0,3745.0,-32.0
2017-09-13,56.0,3750.0,3660.0,3673.0,1171.0,4335266.0,3713.0,-40.0
2017-09-14,248.0,3670.0,3475.0,3575.0,8488.0,30174901.0,3673.0,-98.0
2017-09-17,136.0,3639.0,3504.0,3585.0,2530.0,9048728.0,3575.0,10.0
2017-09-18,209.0,3750.0,3599.0,3739.0,4785.0,17633115.0,3585.0,154.0
2017-09-20,53.0,3805.0,3605.0,3650.0,1617.0,5969368.0,3739.0,-89.0
2017-09-24,12.0,3650.0,3580.0,3611.0,178.0,644679.0,3650.0,-39.0
2017-09-25,22.0,3670.0,3615.0,3650.0,486.0,1772164.0,3611.0,39.0
2017-09-26,15.0,3700.0,3640.0,3700.0,864.0,3154022.0,3650.0,50.0
2017-10-03,25.0,3675.0,3650.0,3675.0,395.0,1446770.0,3700.0,-25.0
2017-10-04,64.0,3700.0,3640.0,3642.0,1016.0,3720878.0,3675.0,-33.0
2017-10-08,110.0,3640.0,3507.0,3590.0,1543.0,5456935.0,3642.0,-52.0
2017-10-09,43.0,3564.0,3521.0,3564.0,944.0,3336900.0,3590.0,-26.0
2017-10-10,33.0,3560.0,3503.0,3540.0,625.0,2208133.0,3564.0,-24.0
2017-10-11,30.0,3570.0,3531.0,3538.0,526.0,1864292.0,3540.0,-2.0
2017-10-12,62.0,3570.0,3500.0,3535.0,1949.0,6849381.0,3538.0,-3.0
2017-10-15,19.0,3550.0,3505.0,3549.0,666.0,2352110.0,3535.0,14.0
2017-10-16,35.0,3680.0,3570.0,3680.0,808.0,2917198.0,3549.0,131.0
2017-10-17,37.0,3753.0,3600.0,3640.0,984.0,3571199.0,3680.0,-40.0
2017-10-18,18.0,3665.0,3592.0,3645.0,481.0,1737135.0,3640.0,5.0
2017-10-22,11.0,3645.0,3601.0,3625.0,466.0,1682662.0,3645.0,-20.0
2017-10-23,30.0,3610.0,3571.0,3595.0,788.0,2832630.0,3625.0,-30.0
2017-10-24,34.0,3600.0,3560.0,3580.0,1180.0,4224233.0,3595.0,-15.0
2017-10-25,44.0,3600.0,3541.0,3541.0,705.0,2516017.0,3580.0,-39.0
2017-10-29,51.0,3550.0,3511.0,3535.0,1122.0,3958830.0,3541.0,-6.0
2017-10-30,91.0,3530.0,3481.0,3500.0,3506.0,12284660.0,3535.0,-35.0
2017-10-31,60.0,3500.0,3465.0,3480.0,2753.0,9563717.0,3500.0,-20.0
2017-11-01,27.0,3500.0,3470.0,3485.0,812.0,2830788.0,3480.0,5.0
2017-11-02,39.0,3485.0,3417.0,3436.0,863.0,2971024.0,3485.0,-49.0
2017-11-05,80.0,3408.0,3373.0,3408.0,3396.0,11513594.0,3436.0,-28.0
2017-11-06,49.0,3410.0,3290.0,3350.0,1275.0,4276852.0,3408.0,-58.0
2017-11-07,128.0,3340.0,3250.0,3275.0,4619.0,15153226.0,3350.0,-75.0
2017-11-08,83.0,3350.0,3255.0,3349.0,3839.0,12612988.0,3275.0,74.0
2017-11-09,70.0,3400.0,3265.0,3350.0,2195.0,7302801.0,3349.0,1.0
