Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,2.0,217.0,213.0,217.0,40.0,8600.0,209.0,8.0
2012-07-19,1.0,215.0,215.0,215.0,1000.0,215000.0,217.0,-2.0
2012-08-08,1.0,211.0,211.0,211.0,53.0,11183.0,215.0,-4.0
2012-08-15,1.0,207.0,207.0,207.0,60.0,12420.0,211.0,-4.0
2012-09-11,3.0,219.0,211.0,219.0,60.0,12900.0,207.0,12.0
2012-09-26,3.0,215.0,211.0,211.0,547.0,115965.0,219.0,-8.0
2012-09-27,1.0,214.0,214.0,214.0,137.0,29318.0,211.0,3.0
2012-09-30,1.0,210.0,210.0,210.0,273.0,57330.0,214.0,-4.0
2012-11-29,1.0,210.0,210.0,210.0,100.0,21000.0,210.0,0.0
2012-12-12,2.0,210.0,206.0,206.0,1500.0,311000.0,210.0,-4.0
2012-12-31,3.0,206.0,206.0,206.0,1566.0,322596.0,206.0,0.0
2013-02-14,8.0,208.0,193.0,193.0,10933.0,2257446.0,206.0,-13.0
2013-04-15,1.0,190.0,190.0,190.0,4550.0,864500.0,193.0,-3.0
2013-04-21,9.0,187.0,187.0,187.0,173.0,32351.0,190.0,-3.0
2013-04-28,3.0,184.0,184.0,184.0,53.0,9752.0,187.0,-3.0
2013-05-02,1.0,181.0,181.0,181.0,100.0,18100.0,184.0,-3.0
2013-05-07,4.0,180.0,180.0,180.0,543.0,97740.0,181.0,-1.0
2013-06-04,1.0,177.0,177.0,177.0,110.0,19470.0,180.0,-3.0
2013-06-13,1.0,174.0,174.0,174.0,637.0,110838.0,177.0,-3.0
2013-07-07,1.0,171.0,171.0,171.0,74.0,12654.0,174.0,-3.0
2013-07-31,9.0,185.0,174.0,180.0,1406.0,251883.0,171.0,9.0
2013-08-01,3.0,182.0,179.0,179.0,2100.0,378900.0,180.0,-1.0
2013-08-07,3.0,179.0,176.0,179.0,750.0,133900.0,179.0,0.0
2013-08-18,2.0,176.0,175.0,175.0,1500.0,262600.0,179.0,-4.0
2013-08-25,4.0,172.0,166.0,166.0,1650.0,278725.0,175.0,-9.0
2013-08-26,1.0,166.0,166.0,166.0,2024.0,335984.0,166.0,0.0
2013-09-05,1.0,165.0,165.0,165.0,38.0,6270.0,166.0,-1.0
2013-09-15,2.0,169.0,168.0,169.0,110.0,18580.0,165.0,4.0
2013-09-16,6.0,180.0,172.0,177.0,1383.0,245663.0,169.0,8.0
2013-09-17,1.0,175.0,175.0,175.0,200.0,35000.0,177.0,-2.0
2013-09-19,3.0,172.0,170.0,170.0,480.0,82000.0,175.0,-5.0
2013-09-23,1.0,170.0,170.0,170.0,150.0,25500.0,170.0,0.0
2013-09-24,1.0,167.0,167.0,167.0,121.0,20207.0,170.0,-3.0
2013-10-01,1.0,164.0,164.0,164.0,13.0,2132.0,167.0,-3.0
2013-10-06,1.0,167.0,167.0,167.0,20.0,3340.0,164.0,3.0
2013-10-07,5.0,167.0,165.0,165.0,399.0,66296.0,167.0,-2.0
2013-10-17,1.0,167.0,167.0,167.0,20.0,3340.0,165.0,2.0
2013-10-20,1.0,167.0,167.0,167.0,500.0,83500.0,167.0,0.0
2013-10-21,1.0,170.0,170.0,170.0,100.0,17000.0,167.0,3.0
2013-10-22,3.0,170.0,170.0,170.0,900.0,153000.0,170.0,0.0
2013-10-23,1.0,172.0,172.0,172.0,20.0,3440.0,170.0,2.0
2013-10-24,3.0,172.0,170.0,172.0,751.0,128270.0,172.0,0.0
2013-10-28,2.0,175.0,175.0,175.0,70.0,12250.0,172.0,3.0
2013-10-31,3.0,178.0,176.0,178.0,370.0,65360.0,175.0,3.0
2013-11-07,1.0,180.0,180.0,180.0,19.0,3420.0,178.0,2.0
2013-11-12,1.0,180.0,180.0,180.0,120.0,21600.0,180.0,0.0
2013-11-28,6.0,188.0,183.0,188.0,1093.0,201834.0,180.0,8.0
2013-12-01,7.0,201.0,186.0,201.0,2605.0,506199.0,188.0,13.0
2013-12-03,5.0,221.0,205.0,221.0,736.0,156112.0,201.0,20.0
2013-12-04,2.0,221.0,217.0,221.0,374.0,81198.0,221.0,0.0
2013-12-05,6.0,241.0,225.0,241.0,1251.0,289319.0,221.0,20.0
2013-12-08,10.0,260.0,244.0,260.0,1373.0,346520.0,241.0,19.0
2013-12-16,1.0,265.0,265.0,265.0,934.0,247510.0,260.0,5.0
2013-12-19,2.0,265.0,264.0,265.0,1601.0,422764.0,265.0,0.0
2013-12-22,5.0,265.0,255.0,255.0,940.0,246100.0,265.0,-10.0
2014-01-05,1.0,232.0,232.0,232.0,200.0,46400.0,255.0,-23.0
2014-01-08,2.0,240.0,236.0,236.0,100.0,23800.0,232.0,4.0
2014-01-12,2.0,248.0,244.0,248.0,100.0,24600.0,236.0,12.0
2014-01-13,1.0,252.0,252.0,252.0,50.0,12600.0,248.0,4.0
2014-01-14,2.0,262.0,257.0,262.0,100.0,25950.0,252.0,10.0
2014-01-16,2.0,272.0,267.0,272.0,66.0,17702.0,262.0,10.0
2014-01-19,1.0,277.0,277.0,277.0,24.0,6648.0,272.0,5.0
2014-01-20,1.0,281.0,281.0,281.0,20.0,5620.0,277.0,4.0
2014-01-21,2.0,290.0,285.0,290.0,60.0,17350.0,281.0,9.0
2014-01-22,1.0,295.0,295.0,295.0,50.0,14750.0,290.0,5.0
2014-01-23,2.0,306.0,300.0,306.0,260.0,78300.0,295.0,11.0
2014-01-26,1.0,312.0,312.0,312.0,50.0,15600.0,306.0,6.0
2014-02-04,5.0,318.0,312.0,312.0,1800.0,567971.0,312.0,0.0
2014-02-05,1.0,318.0,318.0,318.0,20.0,6360.0,312.0,6.0
2014-02-06,3.0,330.0,324.0,324.0,280.0,91020.0,318.0,6.0
2014-02-10,1.0,330.0,330.0,330.0,20.0,6600.0,324.0,6.0
2014-02-11,1.0,336.0,336.0,336.0,20.0,6720.0,330.0,6.0
2014-02-12,2.0,342.0,336.0,336.0,130.0,44340.0,336.0,0.0
2014-02-16,1.0,336.0,336.0,336.0,16.0,5376.0,336.0,0.0
2014-02-17,1.0,336.0,336.0,336.0,10.0,3360.0,336.0,0.0
2014-03-06,1.0,330.0,330.0,330.0,20.0,6600.0,336.0,-6.0
2014-03-11,1.0,324.0,324.0,324.0,10.0,3240.0,330.0,-6.0
2014-03-12,3.0,318.0,306.0,306.0,30.0,9360.0,324.0,-18.0
2014-03-13,2.0,300.0,295.0,295.0,12836.0,3786670.0,306.0,-11.0
2014-03-25,8.0,312.0,300.0,312.0,109.0,33460.0,295.0,17.0
2014-04-15,1.0,306.0,306.0,306.0,236.0,72216.0,312.0,-6.0
2014-04-30,2.0,300.0,300.0,300.0,1046.0,313800.0,306.0,-6.0
2014-05-04,5.0,294.0,284.0,284.0,3200.0,919300.0,300.0,-16.0
2014-05-05,2.0,279.0,274.0,274.0,520.0,142530.0,284.0,-10.0
2014-05-06,1.0,269.0,269.0,269.0,200.0,53800.0,274.0,-5.0
2014-05-07,14.0,274.0,249.0,250.0,3501.0,890350.0,269.0,-19.0
2014-05-08,2.0,246.0,246.0,246.0,1030.0,253380.0,250.0,-4.0
2014-05-11,2.0,250.0,249.0,250.0,610.0,152191.0,246.0,4.0
2014-05-12,5.0,261.0,245.0,261.0,18824.0,4620130.0,250.0,11.0
2014-05-13,8.0,281.0,266.0,276.0,1677.0,460129.0,261.0,15.0
2014-05-18,1.0,271.0,271.0,271.0,42.0,11382.0,276.0,-5.0
2014-05-20,1.0,266.0,266.0,266.0,254.0,67564.0,271.0,-5.0
2014-05-21,1.0,265.0,265.0,265.0,142.0,37630.0,266.0,-1.0
2014-05-22,4.0,270.0,262.0,265.0,2022.0,534380.0,265.0,0.0
2014-05-25,8.0,281.0,270.0,281.0,2661.0,733192.0,265.0,16.0
2014-05-26,1.0,276.0,276.0,276.0,546.0,150696.0,281.0,-5.0
2014-05-27,1.0,271.0,271.0,271.0,500.0,135500.0,276.0,-5.0
2014-05-28,1.0,266.0,266.0,266.0,121.0,32186.0,271.0,-5.0
2014-06-01,3.0,265.0,255.0,255.0,639.0,166930.0,266.0,-11.0
2014-06-02,15.0,255.0,250.0,255.0,4861.0,1227930.0,255.0,0.0
2014-06-03,5.0,275.0,260.0,275.0,884.0,234770.0,255.0,20.0
2014-06-04,5.0,270.0,257.0,260.0,2196.0,579490.0,275.0,-15.0
2014-06-08,1.0,260.0,260.0,260.0,23.0,5980.0,260.0,0.0
2014-06-09,1.0,265.0,265.0,265.0,54.0,14310.0,260.0,5.0
2014-06-10,11.0,275.0,260.0,275.0,2686.0,718070.0,265.0,10.0
2014-06-11,1.0,270.0,270.0,270.0,500.0,135000.0,275.0,-5.0
2014-06-12,7.0,265.0,255.0,260.0,3242.0,839120.0,270.0,-10.0
2014-06-15,2.0,270.0,265.0,270.0,66.0,17570.0,260.0,10.0
2014-06-16,3.0,265.0,260.0,265.0,1288.0,338450.0,270.0,-5.0
2014-06-17,2.0,262.0,260.0,0.0,644.0,168040.0,265.0,-3.0
2014-06-18,3.0,277.0,267.0,262.0,220.0,60240.0,262.0,15.0
2014-06-19,13.0,272.0,260.0,269.0,22756.0,6008023.0,277.0,-8.0
2014-06-24,1.0,265.0,265.0,265.0,400.0,106000.0,269.0,-4.0
2014-06-25,3.0,260.0,255.0,255.0,2613.0,669380.0,265.0,-10.0
2014-06-29,2.0,265.0,260.0,265.0,150.0,39500.0,255.0,10.0
2014-07-03,2.0,270.0,265.0,270.0,478.0,128485.0,265.0,5.0
2014-07-06,5.0,270.0,265.0,265.0,704.0,188765.0,270.0,-5.0
2014-07-07,7.0,288.0,270.0,288.0,4121.0,1154975.0,265.0,23.0
2014-07-08,15.0,291.0,271.0,279.0,18051.0,5054954.0,288.0,-9.0
2014-07-09,10.0,282.0,277.0,277.0,2855.0,801566.0,279.0,-2.0
2014-07-10,8.0,283.0,280.0,280.0,6643.0,1863279.0,277.0,3.0
2014-07-13,7.0,295.0,285.0,287.0,6256.0,1789728.0,280.0,7.0
2014-07-14,12.0,285.0,280.0,285.0,9854.0,2783381.0,287.0,-2.0
2014-07-15,3.0,286.0,282.0,286.0,1000.0,284600.0,285.0,1.0
2014-07-16,3.0,296.0,291.0,296.0,312.0,91252.0,286.0,10.0
2014-07-17,1.0,301.0,301.0,301.0,100.0,30100.0,296.0,5.0
2014-07-20,6.0,320.0,307.0,320.0,1146.0,362056.0,301.0,19.0
2014-07-21,22.0,352.0,326.0,351.0,9361.0,3254112.0,320.0,31.0
2014-07-22,20.0,363.0,350.0,350.0,5013.0,1783652.0,351.0,-1.0
2014-07-23,22.0,378.0,350.0,378.0,5796.0,2086254.0,350.0,28.0
2014-07-24,12.0,392.0,378.0,385.0,4832.0,1851245.0,378.0,7.0
2014-07-27,4.0,380.0,373.0,373.0,1113.0,417862.0,385.0,-12.0
2014-07-28,1.0,366.0,366.0,366.0,140.0,51240.0,373.0,-7.0
2014-07-30,4.0,369.0,360.0,362.0,371.0,135297.0,366.0,-4.0
2014-07-31,7.0,381.0,364.0,381.0,1298.0,484971.0,362.0,19.0
2014-08-04,2.0,375.0,368.0,368.0,1014.0,380152.0,381.0,-13.0
2014-08-05,6.0,372.0,365.0,370.0,2122.0,786155.0,368.0,2.0
2014-08-06,4.0,370.0,358.0,358.0,1098.0,404084.0,370.0,-12.0
