Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-02-17,1.0,463.0,463.0,463.0,16100.0,7454300.0,463.0,0.0
2016-11-17,1.0,650.0,650.0,650.0,200.0,130000.0,650.0,0.0
2016-12-06,6.0,650.0,650.0,650.0,83786.0,54460900.0,650.0,0.0
2017-09-04,4.0,600.0,600.0,600.0,12567.0,7540200.0,600.0,0.0
2018-01-04,1.0,425.0,425.0,425.0,11500.0,4887500.0,425.0,0.0
2018-01-07,3.0,417.0,401.0,401.0,17250.0,6929250.0,425.0,-24.0
2018-01-08,3.0,393.0,380.0,380.0,17250.0,6564500.0,401.0,-21.0
2018-01-09,3.0,373.0,360.0,360.0,34500.0,12429500.0,380.0,-20.0
2018-01-10,2.0,360.0,360.0,360.0,2300.0,828000.0,360.0,0.0
2018-03-27,2.0,360.0,360.0,360.0,10000.0,3600000.0,360.0,0.0
2018-07-11,2.0,314.0,308.0,308.0,6678.0,2060892.0,320.0,-12.0
2018-10-04,2.0,240.0,240.0,240.0,30000.0,7200000.0,240.0,0.0
2019-09-29,1.0,132.0,132.0,132.0,17110.0,2258520.0,132.0,0.0
2020-07-14,1.0,275.0,275.0,275.0,500.0,137500.0,275.0,0.0
2021-01-28,1.0,275.0,275.0,275.0,150000.0,44250000.0,275.0,0.0
2021-07-14,1.0,447.0,447.0,447.0,25300.0,11309100.0,447.0,0.0
2021-09-27,2.0,447.0,447.0,447.0,1500.0,525000.0,447.0,0.0
2021-10-03,1.0,447.0,447.0,447.0,77500.0,23258525.0,447.0,0.0
2021-10-25,4.0,447.0,447.0,447.0,4000.0,1230720.0,447.0,0.0
2021-11-18,8.0,447.0,447.0,447.0,8000.0,2497000.0,447.0,0.0
2022-01-09,2.0,447.0,447.0,447.0,18000.0,8046000.0,447.0,0.0
2022-01-16,1.0,447.0,447.0,447.0,14054.0,6282138.0,447.0,0.0
