Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,5.0,165.0,159.0,159.0,160.0,25870.0,168.0,-9.0
2012-06-04,24.0,156.0,144.0,146.0,1700.0,253680.0,159.0,-13.0
2012-06-05,20.0,145.0,141.0,141.0,1110.0,158540.0,146.0,-5.0
2012-06-06,13.0,139.0,135.0,138.0,950.0,129470.0,141.0,-3.0
2012-06-07,7.0,142.0,140.0,140.0,550.0,77600.0,138.0,2.0
2012-06-10,4.0,140.0,136.0,137.0,280.0,38540.0,140.0,-3.0
2012-06-11,8.0,143.0,136.0,143.0,290.0,40200.0,137.0,6.0
2012-06-12,6.0,143.0,141.0,142.0,520.0,73900.0,143.0,-1.0
2012-06-13,35.0,146.0,142.0,142.0,770.0,109740.0,142.0,0.0
2012-06-14,16.0,144.0,139.0,142.0,560.0,78780.0,142.0,0.0
2012-06-17,9.0,143.0,142.0,143.0,210.0,29920.0,142.0,1.0
2012-06-18,44.0,142.0,137.0,138.0,1230.0,172260.0,143.0,-5.0
2012-06-19,5.0,137.0,136.0,137.0,420.0,57260.0,138.0,-1.0
2012-06-20,8.0,140.0,138.0,138.0,780.0,109040.0,137.0,1.0
2012-06-21,7.0,140.0,138.0,140.0,370.0,51560.0,138.0,2.0
2012-06-25,22.0,143.0,138.0,143.0,1510.0,209740.0,140.0,3.0
2012-06-26,12.0,142.0,140.0,140.0,290.0,40860.0,143.0,-3.0
2012-06-27,4.0,140.0,138.0,140.0,280.0,38930.0,140.0,0.0
2012-06-28,12.0,144.0,140.0,142.0,400.0,56740.0,140.0,2.0
2012-07-01,13.0,144.0,142.0,142.0,350.0,50190.0,142.0,0.0
2012-07-02,6.0,142.0,140.0,140.0,670.0,93920.0,142.0,-2.0
2012-07-03,3.0,140.0,138.0,140.0,80.0,11080.0,140.0,0.0
2012-07-04,3.0,138.0,136.0,137.0,150.0,20530.0,140.0,-3.0
2012-07-05,3.0,139.0,139.0,139.0,130.0,18070.0,137.0,2.0
2012-07-08,2.0,137.0,136.0,136.0,70.0,9550.0,139.0,-3.0
2012-07-09,10.0,140.0,134.0,139.0,770.0,105210.0,136.0,3.0
2012-07-10,22.0,141.0,137.0,138.0,710.0,98670.0,139.0,-1.0
2012-07-11,5.0,140.0,138.0,140.0,220.0,30600.0,138.0,2.0
2012-07-12,4.0,140.0,138.0,138.0,210.0,29220.0,140.0,-2.0
2012-07-15,6.0,140.0,138.0,138.0,300.0,41960.0,138.0,0.0
