Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-09-09,5.0,175.0,163.0,175.0,50.0,8450.0,0.0,175.0
2012-09-10,6.0,192.0,178.0,192.0,254.0,46952.0,175.0,17.0
2012-09-11,7.0,211.0,195.0,211.0,376.0,76246.0,192.0,19.0
2012-09-12,13.0,232.0,215.0,232.0,1131.0,261246.0,211.0,21.0
2012-09-13,168.0,255.0,236.0,255.0,27430.0,6741617.0,232.0,23.0
2012-09-16,79.0,260.0,243.0,260.0,9406.0,2340578.0,255.0,5.0
2012-09-17,77.0,270.0,253.0,270.0,6296.0,1616864.0,260.0,10.0
2012-09-18,47.0,277.0,260.0,275.0,8686.0,2324093.0,270.0,5.0
2012-09-19,38.0,271.0,261.0,270.0,4336.0,1158047.0,275.0,-5.0
2012-09-20,55.0,267.0,260.0,260.0,11416.0,2989980.0,270.0,-10.0
2012-09-23,63.0,255.0,245.0,247.0,5384.0,1333421.0,260.0,-13.0
2012-09-24,52.0,250.0,245.0,248.0,9768.0,2408542.0,247.0,1.0
2012-09-25,42.0,249.0,244.0,248.0,4830.0,1190728.0,248.0,0.0
2012-09-26,53.0,249.0,244.0,247.0,7227.0,1771727.0,248.0,-1.0
2012-09-27,30.0,249.0,240.0,245.0,4600.0,1114553.0,247.0,-2.0
2012-09-30,62.0,247.0,238.0,244.0,7236.0,1747500.0,245.0,-1.0
2012-10-01,46.0,245.0,240.0,243.0,5064.0,1229940.0,244.0,-1.0
2012-10-02,22.0,248.0,242.0,248.0,2854.0,703587.0,243.0,5.0
2012-10-03,39.0,251.0,244.0,248.0,3424.0,848235.0,248.0,0.0
2012-10-04,34.0,250.0,244.0,250.0,3162.0,778818.0,248.0,2.0
2012-10-07,37.0,255.0,248.0,252.0,6485.0,1619076.0,250.0,2.0
2012-10-08,32.0,253.0,245.0,252.0,7223.0,1794754.0,252.0,0.0
2012-10-09,43.0,256.0,250.0,256.0,3945.0,997688.0,252.0,4.0
2012-10-10,16.0,256.0,251.0,253.0,1964.0,497591.0,256.0,-3.0
2012-10-11,31.0,252.0,250.0,251.0,3846.0,964853.0,253.0,-2.0
2012-10-14,19.0,254.0,251.0,254.0,1029.0,260641.0,251.0,3.0
2012-10-15,27.0,254.0,249.0,252.0,1589.0,399228.0,254.0,-2.0
2012-10-17,32.0,260.0,247.0,260.0,2975.0,759810.0,252.0,8.0
2012-10-18,36.0,266.0,260.0,266.0,3263.0,857695.0,260.0,6.0
2012-10-30,28.0,275.0,263.0,270.0,2478.0,668968.0,266.0,4.0
2012-10-31,34.0,285.0,275.0,278.0,4291.0,1202150.0,270.0,8.0
2012-11-01,38.0,287.0,269.0,287.0,2017.0,558941.0,278.0,9.0
2012-11-04,62.0,301.0,275.0,296.0,16234.0,4644510.0,287.0,9.0
2012-11-05,65.0,307.0,283.0,297.0,12136.0,3596379.0,296.0,1.0
2012-11-06,53.0,304.0,288.0,304.0,4876.0,1445227.0,297.0,7.0
2012-11-07,51.0,310.0,300.0,310.0,8988.0,2723750.0,304.0,6.0
2012-11-08,57.0,330.0,306.0,308.0,9282.0,2905349.0,310.0,-2.0
2012-11-11,68.0,324.0,289.0,293.0,9640.0,2942956.0,308.0,-15.0
2012-11-12,55.0,315.0,293.0,313.0,3044.0,925513.0,293.0,20.0
2012-11-18,23.0,326.0,310.0,318.0,2200.0,700288.0,313.0,5.0
2012-11-20,54.0,335.0,316.0,333.0,7312.0,2409100.0,318.0,15.0
2012-11-21,60.0,344.0,321.0,343.0,10747.0,3641530.0,333.0,10.0
2012-11-22,91.0,344.0,330.0,342.0,9816.0,3317478.0,343.0,-1.0
2012-11-25,57.0,370.0,343.0,352.0,13675.0,4806048.0,342.0,10.0
2012-11-26,63.0,359.0,334.0,359.0,14535.0,5076649.0,352.0,7.0
2012-11-27,81.0,369.0,345.0,366.0,15772.0,5698191.0,359.0,7.0
2012-11-28,93.0,385.0,368.0,380.0,17520.0,6596300.0,366.0,14.0
2012-11-29,71.0,395.0,373.0,380.0,12950.0,4917274.0,380.0,0.0
2012-12-02,39.0,380.0,366.0,370.0,9600.0,3547576.0,380.0,-10.0
2012-12-03,59.0,370.0,355.0,364.0,5403.0,1951546.0,370.0,-6.0
2012-12-04,78.0,382.0,368.0,380.0,11242.0,4214109.0,364.0,16.0
2012-12-05,75.0,400.0,379.0,400.0,14715.0,5693648.0,380.0,20.0
2012-12-06,109.0,404.0,385.0,404.0,29266.0,11506122.0,400.0,4.0
2012-12-09,92.0,398.0,383.0,387.0,12055.0,4681506.0,404.0,-17.0
2012-12-10,67.0,393.0,384.0,389.0,9827.0,3813009.0,387.0,2.0
2012-12-11,62.0,392.0,388.0,390.0,12681.0,4940691.0,389.0,1.0
2012-12-12,64.0,399.0,390.0,393.0,10338.0,4074235.0,390.0,3.0
2012-12-13,43.0,397.0,393.0,395.0,8951.0,3530672.0,393.0,2.0
2012-12-16,100.0,430.0,396.0,429.0,27653.0,11331777.0,395.0,34.0
2012-12-17,103.0,447.0,430.0,438.0,18004.0,7909557.0,429.0,9.0
2012-12-18,103.0,436.0,415.0,436.0,13364.0,5707303.0,438.0,-2.0
2012-12-19,56.0,440.0,431.0,438.0,6949.0,3028986.0,436.0,2.0
2012-12-20,69.0,438.0,425.0,425.0,8162.0,3543582.0,438.0,-13.0
2012-12-23,78.0,433.0,420.0,424.0,13684.0,5807736.0,425.0,-1.0
2012-12-24,102.0,443.0,424.0,439.0,15165.0,6557471.0,424.0,15.0
2012-12-26,127.0,450.0,420.0,449.0,55877.0,23914723.0,439.0,10.0
2012-12-27,209.0,445.0,430.0,433.0,38430.0,16714971.0,449.0,-16.0
2012-12-31,33.0,426.0,411.0,426.0,5621.0,2350700.0,433.0,-7.0
2013-01-01,15.0,418.0,410.0,411.0,1508.0,622168.0,426.0,-15.0
2013-01-02,40.0,418.0,396.0,411.0,6761.0,2732121.0,411.0,0.0
2013-01-03,46.0,420.0,412.0,415.0,8071.0,3355055.0,411.0,4.0
2013-01-07,34.0,407.0,402.0,404.0,4396.0,1772943.0,410.0,-6.0
2013-01-08,12.0,407.0,397.0,402.0,2702.0,1088105.0,404.0,-2.0
2013-01-09,20.0,401.0,397.0,399.0,2169.0,864109.0,402.0,-3.0
2013-01-10,58.0,410.0,395.0,410.0,5251.0,2095800.0,399.0,11.0
2013-01-13,50.0,404.0,394.0,400.0,7622.0,3040440.0,410.0,-10.0
2013-01-15,56.0,427.0,397.0,426.0,7416.0,3086405.0,400.0,26.0
2013-01-16,29.0,425.0,410.0,413.0,3443.0,1437600.0,426.0,-13.0
2013-01-17,39.0,419.0,400.0,406.0,6009.0,2436198.0,413.0,-7.0
2013-01-20,51.0,400.0,382.0,396.0,8069.0,3137659.0,406.0,-10.0
2013-01-21,51.0,411.0,392.0,402.0,6102.0,2458804.0,396.0,6.0
2013-01-22,66.0,414.0,401.0,407.0,17050.0,6932381.0,402.0,5.0
2013-01-23,71.0,413.0,400.0,406.0,19911.0,8084306.0,407.0,-1.0
2013-01-24,40.0,405.0,400.0,400.0,8814.0,3535881.0,406.0,-6.0
2013-01-27,84.0,420.0,404.0,408.0,15069.0,6187130.0,400.0,8.0
