Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-11-24,2.0,110.0,108.0,110.0,20.0,2180.0,100.0,10.0
2015-11-25,5.0,120.0,112.0,120.0,50.0,5800.0,110.0,10.0
2015-11-26,8.0,132.0,122.0,132.0,1000.0,129000.0,120.0,12.0
2015-11-29,10.0,145.0,134.0,145.0,1020.0,145040.0,132.0,13.0
2015-11-30,6.0,159.0,147.0,159.0,60.0,9170.0,145.0,14.0
2015-12-01,5.0,174.0,162.0,174.0,70.0,11760.0,159.0,15.0
2015-12-02,6.0,191.0,177.0,191.0,100.0,18440.0,174.0,17.0
2015-12-03,7.0,210.0,194.0,210.0,5701.0,1106484.0,191.0,19.0
2015-12-06,6.0,231.0,214.0,231.0,1020.0,232080.0,210.0,21.0
2015-12-07,6.0,254.0,235.0,254.0,420.0,103520.0,231.0,23.0
2015-12-08,6.0,279.4,259.0,279.4,1368.0,375155.2,254.0,25.4
2015-12-09,10.0,307.0,284.0,307.0,5511.0,1684537.0,279.4,27.6
2015-12-10,5.0,337.0,313.0,337.0,974.0,316070.0,307.0,30.0
2015-12-13,18.0,370.0,343.0,370.0,15750.0,5823970.0,337.0,33.0
2015-12-14,11.0,407.0,377.0,407.0,9670.0,3934890.0,370.0,37.0
2015-12-15,129.0,447.0,410.0,447.0,82044.0,36633232.0,407.0,40.0
2015-12-16,114.0,480.0,403.0,403.0,36004.0,15532038.0,447.0,-44.0
2015-12-17,37.0,395.0,365.0,367.0,11833.0,4419998.0,403.0,-36.0
2015-12-20,20.0,360.0,331.0,331.0,2909.0,978369.0,367.0,-36.0
2015-12-21,13.0,325.0,300.0,300.0,3662.0,1114212.0,331.0,-31.0
2015-12-22,37.0,300.0,288.0,299.0,62224.0,18199860.0,300.0,-1.0
2015-12-23,51.0,328.0,293.0,328.0,33837.0,10416853.0,299.0,29.0
2015-12-24,45.0,360.0,330.0,331.0,19474.0,6636074.0,328.0,3.0
2015-12-27,16.0,345.0,333.0,339.0,4457.0,1500652.0,331.0,8.0
2015-12-28,3.0,339.0,333.0,333.0,2183.0,738939.0,339.0,-6.0
2015-12-29,10.0,336.0,329.0,330.0,2338.0,776704.0,333.0,-3.0
2015-12-31,17.0,331.0,320.0,320.0,7697.0,2492506.0,330.0,-10.0
2016-01-03,21.0,326.0,314.0,314.0,9153.0,2937244.0,320.0,-6.0
2016-01-04,25.0,313.0,299.0,300.0,9497.0,2881799.0,314.0,-14.0
2016-01-05,9.0,305.0,297.0,301.0,4650.0,1398627.0,300.0,1.0
2016-01-06,20.0,316.0,290.0,309.0,17122.0,5177552.0,301.0,8.0
