Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-02,1.0,171.0,171.0,171.0,50.0,8550.0,174.0,-3.0
2012-07-18,1.0,168.0,168.0,168.0,50.0,8400.0,171.0,-3.0
2012-07-31,4.0,165.0,164.0,164.0,240.0,39370.0,168.0,-4.0
2012-10-03,1.0,161.0,161.0,161.0,61.0,9821.0,164.0,-3.0
2012-10-10,3.0,158.0,158.0,158.0,100.0,15800.0,161.0,-3.0
2012-11-04,1.0,155.0,155.0,155.0,1428.0,221340.0,158.0,-3.0
2012-12-03,3.0,158.0,158.0,158.0,387.0,61146.0,155.0,3.0
2012-12-04,2.0,155.0,154.0,154.0,186.0,28730.0,158.0,-4.0
2012-12-05,3.0,151.0,146.0,146.0,3481.0,508576.0,154.0,-8.0
2012-12-06,10.0,144.0,132.0,132.0,17939.0,2452244.0,146.0,-14.0
2013-01-27,1.0,128.0,128.0,128.0,73.0,9344.0,132.0,-4.0
2013-03-13,1.0,128.0,128.0,128.0,1106.0,141568.0,128.0,0.0
2013-04-30,1.0,126.0,126.0,126.0,1190.0,149940.0,128.0,-2.0
2013-05-27,2.0,126.0,126.0,126.0,203.0,25578.0,126.0,0.0
2013-05-30,6.0,126.0,120.0,120.0,1233.0,151322.0,126.0,-6.0
2013-06-05,4.0,118.0,112.0,112.0,709.0,81880.0,120.0,-8.0
2013-06-10,2.0,114.0,112.0,112.0,87.0,9784.0,112.0,0.0
2013-06-12,2.0,110.0,108.0,108.0,535.0,58250.0,112.0,-4.0
2013-07-29,1.0,106.0,106.0,106.0,446.0,47276.0,108.0,-2.0
2013-09-02,6.0,105.0,101.0,101.0,756.0,77712.0,106.0,-5.0
2013-09-03,3.0,103.0,101.0,103.0,1562.0,159764.0,101.0,2.0
2013-09-05,1.0,105.0,105.0,105.0,198.0,20790.0,103.0,2.0
2013-09-09,1.0,107.0,107.0,107.0,500.0,53500.0,105.0,2.0
2013-09-10,1.0,107.0,107.0,107.0,40.0,4280.0,107.0,0.0
2013-09-11,3.0,107.0,105.0,105.0,1385.0,146327.0,107.0,-2.0
2013-09-15,2.0,105.0,105.0,105.0,966.0,101430.0,105.0,0.0
2013-09-17,1.0,105.0,105.0,105.0,16.0,1680.0,105.0,0.0
2013-09-22,1.0,105.0,105.0,105.0,32.0,3360.0,105.0,0.0
