Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-02-17,1.0,300.0,300.0,300.0,30.0,9000.0,0.0,300.0
2019-02-18,2.0,300.0,280.0,280.0,60.0,16950.0,300.0,-20.0
2019-02-21,1.0,280.0,266.0,266.0,30.0,7980.0,280.0,-14.0
2019-02-24,1.0,266.0,253.0,253.0,30.0,7590.0,266.0,-13.0
2019-03-03,1.0,253.0,241.0,241.0,30.0,7230.0,253.0,-12.0
2019-03-05,1.0,241.0,229.0,229.0,30.0,6870.0,241.0,-12.0
2019-03-06,2.0,229.0,214.0,214.0,60.0,12960.0,229.0,-15.0
2019-03-07,1.0,214.0,204.0,204.0,30.0,6120.0,214.0,-10.0
2019-03-17,2.0,194.0,194.0,194.0,30.0,5820.0,204.0,-10.0
2019-04-03,1.0,185.0,185.0,185.0,30.0,5550.0,194.0,-9.0
2019-04-09,4.0,176.0,170.0,170.0,70.0,12050.0,185.0,-15.0
2019-04-10,1.0,162.0,162.0,162.0,20.0,3240.0,170.0,-8.0
2019-04-11,3.0,154.0,148.0,148.0,30.0,4530.0,162.0,-14.0
2019-04-22,2.0,146.0,141.0,146.0,30.0,4280.0,148.0,-2.0
2019-04-23,2.0,139.0,139.0,139.0,60.0,8340.0,146.0,-7.0
2019-05-09,1.0,133.0,133.0,133.0,10.0,1330.0,139.0,-6.0
2019-05-19,1.0,127.0,127.0,127.0,30.0,3810.0,133.0,-6.0
2019-05-20,1.0,122.0,122.0,122.0,30.0,3660.0,127.0,-5.0
2019-05-21,1.0,116.0,116.0,116.0,20.0,2320.0,122.0,-6.0
2019-05-22,49.0,114.0,105.0,105.0,1339.0,143974.0,116.0,-11.0
2019-05-23,90.0,103.0,95.0,96.0,2260.0,222400.0,105.0,-9.0
2019-05-26,51.0,96.0,89.0,90.0,1245.0,115975.0,96.0,-6.0
2019-05-27,42.0,91.0,85.0,91.0,1050.0,91710.0,90.0,1.0
2019-05-28,27.0,91.0,89.0,90.0,670.0,60170.0,91.0,-1.0
2019-05-29,24.0,95.0,89.0,95.0,760.0,69520.0,90.0,5.0
2019-05-30,13.0,96.0,94.0,94.0,750.0,71400.0,95.0,-1.0
2019-06-02,40.0,96.0,90.0,90.0,1140.0,105070.0,94.0,-4.0
2019-06-03,36.0,91.0,89.0,90.0,950.0,85440.0,90.0,0.0
2019-06-04,35.0,93.0,88.0,88.0,860.0,77430.0,90.0,-2.0
2019-06-06,29.0,90.0,87.0,88.0,770.0,68080.0,88.0,0.0
2019-06-10,27.0,87.0,85.0,86.0,740.0,63540.0,88.0,-2.0
