Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-06-02,2.0,10.0,10.0,10.0,10000.0,100000.0,0.0,10.0
2016-06-19,1.0,10.0,10.0,10.0,1000.0,10000.0,10.0,0.0
2016-06-26,1.0,10.1,10.1,10.1,4747.0,47944.7,10.0,0.1
2016-06-29,1.0,10.3,10.3,10.3,4747.0,48894.1,10.1,0.2
2016-06-30,3.0,10.93,10.51,10.93,12000.0,128010.0,10.3,0.63
2016-07-06,1.0,11.15,11.15,11.15,5000.0,55750.0,10.93,0.22
2016-07-10,1.0,11.37,11.37,11.37,2000.0,22740.0,11.15,0.22
2016-07-11,10.0,12.51,11.21,12.51,33000.0,389580.0,11.37,1.14
2016-07-12,7.0,12.85,12.35,12.45,25500.0,322425.0,12.51,-0.06
2016-07-13,11.0,12.4,12.2,12.2,72500.0,891950.0,12.45,-0.25
2016-07-14,15.0,12.1,11.96,11.96,29000.0,350340.0,12.2,-0.24
2016-07-17,14.0,12.05,11.9,11.95,39500.0,472450.0,11.96,-0.01
2016-07-18,7.0,12.19,11.85,12.02,150000.0,1787750.0,11.95,0.07
2016-07-19,5.0,12.15,12.01,12.15,50115.0,606840.75,12.02,0.13
2016-07-20,7.0,12.0,11.9,12.0,150000.0,1796550.0,12.15,-0.15
2016-07-21,29.0,13.0,12.0,12.35,336213.0,4167680.74,12.0,0.35
2016-07-25,16.0,12.8,12.2,12.8,91000.0,1146300.0,12.35,0.45
2016-07-26,22.0,13.35,12.8,13.2,201747.0,2645173.95,12.8,0.4
2016-07-27,17.0,13.74,13.2,13.38,103500.0,1384445.0,13.2,0.18
2016-07-28,7.0,13.25,13.0,13.0,4358585.0,56664655.0,13.38,-0.38
2016-07-31,10.0,13.1,12.8,12.8,40500.0,522245.0,13.0,-0.2
2016-08-01,4.0,13.02,13.0,13.02,55000.0,715400.0,12.8,0.22
2016-08-02,2.0,13.0,13.0,13.0,23000.0,299000.0,13.02,-0.02
2016-08-03,6.0,13.26,12.99,13.1,73546.0,962082.6,13.0,0.1
2016-08-04,6.0,13.1,13.01,13.02,80752.0,1056621.68,13.1,-0.08
2016-08-07,9.0,13.28,13.0,13.0,65000.0,854269.0,13.02,-0.02
2016-08-10,9.0,13.0,12.8,12.81,28466.0,368338.0,13.0,-0.19
2016-08-11,1.0,13.07,13.07,13.07,5000.0,65350.0,12.81,0.26
2016-08-14,10.0,13.0,12.8,12.9,30500.0,392240.0,13.07,-0.17
2016-08-15,1.0,12.9,12.9,12.9,1000.0,12900.0,12.9,0.0
2016-08-17,3.0,13.0,12.97,12.97,6500.0,84435.0,12.9,0.07
2016-08-21,6.0,13.0,12.71,12.71,30500.0,392180.0,12.97,-0.26
2016-08-24,4.0,12.6,12.5,12.5,15000.0,188250.0,12.71,-0.21
2016-08-28,3.0,12.5,12.25,12.25,7000.0,86250.0,12.5,-0.25
2016-08-30,4.0,12.5,12.3,12.35,19747.0,244125.45,12.25,0.1
2016-09-04,4.0,12.6,12.36,12.36,21955.0,274433.0,12.35,0.01
2016-09-07,1.0,12.12,12.12,12.12,2000.0,24240.0,12.36,-0.24
2016-09-08,2.0,12.0,12.0,12.0,10000.0,120000.0,12.12,-0.12
2016-09-11,2.0,12.23,12.2,12.23,6600.0,80568.0,12.0,0.23
2016-09-12,4.0,12.3,12.05,12.1,6000.0,73225.0,12.23,-0.13
2016-09-14,6.0,12.2,12.0,12.0,25086.0,301692.0,12.1,-0.1
2016-09-20,3.0,11.8,11.57,11.7,7247.0,84694.9,12.0,-0.3
2016-09-21,2.0,11.48,11.48,11.48,4000.0,45920.0,11.7,-0.22
2016-09-22,2.0,11.48,11.25,11.48,9493.0,107026.25,11.48,0.0
