Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-03-16,1019.0,328.0,299.0,328.0,10180.0,3328672.0,299.0,29.0
2021-03-17,1655.0,360.0,344.0,360.0,35073.0,12618280.0,328.0,32.0
2021-03-18,2124.0,396.0,378.0,396.0,26900.0,10646630.0,360.0,36.0
2021-03-21,14947.0,435.0,357.0,372.0,234228.0,95703828.0,396.0,-24.0
2021-03-22,4147.0,392.0,340.0,392.0,46079.0,16253724.0,372.0,20.0
2021-03-23,2245.0,411.0,363.0,388.0,33100.0,12504581.0,392.0,-4.0
2021-03-24,2230.0,416.0,370.0,399.0,59650.0,23258178.0,388.0,11.0
2021-03-25,1445.0,410.0,378.0,389.0,28220.0,10990910.0,399.0,-10.0
2021-03-29,1544.0,395.0,372.0,380.0,26750.0,10115667.0,389.0,-9.0
2021-03-30,1359.0,390.0,368.0,379.0,20562.0,7758416.0,380.0,-1.0
2021-03-31,1010.0,392.0,370.0,380.0,19019.0,7170050.0,379.0,1.0
2021-04-01,948.0,382.0,375.0,377.0,15626.0,5905334.0,380.0,-3.0
2021-04-04,1184.0,395.0,372.0,380.0,23891.0,9027808.0,377.0,3.0
2021-04-05,867.0,385.0,373.0,377.0,14635.0,5498165.0,380.0,-3.0
2021-04-06,839.0,377.0,365.0,374.0,17225.0,6444115.0,377.0,-3.0
2021-04-07,782.0,389.0,362.0,373.0,17295.0,6468018.0,374.0,-1.0
2021-04-08,2148.0,410.0,371.0,410.0,81311.0,32544212.0,373.0,37.0
2021-04-12,1594.0,421.0,400.0,401.0,47381.0,19333751.0,410.0,-9.0
2021-04-13,843.0,409.0,381.0,397.0,17889.0,7136378.0,401.0,-4.0
2021-04-15,916.0,410.0,388.0,393.0,18195.0,7171269.0,397.0,-4.0
2021-04-18,851.0,400.0,386.0,390.0,12353.0,4803746.0,393.0,-3.0
2021-04-19,788.0,401.0,372.0,383.0,12506.0,4807956.0,390.0,-7.0
2021-04-20,892.0,392.0,376.0,391.0,14831.0,5698555.0,383.0,8.0
2021-04-21,685.0,395.0,381.0,388.0,9608.0,3688340.0,391.0,-3.0
2021-04-22,878.0,386.0,374.0,386.0,12225.0,4656120.0,388.0,-2.0
2021-04-25,1219.0,379.0,364.0,372.0,20901.0,7720371.0,386.0,-14.0
2021-04-26,986.0,365.0,345.0,356.0,26868.0,9467544.0,372.0,-16.0
2021-04-27,637.0,369.0,349.0,368.0,13009.0,4680746.0,356.0,12.0
2021-04-28,430.0,379.0,353.0,360.0,7244.0,2636917.0,368.0,-8.0
2021-04-29,542.0,374.0,350.0,367.0,13195.0,4827880.0,360.0,7.0
2021-05-02,813.0,378.0,365.0,375.0,13085.0,4879330.0,367.0,8.0
2021-05-03,767.0,382.0,368.0,371.0,19169.0,7139555.0,375.0,-4.0
2021-05-04,780.0,383.0,364.0,383.0,21924.0,8164538.0,371.0,12.0
2021-05-05,1478.0,405.0,369.0,400.0,56811.0,22328554.0,383.0,17.0
2021-05-06,804.0,405.0,382.0,388.0,19453.0,7536912.0,400.0,-12.0
2021-05-09,904.0,407.0,375.0,384.0,32899.0,12587489.0,388.0,-4.0
2021-05-10,643.0,422.0,369.0,386.0,16664.0,6302749.0,384.0,2.0
2021-05-11,715.0,394.0,372.0,393.0,22186.0,8618911.0,386.0,7.0
2021-05-12,751.0,400.0,385.0,393.0,47981.0,18806097.0,393.0,0.0
2021-05-13,1030.0,400.0,390.0,399.0,39488.0,15664321.0,393.0,6.0
2021-05-16,737.0,399.0,383.0,388.0,46265.0,17924917.0,399.0,-11.0
2021-05-17,739.0,390.0,369.0,389.0,36107.0,13935580.0,388.0,1.0
2021-05-18,1850.0,417.0,383.0,406.0,87505.0,35638950.0,389.0,17.0
2021-05-19,690.0,410.0,392.0,393.0,18488.0,7340143.0,406.0,-13.0
2021-05-20,544.0,402.0,386.0,388.0,17114.0,6670731.0,393.0,-5.0
2021-05-23,670.0,395.0,380.0,391.0,20910.0,8136005.0,388.0,3.0
2021-05-24,622.0,398.0,386.0,387.0,31570.0,12292787.0,391.0,-4.0
2021-05-25,1123.0,408.0,382.0,401.0,52861.0,21137832.0,387.0,14.0
2021-05-27,2011.0,434.0,400.0,420.0,116366.0,48827506.0,401.0,19.0
2021-05-30,1181.0,443.0,399.0,402.0,72953.0,30097825.0,420.0,-18.0
2021-05-31,791.0,407.0,382.0,388.0,33760.0,13291032.0,402.0,-14.0
2021-06-01,544.0,390.0,378.0,381.0,20792.0,7957424.0,388.0,-7.0
2021-06-02,620.0,390.0,378.0,392.0,22681.0,8769623.0,381.0,11.0
2021-06-03,597.0,394.0,381.0,383.0,29683.0,11407086.0,392.0,-9.0
2021-06-06,672.0,385.0,370.0,374.0,35202.0,13239931.0,383.0,-9.0
2021-06-07,710.0,386.0,373.0,383.0,31129.0,11892925.0,374.0,9.0
2021-06-08,683.0,393.0,378.0,382.0,37584.0,14505409.0,383.0,-1.0
2021-06-09,447.0,388.0,378.0,378.0,22164.0,8471591.0,382.0,-4.0
2021-06-10,1500.0,415.0,361.0,415.0,89320.0,36091807.0,378.0,37.0
2021-06-13,2357.0,444.0,403.0,441.0,159930.0,69660187.0,415.0,26.0
2021-06-14,1210.0,463.0,423.0,424.0,68732.0,29698389.0,441.0,-17.0
2021-06-15,941.0,428.0,406.0,410.0,55734.0,23103988.0,424.0,-14.0
2021-06-16,808.0,415.0,383.0,392.0,39748.0,15768325.0,410.0,-12.0
2021-06-17,686.0,409.0,384.0,397.0,21852.0,8546222.0,392.0,5.0
2021-06-20,684.0,392.0,380.0,382.0,29029.0,11154248.0,397.0,-16.0
2021-06-21,511.0,389.0,373.0,379.0,15216.0,5739918.0,382.0,-3.0
2021-06-22,431.0,395.0,370.0,395.0,16943.0,6472941.0,379.0,16.0
2021-06-23,339.0,414.0,378.0,378.0,10287.0,3938060.0,395.0,-17.0
2021-06-24,391.0,385.0,375.0,378.0,13588.0,5146275.0,378.0,0.0
2021-06-27,500.0,390.0,375.0,378.0,14232.0,5384814.0,378.0,0.0
2021-06-28,422.0,396.0,371.0,373.0,20718.0,7769171.0,378.0,-5.0
2021-06-29,417.0,375.0,364.0,365.0,13517.0,4981029.0,373.0,-8.0
2021-06-30,322.0,366.0,355.0,360.0,8884.0,3181493.0,365.0,-5.0
2021-07-01,414.0,377.0,356.0,367.0,11414.0,4171405.0,360.0,7.0
2021-07-04,521.0,370.0,359.0,359.0,10541.0,3828549.0,367.0,-8.0
2021-07-05,404.0,364.0,352.0,353.0,9856.0,3507490.0,359.0,-6.0
2021-07-06,341.0,365.0,345.0,351.0,6545.0,2308450.0,353.0,-2.0
2021-07-07,279.0,355.0,342.0,342.0,8155.0,2825115.0,351.0,-9.0
2021-07-08,329.0,355.0,339.0,349.0,10036.0,3447740.0,342.0,6.0
2021-07-11,385.0,372.0,349.0,370.0,9414.0,3394381.0,349.0,21.0
2021-07-12,336.0,373.0,353.0,358.0,17708.0,6388428.0,370.0,-12.0
2021-07-13,248.0,362.0,351.0,358.0,9544.0,3423157.0,358.0,0.0
2021-07-14,252.0,369.0,353.0,368.0,6055.0,2200585.0,358.0,10.0
2021-07-15,363.0,380.0,361.0,373.0,12493.0,4680991.0,368.0,5.0
2021-07-18,496.0,384.0,373.0,380.0,15598.0,5905388.0,373.0,7.0
2021-07-19,341.0,387.6,373.0,380.0,17563.0,6683892.0,380.0,0.0
2021-07-20,508.0,386.0,373.0,382.0,22393.0,8556624.2,380.0,2.0
2021-07-22,1507.0,415.0,380.0,407.0,121804.0,49445018.5,382.0,31.0
2021-07-25,1364.0,431.0,408.0,421.0,111176.0,46653941.6,407.0,14.0
2021-07-26,2296.0,463.1,415.1,463.1,227054.0,102196724.9,421.0,42.1
2021-07-27,2525.0,509.4,463.0,502.0,206927.0,103367047.7,463.1,38.9
2021-07-28,1243.0,540.0,478.0,481.0,76583.0,37291022.9,502.0,-21.0
2021-07-29,1024.0,494.0,465.5,490.0,90922.0,43782048.3,481.0,9.0
2021-08-01,2300.0,539.0,481.5,539.0,188288.0,99419488.5,490.0,49.0
2021-08-02,1414.0,555.9,520.0,531.0,109108.0,58638238.1,539.0,-8.0
2021-08-03,1421.0,582.9,520.0,577.2,120819.0,67822633.6,531.0,46.2
2021-08-04,1227.0,605.0,561.0,576.0,162806.0,95515416.2,577.2,-1.2
2021-08-05,1093.0,580.0,545.9,548.0,86828.0,48848784.8,576.0,-28.0
2021-08-08,1378.0,602.8,538.5,590.0,110745.0,64234918.6,548.0,42.0
2021-08-09,1056.0,622.0,580.0,583.0,91197.0,54295570.8,590.0,-7.0
2021-08-10,920.0,605.8,560.0,567.0,94612.0,53803588.0,583.0,-16.0
2021-08-11,891.0,622.0,561.0,584.0,72970.0,42109702.2,567.0,17.0
2021-08-12,1401.0,637.0,574.0,620.0,234936.0,139903859.5,584.0,36.0
2021-08-15,931.0,610.1,570.0,585.0,85119.0,50143280.4,620.0,-35.0
2021-08-16,893.0,605.0,570.0,591.0,36809.0,21845590.5,585.0,6.0
2021-08-17,1340.0,650.1,591.0,633.0,192480.0,122261693.7,591.0,42.0
2021-08-18,1167.0,657.0,618.0,629.0,233257.0,146651355.9,633.0,-4.0
2021-08-19,932.0,641.5,588.0,598.1,46881.0,28533415.9,629.0,-30.9
2021-08-24,1039.0,586.2,543.0,556.0,64416.0,36143764.5,598.1,-42.1
2021-08-25,648.0,568.1,524.3,535.0,24046.0,13111474.5,556.0,-21.0
2021-08-26,743.0,587.0,525.0,569.0,32350.0,18198640.8,535.0,34.0
2021-08-29,825.0,568.0,537.0,550.0,36403.0,19932399.9,569.0,-19.0
2021-08-31,655.0,561.0,514.0,519.0,30438.0,15891530.5,550.0,-31.0
2021-09-01,439.0,555.0,512.0,525.0,19194.0,10132605.5,519.0,6.0
2021-09-02,450.0,535.0,495.0,511.9,31835.0,16159083.5,525.0,-13.1
2021-09-05,417.0,501.7,460.8,460.8,23416.0,10970492.1,511.9,-51.1
2021-09-06,409.0,506.8,430.0,506.8,33898.0,16304144.5,460.8,46.0
2021-09-07,442.0,536.0,478.1,490.0,33467.0,16854690.8,506.8,-16.8
2021-09-08,265.0,509.0,475.0,500.0,11025.0,5366032.3,490.0,10.0
2021-09-09,512.0,550.0,490.2,540.0,40506.0,21317071.3,500.0,40.0
2021-09-12,752.0,591.6,540.0,580.1,53759.0,30454474.1,540.0,40.1
2021-09-13,506.0,591.0,530.0,549.0,43457.0,24067948.5,580.1,-31.1
2021-09-14,373.0,559.0,529.0,540.0,17375.0,9315343.4,549.0,-9.0
2021-09-15,362.0,550.8,517.0,528.0,15074.0,7885858.9,540.0,-12.0
2021-09-16,413.0,538.5,490.0,499.0,21293.0,10613781.1,528.0,-29.0
2021-09-20,379.0,490.0,450.0,450.0,18913.0,8794020.0,499.0,-49.0
2021-09-21,375.0,469.0,414.0,455.0,19151.0,8596215.5,450.0,5.0
2021-09-22,273.0,498.0,457.0,498.0,10880.0,5259144.0,455.0,43.0
2021-09-23,248.0,507.9,470.7,478.0,18653.0,9069707.0,498.0,-20.0
2021-09-26,269.0,478.0,433.0,449.0,16566.0,7497891.0,478.0,-29.0
2021-09-27,290.0,458.7,423.0,438.0,18875.0,8196394.0,449.0,-11.0
2021-09-28,331.0,443.0,396.0,422.0,17691.0,7265513.8,438.0,-16.0
2021-09-29,280.0,451.9,398.2,435.0,22389.0,9303704.4,422.0,13.0
2021-09-30,225.0,465.0,417.0,432.9,17467.0,7708821.1,435.0,-2.1
2021-10-03,212.0,442.2,402.9,402.9,6915.0,2854310.0,432.9,-30.0
2021-10-04,217.0,430.0,380.0,399.0,17454.0,6905319.5,402.9,-3.9
2021-10-05,158.0,410.0,391.1,408.0,5575.0,2255296.0,399.0,9.0
2021-10-06,162.0,431.7,399.9,418.0,9148.0,3721456.0,408.0,10.0
2021-10-10,128.0,418.0,392.0,400.0,7184.0,2890197.5,418.0,-18.0
2021-10-11,101.0,402.0,374.0,400.0,8761.0,3397168.2,400.0,0.0
2021-10-17,67.0,427.9,392.0,414.0,990.0,405459.0,400.0,14.0
2021-10-18,201.0,422.0,388.0,391.0,16402.0,6589389.4,414.0,-23.0
2021-10-19,220.0,414.1,370.6,379.0,6878.0,2607264.8,391.0,-12.0
2021-10-20,97.0,399.9,386.4,397.5,4090.0,1608599.0,379.0,18.5
2021-10-21,108.0,405.4,376.0,385.0,3837.0,1499523.2,397.5,-12.5
2021-10-24,170.0,407.9,383.0,399.0,8461.0,3307759.6,385.0,14.0
2021-10-25,267.0,438.9,401.8,438.9,40883.0,17367356.3,399.0,39.9
2021-10-26,305.0,482.0,445.0,482.0,59683.0,27551264.0,438.9,43.1
2021-10-27,291.0,511.4,456.2,495.1,30510.0,14574576.3,482.0,13.1
2021-10-28,323.0,505.0,456.7,505.0,31290.0,15253072.5,495.1,9.9
2021-10-31,487.0,552.4,495.0,549.0,40952.0,21970928.3,505.0,44.0
2021-11-01,337.0,582.0,518.0,519.0,27022.0,14503080.1,549.0,-30.0
2021-11-02,211.0,548.7,505.0,540.0,21151.0,11187092.2,519.0,21.0
2021-11-03,163.0,550.0,518.7,520.0,6672.0,3522501.5,540.0,-20.0
2021-11-08,210.0,540.0,506.0,506.0,17352.0,8978169.0,520.0,-14.0
2021-11-09,244.0,508.0,470.5,481.0,14060.0,6818645.1,506.0,-25.0
2021-11-11,189.0,475.4,454.0,460.0,8230.0,3798628.5,481.0,-21.0
2021-11-14,222.0,487.0,451.0,468.0,6709.0,3094145.0,460.0,8.0
2021-11-15,276.0,496.5,451.0,480.0,7296.0,3497920.1,468.0,12.0
2021-11-16,247.0,513.0,479.3,495.0,7163.0,3503745.0,480.0,15.0
2021-11-17,301.0,524.0,485.2,495.0,8704.0,4370714.0,495.0,0.0
2021-11-18,207.0,494.0,476.0,481.0,5480.0,2644706.0,495.0,-14.0
2021-11-21,224.0,481.0,466.0,474.0,5685.0,2686290.0,481.0,-7.0
2021-11-22,249.0,491.0,470.0,470.2,6065.0,2873714.0,474.0,-3.8
