Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,7.0,100.0,95.0,99.0,90.0,8820.0,94.0,5.0
2012-06-04,7.0,100.0,98.0,98.0,5280.0,527720.0,99.0,-1.0
2012-06-05,17.0,98.0,95.0,95.0,2340.0,223720.0,98.0,-3.0
2012-06-06,45.0,95.0,93.0,94.0,2790.0,262250.0,95.0,-1.0
2012-06-07,14.0,96.0,92.0,95.0,630.0,59520.0,94.0,1.0
2012-06-11,6.0,98.0,96.0,97.0,330.0,32240.0,95.0,2.0
2012-06-12,27.0,99.0,94.0,96.0,2860.0,277500.0,97.0,-1.0
2012-06-13,12.0,96.0,93.0,93.0,1010.0,96190.0,96.0,-3.0
2012-06-14,106.0,94.0,91.0,91.0,4490.0,419510.0,93.0,-2.0
2012-06-17,10.0,93.0,92.0,93.0,130.0,12000.0,91.0,2.0
2012-06-18,49.0,94.0,93.0,93.0,920.0,85960.0,93.0,0.0
2012-06-19,22.0,92.0,90.0,92.0,1870.0,171270.0,93.0,-1.0
2012-06-20,7.0,95.0,92.0,95.0,670.0,62390.0,92.0,3.0
2012-06-21,1.0,94.0,94.0,94.0,20.0,1880.0,95.0,-1.0
2012-06-25,108.0,96.0,93.0,95.0,4740.0,441900.0,94.0,1.0
2012-06-26,8.0,95.0,94.0,95.0,1690.0,159050.0,95.0,0.0
2012-06-27,3.0,96.0,95.0,96.0,200.0,19100.0,95.0,1.0
2012-07-01,26.0,95.0,94.0,94.0,710.0,67020.0,96.0,-2.0
2012-07-02,39.0,95.0,93.0,95.0,1650.0,155540.0,94.0,1.0
2012-07-03,7.0,94.0,92.0,94.0,190.0,17730.0,95.0,-1.0
2012-07-04,19.0,95.0,94.0,95.0,3920.0,369400.0,94.0,1.0
2012-07-05,16.0,97.0,96.0,97.0,580.0,55750.0,95.0,2.0
2012-07-08,42.0,97.0,95.0,95.0,1510.0,144900.0,97.0,-2.0
2012-07-09,4.0,95.0,95.0,95.0,200.0,19000.0,95.0,0.0
2012-07-10,20.0,98.0,96.0,97.0,810.0,78400.0,95.0,2.0
2012-07-11,4.0,97.0,96.0,97.0,100.0,9670.0,97.0,0.0
2012-07-12,39.0,100.0,96.0,98.0,1640.0,161990.0,97.0,1.0
2012-07-15,10.0,106.0,99.0,106.0,300.0,31230.0,98.0,8.0
2012-07-17,31.0,104.0,98.0,98.0,830.0,84300.0,106.0,-8.0
2012-07-18,55.0,102.0,97.0,98.0,3790.0,371120.0,98.0,0.0
2012-07-19,57.0,107.0,97.0,107.0,2990.0,303050.0,98.0,9.0
2012-07-22,32.0,113.0,108.0,110.0,2900.0,316880.0,107.0,3.0
2012-07-23,36.0,112.0,107.0,107.0,2100.0,229530.0,110.0,-3.0
2012-07-24,44.0,107.0,102.0,102.0,1570.0,165560.0,107.0,-5.0
2012-07-25,26.0,106.0,104.0,105.0,2560.0,268840.0,102.0,3.0
2012-07-26,24.0,106.0,104.0,106.0,3040.0,320080.0,105.0,1.0
2012-07-29,42.0,106.0,101.0,103.0,2420.0,249810.0,106.0,-3.0
2012-07-30,22.0,105.0,105.0,105.0,760.0,79800.0,103.0,2.0
2012-07-31,71.0,107.0,105.0,107.0,3220.0,341240.0,105.0,2.0
2012-08-01,12.0,106.0,104.0,104.0,9010.0,946970.0,107.0,-3.0
2012-08-05,8.0,106.0,104.0,106.0,410.0,43140.0,104.0,2.0
