Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-06-06,1.0,237.0,237.0,237.0,10.0,2370.0,0.0,237.0
2019-06-10,1.0,248.0,248.0,248.0,10.0,2480.0,237.0,11.0
2019-06-11,1.0,260.0,260.0,260.0,10.0,2600.0,248.0,12.0
2019-06-12,1.0,273.0,273.0,273.0,10.0,2730.0,260.0,13.0
2019-06-16,2.0,291.0,286.0,291.0,20.0,5770.0,273.0,18.0
2019-06-18,2.0,311.0,305.0,311.0,20.0,6160.0,291.0,20.0
2019-06-19,1.0,326.0,326.0,326.0,10.0,3260.0,311.0,15.0
2019-06-23,12.0,358.0,342.0,358.0,550.0,196600.0,326.0,32.0
2019-06-24,9.0,393.0,375.0,393.0,90.0,35040.0,358.0,35.0
2019-06-25,88.0,432.0,412.0,432.0,890.0,384000.0,393.0,39.0
2019-06-26,1648.0,462.0,424.0,434.0,21479.0,9349630.0,432.0,2.0
2019-06-27,516.0,438.0,430.0,436.0,6495.0,2820340.0,434.0,2.0
2019-06-30,408.0,443.0,422.0,432.0,7780.0,3358900.0,436.0,-4.0
2019-07-01,210.0,434.0,424.0,426.0,2960.0,1268740.0,432.0,-6.0
2019-07-02,156.0,437.0,422.0,434.0,2060.0,883270.0,426.0,8.0
2019-07-03,306.0,476.0,426.0,460.0,5670.0,2543590.0,434.0,26.0
2019-07-04,189.0,469.0,450.0,464.0,3691.0,1697654.0,460.0,4.0
2019-07-07,81.0,460.0,446.0,450.0,1590.0,723450.0,464.0,-14.0
2019-07-08,108.0,452.0,440.0,445.0,1928.0,857240.0,450.0,-5.0
2019-07-09,64.0,453.0,429.0,438.0,830.0,365360.0,445.0,-7.0
2019-07-10,52.0,441.0,430.0,441.0,576.0,252096.0,438.0,3.0
2019-07-11,85.0,445.0,437.0,445.0,2205.0,971975.0,441.0,4.0
2019-07-14,57.0,450.0,432.0,440.0,790.0,347110.0,445.0,-5.0
2019-07-15,31.0,448.0,433.0,448.0,1450.0,647740.0,440.0,8.0
2019-07-16,27.0,450.0,441.0,446.0,1300.0,579460.0,448.0,-2.0
2019-07-17,92.0,459.0,441.0,454.0,1380.0,627100.0,446.0,8.0
2019-07-18,35.0,461.0,452.0,454.0,560.0,256050.0,454.0,0.0
2019-07-21,70.0,465.0,452.0,465.0,1705.0,786185.0,454.0,11.0
2019-07-22,59.0,475.0,460.0,474.0,2250.0,1059640.0,465.0,9.0
2019-07-23,79.0,494.0,469.0,493.0,1954.0,941796.0,474.0,19.0
2019-07-24,146.0,538.0,495.0,538.0,3695.0,1921035.0,493.0,45.0
2019-07-25,127.0,538.0,512.0,518.0,6768.0,3524482.0,538.0,-20.0
2019-07-28,95.0,527.0,486.0,521.0,5185.0,2691478.0,518.0,3.0
2019-07-29,105.0,540.0,508.0,532.0,7930.0,4153950.0,521.0,11.0
2019-07-30,123.0,570.0,530.0,554.0,7035.0,3810040.0,532.0,22.0
2019-07-31,138.0,609.0,538.0,609.0,9471.0,5368394.0,554.0,55.0
2019-08-01,242.0,669.0,587.0,633.0,12138.0,7585498.0,609.0,24.0
2019-08-04,153.0,654.0,613.0,613.0,6605.0,4153975.0,633.0,-20.0
2019-08-05,177.0,625.0,577.0,582.0,7514.0,4494614.0,613.0,-31.0
2019-08-06,116.0,571.0,531.0,554.0,2950.0,1632350.0,582.0,-28.0
2019-08-07,115.0,601.0,536.0,591.0,3728.0,2126225.0,554.0,37.0
2019-08-08,66.0,590.0,570.0,578.0,2070.0,1199364.0,591.0,-13.0
2019-08-11,59.0,598.0,560.0,567.0,1150.0,658335.0,578.0,-11.0
2019-08-12,77.0,585.0,556.0,582.0,1160.0,667635.0,567.0,15.0
2019-08-13,74.0,592.0,573.0,581.0,2038.0,1191798.0,582.0,-1.0
2019-08-14,52.0,585.0,573.0,580.0,1170.0,679100.0,581.0,-1.0
2019-08-15,34.0,574.0,564.0,564.0,965.0,551600.0,580.0,-16.0
2019-08-18,51.0,570.0,562.0,564.0,1300.0,733880.0,564.0,0.0
2019-08-19,36.0,592.0,557.0,581.0,570.0,323910.0,564.0,17.0
2019-08-20,50.0,588.0,562.0,569.0,1550.0,885110.0,581.0,-12.0
2019-08-21,126.0,570.0,525.0,538.0,4726.0,2562511.0,569.0,-31.0
2019-08-22,63.0,540.0,519.0,527.0,2160.0,1134380.0,538.0,-11.0
2019-08-25,38.0,530.0,514.0,518.0,1490.0,774910.0,527.0,-9.0
2019-08-26,53.0,528.0,515.0,515.0,1240.0,641140.0,518.0,-3.0
2019-08-27,32.0,545.0,512.0,534.0,1314.0,688838.0,515.0,19.0
2019-08-28,27.0,544.0,520.0,526.0,520.0,272650.0,534.0,-8.0
2019-08-29,32.0,525.0,518.0,518.0,450.0,234310.0,526.0,-8.0
2019-09-01,23.0,520.0,510.0,514.0,390.0,199950.0,518.0,-4.0
2019-09-02,52.0,515.0,487.0,500.0,1051.0,523294.0,514.0,-14.0
2019-09-03,29.0,515.0,490.0,511.0,731.0,364465.0,500.0,11.0
2019-09-04,37.0,525.0,503.0,525.0,1081.0,559179.0,511.0,14.0
2019-09-05,39.0,529.0,511.0,512.0,1065.0,550370.0,525.0,-13.0
2019-09-08,35.0,521.0,503.0,503.0,1680.0,851220.0,512.0,-9.0
2019-09-09,42.0,516.0,496.0,502.0,910.0,461220.0,503.0,-1.0
2019-09-10,33.0,510.0,495.0,497.0,1590.0,795060.0,502.0,-5.0
2019-09-11,29.0,500.0,488.0,498.0,607.0,299221.0,497.0,1.0
2019-09-12,21.0,492.0,482.0,489.0,390.0,190600.0,498.0,-9.0
2019-09-15,47.0,498.0,448.0,448.0,2645.0,1261900.0,489.0,-41.0
2019-09-16,23.0,460.0,442.0,459.0,960.0,436310.0,448.0,11.0
2019-09-17,29.0,483.0,451.0,483.0,1270.0,599060.0,459.0,24.0
2019-09-18,33.0,502.0,472.0,502.0,847.0,406091.0,483.0,19.0
2019-09-19,33.0,495.0,473.0,476.0,848.0,409050.0,502.0,-26.0
2019-09-22,29.0,470.0,458.0,470.0,380.0,175230.0,476.0,-6.0
2019-09-23,21.0,475.0,462.0,469.0,300.0,139590.0,470.0,-1.0
2019-09-24,30.0,475.0,461.0,475.0,344.0,160270.0,469.0,6.0
2019-09-25,21.0,481.0,460.0,463.0,490.0,229800.0,475.0,-12.0
2019-09-26,38.0,465.0,454.0,461.0,380.0,174330.0,463.0,-2.0
2019-09-29,13.0,464.0,453.0,462.0,130.0,59450.0,461.0,1.0
2019-09-30,38.0,471.0,454.0,468.0,840.0,389030.0,462.0,6.0
2019-10-01,8.0,472.0,459.0,460.0,160.0,74830.0,468.0,-8.0
2019-10-02,14.0,460.0,448.0,460.0,805.0,367920.0,460.0,0.0
2019-10-03,11.0,466.0,456.0,460.0,1050.0,481850.0,460.0,0.0
2019-10-10,2.0,454.0,453.0,454.0,20.0,9070.0,460.0,-6.0
2019-10-14,7.0,463.0,454.0,454.0,370.0,168350.0,454.0,0.0
2019-10-15,6.0,456.0,450.0,454.0,60.0,27200.0,454.0,0.0
2019-10-16,14.0,464.0,456.0,460.0,230.0,106140.0,454.0,6.0
2019-10-17,9.0,460.0,456.0,460.0,100.0,45820.0,460.0,0.0
2019-10-20,12.0,461.0,452.0,452.0,200.0,90730.0,460.0,-8.0
2019-10-21,23.0,455.0,445.0,447.0,600.0,269290.0,452.0,-5.0
2019-10-22,31.0,458.0,441.0,447.0,690.0,308040.0,447.0,0.0
2019-10-23,11.0,455.0,445.0,453.0,220.0,99380.0,447.0,6.0
2019-10-24,8.0,470.0,447.0,470.0,80.0,36350.0,453.0,17.0
2019-10-31,23.0,479.0,455.0,461.0,906.0,421222.0,470.0,-9.0
2019-11-03,16.0,469.0,456.0,469.0,689.0,317217.0,461.0,8.0
2019-11-04,28.0,468.0,453.0,468.0,540.0,248650.0,469.0,-1.0
2019-11-05,28.0,475.0,451.0,460.0,310.0,141950.0,468.0,-8.0
2019-11-06,16.0,460.0,451.0,454.0,695.0,317715.0,460.0,-6.0
2019-11-07,13.0,453.0,447.0,451.0,290.0,130170.0,454.0,-3.0
2019-11-10,23.0,451.0,445.0,450.0,400.0,179490.0,451.0,-1.0
2019-11-11,40.0,480.0,450.0,472.0,2151.0,1013085.0,450.0,22.0
2019-11-12,38.0,489.0,450.0,480.0,1794.0,859876.0,472.0,8.0
2019-11-13,18.0,480.0,462.0,472.0,310.0,145650.0,480.0,-8.0
2019-11-14,20.0,481.0,470.0,480.0,410.0,195130.0,472.0,8.0
2019-11-17,66.0,520.0,485.0,510.0,4803.0,2435405.0,480.0,30.0
2019-11-18,32.0,510.0,495.0,496.0,1290.0,649710.0,510.0,-14.0
2019-11-19,34.0,500.0,490.0,492.0,790.0,388990.0,496.0,-4.0
2019-11-20,20.0,500.0,493.0,500.0,310.0,153910.0,492.0,8.0
2019-11-21,48.0,500.0,466.0,490.0,1252.0,605595.0,500.0,-10.0
2019-11-24,20.0,490.0,467.0,481.0,265.0,126690.0,490.0,-9.0
2019-11-25,26.0,499.0,475.0,490.0,853.0,420454.0,481.0,9.0
2019-11-26,19.0,512.0,486.0,487.0,810.0,397840.0,490.0,-3.0
2019-11-27,10.0,501.0,487.0,491.0,180.0,88610.0,487.0,4.0
2019-11-28,25.0,494.0,490.0,491.0,1160.0,569890.0,491.0,0.0
2019-12-01,13.0,493.0,484.0,490.0,180.0,88200.0,491.0,-1.0
2019-12-02,34.0,503.0,490.0,503.0,562.0,277590.0,490.0,13.0
2019-12-03,71.0,505.0,493.0,495.0,3171.0,1581782.0,503.0,-8.0
2019-12-04,15.0,487.0,470.0,480.0,799.0,383956.0,462.62,17.38
2019-12-05,20.0,513.0,486.0,513.0,695.0,344695.0,480.0,33.0
2019-12-08,35.0,530.0,501.0,530.0,2086.0,1082056.0,513.0,17.0
2019-12-09,19.0,547.0,530.0,539.0,660.0,354670.0,530.0,9.0
2019-12-10,45.0,560.0,525.0,537.0,2468.0,1346970.0,539.0,-2.0
2019-12-11,71.0,590.0,540.0,590.0,7080.0,3965518.0,537.0,53.0
2019-12-12,82.0,620.0,578.0,604.0,7535.0,4502830.0,590.0,14.0
2019-12-15,52.0,600.0,561.0,588.0,3230.0,1843984.0,604.0,-16.0
2019-12-16,26.0,607.0,553.0,590.0,1760.0,1023880.0,588.0,2.0
2019-12-17,18.0,597.0,558.0,573.0,1202.0,683646.0,590.0,-17.0
2019-12-18,25.0,573.0,565.0,565.0,640.0,362610.0,573.0,-8.0
2019-12-19,25.0,585.0,562.0,575.0,1263.0,721090.0,565.0,10.0
2019-12-22,21.0,575.0,566.0,575.0,1010.0,576250.0,575.0,0.0
2019-12-23,14.0,586.0,566.0,576.0,1090.0,626950.0,575.0,1.0
2019-12-24,31.0,575.0,555.0,555.0,2229.0,1266050.0,576.0,-21.0
2019-12-25,13.0,570.0,549.0,557.0,320.0,179750.0,555.0,2.0
2019-12-26,13.0,572.0,550.0,571.0,700.0,398100.0,557.0,14.0
2019-12-29,19.0,566.0,556.0,563.0,370.0,207860.0,571.0,-8.0
2019-12-30,9.0,566.0,557.0,560.0,210.0,117360.0,563.0,-3.0
2019-12-31,25.0,570.0,558.0,563.0,2590.0,1460090.0,560.0,3.0
2020-01-01,46.0,580.0,555.0,579.0,2019.0,1160430.0,563.0,16.0
2020-01-02,24.0,591.0,570.0,571.0,1714.0,994686.0,579.0,-8.0
2020-01-05,34.0,597.0,575.0,593.0,2893.0,1712285.0,571.0,22.0
2020-01-06,50.0,611.0,587.0,611.0,5391.0,3215610.0,593.0,18.0
2020-01-07,50.0,634.0,600.0,610.0,6240.0,3851037.0,611.0,-1.0
2020-01-08,78.0,642.0,606.0,635.0,4830.0,3024466.0,610.0,25.0
2020-01-09,156.0,688.0,620.0,685.0,16415.0,10748945.0,635.0,50.0
2020-01-12,116.0,728.0,652.0,719.0,8515.0,5876440.0,685.0,34.0
2020-01-13,78.0,747.0,678.0,678.0,4880.0,3442985.0,719.0,-41.0
2020-01-14,50.0,718.0,677.0,689.0,5793.0,3978704.0,678.0,11.0
2020-01-15,48.0,717.0,676.0,691.0,4340.0,3014880.0,689.0,2.0
2020-01-16,84.0,734.0,684.0,721.0,5731.0,4124681.0,691.0,30.0
2020-01-19,120.0,793.0,715.0,789.0,8145.0,6094830.0,721.0,68.0
2020-01-20,82.0,774.0,722.0,758.0,3768.0,2772665.0,789.0,-31.0
2020-01-21,119.0,805.0,744.0,786.0,8385.0,6462764.0,758.0,28.0
2020-01-22,48.0,800.0,741.0,780.0,3253.0,2502297.0,786.0,-6.0
2020-01-23,61.0,777.0,751.0,765.0,2174.0,1658788.0,780.0,-15.0
2020-01-26,48.0,780.0,733.0,740.0,1820.0,1352830.0,765.0,-25.0
2020-01-27,39.0,784.0,740.0,773.0,1429.0,1083381.0,740.0,33.0
2020-01-28,84.0,797.0,773.0,793.0,6357.0,4979821.0,773.0,20.0
2020-01-29,74.0,849.0,785.0,849.0,4170.0,3389480.0,793.0,56.0
2020-01-30,96.0,873.0,817.0,872.0,6625.0,5563040.0,849.0,23.0
2020-02-02,74.0,889.0,847.0,848.0,4862.0,4189022.0,872.0,-24.0
2020-02-03,64.0,870.0,832.0,838.0,3407.0,2858460.0,848.0,-10.0
2020-02-04,47.0,853.0,825.0,825.0,3580.0,2973360.0,838.0,-13.0
2020-02-05,49.0,874.0,816.0,850.0,1422.0,1194028.0,825.0,25.0
2020-02-06,69.0,860.0,825.0,833.0,4152.0,3478457.0,850.0,-17.0
2020-02-09,27.0,845.0,825.0,825.0,1090.0,902790.0,833.0,-8.0
2020-02-10,47.0,845.0,810.0,845.0,2872.0,2395460.0,825.0,20.0
2020-02-11,47.0,870.0,840.0,851.0,2930.0,2504730.0,845.0,6.0
2020-02-12,138.0,909.0,848.0,896.0,8872.0,7830265.0,851.0,45.0
2020-02-13,125.0,985.0,913.0,976.0,8552.0,8191669.0,896.0,80.0
2020-02-16,66.0,1023.0,917.0,1022.0,4200.0,4033545.0,976.0,46.0
2020-02-17,103.0,1006.0,968.0,994.0,6075.0,6000910.0,1022.0,-28.0
2020-02-18,85.0,995.0,943.0,976.0,4601.0,4413539.0,994.0,-18.0
2020-02-19,94.0,1035.0,930.0,1019.0,4554.0,4550865.0,976.0,43.0
2020-02-20,95.0,1035.0,1000.0,1033.0,6163.0,6292307.0,1019.0,14.0
2020-02-23,89.0,1060.0,977.0,1050.0,5545.0,5738980.0,1033.0,17.0
2020-02-24,95.0,1060.0,1015.0,1030.0,3350.0,3482122.0,1050.0,-20.0
2020-02-25,49.0,1055.0,995.0,1050.0,1040.0,1079440.0,1030.0,20.0
2020-02-26,57.0,1070.0,1030.0,1042.0,3314.0,3480650.0,1050.0,-8.0
2020-02-27,51.0,1025.0,1005.0,1011.0,1885.0,1912700.0,1042.0,-31.0
