Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-11-24,2.0,252.0,248.0,252.0,20.0,5000.0,0.0,252.0
2016-11-27,14.0,277.0,257.0,277.0,512.0,141324.0,252.0,25.0
2016-11-28,80.0,297.0,272.0,295.0,2505.0,718130.0,277.0,18.0
2016-11-29,37.0,324.0,296.0,324.0,1057.0,324768.0,295.0,29.0
2016-11-30,48.0,356.0,324.0,356.0,998.0,348105.0,324.0,32.0
2016-12-01,44.0,391.0,363.0,391.0,1290.0,499700.0,356.0,35.0
2016-12-04,162.0,415.0,385.0,396.0,3303.0,1316971.0,391.0,5.0
2016-12-05,80.0,396.0,357.0,358.0,1845.0,689251.0,396.0,-38.0
2016-12-06,28.0,374.0,357.0,370.0,631.0,232196.0,358.0,12.0
2016-12-07,31.0,387.0,366.0,375.0,399.0,150270.0,370.0,5.0
2016-12-08,13.0,372.0,362.0,365.0,276.0,100694.0,375.0,-10.0
2016-12-11,11.0,372.0,363.0,365.0,234.0,85760.0,365.0,0.0
2016-12-12,22.0,367.0,353.0,367.0,1492.0,537042.0,365.0,2.0
2016-12-14,34.0,380.0,367.0,380.0,879.0,328792.0,367.0,13.0
2016-12-15,29.0,418.0,374.0,418.0,962.0,379581.0,380.0,38.0
2016-12-18,77.0,426.0,407.0,414.0,2471.0,1018712.0,418.0,-4.0
2016-12-19,11.0,407.0,391.0,398.0,142.0,57062.0,414.0,-16.0
2016-12-20,8.0,391.0,377.0,385.0,91.0,34951.0,398.0,-13.0
2016-12-21,11.0,380.0,371.0,380.0,242.0,91178.0,385.0,-5.0
2016-12-22,58.0,405.0,374.0,400.0,7745.0,3074719.0,380.0,20.0
2016-12-26,16.0,410.0,395.0,405.0,676.0,273735.0,400.0,5.0
2016-12-27,37.0,405.0,391.0,398.0,1505.0,604154.0,405.0,-7.0
2016-12-28,26.0,420.0,391.0,420.0,1042.0,416245.0,398.0,22.0
2016-12-29,27.0,430.0,407.0,430.0,709.0,295225.0,420.0,10.0
2017-01-01,15.0,430.0,416.0,416.0,561.0,236251.0,430.0,-14.0
2017-01-02,68.0,457.0,424.0,448.0,5982.0,2639331.0,416.0,32.0
2017-01-03,42.0,481.0,451.0,475.0,1654.0,759526.0,448.0,27.0
2017-01-04,42.0,480.0,448.0,475.0,682.0,314909.0,475.0,0.0
2017-01-05,23.0,500.0,466.0,466.0,1485.0,717883.0,475.0,-9.0
2017-01-08,45.0,484.0,448.0,484.0,1521.0,711544.0,466.0,18.0
2017-01-09,58.0,500.0,466.0,484.0,1281.0,612466.0,484.0,0.0
2017-01-10,22.0,495.0,480.0,495.0,741.0,360283.0,484.0,11.0
2017-01-11,3.0,502.0,492.0,492.0,60.0,29620.0,495.0,-3.0
2017-01-12,56.0,533.0,486.0,533.0,2125.0,1088901.0,492.0,41.0
2017-01-15,17.0,535.0,495.0,515.0,415.0,211124.0,533.0,-18.0
2017-01-16,57.0,566.0,525.0,566.0,4524.0,2559544.0,515.0,51.0
2017-01-17,232.0,622.0,577.0,622.0,13365.0,8280868.0,566.0,56.0
2017-01-18,178.0,644.0,570.0,580.0,6619.0,3962790.0,622.0,-42.0
2017-01-19,109.0,602.0,561.0,561.0,4746.0,2743257.0,580.0,-19.0
2017-01-22,99.0,577.0,520.0,520.0,3795.0,2082170.0,561.0,-41.0
