Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-04-19,49.0,298.2,271.1,298.2,292.0,83244.0,0.0,27.1
2022-04-20,41.0,328.0,304.1,328.0,329.0,106284.5,298.2,29.8
2022-04-21,68.0,360.8,334.5,360.8,2937.0,1058227.1,328.0,32.8
2022-04-24,680.0,396.8,368.0,396.8,23368.0,9271630.9,360.8,36.0
2022-04-25,7100.0,436.4,373.0,399.0,117936.0,47099315.9,396.8,2.2
2022-04-26,2831.0,406.0,375.0,390.0,31191.0,12240866.9,399.0,-9.0
2022-04-27,1694.0,390.0,376.0,385.0,19815.0,7563877.0,390.0,-5.0
2022-04-28,1267.0,392.0,376.6,377.4,17660.0,6718459.5,385.0,-7.6
2022-05-02,1328.0,371.0,339.7,358.0,33774.0,11962451.3,377.4,-19.4
2022-05-04,1046.0,359.0,322.2,324.5,39443.0,13000972.0,358.0,-33.5
2022-05-05,684.0,323.0,303.0,304.0,17917.0,5549899.1,324.5,-20.5
2022-05-08,562.0,316.0,288.2,310.0,21258.0,6299497.4,304.0,6.0
2022-05-09,401.0,315.0,297.0,305.0,9948.0,3057362.8,310.0,-5.0
2022-05-10,350.0,315.0,298.9,307.0,16367.0,5017307.0,305.0,2.0
2022-05-11,445.0,334.5,303.2,325.5,21910.0,6908891.0,307.0,18.5
2022-05-12,454.0,336.0,313.6,320.7,18554.0,6034107.5,325.5,-4.8
2022-05-17,505.0,318.0,291.5,291.5,15356.0,4628160.5,320.7,-29.2
2022-05-18,402.0,307.0,284.3,305.0,16194.0,4804442.8,291.5,13.5
2022-05-19,372.0,306.0,290.0,300.0,13565.0,4061736.5,305.0,-5.0
2022-05-20,269.0,306.0,290.2,295.0,7312.0,2198517.0,300.0,-5.0
2022-05-23,379.0,295.0,285.5,286.4,7110.0,2056800.0,295.0,-8.6
2022-05-24,346.0,297.0,282.1,290.7,9756.0,2827623.2,286.4,4.3
2022-05-25,266.0,299.0,285.4,290.5,4662.0,1359604.4,290.7,-0.2
2022-05-26,234.0,298.8,286.1,291.0,9061.0,2637823.0,290.5,0.5
2022-05-27,207.0,295.0,285.4,289.9,10340.0,2966138.5,291.0,-1.1
2022-05-30,303.0,295.0,280.0,281.0,6744.0,1910264.3,289.9,-8.9
2022-05-31,299.0,280.0,271.0,280.0,9538.0,2627646.0,281.0,-1.0
2022-06-01,233.0,282.9,271.4,276.0,4880.0,1348068.5,280.0,-4.0
2022-06-02,230.0,279.4,269.1,271.0,5733.0,1557999.2,276.0,-5.0
2022-06-03,280.0,277.4,266.0,271.0,9615.0,2608741.0,271.0,0.0
2022-06-06,284.0,279.9,270.0,270.0,6687.0,1832029.0,271.0,-1.0
2022-06-07,241.0,273.0,260.2,261.1,8189.0,2171584.4,270.0,-8.9
2022-06-08,276.0,287.0,256.0,275.0,11467.0,3074503.3,261.1,13.9
2022-06-09,249.0,280.5,265.1,265.1,7513.0,2031446.5,275.0,-9.9
2022-06-10,452.0,291.6,270.0,291.6,27782.0,7899947.1,265.1,26.5
2022-06-13,701.0,320.7,297.4,320.7,33483.0,10676181.6,291.6,29.1
2022-06-14,1625.0,352.0,296.6,300.0,59615.0,19050231.4,320.7,-20.7
2022-06-15,559.0,306.0,279.0,290.5,21862.0,6338644.2,300.0,-9.5
2022-06-16,448.0,310.0,280.0,302.0,12338.0,3658695.7,290.5,11.5
2022-06-17,295.0,308.9,292.1,300.5,11414.0,3459292.1,302.0,-1.5
2022-06-19,399.0,298.8,288.3,290.0,12859.0,3768696.2,300.5,-10.5
2022-06-20,348.0,284.2,274.6,277.8,12882.0,3587901.0,290.0,-12.2
2022-06-21,295.0,291.7,274.4,290.7,13189.0,3758082.3,277.8,12.9
2022-06-22,229.0,286.6,278.0,286.6,9925.0,2800704.8,290.7,-4.1
2022-06-23,250.0,280.9,266.0,266.0,11732.0,3163252.5,286.6,-20.6
2022-06-24,200.0,291.7,255.1,276.0,7344.0,1969275.1,266.0,10.0
2022-06-26,352.0,299.5,276.0,298.0,15762.0,4571965.0,276.0,22.0
2022-06-27,308.0,300.0,283.0,287.0,14028.0,4094553.3,298.0,-11.0
2022-06-28,268.0,290.5,277.1,284.8,11636.0,3297982.7,287.0,-2.2
2022-06-30,513.0,323.0,303.0,316.0,25445.0,8055793.6,308.2,7.8
2022-07-01,272.0,322.0,307.0,309.0,17724.0,5541375.0,316.0,-7.0
2022-07-03,516.0,326.0,303.1,322.0,32513.0,10277178.3,309.0,13.0
2022-07-04,649.0,331.0,310.0,325.0,37440.0,12031842.1,322.0,3.0
2022-07-05,472.0,331.0,310.0,315.0,22821.0,7240142.0,325.0,-10.0
2022-07-06,465.0,316.0,305.0,315.0,12869.0,4011029.9,315.0,0.0
2022-07-07,304.0,326.0,309.0,314.0,16030.0,5009391.0,315.0,-1.0
2022-07-08,200.0,314.0,299.0,304.0,10135.0,3073138.9,314.0,-10.0
