Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-11-02,13.0,200.0,200.0,200.0,138548.0,27709600.0,0.0,200.0
2015-12-27,46.0,171.0,171.0,171.0,523437.0,89507727.0,171.0,0.0
2016-04-12,2.0,175.0,175.0,175.0,34215.0,5987625.0,175.0,0.0
2017-01-31,22.0,200.0,200.0,200.0,184163.0,36832600.0,200.0,0.0
2017-07-25,1.0,165.0,165.0,165.0,51776.0,8543040.0,168.0,-3.0
2017-12-17,12.0,162.0,162.0,162.0,129894.0,21042828.0,165.0,-3.0
2017-12-18,11.0,159.0,159.0,159.0,73000.0,11607000.0,162.0,-3.0
2017-12-19,6.0,156.0,156.0,156.0,66904.0,10437024.0,159.0,-3.0
2017-12-20,4.0,156.0,156.0,156.0,89195.0,13914420.0,156.0,0.0
2018-07-08,4.0,115.0,115.0,115.0,37440.0,4305600.0,115.0,0.0
2018-07-09,13.0,115.0,115.0,115.0,75044.0,8630060.0,115.0,0.0
2018-07-10,7.0,115.0,115.0,115.0,65150.0,7492250.0,115.0,0.0
2018-07-15,3.0,115.0,115.0,115.0,24891.0,2862465.0,115.0,0.0
2019-04-09,18.0,115.0,115.0,115.0,334497.0,38467155.0,115.0,0.0
2019-04-11,1.0,115.0,115.0,115.0,2145.0,246675.0,115.0,0.0
2019-04-29,2.0,115.0,115.0,115.0,2530.0,290950.0,115.0,0.0
2019-05-09,1.0,115.0,115.0,115.0,5000.0,575000.0,115.0,0.0
2019-07-08,8.0,115.0,115.0,115.0,136293.0,15673695.0,115.0,0.0
2019-07-09,2.0,115.0,115.0,115.0,21613.0,2485495.0,115.0,0.0
2019-07-15,2.0,115.0,115.0,115.0,27530.0,3165950.0,115.0,0.0
2019-08-19,1.0,115.0,115.0,115.0,50000.0,5750000.0,115.0,0.0
2020-07-08,2.0,115.0,115.0,115.0,79000.0,9085000.0,115.0,0.0
2020-07-14,7.0,115.0,115.0,115.0,122509.0,14088535.0,115.0,0.0
2020-07-15,1.0,115.0,115.0,115.0,50000.0,5750000.0,115.0,0.0
2020-07-19,2.0,115.0,115.0,115.0,27917.0,3210455.0,115.0,0.0
2020-07-20,1.0,115.0,115.0,115.0,4000.0,460000.0,115.0,0.0
2021-01-19,15.0,197.0,197.0,197.0,114095.0,22476715.0,197.0,0.0
2021-03-21,2.0,173.0,173.0,173.0,14785.0,2557805.0,173.57,-0.57
2022-01-04,29.0,277.0,277.0,277.0,35000.0,9695000.0,277.0,0.0
2022-01-09,23.0,277.0,277.0,277.0,75000.0,20775000.0,277.0,0.0
2022-01-17,17.0,277.0,277.0,277.0,16676.0,4619252.0,277.0,0.0
2022-01-18,65.0,277.0,277.0,277.0,137607.0,38117139.0,277.0,0.0
2022-01-20,3.0,277.0,277.0,277.0,4000.0,1108000.0,277.0,0.0
2022-03-10,5.0,277.0,277.0,277.0,6500.0,1800500.0,277.0,0.0
