Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-11-06,1.0,102.0,102.0,102.0,50.0,5100.0,100.0,2.0
2015-01-06,1.0,95.0,95.0,95.0,35.0,3325.0,94.0,1.0
2015-02-03,1.0,99.0,99.0,99.0,10.0,990.0,95.0,4.0
2015-02-04,1.0,103.0,103.0,103.0,10.0,1030.0,99.0,4.0
2015-02-08,1.0,108.0,108.0,108.0,10.0,1080.0,103.0,5.0
2015-02-09,1.0,113.0,113.0,113.0,10.0,1130.0,108.0,5.0
2015-02-12,1.0,118.0,118.0,118.0,10.0,1180.0,113.0,5.0
2015-02-15,1.0,123.0,123.0,123.0,10.0,1230.0,118.0,5.0
2015-02-16,2.0,131.0,129.0,131.0,510.0,66790.0,123.0,8.0
2015-02-18,1.0,137.0,137.0,137.0,10.0,1370.0,131.0,6.0
2015-03-01,1.0,143.0,143.0,143.0,10.0,1430.0,137.0,6.0
2015-03-02,1.0,150.0,150.0,150.0,10.0,1500.0,143.0,7.0
2015-03-04,2.0,160.0,157.0,160.0,27.0,4290.0,150.0,10.0
2015-03-10,1.0,168.0,168.0,168.0,10.0,1680.0,160.0,8.0
2015-03-11,1.0,176.0,176.0,176.0,10.0,1760.0,168.0,8.0
2015-04-07,3.0,190.0,184.0,190.0,30.0,5610.0,176.0,14.0
2015-04-08,4.0,202.0,193.0,202.0,40.0,7900.0,190.0,12.0
2015-04-09,3.0,220.0,212.0,220.0,37.0,8020.0,202.0,18.0
2015-05-25,1.0,224.0,224.0,224.0,203.0,45472.0,220.0,4.0
2015-06-21,3.0,236.0,228.0,236.0,64.0,14848.0,224.0,12.0
2015-06-22,2.0,244.0,240.0,244.0,40.0,9680.0,236.0,8.0
2015-06-23,2.0,252.0,248.0,252.0,40.0,10000.0,244.0,8.0
2015-06-24,1.0,257.0,257.0,257.0,20.0,5140.0,252.0,5.0
2015-06-25,2.0,267.0,262.0,267.0,40.0,10580.0,257.0,10.0
2015-06-28,2.0,277.0,272.0,277.0,40.0,10980.0,267.0,10.0
2015-06-29,1.0,282.0,282.0,282.0,20.0,5640.0,277.0,5.0
2015-07-01,2.0,292.0,287.0,292.0,44.0,12748.0,282.0,10.0
2015-07-05,3.0,308.0,297.0,308.0,60.0,18140.0,292.0,16.0
2015-07-06,2.0,320.0,314.0,320.0,40.0,12680.0,308.0,12.0
2015-07-09,3.0,338.0,326.0,338.0,140.0,46540.0,320.0,18.0
2015-07-12,4.0,357.0,344.0,357.0,400.0,140100.0,338.0,19.0
2015-07-14,2.0,371.0,364.0,371.0,200.0,73500.0,357.0,14.0
2015-07-15,2.0,385.0,378.0,385.0,200.0,76300.0,371.0,14.0
2015-07-16,5.0,422.0,392.0,422.0,153.0,60977.0,385.0,37.0
2015-07-22,2.0,438.0,430.0,438.0,200.0,86800.0,422.0,16.0
2015-07-23,1.0,446.0,446.0,446.0,450.0,200700.0,438.0,8.0
2015-07-29,2.0,459.0,450.0,459.0,650.0,293400.0,446.0,13.0
2015-07-30,3.0,470.0,460.0,470.0,394.0,184750.0,459.0,11.0
2015-08-03,1.0,470.0,470.0,470.0,26.0,12220.0,470.0,0.0
2015-08-04,1.0,479.0,479.0,479.0,20.0,9580.0,470.0,9.0
2015-08-05,1.0,488.0,488.0,488.0,54.0,26352.0,479.0,9.0
2015-08-09,2.0,479.0,470.0,470.0,287.0,136573.0,488.0,-18.0
2015-08-10,2.0,470.0,470.0,470.0,89.0,41830.0,470.0,0.0
2015-08-11,1.0,470.0,470.0,470.0,11.0,5170.0,470.0,0.0
2015-08-20,3.0,480.0,475.0,480.0,180.0,86039.0,470.0,10.0
2015-09-01,1.0,489.0,489.0,489.0,11.0,5379.0,480.0,9.0
