Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,3.0,77.0,76.0,77.0,33.0,2530.0,77.0,0.0
2012-06-04,6.0,78.0,78.0,78.0,66.0,5148.0,77.0,1.0
2012-06-05,24.0,79.0,77.0,78.0,264.0,20493.0,78.0,0.0
2012-06-06,43.0,79.0,76.0,78.0,728.0,56645.0,78.0,0.0
2012-06-07,16.0,78.0,76.0,78.0,195.0,14990.0,78.0,0.0
2012-06-10,19.0,77.0,74.0,74.0,249.0,18775.0,78.0,-4.0
2012-06-11,6.0,77.0,75.0,77.0,66.0,4994.0,74.0,3.0
2012-06-12,7.0,78.0,76.0,77.0,75.0,5786.0,77.0,0.0
2012-06-13,11.0,78.0,77.0,78.0,175.0,13606.0,77.0,1.0
2012-06-14,42.0,79.0,78.0,78.0,483.0,38004.0,78.0,0.0
2012-06-17,55.0,79.0,76.0,78.0,635.0,49761.0,78.0,0.0
2012-06-18,30.0,79.0,77.0,77.0,349.0,27126.0,78.0,-1.0
2012-06-19,28.0,79.0,77.0,79.0,308.0,24035.0,77.0,2.0
2012-06-20,19.0,79.0,78.0,79.0,209.0,16445.0,79.0,0.0
2012-06-21,14.0,79.0,77.0,78.0,154.0,12001.0,79.0,-1.0
2012-06-25,38.0,79.0,78.0,79.0,457.0,35876.0,78.0,1.0
2012-06-26,33.0,82.0,78.0,81.0,383.0,30895.0,79.0,2.0
2012-06-27,8.0,81.0,80.0,80.0,88.0,7117.0,81.0,-1.0
2012-07-01,19.0,79.0,78.0,78.0,354.0,27733.0,80.0,-2.0
2012-07-02,3.0,80.0,79.0,80.0,33.0,2629.0,78.0,2.0
2012-07-03,17.0,82.0,80.0,82.0,199.0,16134.0,80.0,2.0
2012-07-04,9.0,82.0,81.0,82.0,99.0,8052.0,82.0,0.0
2012-07-05,35.0,82.0,80.0,82.0,809.0,65727.0,82.0,0.0
2012-07-08,27.0,83.0,81.0,82.0,485.0,39713.0,82.0,0.0
2012-07-09,12.0,82.0,81.0,82.0,132.0,10791.0,82.0,0.0
2012-07-10,13.0,81.0,81.0,81.0,143.0,11583.0,82.0,-1.0
2012-07-11,10.0,84.0,82.0,82.0,110.0,9064.0,81.0,1.0
2012-07-12,23.0,81.0,79.0,80.0,252.0,20115.0,82.0,-2.0
2012-07-15,2.0,80.0,79.0,79.0,22.0,1749.0,80.0,-1.0
