Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-12-19,40.0,0.0,0.0,0.0,191992.0,49374890.0,0.0,0.0
2019-12-08,1.0,187.0,187.0,187.0,25000.0,4675000.0,0.0,187.0
2020-12-28,3.0,187.0,187.0,187.0,3194.0,637748.0,187.0,0.0
2021-04-26,3.0,187.0,187.0,187.0,3700.0,1065400.0,187.0,0.0
2021-07-22,4.0,634.0,634.0,634.0,1372.0,869848.0,634.0,0.0
2021-08-10,1.0,634.0,634.0,634.0,159.0,100806.0,634.0,0.0
2021-09-02,1.0,634.0,634.0,634.0,1100.0,331155.0,634.0,0.0
2022-02-16,6.0,564.0,564.0,564.0,1272.0,717408.0,564.0,0.0
2022-04-05,3.0,564.0,564.0,564.0,12000.0,4210000.0,564.0,0.0
2022-06-28,2.0,564.0,564.0,564.0,400.0,176000.0,564.0,0.0
