Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-21,6.0,221.0,203.0,203.0,60.0,12680.0,0.0,203.0
2013-03-24,6.0,199.0,184.0,184.0,60.0,11490.0,203.0,-19.0
2013-03-25,3.0,181.0,175.0,175.0,30.0,5340.0,184.0,-9.0
2013-03-27,6.0,172.0,158.0,158.0,60.0,9880.0,175.0,-17.0
2013-04-01,4.0,145.0,139.0,139.0,40.0,5680.0,147.0,-8.0
2013-04-03,3.0,137.0,133.0,133.0,30.0,4050.0,139.0,-6.0
2013-04-04,1.0,131.0,131.0,131.0,10.0,1310.0,133.0,-2.0
2013-04-08,4.0,129.0,123.0,123.0,40.0,5040.0,131.0,-8.0
2013-04-09,6.0,121.0,111.0,111.0,60.0,6960.0,123.0,-12.0
2013-04-11,1.0,109.0,109.0,109.0,100595.0,10964855.0,111.0,-2.0
2013-07-21,4.0,107.0,101.0,101.0,60320.0,6095152.0,109.0,-8.0
2013-07-22,1.0,101.0,101.0,101.0,119055.0,12024555.0,101.0,0.0
2013-08-20,1.0,101.0,101.0,101.0,90000.0,9090000.0,101.0,0.0
2014-02-17,2.0,105.0,103.0,105.0,100.0,10400.0,101.0,4.0
2014-02-18,3.0,111.0,107.0,111.0,100.0,10920.0,105.0,6.0
2014-02-20,1.0,112.0,112.0,112.0,199800.0,22377600.0,111.0,1.0
2014-02-26,4.0,120.0,114.0,120.0,93857.0,11262606.0,112.0,8.0
2014-03-12,6.0,118.0,108.0,108.0,18059.0,1950972.0,120.0,-12.0
2014-03-17,3.0,112.0,112.0,112.0,224658.0,25161696.0,108.0,4.0
2014-06-05,4.0,120.0,114.0,120.0,150546.0,18065280.0,112.0,8.0
2014-06-11,1.0,120.0,120.0,120.0,162705.0,19524600.0,120.0,0.0
